,Agent,Prior weighting,Likelihood weighting,Directed exploration,Random exploration,Meta-cognition,Learning rate,Optimism bias,Model-basedness,Temporal discounting,Risk taking
0,gpt-4,0.5822239763891435,0.3491732306918549,-0.3131761225127219,0.0028762484196737,0.7353784838878863,0.25757015056135346,0.6943868639706879,0.159535163749968,10.0,9.465555555555556
1,text-davinci-003,0.3941398960547961,0.241584852094787,-0.0469231803832318,-0.0059485446366511,0.7049375000000001,0.5009908960020244,0.5666692017784747,0.0189329278362571,6.0,23.55555555555556
2,text-davinci-002,0.3469115403226955,0.4471030612282217,-0.1560724463268706,0.0123392584807305,0.5958848546692053,0.3301600549771206,0.4172329836982779,0.0448714138360001,6.0,26.42888888888889
3,claude-1,0.7397200555455824,0.2204284521206085,-0.2565917853048841,0.0022870527949089,0.7618153935185186,0.42096313625411313,0.5758069580908077,0.0341652142764156,7.0,2.315555555555555
4,claude-2,0.7273125489017047,0.3533959151873142,-0.1263133696272169,0.0041272565553468,0.5355756166114662,0.342278970687642,0.4464982350097765,0.054336619249291,2.0,0.38888888888888884
5,text-bison@002,0.4014870122072826,0.4990326047788659,-0.0849045467425208,-0.0026764753408568,0.5546875,0.2835068921030572,0.04720469421072942,0.0455283474742721,15.0,1.0
6,hf_falcon-40b,0.0184202133382789,0.0065207847236,-0.5113388954881422,-0.0029178636993025,0.46739583333333334,0.43847062777219836,0.3041590808618369,0.0101446712648274,13.0,1.02
7,hf_falcon-40b-instruct,0.3382946491585152,-0.0446582786478687,-0.3298047376403796,-0.0091368398046334,0.638203125,0.27108663517158005,0.5033197729664638,0.018128824943983,15.0,7.733333333333334
8,hf_mpt-30b,0.0099214412702557,0.0147343660734911,-0.1684040574022905,-0.0017206197782275,0.6753125000000001,0.3380127592018909,0.34439968445862923,0.0002628745353764,16.0,0.5399999999999999
9,hf_mpt-30b-instruct,0.3707769822634027,-0.00785618504231,-1.2442859941030615,-0.0096651663336357,0.6742775,0.362273070740579,0.4324358035042911,-0.0003946000900144,14.0,1.2777777777777777
10,hf_mpt-30b-chat,0.5824512845903381,0.1022268209836853,-0.6034321586643077,-0.0087988791421989,0.5187499999999999,0.33872462845105833,0.2694125936040558,0.0025950929118187,15.0,4.488888888888889
11,llama-2-70,1.2899389211409602,0.1909800351861935,-0.0893344096438668,-0.0069183323194855,0.6058289093099983,0.33173868074678414,0.500396265228133,1.9949319973733282e-16,13.0,3.0355555555555553
