trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,2,2,0,128,False,0,2
1,0,0,0,128,False,1,2
2,7,7,0,128,False,2,2
3,0,0,0,128,False,3,2
4,1,1,0,128,False,4,2
5,2,2,0,128,False,5,2
6,1,1,0,128,False,6,2
7,1,1,0,8,False,0,0
8,1,1,0,32,False,0,1
9,3,0,0,8,True,1,0
10,0,0,0,32,False,1,1
11,1,1,0,128,False,7,2
12,1,1,0,8,False,2,0
13,0,0,0,8,False,3,0
14,0,0,0,32,False,2,1
15,1,1,0,32,False,3,1
16,4,0,0,8,True,4,0
17,0,0,0,8,False,5,0
18,1,1,0,32,False,4,1
19,0,0,0,128,False,8,2
20,0,0,0,8,False,6,0
21,1,1,0,128,False,9,2
22,0,0,0,32,False,5,1
23,3,0,0,8,True,7,0
24,3,3,0,128,False,10,2
25,0,0,0,128,False,11,2
26,0,0,0,128,False,12,2
27,0,0,0,8,False,8,0
28,0,0,0,128,False,13,2
29,0,0,0,8,False,9,0
30,0,0,0,128,False,14,2
31,0,0,0,8,False,10,0
32,0,0,0,32,False,6,1
33,0,0,0,8,False,11,0
34,0,0,0,8,False,12,0
35,0,0,0,32,False,7,1
36,1,1,0,8,False,13,0
37,2,2,0,8,False,14,0
38,0,0,0,32,False,8,1
39,0,0,0,32,False,9,1
40,0,0,0,32,False,10,1
41,0,0,0,32,False,11,1
42,0,0,0,32,False,12,1
43,0,0,0,32,False,13,1
44,0,0,0,32,False,14,1
0,0,0,1,8,False,0,1
1,1,1,1,128,False,0,0
2,0,0,1,8,False,1,1
3,0,0,1,128,False,1,0
4,1,1,1,128,False,2,0
5,0,0,1,8,False,2,1
6,1,0,1,32,True,0,2
7,0,0,1,8,False,3,1
8,0,0,1,32,False,1,2
9,0,0,1,32,False,2,2
10,0,0,1,8,False,4,1
11,2,2,1,128,False,3,0
12,0,0,1,32,False,3,2
13,1,1,1,128,False,4,0
14,0,0,1,32,False,4,2
15,0,0,1,32,False,5,2
16,0,0,1,8,False,5,1
17,0,0,1,128,False,5,0
18,0,0,1,32,False,6,2
19,0,0,1,32,False,7,2
20,0,0,1,128,False,6,0
21,0,0,1,32,False,8,2
22,0,0,1,8,False,6,1
23,0,0,1,32,False,9,2
24,0,0,1,8,False,7,1
25,0,0,1,8,False,8,1
26,0,0,1,8,False,9,1
27,0,0,1,8,False,10,1
28,0,0,1,8,False,11,1
29,0,0,1,128,False,7,0
30,0,0,1,8,False,12,1
31,0,0,1,8,False,13,1
32,0,0,1,32,False,10,2
33,0,0,1,8,False,14,1
34,0,0,1,32,False,11,2
35,2,2,1,128,False,8,0
36,2,2,1,128,False,9,0
37,0,0,1,128,False,10,0
38,0,0,1,32,False,12,2
39,3,3,1,128,False,11,0
40,4,4,1,128,False,12,0
41,0,0,1,32,False,13,2
42,2,2,1,128,False,13,0
43,0,0,1,32,False,14,2
44,6,6,1,128,False,14,0
0,0,0,2,128,False,0,0
1,0,0,2,32,False,0,2
2,0,0,2,8,False,0,1
3,0,0,2,128,False,1,0
4,1,1,2,8,False,1,1
5,0,0,2,32,False,1,2
6,0,0,2,32,False,2,2
7,0,0,2,32,False,3,2
8,0,0,2,32,False,4,2
9,0,0,2,32,False,5,2
10,0,0,2,8,False,2,1
11,0,0,2,128,False,2,0
12,0,0,2,8,False,3,1
13,0,0,2,128,False,3,0
