trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,11,11,128,False,0,2,0
1,2,0,8,True,0,1,0
2,15,0,32,True,0,0,0
3,8,0,8,True,1,1,0
4,84,0,128,True,1,2,0
5,13,13,128,False,2,2,0
6,104,0,128,True,3,2,0
7,4,0,32,True,1,0,0
8,5,0,8,True,2,1,0
9,121,0,128,True,4,2,0
10,6,6,32,False,2,0,0
11,3,0,8,True,3,1,0
12,11,11,32,False,3,0,0
13,3,0,8,True,4,1,0
14,10,10,32,False,4,0,0
15,7,0,8,True,5,1,0
16,62,0,128,True,5,2,0
17,51,0,128,True,6,2,0
18,6,6,32,False,5,0,0
19,1,0,8,True,6,1,0
20,46,0,128,True,7,2,0
21,1,1,32,False,6,0,0
22,10,10,128,False,8,2,0
23,1,1,32,False,7,0,0
24,4,0,8,True,7,1,0
25,4,0,32,True,8,0,0
26,37,0,128,True,9,2,0
27,14,14,128,False,10,2,0
28,51,0,128,True,11,2,0
29,24,0,32,True,9,0,0
30,26,0,128,True,12,2,0
31,108,0,128,True,13,2,0
32,90,0,128,True,14,2,0
33,32,0,32,True,10,0,0
34,2,0,8,True,8,1,0
35,18,0,32,True,11,0,0
36,10,10,32,False,12,0,0
37,3,0,8,True,9,1,0
38,3,0,8,True,10,1,0
39,8,8,32,False,13,0,0
40,4,0,8,True,11,1,0
41,4,0,8,True,12,1,0
42,2,0,8,True,13,1,0
43,8,0,8,True,14,1,0
44,9,0,32,True,14,0,0
0,7,0,8,True,0,1,1
1,8,0,8,True,1,1,1
2,31,0,32,True,0,0,1
3,39,0,128,True,0,2,1
4,3,0,8,True,2,1,1
5,4,0,8,True,3,1,1
6,73,0,128,True,1,2,1
7,8,0,8,True,4,1,1
8,112,0,128,True,2,2,1
9,6,0,32,True,1,0,1
10,1,0,8,True,5,1,1
11,1,0,8,True,6,1,1
12,38,0,128,True,3,2,1
13,28,0,128,True,4,2,1
14,22,0,128,True,5,2,1
15,4,0,8,True,7,1,1
16,9,0,32,True,2,0,1
17,106,0,128,True,6,2,1
18,29,0,32,True,3,0,1
19,20,0,32,True,4,0,1
20,16,0,32,True,5,0,1
21,92,0,128,True,7,2,1
22,12,12,128,False,8,2,1
23,24,0,32,True,6,0,1
24,18,0,32,True,7,0,1
25,2,2,32,False,8,0,1
26,3,0,8,True,8,1,1
27,19,0,32,True,9,0,1
28,29,0,32,True,10,0,1
29,22,0,32,True,11,0,1
30,4,4,128,False,9,2,1
31,5,0,8,True,9,1,1
32,2,2,128,False,10,2,1
33,125,0,128,True,11,2,1
34,2,2,128,False,12,2,1
35,2,0,32,True,12,0,1
36,20,20,128,False,13,2,1
37,2,2,128,False,14,2,1
38,16,0,32,True,13,0,1
39,10,0,32,True,14,0,1
