trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,3,3,128,False,0,2,0
1,5,0,8,True,0,0,0
2,4,0,32,True,0,1,0
3,2,0,8,True,1,0,0
4,6,6,128,False,1,2,0
5,3,0,8,True,2,0,0
6,4,0,8,True,3,0,0
7,15,15,32,False,1,1,0
8,2,0,32,True,2,1,0
9,5,0,8,True,4,0,0
10,10,0,128,True,2,2,0
11,8,0,128,True,3,2,0
12,29,0,32,True,3,1,0
13,6,0,128,True,4,2,0
14,41,0,128,True,5,2,0
15,0,0,8,False,5,0,0
16,31,0,32,True,4,1,0
17,14,0,32,True,5,1,0
18,4,4,8,False,6,0,0
19,2,0,8,True,7,0,0
20,14,14,128,False,6,2,0
21,2,2,128,False,7,2,0
22,0,0,8,False,8,0,0
23,20,20,128,False,8,2,0
24,1,1,8,False,9,0,0
25,10,10,32,False,6,1,0
26,4,4,8,False,10,0,0
27,2,0,8,True,11,0,0
28,3,3,32,False,7,1,0
29,6,6,32,False,8,1,0
30,2,0,32,True,9,1,0
31,0,0,32,False,10,1,0
32,0,0,8,False,12,0,0
33,2,0,8,True,13,0,0
34,1,0,8,True,14,0,0
35,10,10,128,False,9,2,0
36,4,0,32,True,11,1,0
37,1,1,32,False,12,1,0
38,5,5,32,False,13,1,0
39,12,12,128,False,10,2,0
40,14,0,32,True,14,1,0
41,18,18,128,False,11,2,0
42,6,0,128,True,12,2,0
43,24,24,128,False,13,2,0
44,23,23,128,False,14,2,0
0,10,10,32,False,0,2,1
1,3,3,128,False,0,0,1
2,5,5,128,False,1,0,1
3,66,0,128,True,2,0,1
4,9,9,32,False,1,2,1
5,13,0,32,True,2,2,1
6,9,9,32,False,3,2,1
7,44,0,128,True,3,0,1
8,12,0,32,True,4,2,1
9,4,0,8,True,0,1,1
10,6,0,32,True,5,2,1
11,14,0,32,True,6,2,1
12,13,13,32,False,7,2,1
13,3,3,32,False,8,2,1
14,8,8,128,False,4,0,1
15,6,0,8,True,1,1,1
16,65,0,128,True,5,0,1
17,18,0,32,True,9,2,1
18,1,1,128,False,6,0,1
19,39,39,128,False,7,0,1
20,6,0,8,True,2,1,1
21,2,0,8,True,3,1,1
22,2,2,128,False,8,0,1
23,4,4,128,False,9,0,1
24,1,1,8,False,4,1,1
25,1,0,32,True,10,2,1
26,9,9,128,False,10,0,1
27,4,4,8,False,5,1,1
28,64,64,128,False,11,0,1
29,3,3,32,False,11,2,1
30,7,7,32,False,12,2,1
31,3,3,128,False,12,0,1
32,6,6,128,False,13,0,1
33,31,0,32,True,13,2,1
34,0,0,128,False,14,0,1
35,1,0,8,True,6,1,1
36,0,0,8,False,7,1,1
37,26,0,32,True,14,2,1
38,5,0,8,True,8,1,1
39,0,0,8,False,9,1,1
40,1,1,8,False,10,1,1
41,3,3,8,False,11,1,1
42,6,0,8,True,12,1,1
43,2,2,8,False,13,1,1
44,2,2,8,False,14,1,1
0,1,0,128,True,0,1,2
1,7,0,32,True,0,0,2
2,15,15,32,False,1,0,2
3,4,0,8,True,0,2,2
4,20,0,32,True,2,0,2
5,17,17,128,False,1,1,2
