trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,17,0,32,True,0,0,0
1,1,1,128,False,0,2,0
2,1,1,8,False,0,1,0
3,0,0,128,False,1,2,0
4,2,2,128,False,2,2,0
5,1,1,128,False,3,2,0
6,1,1,128,False,4,2,0
7,8,8,32,False,1,0,0
8,0,0,8,False,1,1,0
9,2,0,32,True,2,0,0
10,2,2,8,False,2,1,0
11,0,0,8,False,3,1,0
12,1,1,8,False,4,1,0
13,0,0,32,False,3,0,0
14,0,0,32,False,4,0,0
15,0,0,128,False,5,2,0
16,0,0,32,False,5,0,0
17,2,2,128,False,6,2,0
18,0,0,32,False,6,0,0
19,3,3,8,False,5,1,0
20,0,0,8,False,6,1,0
21,0,0,128,False,7,2,0
22,0,0,8,False,7,1,0
23,0,0,128,False,8,2,0
24,0,0,8,False,8,1,0
25,0,0,128,False,9,2,0
26,1,0,8,True,9,1,0
27,0,0,8,False,10,1,0
28,0,0,8,False,11,1,0
29,2,2,32,False,7,0,0
30,3,3,32,False,8,0,0
31,0,0,128,False,10,2,0
32,3,3,8,False,12,1,0
33,1,1,128,False,11,2,0
34,0,0,8,False,13,1,0
35,0,0,32,False,9,0,0
36,7,7,32,False,10,0,0
37,0,0,8,False,14,1,0
38,1,1,128,False,12,2,0
39,2,2,32,False,11,0,0
40,0,0,128,False,13,2,0
41,1,1,32,False,12,0,0
42,0,0,128,False,14,2,0
43,14,14,32,False,13,0,0
44,0,0,32,False,14,0,0
0,5,0,8,True,0,2,1
1,4,4,32,False,0,1,1
2,57,0,128,True,0,0,1
3,6,0,8,True,1,2,1
4,77,0,128,True,1,0,1
5,80,0,128,True,2,0,1
6,3,3,8,False,2,2,1
7,78,0,128,True,3,0,1
8,3,0,8,True,3,2,1
9,1,1,32,False,1,1,1
10,1,1,32,False,2,1,1
11,0,0,8,False,4,2,1
12,3,0,8,True,5,2,1
13,7,0,8,True,6,2,1
14,0,0,32,False,3,1,1
15,3,3,32,False,4,1,1
16,1,1,8,False,7,2,1
17,0,0,32,False,5,1,1
18,26,0,128,True,4,0,1
19,3,3,8,False,8,2,1
20,0,0,128,False,5,0,1
21,2,0,8,True,9,2,1
22,0,0,32,False,6,1,1
23,2,2,32,False,7,1,1
24,1,1,128,False,6,0,1
25,0,0,32,False,8,1,1
26,1,1,128,False,7,0,1
27,0,0,8,False,10,2,1
28,0,0,128,False,8,0,1
29,0,0,128,False,9,0,1
30,0,0,128,False,10,0,1
31,10,10,128,False,11,0,1
32,0,0,32,False,9,1,1
33,0,0,32,False,10,1,1
34,0,0,32,False,11,1,1
35,0,0,32,False,12,1,1
36,0,0,128,False,12,0,1
37,1,1,32,False,13,1,1
38,0,0,8,False,11,2,1
39,0,0,32,False,14,1,1
40,1,1,128,False,13,0,1
41,0,0,128,False,14,0,1
42,0,0,8,False,12,2,1
43,6,0,8,True,13,2,1
44,2,2,8,False,14,2,1
0,3,0,32,True,0,0,2
1,4,4,128,False,0,1,2
2,0,0,128,False,1,1,2
3,0,0,8,False,0,2,2
4,0,0,32,False,1,0,2
5,2,2,8,False,1,2,2
6,0,0,128,False,2,1,2
7,1,1,8,False,2,2,2
8,12,0,32,True,2,0,2
9,6,6,128,False,3,1,2
10,1,1,8,False,3,2,2
11,0,0,8,False,4,2,2
12,1,1,128,False,4,1,2
13,1,1,8,False,5,2,2
14,0,0,128,False,5,1,2
15,22,0,32,True,3,0,2
16,1,1,8,False,6,2,2
17,30,0,32,True,4,0,2
18,3,0,32,True,5,0,2
19,1,1,128,False,6,1,2
20,0,0,32,False,6,0,2
21,1,1,128,False,7,1,2
22,1,1,128,False,8,1,2
23,0,0,32,False,7,0,2
24,7,0,8,True,7,2,2
25,2,0,8,True,8,2,2
26,0,0,128,False,9,1,2
27,5,5,8,False,9,2,2
28,3,3,32,False,8,0,2
29,0,0,128,False,10,1,2
30,1,1,8,False,10,2,2
31,4,4,8,False,11,2,2
32,1,1,8,False,12,2,2
33,4,4,8,False,13,2,2
34,0,0,128,False,11,1,2
35,0,0,128,False,12,1,2
36,4,4,8,False,14,2,2
37,0,0,32,False,9,0,2
38,3,3,128,False,13,1,2
39,0,0,32,False,10,0,2
40,1,1,32,False,11,0,2
41,3,3,32,False,12,0,2
42,3,3,32,False,13,0,2
43,1,1,128,False,14,1,2
44,0,0,32,False,14,0,2
0,19,19,128,False,0,2,3
1,1,1,8,False,0,0,3
2,0,0,8,False,1,0,3
3,8,0,8,True,2,0,3
4,3,3,32,False,0,1,3
5,0,0,128,False,1,2,3
6,0,0,128,False,2,2,3
7,0,0,128,False,3,2,3
8,2,2,128,False,4,2,3
9,1,1,128,False,5,2,3
10,6,0,8,True,3,0,3
11,1,1,8,False,4,0,3
12,6,6,128,False,6,2,3
13,0,0,128,False,7,2,3
14,0,0,32,False,1,1,3
15,2,2,128,False,8,2,3
16,0,0,128,False,9,2,3
17,0,0,8,False,5,0,3
18,0,0,32,False,2,1,3
19,1,1,32,False,3,1,3
20,3,0,8,True,6,0,3
21,0,0,8,False,7,0,3
22,2,2,32,False,4,1,3
23,0,0,32,False,5,1,3
24,2,2,8,False,8,0,3
25,1,1,8,False,9,0,3
26,0,0,32,False,6,1,3
27,0,0,32,False,7,1,3
28,6,6,128,False,10,2,3
29,0,0,32,False,8,1,3
30,2,2,8,False,10,0,3
31,0,0,32,False,9,1,3
32,1,1,128,False,11,2,3
33,4,4,128,False,12,2,3
34,6,6,32,False,10,1,3
35,0,0,8,False,11,0,3
36,2,2,128,False,13,2,3
37,1,1,32,False,11,1,3
38,5,5,32,False,12,1,3
39,3,3,32,False,13,1,3
40,1,1,128,False,14,2,3
41,1,1,32,False,14,1,3
42,1,0,8,True,12,0,3
43,0,0,8,False,13,0,3
44,0,0,8,False,14,0,3
0,6,0,8,True,0,1,4
1,1,1,128,False,0,2,4
2,2,0,8,True,1,1,4
3,1,0,8,True,2,1,4
4,11,11,128,False,1,2,4
5,0,0,32,False,0,0,4
6,23,0,32,True,1,0,4
7,5,5,8,False,3,1,4
8,0,0,32,False,2,0,4
9,25,0,128,True,2,2,4
10,20,0,32,True,3,0,4
11,4,0,8,True,4,1,4
12,3,3,8,False,5,1,4
