trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,1,128,False,0,0,0
1,21,0,32,True,0,1,0
2,0,0,128,False,1,0,0
3,0,0,8,False,0,2,0
4,0,0,8,False,1,2,0
5,25,0,32,True,1,1,0
6,0,0,32,False,2,1,0
7,0,0,128,False,2,0,0
8,0,0,128,False,3,0,0
9,0,0,8,False,2,2,0
10,0,0,8,False,3,2,0
11,1,1,8,False,4,2,0
12,0,0,32,False,3,1,0
13,61,0,128,True,4,0,0
14,0,0,32,False,4,1,0
15,0,0,32,False,5,1,0
16,0,0,32,False,6,1,0
17,0,0,32,False,7,1,0
18,1,1,128,False,5,0,0
19,0,0,32,False,8,1,0
20,0,0,8,False,5,2,0
21,24,0,32,True,9,1,0
22,0,0,128,False,6,0,0
23,1,1,128,False,7,0,0
24,1,1,128,False,8,0,0
25,0,0,32,False,10,1,0
26,0,0,128,False,9,0,0
27,1,1,128,False,10,0,0
28,22,0,32,True,11,1,0
29,12,0,32,True,12,1,0
30,0,0,32,False,13,1,0
31,1,1,8,False,6,2,0
32,5,0,8,True,7,2,0
33,29,0,32,True,14,1,0
34,0,0,8,False,8,2,0
35,0,0,8,False,9,2,0
36,1,1,128,False,11,0,0
37,0,0,128,False,12,0,0
38,0,0,128,False,13,0,0
39,1,1,8,False,10,2,0
40,2,2,8,False,11,2,0
41,2,0,8,True,12,2,0
42,0,0,8,False,13,2,0
43,0,0,128,False,14,0,0
44,0,0,8,False,14,2,0
0,2,2,32,False,0,2,1
1,1,1,32,False,1,2,1
2,2,2,8,False,0,0,1
3,1,0,32,True,2,2,1
4,0,0,128,False,0,1,1
5,5,0,8,True,1,0,1
6,0,0,32,False,3,2,1
7,0,0,8,False,2,0,1
8,17,0,128,True,1,1,1
9,0,0,8,False,3,0,1
10,55,0,128,True,2,1,1
11,0,0,32,False,4,2,1
12,44,0,128,True,3,1,1
13,0,0,32,False,5,2,1
14,0,0,8,False,4,0,1
15,2,2,128,False,4,1,1
16,0,0,8,False,5,0,1
17,0,0,32,False,6,2,1
18,8,0,32,True,7,2,1
19,0,0,8,False,6,0,1
20,16,0,32,True,8,2,1
21,1,1,128,False,5,1,1
22,8,0,8,True,7,0,1
23,15,0,32,True,9,2,1
24,1,1,32,False,10,2,1
25,0,0,32,False,11,2,1
26,1,0,8,True,8,0,1
27,0,0,8,False,9,0,1
28,1,1,32,False,12,2,1
29,0,0,8,False,10,0,1
30,0,0,8,False,11,0,1
31,0,0,128,False,6,1,1
32,1,1,32,False,13,2,1
33,5,0,8,True,12,0,1
34,6,0,8,True,13,0,1
35,0,0,128,False,7,1,1
36,0,0,128,False,8,1,1
37,1,1,8,False,14,0,1
38,22,0,32,True,14,2,1
39,0,0,128,False,9,1,1
40,7,7,128,False,10,1,1
41,42,0,128,True,11,1,1
42,37,0,128,True,12,1,1
