trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,0,0,0,128,False,0,0
1,0,0,0,32,False,0,2
2,1,1,0,32,False,1,2
3,2,2,0,8,False,0,1
4,3,3,0,128,False,1,0
5,1,1,0,32,False,2,2
6,2,0,0,32,True,3,2
7,0,0,0,8,False,1,1
8,0,0,0,32,False,4,2
9,0,0,0,32,False,5,2
10,1,1,0,128,False,2,0
11,0,0,0,32,False,6,2
12,0,0,0,32,False,7,2
13,2,2,0,32,False,8,2
14,1,1,0,32,False,9,2
15,1,1,0,8,False,2,1
16,0,0,0,8,False,3,1
17,0,0,0,32,False,10,2
18,1,0,0,32,True,11,2
19,0,0,0,32,False,12,2
20,0,0,0,128,False,3,0
21,0,0,0,128,False,4,0
22,0,0,0,128,False,5,0
23,3,3,0,128,False,6,0
24,0,0,0,32,False,13,2
25,0,0,0,8,False,4,1
26,1,1,0,128,False,7,0
27,1,1,0,128,False,8,0
28,0,0,0,128,False,9,0
29,0,0,0,32,False,14,2
30,1,1,0,8,False,5,1
31,1,1,0,128,False,10,0
32,0,0,0,128,False,11,0
33,0,0,0,8,False,6,1
34,0,0,0,8,False,7,1
35,1,1,0,128,False,12,0
36,0,0,0,128,False,13,0
37,0,0,0,8,False,8,1
38,3,3,0,128,False,14,0
39,0,0,0,8,False,9,1
40,2,2,0,8,False,10,1
41,0,0,0,8,False,11,1
42,0,0,0,8,False,12,1
43,2,2,0,8,False,13,1
44,0,0,0,8,False,14,1
0,0,0,1,8,False,0,2
1,0,0,1,8,False,1,2
2,1,1,1,8,False,2,2
3,0,0,1,128,False,0,0
4,0,0,1,32,False,0,1
5,1,0,1,8,True,3,2
6,1,1,1,8,False,4,2
7,1,1,1,128,False,1,0
8,0,0,1,128,False,2,0
9,2,2,1,128,False,3,0
10,0,0,1,32,False,1,1
11,3,3,1,128,False,4,0
12,1,0,1,8,True,5,2
13,0,0,1,128,False,5,0
14,1,1,1,8,False,6,2
15,1,1,1,32,False,2,1
16,0,0,1,8,False,7,2
17,0,0,1,32,False,3,1
18,0,0,1,8,False,8,2
19,0,0,1,32,False,4,1
20,0,0,1,8,False,9,2
21,0,0,1,32,False,5,1
22,0,0,1,128,False,6,0
23,0,0,1,32,False,6,1
24,1,1,1,8,False,10,2
25,1,1,1,128,False,7,0
26,2,2,1,128,False,8,0
27,0,0,1,128,False,9,0
28,0,0,1,32,False,7,1
29,0,0,1,32,False,8,1
30,0,0,1,32,False,9,1
31,2,2,1,128,False,10,0
32,3,3,1,128,False,11,0
33,1,1,1,128,False,12,0
34,0,0,1,128,False,13,0
35,1,1,1,8,False,11,2
36,1,1,1,128,False,14,0
37,0,0,1,32,False,10,1
38,0,0,1,32,False,11,1
