trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,6,0,8,True,0,1,0
1,7,0,8,True,1,1,0
2,20,0,32,True,0,2,0
3,1,0,32,True,1,2,0
4,124,0,128,True,0,0,0
5,30,0,32,True,2,2,0
6,32,0,32,True,3,2,0
7,8,0,8,True,2,1,0
8,4,0,32,True,4,2,0
9,14,0,128,True,1,0,0
10,7,0,8,True,3,1,0
11,4,0,8,True,4,1,0
12,12,0,32,True,5,2,0
13,5,0,32,True,6,2,0
14,23,0,32,True,7,2,0
15,4,0,8,True,5,1,0
16,27,0,32,True,8,2,0
17,8,0,8,True,6,1,0
18,8,0,8,True,7,1,0
19,5,0,32,True,9,2,0
20,71,0,128,True,2,0,0
21,17,0,32,True,10,2,0
22,6,0,8,True,8,1,0
23,62,0,128,True,3,0,0
24,7,0,8,True,9,1,0
25,29,0,128,True,4,0,0
26,1,0,8,True,10,1,0
27,23,0,32,True,11,2,0
28,71,0,128,True,5,0,0
29,4,0,8,True,11,1,0
30,22,0,32,True,12,2,0
31,85,0,128,True,6,0,0
32,4,0,8,True,12,1,0
33,69,0,128,True,7,0,0
34,33,0,128,True,8,0,0
35,11,0,32,True,13,2,0
36,8,0,8,True,13,1,0
37,72,0,128,True,9,0,0
38,16,0,32,True,14,2,0
39,4,0,8,True,14,1,0
40,28,0,128,True,10,0,0
41,8,0,128,True,11,0,0
42,16,0,128,True,12,0,0
43,1,0,128,True,13,0,0
44,18,0,128,True,14,0,0
0,13,0,32,True,0,1,1
1,7,0,8,True,0,0,1
2,3,0,8,True,1,0,1
3,111,0,128,True,0,2,1
4,84,0,128,True,1,2,1
5,83,0,128,True,2,2,1
6,63,0,128,True,3,2,1
7,98,0,128,True,4,2,1
8,32,0,32,True,1,1,1
9,4,0,8,True,2,0,1
10,13,0,32,True,2,1,1
11,70,0,128,True,5,2,1
12,1,0,8,True,3,0,1
13,6,0,8,True,4,0,1
14,2,0,8,True,5,0,1
15,4,0,8,True,6,0,1
16,3,0,32,True,3,1,1
17,1,0,8,True,7,0,1
18,4,0,8,True,8,0,1
19,21,0,32,True,4,1,1
20,7,0,32,True,5,1,1
21,8,0,32,True,6,1,1
22,25,0,32,True,7,1,1
23,12,0,32,True,8,1,1
24,6,0,8,True,9,0,1
25,67,0,128,True,6,2,1
26,1,0,8,True,10,0,1
27,74,0,128,True,7,2,1
28,45,0,128,True,8,2,1
29,72,0,128,True,9,2,1
30,113,0,128,True,10,2,1
31,22,0,128,True,11,2,1
32,23,0,32,True,9,1,1
33,88,0,128,True,12,2,1
34,7,0,8,True,11,0,1
35,93,0,128,True,13,2,1
36,4,0,8,True,12,0,1
37,8,0,8,True,13,0,1
38,6,0,8,True,14,0,1
39,68,0,128,True,14,2,1
40,18,0,32,True,10,1,1
41,5,0,32,True,11,1,1
42,18,0,32,True,12,1,1
43,7,0,32,True,13,1,1
44,31,0,32,True,14,1,1
0,19,0,32,True,0,2,2
1,5,0,8,True,0,0,2
2,2,0,8,True,1,0,2
3,1,0,32,True,1,2,2
4,7,0,8,True,2,0,2
5,6,0,8,True,3,0,2
6,8,0,8,True,4,0,2
7,39,0,128,True,0,1,2
8,8,0,8,True,5,0,2
9,18,0,32,True,2,2,2
10,15,0,32,True,3,2,2
11,1,0,8,True,6,0,2
12,110,0,128,True,1,1,2
13,8,0,8,True,7,0,2
14,51,0,128,True,2,1,2
15,5,0,32,True,4,2,2
16,68,0,128,True,3,1,2
17,4,0,8,True,8,0,2
18,15,0,128,True,4,1,2
19,25,0,32,True,5,2,2
20,17,0,32,True,6,2,2
21,5,0,8,True,9,0,2
22,16,0,32,True,7,2,2
23,123,0,128,True,5,1,2
24,14,0,32,True,8,2,2
25,123,0,128,True,6,1,2
26,75,0,128,True,7,1,2
27,65,0,128,True,8,1,2
28,3,0,8,True,10,0,2
29,124,0,128,True,9,1,2
30,67,0,128,True,10,1,2
31,3,0,8,True,11,0,2
32,11,0,128,True,11,1,2
33,29,0,32,True,9,2,2
34,28,0,32,True,10,2,2
35,112,0,128,True,12,1,2
36,4,0,8,True,12,0,2
37,7,0,8,True,13,0,2
38,10,0,32,True,11,2,2
39,4,0,8,True,14,0,2
40,104,0,128,True,13,1,2
41,92,0,128,True,14,1,2
42,2,0,32,True,12,2,2
43,17,0,32,True,13,2,2
44,9,0,32,True,14,2,2
0,117,0,128,True,0,1,3
1,17,0,32,True,0,2,3
2,71,0,128,True,1,1,3
3,31,0,32,True,1,2,3
4,2,0,8,True,0,0,3
5,13,0,32,True,2,2,3
6,1,0,8,True,1,0,3
7,76,0,128,True,2,1,3
8,12,0,32,True,3,2,3
9,1,0,8,True,2,0,3
10,24,0,32,True,4,2,3
11,19,0,128,True,3,1,3
12,82,0,128,True,4,1,3
13,63,0,128,True,5,1,3
14,3,0,8,True,3,0,3
15,52,0,128,True,6,1,3
16,1,0,8,True,4,0,3
17,104,0,128,True,7,1,3
18,6,0,8,True,5,0,3
19,6,0,32,True,5,2,3
20,31,0,32,True,6,2,3
21,13,0,32,True,7,2,3
22,61,0,128,True,8,1,3
23,28,0,32,True,8,2,3
24,18,0,32,True,9,2,3
25,4,0,32,True,10,2,3
26,62,0,128,True,9,1,3
27,5,0,8,True,6,0,3
28,123,0,128,True,10,1,3
29,5,0,8,True,7,0,3
30,5,0,8,True,8,0,3
31,7,0,32,True,11,2,3
32,59,0,128,True,11,1,3
33,7,0,32,True,12,2,3
34,20,0,32,True,13,2,3
35,2,0,8,True,9,0,3
36,5,0,8,True,10,0,3
37,107,0,128,True,12,1,3
38,7,0,8,True,11,0,3
39,2,0,8,True,12,0,3
40,8,0,8,True,13,0,3
41,8,0,8,True,14,0,3
42,27,0,32,True,14,2,3
43,6,0,128,True,13,1,3
44,9,0,128,True,14,1,3
0,8,0,8,True,0,1,4
1,124,0,128,True,0,2,4
2,5,0,32,True,0,0,4
3,58,0,128,True,1,2,4
4,92,0,128,True,2,2,4
5,7,0,8,True,1,1,4
6,101,0,128,True,3,2,4
7,25,0,32,True,1,0,4
8,7,0,8,True,2,1,4
9,20,0,32,True,2,0,4
10,8,0,32,True,3,0,4
11,85,0,128,True,4,2,4
12,1,0,8,True,3,1,4
13,3,0,8,True,4,1,4
14,87,0,128,True,5,2,4
15,5,0,128,True,6,2,4
16,16,0,32,True,4,0,4
17,61,0,128,True,7,2,4
18,2,0,32,True,5,0,4
19,5,0,8,True,5,1,4
20,27,0,32,True,6,0,4
21,4,0,8,True,6,1,4
22,4,0,8,True,7,1,4
23,3,0,8,True,8,1,4
24,1,0,8,True,9,1,4
25,92,0,128,True,8,2,4
26,6,0,8,True,10,1,4
27,8,0,8,True,11,1,4
28,23,0,32,True,7,0,4
29,1,0,128,True,9,2,4
30,6,0,8,True,12,1,4
31,31,0,32,True,8,0,4
32,3,0,8,True,13,1,4
33,1,0,8,True,14,1,4
34,1,0,32,True,9,0,4
35,3,0,32,True,10,0,4
36,31,0,32,True,11,0,4
37,28,0,32,True,12,0,4
38,16,0,32,True,13,0,4
39,60,0,128,True,10,2,4
40,25,0,32,True,14,0,4
41,26,0,128,True,11,2,4
42,77,0,128,True,12,2,4
43,25,0,128,True,13,2,4
44,103,0,128,True,14,2,4
0,0,0,8,False,0,0,5
1,1,0,128,True,0,2,5
2,11,0,32,True,0,1,5
3,127,0,128,True,1,2,5
4,4,0,32,True,1,1,5
5,8,0,8,True,1,0,5
6,10,0,32,True,2,1,5
7,20,0,32,True,3,1,5
8,14,0,32,True,4,1,5
9,6,0,8,True,2,0,5
10,17,0,32,True,5,1,5
11,9,0,32,True,6,1,5
12,1,0,8,True,3,0,5
13,108,0,128,True,2,2,5
14,15,0,128,True,3,2,5
15,72,0,128,True,4,2,5
16,91,0,128,True,5,2,5
17,3,0,32,True,7,1,5
18,17,0,128,True,6,2,5
19,60,0,128,True,7,2,5
20,18,0,128,True,8,2,5
21,1,0,8,True,4,0,5
22,8,0,8,True,5,0,5
23,19,0,128,True,9,2,5
24,31,0,128,True,10,2,5
25,127,0,128,True,11,2,5
26,8,0,32,True,8,1,5
27,5,0,8,True,6,0,5
28,50,0,128,True,12,2,5
29,4,0,8,True,7,0,5
30,21,0,32,True,9,1,5
31,18,0,32,True,10,1,5
32,29,0,128,True,13,2,5
33,6,0,8,True,8,0,5
34,3,0,32,True,11,1,5
35,7,0,32,True,12,1,5
36,13,0,32,True,13,1,5
37,14,0,32,True,14,1,5
38,2,0,8,True,9,0,5
39,37,0,128,True,14,2,5
40,5,0,8,True,10,0,5
41,6,0,8,True,11,0,5
42,8,0,8,True,12,0,5
43,7,0,8,True,13,0,5
44,2,0,8,True,14,0,5
