trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,107,0,0,128,True,0,0
1,22,0,0,128,True,1,0
2,5,0,0,8,True,0,2
3,21,0,0,32,True,0,1
4,1,0,0,8,True,1,2
5,6,0,0,32,True,1,1
6,8,0,0,8,True,2,2
7,28,0,0,32,True,2,1
8,64,0,0,128,True,2,0
9,79,0,0,128,True,3,0
10,21,0,0,32,True,3,1
11,24,0,0,32,True,4,1
12,17,0,0,32,True,5,1
13,6,0,0,8,True,3,2
14,18,0,0,128,True,4,0
15,67,0,0,128,True,5,0
16,8,0,0,8,True,4,2
17,125,0,0,128,True,6,0
18,128,0,0,128,True,7,0
19,22,0,0,128,True,8,0
20,11,0,0,32,True,6,1
21,18,0,0,32,True,7,1
22,9,0,0,32,True,8,1
23,5,0,0,8,True,5,2
24,6,0,0,8,True,6,2
25,4,0,0,8,True,7,2
26,5,0,0,8,True,8,2
27,4,0,0,8,True,9,2
28,83,0,0,128,True,9,0
29,17,0,0,128,True,10,0
30,54,0,0,128,True,11,0
31,8,0,0,8,True,10,2
32,30,0,0,32,True,9,1
33,7,0,0,8,True,11,2
34,72,0,0,128,True,12,0
35,6,0,0,8,True,12,2
36,100,0,0,128,True,13,0
37,8,0,0,8,True,13,2
38,74,0,0,128,True,14,0
39,32,0,0,32,True,10,1
40,8,0,0,8,True,14,2
41,10,0,0,32,True,11,1
42,27,0,0,32,True,12,1
43,17,0,0,32,True,13,1
44,9,0,0,32,True,14,1
0,1,0,1,8,True,0,2
1,32,0,1,128,True,0,0
2,78,0,1,128,True,1,0
3,2,0,1,8,True,1,2
4,92,0,1,128,True,2,0
5,6,0,1,8,True,2,2
6,4,0,1,8,True,3,2
7,4,0,1,128,True,3,0
8,8,0,1,8,True,4,2
9,28,0,1,128,True,4,0
10,5,0,1,8,True,5,2
11,103,0,1,128,True,5,0
12,29,0,1,128,True,6,0
13,1,0,1,32,True,0,1
14,6,0,1,8,True,6,2
15,12,0,1,128,True,7,0
16,59,0,1,128,True,8,0
17,6,0,1,32,True,1,1
18,71,0,1,128,True,9,0
19,2,0,1,8,True,7,2
20,27,0,1,128,True,10,0
21,30,0,1,32,True,2,1
22,70,0,1,128,True,11,0
23,31,0,1,32,True,3,1
24,52,0,1,128,True,12,0
25,3,0,1,32,True,4,1
26,64,0,1,128,True,13,0
27,14,0,1,32,True,5,1
28,8,0,1,8,True,8,2
29,1,0,1,32,True,6,1
30,1,0,1,8,True,9,2
31,44,0,1,128,True,14,0
32,2,0,1,8,True,10,2
33,3,0,1,8,True,11,2
34,11,0,1,32,True,7,1
35,26,0,1,32,True,8,1
36,26,0,1,32,True,9,1
37,16,0,1,32,True,10,1
38,5,0,1,32,True,11,1
39,14,0,1,32,True,12,1
40,3,0,1,8,True,12,2
41,3,0,1,8,True,13,2
42,4,0,1,8,True,14,2
43,15,0,1,32,True,13,1
44,13,0,1,32,True,14,1
0,5,0,2,128,True,0,1
1,8,0,2,8,True,0,2
2,9,0,2,32,True,0,0
3,24,0,2,128,True,1,1
4,23,0,2,32,True,1,0
5,8,0,2,8,True,1,2
6,40,0,2,128,True,2,1
7,88,0,2,128,True,3,1
8,5,0,2,32,True,2,0
9,5,0,2,32,True,3,0
10,5,0,2,8,True,2,2
11,47,0,2,128,True,4,1
12,2,0,2,32,True,4,0
13,23,0,2,32,True,5,0
14,3,0,2,8,True,3,2
15,67,0,2,128,True,5,1
16,4,0,2,8,True,4,2
17,11,0,2,128,True,6,1
18,19,0,2,32,True,6,0
19,8,0,2,32,True,7,0
20,8,0,2,8,True,5,2
21,1,0,2,32,True,8,0
22,6,0,2,8,True,6,2
23,7,0,2,32,True,9,0
24,57,0,2,128,True,7,1
25,124,0,2,128,True,8,1
26,3,0,2,32,True,10,0
27,3,0,2,8,True,7,2
28,62,0,2,128,True,9,1
29,7,0,2,8,True,8,2
30,27,0,2,32,True,11,0
31,1,0,2,8,True,9,2
32,25,0,2,32,True,12,0
33,29,0,2,32,True,13,0
34,15,0,2,32,True,14,0
35,8,0,2,8,True,10,2
36,21,0,2,128,True,10,1
37,24,0,2,128,True,11,1
38,39,0,2,128,True,12,1
39,5,0,2,8,True,11,2
40,118,0,2,128,True,13,1
