trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,4,4,0,128,False,0,0
1,3,3,0,128,False,1,0
2,1,0,0,8,True,0,1
3,0,0,0,32,False,0,2
4,0,0,0,8,False,1,1
5,0,0,0,8,False,2,1
6,0,0,0,32,False,1,2
7,1,1,0,128,False,2,0
8,1,1,0,32,False,2,2
9,1,1,0,128,False,3,0
10,2,2,0,128,False,4,0
11,0,0,0,128,False,5,0
12,0,0,0,128,False,6,0
13,0,0,0,32,False,3,2
14,2,2,0,128,False,7,0
15,0,0,0,128,False,8,0
16,1,1,0,128,False,9,0
17,0,0,0,8,False,3,1
18,0,0,0,128,False,10,0
19,2,2,0,128,False,11,0
20,2,2,0,128,False,12,0
21,1,1,0,32,False,4,2
22,2,2,0,32,False,5,2
23,1,1,0,8,False,4,1
24,0,0,0,128,False,13,0
25,0,0,0,32,False,6,2
26,0,0,0,128,False,14,0
27,0,0,0,8,False,5,1
28,1,0,0,8,True,6,1
29,0,0,0,32,False,7,2
30,0,0,0,8,False,7,1
31,0,0,0,32,False,8,2
32,0,0,0,32,False,9,2
33,0,0,0,32,False,10,2
34,0,0,0,8,False,8,1
35,0,0,0,32,False,11,2
36,0,0,0,32,False,12,2
37,3,0,0,8,True,9,1
38,0,0,0,32,False,13,2
39,1,1,0,8,False,10,1
40,0,0,0,32,False,14,2
41,5,5,0,8,False,11,1
42,1,1,0,8,False,12,1
43,1,1,0,8,False,13,1
44,2,2,0,8,False,14,1
0,2,2,1,8,False,0,2
1,1,1,1,8,False,1,2
2,0,0,1,8,False,2,2
3,4,4,1,128,False,0,1
4,0,0,1,128,False,1,1
5,0,0,1,8,False,3,2
6,0,0,1,8,False,4,2
7,0,0,1,32,False,0,0
8,2,2,1,128,False,2,1
9,0,0,1,128,False,3,1
10,0,0,1,8,False,5,2
11,0,0,1,8,False,6,2
12,1,1,1,128,False,4,1
13,1,1,1,128,False,5,1
14,1,1,1,128,False,6,1
15,3,3,1,32,False,1,0
16,3,3,1,128,False,7,1
17,1,1,1,8,False,7,2
18,1,1,1,8,False,8,2
19,0,0,1,32,False,2,0
20,0,0,1,8,False,9,2
21,1,1,1,32,False,3,0
22,1,0,1,32,True,4,0
23,0,0,1,32,False,5,0
24,0,0,1,32,False,6,0
25,4,4,1,32,False,7,0
26,0,0,1,128,False,8,1
27,2,2,1,128,False,9,1
28,1,1,1,32,False,8,0
29,1,1,1,32,False,9,0
30,0,0,1,32,False,10,0
31,0,0,1,8,False,10,2
32,2,2,1,128,False,10,1
33,0,0,1,8,False,11,2
34,3,0,1,8,True,12,2
35,1,1,1,128,False,11,1
36,0,0,1,32,False,11,0
37,0,0,1,32,False,12,0
38,2,2,1,8,False,13,2
39,6,0,1,8,True,14,2
40,1,1,1,32,False,13,0
41,0,0,1,32,False,14,0
42,0,0,1,128,False,12,1
43,0,0,1,128,False,13,1
44,0,0,1,128,False,14,1
0,1,1,2,8,False,0,2
1,2,2,2,32,False,0,1
2,2,2,2,32,False,1,1
3,0,0,2,128,False,0,0
4,0,0,2,32,False,2,1
5,0,0,2,8,False,1,2
6,1,1,2,8,False,2,2
7,1,1,2,8,False,3,2
8,3,3,2,32,False,3,1
9,2,2,2,32,False,4,1
10,0,0,2,128,False,1,0
11,0,0,2,32,False,5,1
12,0,0,2,8,False,4,2
13,1,1,2,8,False,5,2
14,1,1,2,128,False,2,0
15,0,0,2,128,False,3,0
16,0,0,2,128,False,4,0
17,3,3,2,8,False,6,2
18,3,0,2,8,True,7,2
19,1,1,2,128,False,5,0
20,0,0,2,32,False,6,1
21,2,2,2,128,False,6,0
22,0,0,2,32,False,7,1
23,1,1,2,32,False,8,1
24,0,0,2,8,False,8,2
25,0,0,2,8,False,9,2
26,0,0,2,128,False,7,0
27,0,0,2,8,False,10,2
28,2,2,2,32,False,9,1
29,2,2,2,8,False,11,2
30,2,2,2,32,False,10,1
31,0,0,2,8,False,12,2
32,1,1,2,128,False,8,0
33,0,0,2,8,False,13,2
34,1,1,2,128,False,9,0
35,2,2,2,128,False,10,0
36,6,6,2,32,False,11,1
37,0,0,2,32,False,12,1
38,0,0,2,32,False,13,1
39,0,0,2,8,False,14,2
40,2,2,2,32,False,14,1
41,0,0,2,128,False,11,0
42,0,0,2,128,False,12,0
43,0,0,2,128,False,13,0
44,0,0,2,128,False,14,0
0,3,3,3,32,False,0,2
1,1,1,3,128,False,0,1
2,0,0,3,128,False,1,1
3,0,0,3,8,False,0,0
4,1,1,3,128,False,2,1
5,3,3,3,32,False,1,2
6,1,1,3,8,False,1,0
7,1,1,3,128,False,3,1
8,0,0,3,128,False,4,1
9,0,0,3,8,False,2,0
10,0,0,3,32,False,2,2
11,0,0,3,32,False,3,2
12,0,0,3,32,False,4,2
13,0,0,3,32,False,5,2
14,4,4,3,8,False,3,0
15,0,0,3,128,False,5,1
16,1,1,3,32,False,6,2
17,0,0,3,128,False,6,1
18,0,0,3,128,False,7,1
19,0,0,3,8,False,4,0
20,1,1,3,128,False,8,1
21,1,1,3,8,False,5,0
22,0,0,3,128,False,9,1
23,1,1,3,32,False,7,2
24,1,0,3,8,True,6,0
25,5,5,3,8,False,7,0
26,0,0,3,128,False,10,1
27,2,2,3,8,False,8,0
28,1,1,3,8,False,9,0
29,0,0,3,8,False,10,0
30,1,1,3,32,False,8,2
31,0,0,3,128,False,11,1
32,0,0,3,32,False,9,2
33,1,1,3,128,False,12,1
34,2,2,3,32,False,10,2
35,0,0,3,32,False,11,2
36,1,1,3,8,False,11,0
37,0,0,3,8,False,12,0
38,0,0,3,32,False,12,2
39,1,1,3,8,False,13,0
40,0,0,3,32,False,13,2
