trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,1,128,False,0,2,0
1,0,0,8,False,0,0,0
2,4,4,128,False,1,2,0
3,3,3,128,False,2,2,0
4,3,3,128,False,3,2,0
5,7,7,128,False,4,2,0
6,5,5,128,False,5,2,0
7,3,0,8,True,1,0,0
8,0,0,32,False,0,1,0
9,0,0,8,False,2,0,0
10,15,15,128,False,6,2,0
11,1,1,8,False,3,0,0
12,0,0,32,False,1,1,0
13,14,14,128,False,7,2,0
14,0,0,8,False,4,0,0
15,0,0,8,False,5,0,0
16,5,5,128,False,8,2,0
17,9,9,128,False,9,2,0
18,0,0,32,False,2,1,0
19,0,0,8,False,6,0,0
20,0,0,8,False,7,0,0
21,3,3,128,False,10,2,0
22,5,5,128,False,11,2,0
23,0,0,8,False,8,0,0
24,1,0,8,True,9,0,0
25,0,0,8,False,10,0,0
26,10,10,128,False,12,2,0
27,1,1,8,False,11,0,0
28,0,0,8,False,12,0,0
29,10,0,32,True,3,1,0
30,10,10,128,False,13,2,0
31,0,0,8,False,13,0,0
32,15,15,32,False,4,1,0
33,6,6,32,False,5,1,0
34,0,0,8,False,14,0,0
35,10,0,32,True,6,1,0
36,12,12,128,False,14,2,0
37,6,0,32,True,7,1,0
38,2,2,32,False,8,1,0
39,0,0,32,False,9,1,0
40,3,3,32,False,10,1,0
41,6,6,32,False,11,1,0
42,3,3,32,False,12,1,0
43,9,0,32,True,13,1,0
44,6,0,32,True,14,1,0
0,1,1,8,False,0,2,1
1,1,1,8,False,1,2,1
2,2,2,128,False,0,1,1
3,2,0,8,True,2,2,1
4,3,3,128,False,1,1,1
5,5,5,128,False,2,1,1
6,8,8,128,False,3,1,1
7,9,9,128,False,4,1,1
8,0,0,8,False,3,2,1
9,15,15,128,False,5,1,1
10,0,0,32,False,0,0,1
11,0,0,8,False,4,2,1
12,16,16,128,False,6,1,1
13,0,0,32,False,1,0,1
14,0,0,8,False,5,2,1
15,3,3,128,False,7,1,1
16,0,0,8,False,6,2,1
17,0,0,8,False,7,2,1
18,6,6,128,False,8,1,1
19,1,1,32,False,2,0,1
20,3,3,32,False,3,0,1
21,17,17,128,False,9,1,1
22,1,1,32,False,4,0,1
23,4,4,32,False,5,0,1
24,5,5,128,False,10,1,1
25,10,10,128,False,11,1,1
26,7,7,128,False,12,1,1
27,0,0,8,False,8,2,1
28,0,0,8,False,9,2,1
29,17,17,128,False,13,1,1
30,0,0,8,False,10,2,1
31,11,11,128,False,14,1,1
32,4,0,32,True,6,0,1
33,0,0,8,False,11,2,1
34,8,0,8,True,12,2,1
35,0,0,32,False,7,0,1
36,0,0,8,False,13,2,1
37,0,0,8,False,14,2,1
38,1,1,32,False,8,0,1
39,0,0,32,False,9,0,1
40,6,6,32,False,10,0,1
41,0,0,32,False,11,0,1
42,0,0,32,False,12,0,1
43,2,0,32,True,13,0,1
44,0,0,32,False,14,0,1
0,0,0,32,False,0,0,2
1,7,0,32,True,1,0,2
2,1,1,128,False,0,1,2
3,2,0,8,True,0,2,2
4,20,20,128,False,1,1,2
5,0,0,32,False,2,0,2
6,1,1,32,False,3,0,2
7,0,0,32,False,4,0,2
8,1,0,8,True,1,2,2
9,4,4,32,False,5,0,2
10,1,1,32,False,6,0,2
11,0,0,32,False,7,0,2
12,0,0,32,False,8,0,2
13,4,4,32,False,9,0,2
14,3,3,32,False,10,0,2
15,0,0,8,False,2,2,2
16,2,2,32,False,11,0,2
17,7,7,128,False,2,1,2
18,1,0,8,True,3,2,2
19,0,0,32,False,12,0,2
20,1,1,32,False,13,0,2
21,6,6,128,False,3,1,2
22,0,0,8,False,4,2,2
23,1,0,8,True,5,2,2
24,1,1,32,False,14,0,2
25,2,2,8,False,6,2,2
26,15,15,128,False,4,1,2
27,1,1,8,False,7,2,2
28,2,0,8,True,8,2,2
29,2,2,128,False,5,1,2
30,25,25,128,False,6,1,2
31,27,27,128,False,7,1,2
32,29,29,128,False,8,1,2
33,2,2,8,False,9,2,2
34,0,0,8,False,10,2,2
35,2,2,8,False,11,2,2
36,6,0,8,True,12,2,2
37,3,3,128,False,9,1,2
38,0,0,8,False,13,2,2
39,1,1,128,False,10,1,2
40,1,1,8,False,14,2,2
41,10,10,128,False,11,1,2
42,7,7,128,False,12,1,2
43,14,14,128,False,13,1,2
44,7,7,128,False,14,1,2
