trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,6,0,0,8,True,0,2
1,29,0,0,32,True,0,1
2,0,0,0,8,False,1,2
3,3,0,0,32,True,1,1
4,28,0,0,32,True,2,1
5,29,0,0,32,True,3,1
6,1,0,0,8,True,2,2
7,115,0,0,128,True,0,0
8,11,0,0,32,True,4,1
9,3,0,0,128,True,1,0
10,7,0,0,8,True,3,2
11,75,0,0,128,True,2,0
12,3,0,0,32,True,5,1
13,30,0,0,128,True,3,0
14,38,0,0,128,True,4,0
15,34,0,0,128,True,5,0
16,0,0,0,8,False,4,2
17,97,0,0,128,True,6,0
18,99,0,0,128,True,7,0
19,48,0,0,128,True,8,0
20,0,0,0,8,False,5,2
21,3,0,0,32,True,6,1
22,21,0,0,32,True,7,1
23,15,0,0,128,True,9,0
24,16,0,0,128,True,10,0
25,13,0,0,128,True,11,0
26,4,0,0,8,True,6,2
27,54,0,0,128,True,12,0
28,6,0,0,8,True,7,2
29,0,0,0,8,False,8,2
30,24,0,0,32,True,8,1
31,16,0,0,32,True,9,1
32,18,0,0,32,True,10,1
33,8,0,0,32,True,11,1
34,11,0,0,32,True,12,1
35,3,0,0,8,True,9,2
36,118,0,0,128,True,13,0
37,6,0,0,32,True,13,1
38,6,0,0,32,True,14,1
39,118,0,0,128,True,14,0
40,4,0,0,8,True,10,2
41,0,0,0,8,False,11,2
42,8,0,0,8,True,12,2
43,8,0,0,8,True,13,2
44,8,0,0,8,True,14,2
0,67,0,1,128,True,0,2
1,99,0,1,128,True,1,2
2,4,0,1,8,True,0,1
3,9,0,1,128,True,2,2
4,31,0,1,32,True,0,0
5,0,0,1,128,False,3,2
6,21,0,1,32,True,1,0
7,3,0,1,8,True,1,1
8,5,0,1,8,True,2,1
9,1,0,1,8,True,3,1
10,0,0,1,128,False,4,2
11,6,0,1,32,True,2,0
12,25,0,1,32,True,3,0
13,13,0,1,32,True,4,0
14,1,0,1,32,True,5,0
15,22,0,1,128,True,5,2
16,8,0,1,32,True,6,0
17,2,0,1,8,True,4,1
18,1,0,1,8,True,5,1
19,3,0,1,8,True,6,1
20,1,0,1,8,True,7,1
21,2,0,1,32,True,7,0
22,4,0,1,8,True,8,1
23,0,0,1,128,False,6,2
24,96,0,1,128,True,7,2
25,0,0,1,128,False,8,2
26,4,0,1,8,True,9,1
27,11,0,1,32,True,8,0
28,12,0,1,32,True,9,0
29,2,0,1,32,True,10,0
30,18,0,1,32,True,11,0
31,0,0,1,128,False,9,2
32,31,0,1,32,True,12,0
33,7,0,1,8,True,10,1
34,61,0,1,128,True,10,2
35,12,0,1,32,True,13,0
36,92,0,1,128,True,11,2
37,6,0,1,8,True,11,1
38,21,0,1,128,True,12,2
39,13,0,1,32,True,14,0
40,0,0,1,128,False,13,2
41,4,0,1,8,True,12,1
42,5,0,1,8,True,13,1
43,78,0,1,128,True,14,2
44,4,0,1,8,True,14,1
0,69,0,2,128,True,0,1
1,8,0,2,8,True,0,2
2,39,0,2,128,True,1,1
3,10,0,2,32,True,0,0
4,7,0,2,128,True,2,1
5,2,0,2,8,True,1,2
6,28,0,2,32,True,1,0
7,28,0,2,32,True,2,0
8,2,0,2,8,True,2,2
9,10,0,2,32,True,3,0
10,1,0,2,32,True,4,0
11,104,0,2,128,True,3,1
12,0,0,2,8,False,3,2
13,0,0,2,8,False,4,2
14,0,0,2,8,False,5,2
15,3,0,2,8,True,6,2
16,32,0,2,32,True,5,0
17,91,0,2,128,True,4,1
18,19,0,2,128,True,5,1
19,4,0,2,8,True,7,2
20,77,0,2,128,True,6,1
21,27,0,2,32,True,6,0
22,6,0,2,8,True,8,2
23,8,0,2,32,True,7,0
24,21,0,2,32,True,8,0
25,0,0,2,8,False,9,2
26,7,0,2,32,True,9,0
27,8,0,2,8,True,10,2
28,7,0,2,32,True,10,0
29,4,0,2,8,True,11,2
30,3,0,2,8,True,12,2
31,1,0,2,32,True,11,0
32,0,0,2,8,False,13,2
33,18,0,2,32,True,12,0
34,27,0,2,128,True,7,1
35,0,0,2,8,False,14,2
36,3,0,2,128,True,8,1
37,19,0,2,32,True,13,0
38,46,0,2,128,True,9,1
39,73,0,2,128,True,10,1
40,79,0,2,128,True,11,1
41,31,0,2,32,True,14,0
42,9,0,2,128,True,12,1
43,24,0,2,128,True,13,1
44,44,0,2,128,True,14,1
0,21,0,3,32,True,0,1
1,127,0,3,128,True,0,2
2,1,0,3,128,True,1,2
3,4,0,3,8,True,0,0
4,13,0,3,32,True,1,1
5,2,0,3,8,True,1,0
6,5,0,3,32,True,2,1
7,8,0,3,32,True,3,1
8,1,0,3,128,True,2,2
9,7,0,3,8,True,2,0
10,7,0,3,8,True,3,0
11,7,0,3,128,True,3,2
12,30,0,3,32,True,4,1
13,4,0,3,8,True,4,0
14,20,0,3,128,True,4,2
15,5,0,3,32,True,5,1
16,16,0,3,32,True,6,1
17,3,0,3,128,True,5,2
18,30,0,3,32,True,7,1
19,1,0,3,8,True,5,0
20,4,0,3,8,True,6,0
21,26,0,3,32,True,8,1
22,3,0,3,8,True,7,0
23,86,0,3,128,True,6,2
24,23,0,3,32,True,9,1
25,7,0,3,8,True,8,0
26,8,0,3,8,True,9,0
27,87,0,3,128,True,7,2
28,18,0,3,32,True,10,1
29,6,0,3,8,True,10,0
30,59,0,3,128,True,8,2
31,29,0,3,32,True,11,1
32,11,0,3,32,True,12,1
33,4,0,3,8,True,11,0
34,2,0,3,8,True,12,0
35,50,0,3,128,True,9,2
36,21,0,3,32,True,13,1
37,93,0,3,128,True,10,2
38,5,0,3,32,True,14,1
39,2,0,3,8,True,13,0
40,35,0,3,128,True,11,2
41,51,0,3,128,True,12,2
42,30,0,3,128,True,13,2
43,3,0,3,8,True,14,0
44,57,0,3,128,True,14,2
0,91,0,4,128,True,0,2
1,3,0,4,8,True,0,1
2,13,0,4,32,True,0,0
3,59,0,4,128,True,1,2
4,29,0,4,32,True,1,0
5,4,0,4,8,True,1,1
6,9,0,4,32,True,2,0
7,10,0,4,128,True,2,2
8,7,0,4,8,True,2,1
9,11,0,4,32,True,3,0
10,2,0,4,8,True,3,1
11,2,0,4,8,True,4,1
12,3,0,4,8,True,5,1
13,68,0,4,128,True,3,2
14,6,0,4,8,True,6,1
15,9,0,4,128,True,4,2
16,8,0,4,8,True,7,1
17,7,0,4,32,True,4,0
18,44,0,4,128,True,5,2
19,63,0,4,128,True,6,2
20,112,0,4,128,True,7,2
21,10,0,4,32,True,5,0
22,2,0,4,8,True,8,1
23,46,0,4,128,True,8,2
24,1,0,4,128,True,9,2
25,14,0,4,128,True,10,2
26,116,0,4,128,True,11,2
27,32,0,4,32,True,6,0
28,6,0,4,8,True,9,1
29,85,0,4,128,True,12,2
30,67,0,4,128,True,13,2
31,8,0,4,8,True,10,1
32,27,0,4,32,True,7,0
33,9,0,4,128,True,14,2
34,15,0,4,32,True,8,0
35,18,0,4,32,True,9,0
36,15,0,4,32,True,10,0
37,2,0,4,8,True,11,1
38,13,0,4,32,True,11,0
39,31,0,4,32,True,12,0
40,8,0,4,8,True,12,1
41,8,0,4,8,True,13,1
42,13,0,4,32,True,13,0
43,1,0,4,8,True,14,1
44,32,0,4,32,True,14,0
0,41,0,5,128,True,0,2
1,5,0,5,8,True,0,1
2,22,0,5,32,True,0,0
3,26,0,5,32,True,1,0
4,3,0,5,32,True,2,0
5,6,0,5,8,True,1,1
6,11,0,5,128,True,1,2
7,2,0,5,32,True,3,0
8,93,0,5,128,True,2,2
9,0,0,5,128,False,3,2
10,5,0,5,8,True,2,1
11,7,0,5,8,True,3,1
12,1,0,5,8,True,4,1
13,24,0,5,32,True,4,0
14,8,0,5,8,True,5,1
15,103,0,5,128,True,4,2
16,110,0,5,128,True,5,2
17,2,0,5,8,True,6,1
18,35,0,5,128,True,6,2
19,15,0,5,32,True,5,0
20,1,0,5,8,True,7,1
21,111,0,5,128,True,7,2
22,4,0,5,32,True,6,0
23,20,0,5,32,True,7,0
24,31,0,5,32,True,8,0
25,72,0,5,128,True,8,2
26,45,0,5,128,True,9,2
27,18,0,5,128,True,10,2
28,23,0,5,128,True,11,2
29,8,0,5,8,True,8,1
30,5,0,5,8,True,9,1
31,2,0,5,8,True,10,1
32,29,0,5,32,True,9,0
33,15,0,5,32,True,10,0
34,2,0,5,8,True,11,1
35,29,0,5,32,True,11,0
36,106,0,5,128,True,12,2
37,49,0,5,128,True,13,2
38,2,0,5,32,True,12,0
39,6,0,5,8,True,12,1
40,6,0,5,8,True,13,1
41,56,0,5,128,True,14,2
42,6,0,5,8,True,14,1
43,2,0,5,32,True,13,0
44,22,0,5,32,True,14,0
0,3,0,6,32,True,0,1
1,2,0,6,32,True,1,1
2,30,0,6,32,True,2,1
3,2,0,6,8,True,0,2
4,5,0,6,8,True,1,2
5,8,0,6,32,True,3,1
6,5,0,6,8,True,2,2
7,5,0,6,8,True,3,2
8,23,0,6,128,True,0,0
9,6,0,6,8,True,4,2
10,6,0,6,8,True,5,2
11,98,0,6,128,True,1,0
12,37,0,6,128,True,2,0
13,39,0,6,128,True,3,0
14,9,0,6,128,True,4,0
15,95,0,6,128,True,5,0
16,22,0,6,32,True,4,1
17,24,0,6,32,True,5,1
18,29,0,6,32,True,6,1
19,20,0,6,128,True,6,0
20,25,0,6,32,True,7,1
21,12,0,6,32,True,8,1
22,91,0,6,128,True,7,0
23,4,0,6,8,True,6,2
24,32,0,6,128,True,8,0
25,26,0,6,128,True,9,0
26,23,0,6,128,True,10,0
27,7,0,6,8,True,7,2
28,40,0,6,128,True,11,0
29,10,0,6,32,True,9,1
30,3,0,6,8,True,8,2
31,97,0,6,128,True,12,0
32,12,0,6,128,True,13,0
33,25,0,6,32,True,10,1
34,20,0,6,128,True,14,0
35,8,0,6,32,True,11,1
36,6,0,6,8,True,9,2
37,16,0,6,32,True,12,1
38,2,0,6,8,True,10,2
39,6,0,6,8,True,11,2
40,23,0,6,32,True,13,1
41,3,0,6,32,True,14,1
42,7,0,6,8,True,12,2
43,3,0,6,8,True,13,2
44,4,0,6,8,True,14,2
0,5,0,7,8,True,0,2
1,0,0,7,8,False,1,2
2,9,0,7,32,True,0,0
3,5,0,7,8,True,2,2
4,99,0,7,128,True,0,1
5,3,0,7,128,True,1,1
6,7,0,7,8,True,3,2
7,29,0,7,32,True,1,0
8,1,0,7,8,True,4,2
9,120,0,7,128,True,2,1
10,27,0,7,32,True,2,0
11,30,0,7,128,True,3,1
12,53,0,7,128,True,4,1
13,114,0,7,128,True,5,1
14,8,0,7,8,True,5,2
15,8,0,7,8,True,6,2
16,5,0,7,32,True,3,0
17,4,0,7,8,True,7,2
18,10,0,7,32,True,4,0
19,2,0,7,8,True,8,2
20,4,0,7,8,True,9,2
21,2,0,7,128,True,6,1
22,22,0,7,128,True,7,1
23,13,0,7,32,True,5,0
24,8,0,7,8,True,10,2
25,15,0,7,32,True,6,0
26,25,0,7,32,True,7,0
27,114,0,7,128,True,8,1
28,17,0,7,128,True,9,1
29,5,0,7,128,True,10,1
30,3,0,7,128,True,11,1
31,26,0,7,32,True,8,0
32,3,0,7,8,True,11,2
33,18,0,7,128,True,12,1
34,43,0,7,128,True,13,1
35,16,0,7,32,True,9,0
36,13,0,7,128,True,14,1
37,3,0,7,8,True,12,2
38,6,0,7,8,True,13,2
39,25,0,7,32,True,10,0
40,8,0,7,8,True,14,2
41,9,0,7,32,True,11,0
42,23,0,7,32,True,12,0
43,16,0,7,32,True,13,0
44,11,0,7,32,True,14,0
0,1,0,8,32,True,0,2
1,7,0,8,8,True,0,0
2,5,0,8,32,True,1,2
3,10,0,8,32,True,2,2
4,2,0,8,8,True,1,0
5,2,0,8,128,True,0,1
6,3,0,8,32,True,3,2
7,1,0,8,8,True,2,0
8,7,0,8,8,True,3,0
9,1,0,8,8,True,4,0
10,3,0,8,8,True,5,0
11,25,0,8,32,True,4,2
12,116,0,8,128,True,1,1
13,20,0,8,128,True,2,1
14,3,0,8,128,True,3,1
15,20,0,8,32,True,5,2
16,109,0,8,128,True,4,1
17,84,0,8,128,True,5,1
18,101,0,8,128,True,6,1
19,14,0,8,32,True,6,2
20,99,0,8,128,True,7,1
21,4,0,8,8,True,6,0
22,15,0,8,32,True,7,2
23,59,0,8,128,True,8,1
24,4,0,8,32,True,8,2
25,40,0,8,128,True,9,1
26,30,0,8,32,True,9,2
