trial,pumps,reward,run,max_pumps,exploded,balloon_trial,balloon_idx
0,2,2,0,8,False,0,1
1,1,1,0,8,False,1,1
2,0,0,0,32,False,0,2
3,1,0,0,8,True,2,1
4,5,5,0,32,False,1,2
5,4,4,0,128,False,0,0
6,1,0,0,8,True,3,1
7,1,1,0,128,False,1,0
8,0,0,0,32,False,2,2
9,1,1,0,128,False,2,0
10,1,1,0,8,False,4,1
11,4,4,0,32,False,3,2
12,2,2,0,128,False,3,0
13,0,0,0,32,False,4,2
14,1,1,0,128,False,4,0
15,0,0,0,128,False,5,0
16,1,1,0,8,False,5,1
17,3,3,0,32,False,5,2
18,0,0,0,128,False,6,0
19,0,0,0,8,False,6,1
20,0,0,0,128,False,7,0
21,1,1,0,8,False,7,1
22,2,2,0,32,False,6,2
23,1,1,0,8,False,8,1
24,0,0,0,8,False,9,1
25,3,3,0,128,False,8,0
26,0,0,0,128,False,9,0
27,0,0,0,128,False,10,0
28,0,0,0,128,False,11,0
29,0,0,0,128,False,12,0
30,1,1,0,32,False,7,2
31,0,0,0,32,False,8,2
32,0,0,0,8,False,10,1
33,1,1,0,8,False,11,1
34,1,1,0,128,False,13,0
35,2,2,0,128,False,14,0
36,0,0,0,32,False,9,2
37,2,2,0,32,False,10,2
38,3,3,0,8,False,12,1
39,0,0,0,8,False,13,1
40,4,4,0,8,False,14,1
41,0,0,0,32,False,11,2
42,0,0,0,32,False,12,2
43,0,0,0,32,False,13,2
44,0,0,0,32,False,14,2
0,0,0,1,8,False,0,0
1,0,0,1,8,False,1,0
2,1,1,1,8,False,2,0
3,1,1,1,8,False,3,0
4,0,0,1,32,False,0,2
5,0,0,1,8,False,4,0
6,0,0,1,128,False,0,1
7,1,1,1,8,False,5,0
8,3,3,1,128,False,1,1
9,0,0,1,8,False,6,0
10,4,4,1,128,False,2,1
11,0,0,1,8,False,7,0
12,0,0,1,8,False,8,0
13,2,2,1,128,False,3,1
14,0,0,1,8,False,9,0
15,1,1,1,128,False,4,1
16,0,0,1,128,False,5,1
17,0,0,1,8,False,10,0
18,0,0,1,8,False,11,0
19,0,0,1,32,False,1,2
20,0,0,1,128,False,6,1
21,0,0,1,8,False,12,0
22,0,0,1,32,False,2,2
23,5,5,1,32,False,3,2
24,5,5,1,128,False,7,1
25,0,0,1,8,False,13,0
26,1,1,1,32,False,4,2
27,1,1,1,128,False,8,1
28,0,0,1,128,False,9,1
29,5,0,1,32,True,5,2
30,0,0,1,32,False,6,2
31,0,0,1,32,False,7,2
32,1,1,1,8,False,14,0
33,0,0,1,128,False,10,1
34,1,1,1,32,False,8,2
35,2,0,1,32,True,9,2
36,0,0,1,32,False,10,2
37,0,0,1,32,False,11,2
38,1,0,1,128,True,11,1
39,2,2,1,32,False,12,2
40,0,0,1,128,False,12,1
41,0,0,1,128,False,13,1
42,0,0,1,128,False,14,1
43,3,3,1,32,False,13,2
44,1,1,1,32,False,14,2
0,1,1,2,32,False,0,1
1,2,2,2,32,False,1,1
2,0,0,2,128,False,0,2
3,1,1,2,8,False,0,0
4,0,0,2,32,False,2,1
5,1,1,2,32,False,3,1
6,1,1,2,128,False,1,2
7,0,0,2,128,False,2,2
8,1,0,2,8,True,1,0
9,0,0,2,32,False,4,1
10,1,1,2,32,False,5,1
11,0,0,2,8,False,2,0
12,0,0,2,32,False,6,1
13,0,0,2,32,False,7,1
14,4,4,2,32,False,8,1
15,0,0,2,8,False,3,0
16,4,4,2,8,False,4,0
17,0,0,2,128,False,3,2
18,0,0,2,32,False,9,1
19,1,1,2,128,False,4,2
20,2,2,2,128,False,5,2
21,1,1,2,8,False,5,0
22,4,4,2,32,False,10,1
23,0,0,2,8,False,6,0
24,0,0,2,8,False,7,0
25,0,0,2,8,False,8,0
26,4,0,2,8,True,9,0
27,0,0,2,8,False,10,0
28,1,1,2,32,False,11,1
29,0,0,2,8,False,11,0
30,0,0,2,8,False,12,0
31,3,3,2,128,False,6,2
32,0,0,2,32,False,12,1
33,3,3,2,128,False,7,2
34,4,4,2,32,False,13,1
35,0,0,2,128,False,8,2
36,1,1,2,128,False,9,2
37,1,1,2,128,False,10,2
38,1,1,2,8,False,13,0
39,1,1,2,32,False,14,1
40,0,0,2,128,False,11,2
41,2,2,2,128,False,12,2
42,0,0,2,128,False,13,2
43,1,1,2,8,False,14,0
44,0,0,2,128,False,14,2
0,6,6,3,128,False,0,0
1,1,1,3,128,False,1,0
2,2,2,3,8,False,0,1
3,0,0,3,32,False,0,2
4,0,0,3,128,False,2,0
5,2,2,3,128,False,3,0
6,0,0,3,32,False,1,2
7,0,0,3,8,False,1,1
8,2,2,3,128,False,4,0
9,0,0,3,128,False,5,0
10,3,3,3,128,False,6,0
11,0,0,3,8,False,2,1
12,1,1,3,32,False,2,2
13,0,0,3,128,False,7,0
14,0,0,3,32,False,3,2
