trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,0,8,True,0,2,0
1,11,0,128,True,0,0,0
2,28,0,32,True,0,1,0
3,13,0,128,True,1,0,0
4,16,0,32,True,1,1,0
5,18,0,128,True,2,0,0
6,3,0,8,True,1,2,0
7,17,0,128,True,3,0,0
8,18,0,32,True,2,1,0
9,4,4,32,True,3,1,0
10,43,0,128,True,4,0,0
11,4,4,32,True,4,1,0
12,7,0,32,True,5,1,0
13,8,0,32,True,6,1,0
14,14,0,32,True,7,1,0
15,3,0,128,True,5,0,0
16,0,0,32,True,8,1,0
17,2,0,128,True,6,0,0
18,14,0,32,True,9,1,0
19,1,0,32,True,10,1,0
20,3,0,32,True,11,1,0
21,0,0,128,True,7,0,0
22,3,0,8,True,2,2,0
23,2,0,8,True,3,2,0
24,5,0,8,True,4,2,0
25,2,0,8,True,5,2,0
26,8,0,8,True,6,2,0
27,6,0,8,True,7,2,0
28,6,0,8,True,8,2,0
29,5,0,32,True,12,1,0
30,1,1,128,True,8,0,0
31,2,0,8,True,9,2,0
32,18,0,128,True,9,0,0
33,2,2,32,True,13,1,0
34,1,0,128,True,10,0,0
35,0,0,8,True,10,2,0
36,14,0,128,True,11,0,0
37,8,0,128,True,12,0,0
38,1,1,128,True,13,0,0
39,17,0,32,True,14,1,0
40,17,0,128,True,14,0,0
41,5,0,8,True,11,2,0
42,0,0,8,True,12,2,0
43,1,0,8,True,13,2,0
44,2,0,8,True,14,2,0
0,2,0,128,True,0,1,1
1,1,0,128,True,1,1,1
2,15,0,32,True,0,0,1
3,30,0,32,True,1,0,1
4,3,0,8,True,0,2,1
5,8,0,8,True,1,2,1
6,2,0,8,True,2,2,1
7,63,0,128,True,2,1,1
8,9,0,32,True,2,0,1
9,1,0,8,True,3,2,1
10,4,0,8,True,4,2,1
11,10,0,32,True,3,0,1
12,4,0,32,True,4,0,1
13,8,0,128,True,3,1,1
14,3,0,8,True,5,2,1
15,35,0,128,True,4,1,1
16,1,0,8,True,6,2,1
17,9,0,32,True,5,0,1
18,1,0,128,True,5,1,1
19,6,0,8,True,7,2,1
20,20,0,32,True,6,0,1
21,0,0,8,True,8,2,1
22,8,0,32,True,7,0,1
23,7,0,8,True,9,2,1
24,25,0,128,True,6,1,1
25,4,0,8,True,10,2,1
26,2,0,8,True,11,2,1
27,5,0,8,True,12,2,1
28,45,0,128,True,7,1,1
29,1,1,32,True,8,0,1x
30,3,0,32,True,9,0,1
31,2,0,128,True,8,1,1
32,1,0,8,True,13,2,1
33,8,0,128,True,9,1,1
34,9,0,128,True,10,1,1
35,35,0,128,True,11,1,1
36,8,0,8,True,14,2,1
37,2,0,32,True,10,0,1
38,6,0,32,True,11,0,1
39,0,0,32,True,12,0,1
40,12,0,128,True,12,1,1
41,5,0,128,True,13,1,1
42,1,0,32,True,13,0,1
43,5,0,32,True,14,0,1
44,2,0,128,True,14,1,1
