trial,mean0,mean1,reward0,reward1,choice,reward,run
0,40.0,10.0,36.0,18.0,0,36.0,0
1,40.0,10.0,42.0,1.0,1,1.0,0
2,40.0,10.0,39.0,19.0,1,19.0,0
3,40.0,10.0,37.0,7.0,0,37.0,0
4,40.0,10.0,41.0,1.0,0,41.0,0
5,40.0,10.0,49.0,9.0,0,49.0,0
6,40.0,10.0,42.0,2.0,0,42.0,0
7,40.0,10.0,48.0,27.0,0,48.0,0
8,40.0,10.0,30.0,9.0,0,30.0,0
9,40.0,10.0,42.0,27.0,0,42.0,0
0,40.0,60.0,37.0,42.0,1,42.0,1
1,40.0,60.0,40.0,63.0,0,40.0,1
2,40.0,60.0,35.0,73.0,0,35.0,1
3,40.0,60.0,24.0,69.0,1,69.0,1
4,40.0,60.0,37.0,61.0,1,61.0,1
0,80.0,60.0,94.0,73.0,0,94.0,2
1,80.0,60.0,85.0,58.0,1,58.0,2
2,80.0,60.0,79.0,51.0,1,51.0,2
3,80.0,60.0,78.0,54.0,1,54.0,2
4,80.0,60.0,95.0,64.0,0,95.0,2
0,60.0,56.0,49.0,42.0,1,42.0,3
1,60.0,56.0,64.0,54.0,0,64.0,3
2,60.0,56.0,54.0,41.0,1,41.0,3
3,60.0,56.0,52.0,56.0,1,56.0,3
4,60.0,56.0,66.0,75.0,0,66.0,3
5,60.0,56.0,68.0,67.0,0,68.0,3
6,60.0,56.0,62.0,54.0,0,62.0,3
7,60.0,56.0,53.0,54.0,0,53.0,3
8,60.0,56.0,66.0,69.0,0,66.0,3
9,60.0,56.0,55.0,58.0,0,55.0,3
0,60.0,48.0,62.0,40.0,0,62.0,4
1,60.0,48.0,65.0,46.0,0,65.0,4
2,60.0,48.0,74.0,50.0,1,50.0,4
3,60.0,48.0,62.0,46.0,0,62.0,4
4,60.0,48.0,55.0,59.0,0,55.0,4
0,60.0,56.0,66.0,52.0,0,66.0,5
1,60.0,56.0,59.0,52.0,0,59.0,5
2,60.0,56.0,61.0,39.0,1,39.0,5
3,60.0,56.0,46.0,55.0,1,55.0,5
4,60.0,56.0,53.0,52.0,0,53.0,5
0,52.0,40.0,56.0,24.0,1,24.0,6
1,52.0,40.0,63.0,47.0,0,63.0,6
2,52.0,40.0,62.0,34.0,0,62.0,6
3,52.0,40.0,41.0,41.0,0,41.0,6
4,52.0,40.0,56.0,35.0,0,56.0,6
5,52.0,40.0,44.0,36.0,0,44.0,6
6,52.0,40.0,54.0,50.0,0,54.0,6
7,52.0,40.0,58.0,37.0,0,58.0,6
8,52.0,40.0,60.0,41.0,0,60.0,6
9,52.0,40.0,40.0,30.0,0,40.0,6
0,80.0,60.0,86.0,62.0,0,86.0,7
1,80.0,60.0,97.0,57.0,0,97.0,7
2,80.0,60.0,84.0,64.0,0,84.0,7
3,80.0,60.0,97.0,54.0,1,54.0,7
4,80.0,60.0,86.0,75.0,0,86.0,7
0,70.0,40.0,70.0,42.0,1,42.0,8
1,70.0,40.0,61.0,56.0,1,56.0,8
2,70.0,40.0,84.0,40.0,0,84.0,8
3,70.0,40.0,71.0,36.0,0,71.0,8
4,70.0,40.0,67.0,29.0,0,67.0,8
5,70.0,40.0,69.0,51.0,0,69.0,8
6,70.0,40.0,71.0,40.0,0,71.0,8
7,70.0,40.0,60.0,35.0,0,60.0,8
8,70.0,40.0,63.0,36.0,0,63.0,8
9,70.0,40.0,91.0,47.0,0,91.0,8
0,60.0,90.0,63.0,104.0,0,63.0,9
1,60.0,90.0,59.0,106.0,1,106.0,9
2,60.0,90.0,46.0,85.0,0,46.0,9
3,60.0,90.0,66.0,84.0,1,84.0,9
4,60.0,90.0,57.0,87.0,1,87.0,9
5,60.0,90.0,54.0,97.0,1,97.0,9
6,60.0,90.0,52.0,80.0,1,80.0,9
7,60.0,90.0,58.0,83.0,1,83.0,9
8,60.0,90.0,64.0,98.0,1,98.0,9
9,60.0,90.0,64.0,89.0,1,89.0,9
0,40.0,36.0,48.0,33.0,1,33.0,10
1,40.0,36.0,47.0,34.0,0,47.0,10
2,40.0,36.0,41.0,31.0,1,31.0,10
3,40.0,36.0,48.0,29.0,0,48.0,10
4,40.0,36.0,23.0,27.0,0,23.0,10
0,56.0,60.0,54.0,57.0,0,54.0,11
1,56.0,60.0,66.0,58.0,0,66.0,11
2,56.0,60.0,67.0,56.0,1,56.0,11
3,56.0,60.0,46.0,67.0,0,46.0,11
4,56.0,60.0,59.0,80.0,1,80.0,11
5,56.0,60.0,64.0,52.0,1,52.0,11
6,56.0,60.0,50.0,62.0,1,62.0,11
7,56.0,60.0,64.0,57.0,1,57.0,11
8,56.0,60.0,46.0,58.0,1,58.0,11
9,56.0,60.0,60.0,51.0,1,51.0,11
0,70.0,40.0,66.0,33.0,0,66.0,12
1,70.0,40.0,58.0,39.0,1,39.0,12
2,70.0,40.0,64.0,58.0,0,64.0,12
3,70.0,40.0,62.0,32.0,1,32.0,12
4,70.0,40.0,60.0,34.0,0,60.0,12
0,60.0,68.0,60.0,67.0,1,67.0,13
1,60.0,68.0,59.0,78.0,0,59.0,13
2,60.0,68.0,58.0,67.0,1,67.0,13
3,60.0,68.0,60.0,69.0,0,60.0,13
4,60.0,68.0,61.0,69.0,1,69.0,13
5,60.0,68.0,58.0,71.0,1,71.0,13
6,60.0,68.0,65.0,66.0,1,66.0,13
7,60.0,68.0,64.0,70.0,1,70.0,13
8,60.0,68.0,67.0,65.0,1,65.0,13
9,60.0,68.0,75.0,73.0,1,73.0,13
0,60.0,48.0,73.0,32.0,0,73.0,14
1,60.0,48.0,59.0,55.0,1,55.0,14
2,60.0,48.0,59.0,48.0,0,59.0,14
3,60.0,48.0,61.0,38.0,1,38.0,14
4,60.0,48.0,55.0,50.0,0,55.0,14
5,60.0,48.0,59.0,48.0,0,59.0,14
6,60.0,48.0,60.0,46.0,0,60.0,14
7,60.0,48.0,57.0,43.0,0,57.0,14
8,60.0,48.0,62.0,48.0,0,62.0,14
9,60.0,48.0,53.0,59.0,0,53.0,14
0,40.0,10.0,49.0,15.0,0,49.0,15
1,40.0,10.0,35.0,8.0,1,8.0,15
2,40.0,10.0,41.0,14.0,1,14.0,15
3,40.0,10.0,39.0,14.0,1,14.0,15
4,40.0,10.0,45.0,10.0,0,45.0,15
0,48.0,60.0,42.0,54.0,0,42.0,16
1,48.0,60.0,51.0,74.0,0,51.0,16
2,48.0,60.0,58.0,68.0,0,58.0,16
3,48.0,60.0,52.0,68.0,1,68.0,16
4,48.0,60.0,36.0,59.0,1,59.0,16
5,48.0,60.0,50.0,53.0,1,53.0,16
6,48.0,60.0,53.0,61.0,1,61.0,16
7,48.0,60.0,57.0,64.0,1,64.0,16
8,48.0,60.0,50.0,62.0,1,62.0,16
9,48.0,60.0,40.0,34.0,1,34.0,16
0,40.0,44.0,49.0,63.0,0,49.0,17
1,40.0,44.0,29.0,30.0,0,29.0,17
2,40.0,44.0,44.0,42.0,0,44.0,17
3,40.0,44.0,41.0,55.0,1,55.0,17
4,40.0,44.0,34.0,40.0,1,40.0,17
5,40.0,44.0,39.0,49.0,1,49.0,17
6,40.0,44.0,38.0,50.0,1,50.0,17
7,40.0,44.0,49.0,54.0,1,54.0,17
8,40.0,44.0,43.0,46.0,1,46.0,17
9,40.0,44.0,22.0,42.0,1,42.0,17
0,60.0,52.0,59.0,57.0,0,59.0,18
1,60.0,52.0,67.0,51.0,0,67.0,18
2,60.0,52.0,56.0,45.0,0,56.0,18
3,60.0,52.0,64.0,49.0,1,49.0,18
4,60.0,52.0,51.0,47.0,0,51.0,18
5,60.0,52.0,59.0,63.0,0,59.0,18
6,60.0,52.0,53.0,36.0,0,53.0,18
7,60.0,52.0,62.0,55.0,0,62.0,18
8,60.0,52.0,59.0,67.0,0,59.0,18
9,60.0,52.0,48.0,59.0,0,48.0,18
0,70.0,40.0,63.0,44.0,0,63.0,19
1,70.0,40.0,65.0,40.0,1,40.0,19
2,70.0,40.0,76.0,50.0,0,76.0,19
3,70.0,40.0,80.0,37.0,0,80.0,19
4,70.0,40.0,82.0,42.0,0,82.0,19
0,72.0,60.0,86.0,54.0,1,54.0,20
1,72.0,60.0,74.0,58.0,0,74.0,20
2,72.0,60.0,67.0,58.0,1,58.0,20
3,72.0,60.0,75.0,60.0,1,60.0,20
4,72.0,60.0,68.0,62.0,0,68.0,20
0,80.0,60.0,84.0,63.0,0,84.0,21
1,80.0,60.0,85.0,46.0,0,85.0,21
2,80.0,60.0,82.0,53.0,1,53.0,21
3,80.0,60.0,81.0,51.0,0,81.0,21
4,80.0,60.0,79.0,55.0,0,79.0,21
0,68.0,60.0,82.0,47.0,1,47.0,22
1,68.0,60.0,70.0,56.0,0,70.0,22
2,68.0,60.0,68.0,53.0,1,53.0,22
3,68.0,60.0,75.0,32.0,0,75.0,22
4,68.0,60.0,67.0,52.0,0,67.0,22
5,68.0,60.0,62.0,55.0,0,62.0,22
6,68.0,60.0,71.0,60.0,0,71.0,22
7,68.0,60.0,71.0,59.0,0,71.0,22
8,68.0,60.0,66.0,69.0,0,66.0,22
9,68.0,60.0,69.0,75.0,0,69.0,22
0,60.0,30.0,53.0,34.0,1,34.0,23
1,60.0,30.0,55.0,37.0,1,37.0,23
2,60.0,30.0,83.0,20.0,1,20.0,23
3,60.0,30.0,66.0,22.0,0,66.0,23
4,60.0,30.0,60.0,23.0,0,60.0,23
5,60.0,30.0,65.0,37.0,0,65.0,23
6,60.0,30.0,34.0,18.0,0,34.0,23
7,60.0,30.0,59.0,25.0,0,59.0,23
8,60.0,30.0,64.0,41.0,0,64.0,23
9,60.0,30.0,74.0,40.0,0,74.0,23
0,60.0,40.0,54.0,38.0,1,38.0,24
1,60.0,40.0,55.0,34.0,0,55.0,24
2,60.0,40.0,57.0,62.0,0,57.0,24
3,60.0,40.0,55.0,49.0,0,55.0,24
4,60.0,40.0,67.0,41.0,0,67.0,24
0,40.0,70.0,48.0,70.0,0,48.0,25
1,40.0,70.0,38.0,76.0,0,38.0,25
2,40.0,70.0,44.0,62.0,1,62.0,25
3,40.0,70.0,36.0,73.0,0,36.0,25
4,40.0,70.0,33.0,61.0,1,61.0,25
0,60.0,72.0,66.0,64.0,1,64.0,26
1,60.0,72.0,64.0,58.0,0,64.0,26
2,60.0,72.0,52.0,69.0,1,69.0,26
3,60.0,72.0,71.0,82.0,0,71.0,26
