trial,mean0,mean1,reward0,reward1,choice,reward,run
0,52.0,40.0,53.0,56.0,1,56.0,0
1,52.0,40.0,63.0,31.0,1,31.0,0
2,52.0,40.0,53.0,33.0,0,53.0,0
3,52.0,40.0,60.0,40.0,0,60.0,0
4,52.0,40.0,62.0,52.0,0,62.0,0
0,40.0,20.0,38.0,24.0,1,24.0,1
1,40.0,20.0,50.0,23.0,1,23.0,1
2,40.0,20.0,35.0,23.0,0,35.0,1
3,40.0,20.0,39.0,23.0,1,23.0,1
4,40.0,20.0,67.0,18.0,0,67.0,1
0,36.0,40.0,41.0,38.0,1,38.0,2
1,36.0,40.0,45.0,41.0,0,45.0,2
2,36.0,40.0,34.0,33.0,1,33.0,2
3,36.0,40.0,43.0,41.0,0,43.0,2
4,36.0,40.0,46.0,43.0,0,46.0,2
5,36.0,40.0,28.0,34.0,0,28.0,2
6,36.0,40.0,43.0,37.0,0,43.0,2
7,36.0,40.0,27.0,36.0,0,27.0,2
8,36.0,40.0,36.0,47.0,0,36.0,2
9,36.0,40.0,37.0,27.0,0,37.0,2
0,28.0,40.0,13.0,39.0,0,13.0,3
1,28.0,40.0,20.0,50.0,0,20.0,3
2,28.0,40.0,21.0,35.0,1,35.0,3
3,28.0,40.0,26.0,44.0,0,26.0,3
4,28.0,40.0,22.0,26.0,0,22.0,3
5,28.0,40.0,45.0,30.0,0,45.0,3
6,28.0,40.0,23.0,37.0,0,23.0,3
7,28.0,40.0,23.0,48.0,1,48.0,3
8,28.0,40.0,33.0,35.0,1,35.0,3
9,28.0,40.0,35.0,25.0,1,25.0,3
0,40.0,10.0,35.0,17.0,1,17.0,4
1,40.0,10.0,33.0,5.0,0,33.0,4
2,40.0,10.0,61.0,8.0,1,8.0,4
3,40.0,10.0,49.0,21.0,0,49.0,4
4,40.0,10.0,48.0,7.0,0,48.0,4
5,40.0,10.0,32.0,19.0,0,32.0,4
6,40.0,10.0,26.0,-1.0,0,26.0,4
7,40.0,10.0,38.0,8.0,0,38.0,4
8,40.0,10.0,34.0,11.0,0,34.0,4
9,40.0,10.0,55.0,21.0,0,55.0,4
0,60.0,68.0,68.0,66.0,1,66.0,5
1,60.0,68.0,52.0,81.0,0,52.0,5
2,60.0,68.0,72.0,65.0,1,65.0,5
3,60.0,68.0,52.0,66.0,0,52.0,5
4,60.0,68.0,46.0,84.0,1,84.0,5
0,32.0,40.0,39.0,34.0,1,34.0,6
1,32.0,40.0,30.0,34.0,0,30.0,6
2,32.0,40.0,25.0,33.0,0,25.0,6
3,32.0,40.0,38.0,33.0,0,38.0,6
4,32.0,40.0,45.0,49.0,0,45.0,6
0,52.0,40.0,53.0,43.0,0,53.0,7
1,52.0,40.0,46.0,29.0,0,46.0,7
2,52.0,40.0,47.0,29.0,1,29.0,7
3,52.0,40.0,48.0,44.0,1,44.0,7
4,52.0,40.0,51.0,38.0,0,51.0,7
5,52.0,40.0,49.0,56.0,0,49.0,7
6,52.0,40.0,49.0,44.0,0,49.0,7
7,52.0,40.0,55.0,47.0,0,55.0,7
8,52.0,40.0,50.0,29.0,0,50.0,7
9,52.0,40.0,40.0,43.0,0,40.0,7
0,60.0,80.0,71.0,82.0,1,82.0,8
1,60.0,80.0,64.0,89.0,1,89.0,8
2,60.0,80.0,51.0,70.0,0,51.0,8
3,60.0,80.0,55.0,83.0,1,83.0,8
4,60.0,80.0,62.0,92.0,1,92.0,8
0,70.0,40.0,71.0,50.0,1,50.0,9
1,70.0,40.0,73.0,37.0,0,73.0,9
2,70.0,40.0,55.0,44.0,1,44.0,9
3,70.0,40.0,81.0,27.0,0,81.0,9
4,70.0,40.0,76.0,34.0,0,76.0,9
0,40.0,70.0,37.0,73.0,0,37.0,10
1,40.0,70.0,45.0,78.0,1,78.0,10
2,40.0,70.0,42.0,64.0,0,42.0,10
3,40.0,70.0,30.0,73.0,1,73.0,10
4,40.0,70.0,50.0,77.0,1,77.0,10
0,80.0,60.0,87.0,57.0,0,87.0,11
1,80.0,60.0,95.0,52.0,0,95.0,11
2,80.0,60.0,94.0,57.0,1,57.0,11
3,80.0,60.0,87.0,52.0,1,52.0,11
4,80.0,60.0,76.0,63.0,0,76.0,11
5,80.0,60.0,68.0,45.0,0,68.0,11
6,80.0,60.0,77.0,60.0,0,77.0,11
7,80.0,60.0,76.0,60.0,0,76.0,11
8,80.0,60.0,78.0,69.0,0,78.0,11
9,80.0,60.0,75.0,72.0,0,75.0,11
0,60.0,90.0,61.0,95.0,0,61.0,12
1,60.0,90.0,64.0,85.0,1,85.0,12
2,60.0,90.0,60.0,86.0,0,60.0,12
3,60.0,90.0,58.0,85.0,1,85.0,12
4,60.0,90.0,64.0,89.0,1,89.0,12
0,28.0,40.0,28.0,43.0,1,43.0,13
1,28.0,40.0,23.0,43.0,0,23.0,13
2,28.0,40.0,18.0,24.0,1,24.0,13
3,28.0,40.0,39.0,36.0,1,36.0,13
4,28.0,40.0,26.0,48.0,1,48.0,13
0,48.0,60.0,46.0,64.0,1,64.0,14
1,48.0,60.0,59.0,58.0,0,59.0,14
2,48.0,60.0,38.0,51.0,1,51.0,14
3,48.0,60.0,28.0,63.0,0,28.0,14
4,48.0,60.0,39.0,50.0,1,50.0,14
5,48.0,60.0,50.0,55.0,1,55.0,14
6,48.0,60.0,54.0,49.0,1,49.0,14
7,48.0,60.0,47.0,74.0,1,74.0,14
8,48.0,60.0,50.0,65.0,1,65.0,14
9,48.0,60.0,59.0,64.0,1,64.0,14
0,48.0,40.0,47.0,37.0,0,47.0,15
1,48.0,40.0,49.0,44.0,1,44.0,15
2,48.0,40.0,47.0,26.0,1,26.0,15
3,48.0,40.0,37.0,45.0,1,45.0,15
4,48.0,40.0,45.0,45.0,1,45.0,15
5,48.0,40.0,31.0,54.0,1,54.0,15
6,48.0,40.0,61.0,39.0,1,39.0,15
7,48.0,40.0,39.0,39.0,1,39.0,15
8,48.0,40.0,54.0,42.0,1,42.0,15
9,48.0,40.0,59.0,36.0,1,36.0,15
0,72.0,60.0,71.0,70.0,1,70.0,16
1,72.0,60.0,77.0,66.0,0,77.0,16
2,72.0,60.0,61.0,63.0,0,61.0,16
3,72.0,60.0,73.0,57.0,1,57.0,16
4,72.0,60.0,67.0,61.0,0,67.0,16
5,72.0,60.0,70.0,42.0,0,70.0,16
6,72.0,60.0,79.0,67.0,0,79.0,16
7,72.0,60.0,67.0,72.0,0,67.0,16
8,72.0,60.0,63.0,62.0,0,63.0,16
9,72.0,60.0,68.0,70.0,0,68.0,16
0,64.0,60.0,72.0,61.0,0,72.0,17
1,64.0,60.0,74.0,67.0,0,74.0,17
2,64.0,60.0,55.0,58.0,1,58.0,17
3,64.0,60.0,62.0,71.0,0,62.0,17
4,64.0,60.0,71.0,61.0,0,71.0,17
0,44.0,40.0,36.0,31.0,0,36.0,18
1,44.0,40.0,52.0,42.0,1,42.0,18
2,44.0,40.0,52.0,41.0,1,41.0,18
3,44.0,40.0,54.0,37.0,1,37.0,18
4,44.0,40.0,40.0,53.0,1,53.0,18
5,44.0,40.0,37.0,41.0,1,41.0,18
6,44.0,40.0,40.0,49.0,1,49.0,18
7,44.0,40.0,46.0,35.0,1,35.0,18
8,44.0,40.0,38.0,37.0,1,37.0,18
9,44.0,40.0,28.0,25.0,1,25.0,18
0,20.0,40.0,22.0,49.0,0,22.0,19
1,20.0,40.0,22.0,35.0,0,22.0,19
2,20.0,40.0,19.0,31.0,1,31.0,19
3,20.0,40.0,21.0,38.0,1,38.0,19
4,20.0,40.0,24.0,49.0,1,49.0,19
5,20.0,40.0,27.0,36.0,1,36.0,19
6,20.0,40.0,18.0,39.0,1,39.0,19
7,20.0,40.0,18.0,50.0,1,50.0,19
8,20.0,40.0,11.0,39.0,1,39.0,19
