trial,mean0,mean1,reward0,reward1,choice,reward,run
0,60.0,52.0,43.0,49.0,0,43.0,0
1,60.0,52.0,52.0,51.0,1,51.0,0
2,60.0,52.0,60.0,66.0,0,60.0,0
3,60.0,52.0,53.0,39.0,0,53.0,0
4,60.0,52.0,54.0,76.0,1,76.0,0
0,52.0,60.0,45.0,69.0,0,45.0,1
1,52.0,60.0,50.0,63.0,1,63.0,1
2,52.0,60.0,63.0,62.0,0,63.0,1
3,52.0,60.0,49.0,64.0,1,64.0,1
4,52.0,60.0,59.0,61.0,1,61.0,1
5,52.0,60.0,58.0,60.0,1,60.0,1
6,52.0,60.0,43.0,57.0,1,57.0,1
7,52.0,60.0,54.0,55.0,1,55.0,1
8,52.0,60.0,64.0,58.0,1,58.0,1
9,52.0,60.0,44.0,67.0,1,67.0,1
0,64.0,60.0,63.0,48.0,0,63.0,2
1,64.0,60.0,67.0,65.0,0,67.0,2
2,64.0,60.0,56.0,74.0,1,74.0,2
3,64.0,60.0,64.0,66.0,0,64.0,2
4,64.0,60.0,56.0,54.0,1,54.0,2
5,64.0,60.0,67.0,55.0,0,67.0,2
6,64.0,60.0,69.0,51.0,0,69.0,2
7,64.0,60.0,58.0,52.0,0,58.0,2
8,64.0,60.0,65.0,79.0,0,65.0,2
9,64.0,60.0,48.0,72.0,0,48.0,2
0,40.0,70.0,35.0,54.0,0,35.0,3
1,40.0,70.0,43.0,56.0,0,43.0,3
2,40.0,70.0,34.0,81.0,1,81.0,3
3,40.0,70.0,39.0,60.0,1,60.0,3
4,40.0,70.0,37.0,78.0,1,78.0,3
0,40.0,20.0,43.0,19.0,1,19.0,4
1,40.0,20.0,38.0,18.0,0,38.0,4
2,40.0,20.0,58.0,18.0,0,58.0,4
3,40.0,20.0,23.0,25.0,0,23.0,4
4,40.0,20.0,45.0,23.0,0,45.0,4
0,70.0,40.0,83.0,36.0,1,36.0,5
1,70.0,40.0,61.0,38.0,1,38.0,5
2,70.0,40.0,62.0,47.0,1,47.0,5
3,70.0,40.0,75.0,48.0,0,75.0,5
4,70.0,40.0,66.0,30.0,0,66.0,5
5,70.0,40.0,68.0,52.0,1,52.0,5
6,70.0,40.0,63.0,29.0,1,29.0,5
7,70.0,40.0,71.0,57.0,0,71.0,5
8,70.0,40.0,70.0,31.0,1,31.0,5
9,70.0,40.0,65.0,39.0,1,39.0,5
0,40.0,48.0,45.0,44.0,1,44.0,6
1,40.0,48.0,41.0,54.0,0,41.0,6
2,40.0,48.0,38.0,35.0,1,35.0,6
3,40.0,48.0,43.0,49.0,0,43.0,6
4,40.0,48.0,43.0,44.0,0,43.0,6
5,40.0,48.0,28.0,54.0,0,28.0,6
6,40.0,48.0,30.0,52.0,0,30.0,6
7,40.0,48.0,43.0,40.0,0,43.0,6
8,40.0,48.0,38.0,47.0,0,38.0,6
9,40.0,48.0,49.0,22.0,0,49.0,6
0,60.0,40.0,74.0,52.0,1,52.0,7
1,60.0,40.0,52.0,46.0,1,46.0,7
