trial,mean0,mean1,reward0,reward1,choice,reward,run
0,60.0,30.0,50.0,22.0,1,22.0,0
1,60.0,30.0,54.0,23.0,0,54.0,0
2,60.0,30.0,61.0,22.0,0,61.0,0
3,60.0,30.0,63.0,46.0,0,63.0,0
4,60.0,30.0,62.0,23.0,0,62.0,0
5,60.0,30.0,48.0,21.0,1,21.0,0
6,60.0,30.0,54.0,19.0,0,54.0,0
7,60.0,30.0,62.0,38.0,0,62.0,0
8,60.0,30.0,58.0,32.0,1,32.0,0
9,60.0,30.0,56.0,39.0,0,56.0,0
0,56.0,60.0,62.0,58.0,0,62.0,1
1,56.0,60.0,55.0,60.0,1,60.0,1
2,56.0,60.0,70.0,67.0,1,67.0,1
3,56.0,60.0,44.0,46.0,0,44.0,1
4,56.0,60.0,49.0,58.0,1,58.0,1
5,56.0,60.0,57.0,51.0,0,57.0,1
6,56.0,60.0,50.0,68.0,0,50.0,1
7,56.0,60.0,50.0,61.0,0,50.0,1
8,56.0,60.0,67.0,67.0,1,67.0,1
9,56.0,60.0,46.0,70.0,1,70.0,1
0,52.0,60.0,53.0,63.0,0,53.0,2
1,52.0,60.0,59.0,58.0,1,58.0,2
2,52.0,60.0,62.0,54.0,1,54.0,2
3,52.0,60.0,68.0,63.0,1,63.0,2
4,52.0,60.0,46.0,70.0,1,70.0,2
0,64.0,60.0,70.0,60.0,1,60.0,3
1,64.0,60.0,63.0,59.0,0,63.0,3
2,64.0,60.0,71.0,47.0,0,71.0,3
3,64.0,60.0,65.0,52.0,0,65.0,3
4,64.0,60.0,72.0,64.0,1,64.0,3
5,64.0,60.0,56.0,63.0,1,63.0,3
6,64.0,60.0,64.0,47.0,0,64.0,3
7,64.0,60.0,53.0,52.0,1,52.0,3
8,64.0,60.0,73.0,57.0,1,57.0,3
9,64.0,60.0,52.0,65.0,0,52.0,3
0,40.0,60.0,46.0,59.0,1,59.0,4
1,40.0,60.0,55.0,55.0,1,55.0,4
2,40.0,60.0,28.0,47.0,0,28.0,4
3,40.0,60.0,42.0,53.0,0,42.0,4
4,40.0,60.0,38.0,54.0,0,38.0,4
5,40.0,60.0,50.0,61.0,1,61.0,4
6,40.0,60.0,33.0,58.0,1,58.0,4
7,40.0,60.0,43.0,60.0,1,60.0,4
8,40.0,60.0,35.0,61.0,1,61.0,4
9,40.0,60.0,53.0,57.0,1,57.0,4
0,40.0,20.0,46.0,22.0,1,22.0,5
1,40.0,20.0,52.0,14.0,0,52.0,5
2,40.0,20.0,45.0,19.0,1,19.0,5
3,40.0,20.0,37.0,18.0,1,18.0,5
4,40.0,20.0,38.0,8.0,0,38.0,5
5,40.0,20.0,39.0,23.0,0,39.0,5
6,40.0,20.0,45.0,27.0,0,45.0,5
7,40.0,20.0,39.0,24.0,0,39.0,5
8,40.0,20.0,47.0,12.0,1,12.0,5
9,40.0,20.0,41.0,-2.0,0,41.0,5
0,40.0,70.0,48.0,51.0,1,51.0,6
1,40.0,70.0,39.0,56.0,0,39.0,6
2,40.0,70.0,34.0,81.0,0,34.0,6
3,40.0,70.0,41.0,69.0,1,69.0,6
4,40.0,70.0,35.0,53.0,0,35.0,6
0,48.0,40.0,45.0,30.0,0,45.0,7
1,48.0,40.0,57.0,31.0,1,31.0,7
2,48.0,40.0,47.0,31.0,1,31.0,7
3,48.0,40.0,54.0,40.0,1,40.0,7
4,48.0,40.0,46.0,32.0,0,46.0,7
5,48.0,40.0,44.0,44.0,1,44.0,7
6,48.0,40.0,50.0,51.0,0,50.0,7
7,48.0,40.0,54.0,36.0,0,54.0,7
8,48.0,40.0,30.0,29.0,1,29.0,7
9,48.0,40.0,48.0,54.0,1,54.0,7
0,40.0,36.0,40.0,34.0,1,34.0,8
1,40.0,36.0,43.0,44.0,0,43.0,8
2,40.0,36.0,39.0,36.0,0,39.0,8
3,40.0,36.0,44.0,26.0,0,44.0,8
4,40.0,36.0,33.0,51.0,1,51.0,8
5,40.0,36.0,33.0,33.0,0,33.0,8
6,40.0,36.0,36.0,37.0,1,37.0,8
