trial,mean0,mean1,reward0,reward1,choice,reward,run
0,60.0,56.0,62.0,60.0,0,62.0,0
1,60.0,56.0,54.0,65.0,1,65.0,0
2,60.0,56.0,64.0,52.0,0,64.0,0
3,60.0,56.0,58.0,45.0,0,58.0,0
4,60.0,56.0,55.0,54.0,0,55.0,0
5,60.0,56.0,63.0,47.0,1,47.0,0
6,60.0,56.0,51.0,63.0,0,51.0,0
7,60.0,56.0,58.0,49.0,0,58.0,0
8,60.0,56.0,74.0,60.0,0,74.0,0
9,60.0,56.0,68.0,59.0,0,68.0,0
0,56.0,60.0,44.0,51.0,0,44.0,1
1,56.0,60.0,59.0,63.0,0,59.0,1
2,56.0,60.0,60.0,60.0,0,60.0,1
3,56.0,60.0,44.0,63.0,1,63.0,1
4,56.0,60.0,47.0,48.0,0,47.0,1
0,72.0,60.0,70.0,52.0,0,70.0,2
1,72.0,60.0,63.0,60.0,1,60.0,2
2,72.0,60.0,84.0,64.0,1,64.0,2
3,72.0,60.0,73.0,57.0,0,73.0,2
4,72.0,60.0,78.0,73.0,0,78.0,2
0,60.0,56.0,62.0,53.0,1,53.0,3
1,60.0,56.0,81.0,61.0,1,61.0,3
2,60.0,56.0,52.0,50.0,0,52.0,3
3,60.0,56.0,53.0,47.0,0,53.0,3
4,60.0,56.0,74.0,48.0,1,48.0,3
5,60.0,56.0,57.0,60.0,1,60.0,3
6,60.0,56.0,65.0,57.0,1,57.0,3
7,60.0,56.0,56.0,52.0,1,52.0,3
8,60.0,56.0,62.0,58.0,1,58.0,3
9,60.0,56.0,60.0,48.0,1,48.0,3
0,64.0,60.0,56.0,50.0,0,56.0,4
1,64.0,60.0,59.0,43.0,0,59.0,4
2,64.0,60.0,87.0,66.0,0,87.0,4
3,64.0,60.0,70.0,68.0,1,68.0,4
4,64.0,60.0,77.0,46.0,0,77.0,4
5,64.0,60.0,61.0,63.0,0,61.0,4
6,64.0,60.0,62.0,59.0,0,62.0,4
7,64.0,60.0,68.0,62.0,0,68.0,4
8,64.0,60.0,61.0,58.0,0,61.0,4
9,64.0,60.0,67.0,76.0,0,67.0,4
0,60.0,72.0,69.0,75.0,0,69.0,5
1,60.0,72.0,64.0,62.0,1,62.0,5
2,60.0,72.0,69.0,75.0,1,75.0,5
3,60.0,72.0,53.0,75.0,0,53.0,5
4,60.0,72.0,59.0,75.0,1,75.0,5
0,40.0,52.0,41.0,61.0,0,41.0,6
1,40.0,52.0,44.0,54.0,0,44.0,6
2,40.0,52.0,46.0,48.0,1,48.0,6
3,40.0,52.0,40.0,48.0,1,48.0,6
4,40.0,52.0,54.0,43.0,0,54.0,6
5,40.0,52.0,40.0,51.0,0,40.0,6
6,40.0,52.0,42.0,46.0,0,42.0,6
7,40.0,52.0,50.0,56.0,0,50.0,6
8,40.0,52.0,24.0,69.0,0,24.0,6
9,40.0,52.0,34.0,61.0,1,61.0,6
0,60.0,30.0,58.0,25.0,0,58.0,7
1,60.0,30.0,58.0,25.0,1,25.0,7
2,60.0,30.0,71.0,37.0,1,37.0,7
3,60.0,30.0,47.0,19.0,0,47.0,7
4,60.0,30.0,35.0,30.0,0,35.0,7
0,60.0,64.0,73.0,57.0,1,57.0,8
1,60.0,64.0,63.0,73.0,0,63.0,8
2,60.0,64.0,45.0,57.0,0,45.0,8
3,60.0,64.0,58.0,64.0,1,64.0,8
4,60.0,64.0,53.0,56.0,0,53.0,8
0,60.0,56.0,58.0,52.0,0,58.0,9
1,60.0,56.0,65.0,40.0,1,40.0,9
2,60.0,56.0,67.0,49.0,0,67.0,9
3,60.0,56.0,58.0,63.0,0,58.0,9
4,60.0,56.0,63.0,63.0,0,63.0,9
5,60.0,56.0,60.0,59.0,0,60.0,9
6,60.0,56.0,52.0,60.0,0,52.0,9
7,60.0,56.0,56.0,54.0,0,56.0,9
8,60.0,56.0,43.0,51.0,0,43.0,9
9,60.0,56.0,63.0,69.0,0,63.0,9
0,44.0,40.0,35.0,43.0,1,43.0,10
1,44.0,40.0,36.0,43.0,0,36.0,10
2,44.0,40.0,39.0,36.0,0,39.0,10
3,44.0,40.0,41.0,35.0,1,35.0,10
4,44.0,40.0,41.0,40.0,1,40.0,10
5,44.0,40.0,41.0,27.0,1,27.0,10
6,44.0,40.0,46.0,53.0,1,53.0,10
7,44.0,40.0,50.0,32.0,1,32.0,10
8,44.0,40.0,52.0,41.0,1,41.0,10
9,44.0,40.0,36.0,51.0,1,51.0,10
0,60.0,90.0,63.0,82.0,1,82.0,11
1,60.0,90.0,67.0,93.0,0,67.0,11
2,60.0,90.0,54.0,93.0,1,93.0,11
3,60.0,90.0,64.0,87.0,0,64.0,11
4,60.0,90.0,66.0,96.0,1,96.0,11
5,60.0,90.0,66.0,94.0,1,94.0,11
6,60.0,90.0,52.0,94.0,1,94.0,11
7,60.0,90.0,70.0,83.0,1,83.0,11
8,60.0,90.0,56.0,65.0,1,65.0,11
9,60.0,90.0,54.0,95.0,1,95.0,11
0,48.0,40.0,44.0,46.0,1,46.0,12
1,48.0,40.0,47.0,46.0,0,47.0,12
2,48.0,40.0,59.0,26.0,1,26.0,12
3,48.0,40.0,47.0,42.0,1,42.0,12
4,48.0,40.0,52.0,35.0,1,35.0,12
0,10.0,40.0,13.0,40.0,1,40.0,13
1,10.0,40.0,5.0,42.0,0,5.0,13
2,10.0,40.0,3.0,71.0,0,3.0,13
3,10.0,40.0,2.0,52.0,0,2.0,13
4,10.0,40.0,4.0,35.0,1,35.0,13
0,60.0,48.0,53.0,58.0,0,53.0,14
1,60.0,48.0,68.0,57.0,1,57.0,14
2,60.0,48.0,56.0,51.0,0,56.0,14
3,60.0,48.0,58.0,46.0,0,58.0,14
4,60.0,48.0,60.0,51.0,0,60.0,14
0,40.0,60.0,37.0,60.0,0,37.0,15
1,40.0,60.0,38.0,58.0,0,38.0,15
2,40.0,60.0,38.0,58.0,1,58.0,15
3,40.0,60.0,42.0,62.0,1,62.0,15
4,40.0,60.0,36.0,52.0,1,52.0,15
5,40.0,60.0,43.0,56.0,1,56.0,15
6,40.0,60.0,44.0,53.0,1,53.0,15
7,40.0,60.0,43.0,73.0,1,73.0,15
8,40.0,60.0,42.0,52.0,1,52.0,15
9,40.0,60.0,38.0,62.0,1,62.0,15
0,40.0,44.0,43.0,37.0,1,37.0,16
1,40.0,44.0,41.0,52.0,1,52.0,16
2,40.0,44.0,34.0,57.0,1,57.0,16
3,40.0,44.0,44.0,50.0,0,44.0,16
4,40.0,44.0,29.0,52.0,1,52.0,16
0,44.0,40.0,37.0,43.0,0,37.0,17
1,44.0,40.0,47.0,47.0,1,47.0,17
2,44.0,40.0,43.0,48.0,0,43.0,17
3,44.0,40.0,53.0,46.0,1,46.0,17
4,44.0,40.0,41.0,47.0,0,41.0,17
5,44.0,40.0,49.0,40.0,1,40.0,17
6,44.0,40.0,49.0,46.0,1,46.0,17
7,44.0,40.0,44.0,29.0,1,29.0,17
8,44.0,40.0,40.0,33.0,1,33.0,17
9,44.0,40.0,55.0,37.0,1,37.0,17
0,52.0,40.0,58.0,37.0,0,58.0,18
1,52.0,40.0,53.0,36.0,1,36.0,18
2,52.0,40.0,54.0,36.0,0,54.0,18
3,52.0,40.0,56.0,35.0,1,35.0,18
4,52.0,40.0,56.0,33.0,0,56.0,18
0,60.0,30.0,56.0,21.0,1,21.0,19
1,60.0,30.0,67.0,21.0,1,21.0,19
2,60.0,30.0,57.0,28.0,0,57.0,19
3,60.0,30.0,54.0,32.0,0,54.0,19
4,60.0,30.0,63.0,38.0,0,63.0,19
0,44.0,40.0,51.0,49.0,0,51.0,20
1,44.0,40.0,29.0,31.0,1,31.0,20
2,44.0,40.0,46.0,36.0,0,46.0,20
3,44.0,40.0,45.0,40.0,0,45.0,20
4,44.0,40.0,45.0,37.0,0,45.0,20
0,40.0,36.0,29.0,38.0,0,29.0,21
1,40.0,36.0,24.0,40.0,1,40.0,21
2,40.0,36.0,40.0,25.0,1,25.0,21
3,40.0,36.0,41.0,30.0,0,41.0,21
4,40.0,36.0,47.0,22.0,0,47.0,21
5,40.0,36.0,43.0,37.0,0,43.0,21
6,40.0,36.0,37.0,40.0,0,37.0,21
7,40.0,36.0,31.0,29.0,0,31.0,21
8,40.0,36.0,45.0,37.0,0,45.0,21
9,40.0,36.0,44.0,31.0,0,44.0,21
0,72.0,60.0,72.0,64.0,1,64.0,22
1,72.0,60.0,74.0,74.0,0,74.0,22
2,72.0,60.0,69.0,77.0,1,77.0,22
3,72.0,60.0,85.0,68.0,0,85.0,22
4,72.0,60.0,77.0,59.0,0,77.0,22
5,72.0,60.0,66.0,58.0,0,66.0,22
6,72.0,60.0,65.0,68.0,0,65.0,22
7,72.0,60.0,75.0,56.0,1,56.0,22
8,72.0,60.0,83.0,65.0,0,83.0,22
9,72.0,60.0,88.0,63.0,0,88.0,22
0,68.0,60.0,62.0,63.0,1,63.0,23
1,68.0,60.0,65.0,66.0,0,65.0,23
2,68.0,60.0,61.0,60.0,1,60.0,23
3,68.0,60.0,66.0,57.0,1,57.0,23
4,68.0,60.0,66.0,70.0,1,70.0,23
0,10.0,40.0,5.0,34.0,1,34.0,24
1,10.0,40.0,18.0,42.0,1,42.0,24
2,10.0,40.0,1.0,33.0,0,1.0,24
3,10.0,40.0,12.0,47.0,1,47.0,24
4,10.0,40.0,3.0,37.0,1,37.0,24
0,36.0,40.0,23.0,41.0,1,41.0,25
1,36.0,40.0,30.0,32.0,1,32.0,25
2,36.0,40.0,36.0,59.0,0,36.0,25
3,36.0,40.0,33.0,49.0,0,33.0,25
4,36.0,40.0,29.0,36.0,1,36.0,25
0,40.0,52.0,54.0,69.0,0,54.0,26
1,40.0,52.0,43.0,55.0,1,55.0,26
2,40.0,52.0,41.0,49.0,0,41.0,26
3,40.0,52.0,16.0,35.0,1,35.0,26
4,40.0,52.0,44.0,51.0,1,51.0,26
5,40.0,52.0,40.0,57.0,1,57.0,26
6,40.0,52.0,36.0,48.0,1,48.0,26
7,40.0,52.0,21.0,50.0,0,21.0,26
8,40.0,52.0,52.0,61.0,0,52.0,26
9,40.0,52.0,28.0,50.0,1,50.0,26
0,72.0,60.0,86.0,58.0,0,86.0,27
1,72.0,60.0,75.0,64.0,1,64.0,27
2,72.0,60.0,63.0,68.0,0,63.0,27
3,72.0,60.0,66.0,56.0,0,66.0,27
4,72.0,60.0,63.0,56.0,0,63.0,27
0,40.0,60.0,53.0,53.0,0,53.0,28
1,40.0,60.0,27.0,71.0,1,71.0,28
2,40.0,60.0,26.0,70.0,0,26.0,28
3,40.0,60.0,54.0,75.0,1,75.0,28
4,40.0,60.0,19.0,69.0,1,69.0,28
5,40.0,60.0,42.0,46.0,1,46.0,28
6,40.0,60.0,45.0,71.0,0,45.0,28
7,40.0,60.0,38.0,62.0,1,62.0,28
8,40.0,60.0,48.0,71.0,1,71.0,28
9,40.0,60.0,37.0,59.0,1,59.0,28
0,40.0,20.0,36.0,22.0,1,22.0,29
1,40.0,20.0,45.0,41.0,0,45.0,29
2,40.0,20.0,48.0,16.0,0,48.0,29
3,40.0,20.0,30.0,31.0,1,31.0,29
4,40.0,20.0,50.0,14.0,0,50.0,29
5,40.0,20.0,28.0,35.0,0,28.0,29
6,40.0,20.0,42.0,23.0,0,42.0,29
7,40.0,20.0,33.0,23.0,0,33.0,29
8,40.0,20.0,29.0,23.0,0,29.0,29
9,40.0,20.0,25.0,21.0,0,25.0,29
0,60.0,68.0,56.0,63.0,0,56.0,30
1,60.0,68.0,79.0,70.0,1,70.0,30
2,60.0,68.0,50.0,68.0,0,50.0,30
3,60.0,68.0,51.0,77.0,1,77.0,30
4,60.0,68.0,57.0,88.0,1,88.0,30
5,60.0,68.0,57.0,76.0,1,76.0,30
6,60.0,68.0,51.0,73.0,1,73.0,30
7,60.0,68.0,54.0,66.0,1,66.0,30
8,60.0,68.0,68.0,66.0,1,66.0,30
9,60.0,68.0,55.0,58.0,1,58.0,30
0,60.0,90.0,77.0,82.0,1,82.0,31
1,60.0,90.0,56.0,93.0,0,56.0,31
2,60.0,90.0,65.0,86.0,1,86.0,31
3,60.0,90.0,57.0,96.0,1,96.0,31
4,60.0,90.0,58.0,92.0,1,92.0,31
0,40.0,28.0,35.0,36.0,1,36.0,32
1,40.0,28.0,34.0,23.0,0,34.0,32
2,40.0,28.0,64.0,25.0,0,64.0,32
3,40.0,28.0,38.0,28.0,1,28.0,32
4,40.0,28.0,32.0,29.0,0,32.0,32
0,36.0,40.0,28.0,43.0,1,43.0,33
1,36.0,40.0,31.0,40.0,1,40.0,33
2,36.0,40.0,39.0,48.0,0,39.0,33
3,36.0,40.0,33.0,28.0,1,28.0,33
4,36.0,40.0,31.0,51.0,1,51.0,33
5,36.0,40.0,31.0,38.0,1,38.0,33
6,36.0,40.0,18.0,36.0,1,36.0,33
7,36.0,40.0,26.0,41.0,1,41.0,33
8,36.0,40.0,36.0,58.0,1,58.0,33
9,36.0,40.0,21.0,60.0,1,60.0,33
0,56.0,60.0,58.0,55.0,1,55.0,34
1,56.0,60.0,57.0,59.0,0,57.0,34
2,56.0,60.0,55.0,56.0,1,56.0,34
3,56.0,60.0,63.0,52.0,0,63.0,34
4,56.0,60.0,58.0,58.0,1,58.0,34
5,56.0,60.0,57.0,67.0,1,67.0,34
6,56.0,60.0,62.0,58.0,1,58.0,34
7,56.0,60.0,51.0,68.0,1,68.0,34
8,56.0,60.0,46.0,59.0,1,59.0,34
9,56.0,60.0,50.0,54.0,1,54.0,34
0,40.0,28.0,33.0,28.0,0,33.0,35
1,40.0,28.0,44.0,41.0,1,41.0,35
2,40.0,28.0,29.0,21.0,1,21.0,35
3,40.0,28.0,30.0,41.0,0,30.0,35
4,40.0,28.0,39.0,28.0,0,39.0,35
5,40.0,28.0,37.0,26.0,0,37.0,35
6,40.0,28.0,47.0,41.0,0,47.0,35
7,40.0,28.0,35.0,25.0,0,35.0,35
8,40.0,28.0,35.0,25.0,0,35.0,35
9,40.0,28.0,37.0,29.0,0,37.0,35
0,80.0,60.0,83.0,62.0,1,62.0,36
1,80.0,60.0,103.0,51.0,0,103.0,36
2,80.0,60.0,91.0,52.0,0,91.0,36
3,80.0,60.0,76.0,63.0,1,63.0,36
4,80.0,60.0,90.0,50.0,0,90.0,36
5,80.0,60.0,78.0,57.0,0,78.0,36
6,80.0,60.0,80.0,60.0,0,80.0,36
