run,trial,mean0,mean1,reward0,reward1,choice,reward
0,0,60.0,48.0,53.0,52.0,1,52.0
0,1,60.0,48.0,52.0,37.0,0,52.0
0,2,60.0,48.0,62.0,56.0,0,62.0
0,3,60.0,48.0,47.0,46.0,1,46.0
0,4,60.0,48.0,60.0,58.0,1,58.0
1,0,60.0,68.0,55.0,71.0,0,55.0
1,1,60.0,68.0,61.0,86.0,1,86.0
1,2,60.0,68.0,56.0,67.0,0,56.0
1,3,60.0,68.0,53.0,81.0,1,81.0
1,4,60.0,68.0,57.0,68.0,1,68.0
2,0,32.0,40.0,32.0,56.0,0,32.0
2,1,32.0,40.0,44.0,41.0,1,41.0
2,2,32.0,40.0,39.0,44.0,0,39.0
2,3,32.0,40.0,30.0,45.0,1,45.0
2,4,32.0,40.0,36.0,34.0,1,34.0
2,5,32.0,40.0,22.0,46.0,1,46.0
2,6,32.0,40.0,28.0,51.0,1,51.0
2,7,32.0,40.0,45.0,55.0,1,55.0
2,8,32.0,40.0,36.0,37.0,1,37.0
2,9,32.0,40.0,41.0,42.0,1,42.0
3,0,60.0,40.0,56.0,38.0,1,38.0
3,1,60.0,40.0,56.0,39.0,0,56.0
3,2,60.0,40.0,58.0,37.0,0,58.0
3,3,60.0,40.0,63.0,42.0,1,42.0
3,4,60.0,40.0,47.0,54.0,1,54.0
3,5,60.0,40.0,59.0,39.0,1,39.0
3,6,60.0,40.0,61.0,26.0,1,26.0
3,7,60.0,40.0,62.0,39.0,1,39.0
3,8,60.0,40.0,60.0,47.0,1,47.0
3,9,60.0,40.0,57.0,48.0,1,48.0
4,0,52.0,60.0,49.0,47.0,1,47.0
4,1,52.0,60.0,51.0,79.0,1,79.0
4,2,52.0,60.0,65.0,62.0,0,65.0
4,3,52.0,60.0,59.0,65.0,0,59.0
4,4,52.0,60.0,48.0,77.0,1,77.0
5,0,20.0,40.0,18.0,29.0,0,18.0
5,1,20.0,40.0,38.0,49.0,0,38.0
5,2,20.0,40.0,25.0,28.0,1,28.0
5,3,20.0,40.0,14.0,40.0,0,14.0
5,4,20.0,40.0,15.0,27.0,0,15.0
6,0,80.0,60.0,87.0,62.0,1,62.0
6,1,80.0,60.0,89.0,57.0,0,89.0
6,2,80.0,60.0,78.0,63.0,0,78.0
6,3,80.0,60.0,78.0,54.0,0,78.0
6,4,80.0,60.0,84.0,55.0,0,84.0
6,5,80.0,60.0,74.0,60.0,0,74.0
6,6,80.0,60.0,64.0,48.0,0,64.0
6,7,80.0,60.0,82.0,58.0,0,82.0
6,8,80.0,60.0,78.0,73.0,0,78.0
6,9,80.0,60.0,73.0,66.0,0,73.0
7,0,52.0,40.0,51.0,28.0,0,51.0
7,1,52.0,40.0,48.0,38.0,0,48.0
7,2,52.0,40.0,55.0,51.0,1,51.0
7,3,52.0,40.0,39.0,53.0,1,53.0
7,4,52.0,40.0,48.0,38.0,1,38.0
7,5,52.0,40.0,59.0,48.0,1,48.0
7,6,52.0,40.0,51.0,33.0,1,33.0
7,7,52.0,40.0,49.0,29.0,1,29.0
7,8,52.0,40.0,66.0,37.0,1,37.0
7,9,52.0,40.0,53.0,40.0,1,40.0
8,0,60.0,64.0,47.0,69.0,0,47.0
8,1,60.0,64.0,66.0,56.0,1,56.0
8,2,60.0,64.0,70.0,66.0,1,66.0
8,3,60.0,64.0,59.0,56.0,1,56.0
8,4,60.0,64.0,63.0,69.0,1,69.0
9,0,40.0,28.0,60.0,33.0,1,33.0
9,1,40.0,28.0,37.0,29.0,0,37.0
9,2,40.0,28.0,33.0,23.0,0,33.0
9,3,40.0,28.0,28.0,39.0,0,28.0
9,4,40.0,28.0,44.0,12.0,0,44.0
9,5,40.0,28.0,40.0,8.0,0,40.0
9,6,40.0,28.0,34.0,13.0,0,34.0
9,7,40.0,28.0,35.0,17.0,0,35.0
9,8,40.0,28.0,49.0,34.0,0,49.0
9,9,40.0,28.0,39.0,28.0,0,39.0
10,0,60.0,56.0,65.0,66.0,1,66.0
10,1,60.0,56.0,63.0,63.0,1,63.0
10,2,60.0,56.0,53.0,73.0,1,73.0
10,3,60.0,56.0,50.0,54.0,0,50.0
10,4,60.0,56.0,56.0,54.0,1,54.0
11,0,60.0,52.0,59.0,51.0,0,59.0
11,1,60.0,52.0,66.0,62.0,0,66.0
11,2,60.0,52.0,75.0,38.0,1,38.0
11,3,60.0,52.0,65.0,57.0,1,57.0
11,4,60.0,52.0,56.0,57.0,1,57.0
12,0,52.0,40.0,50.0,51.0,0,50.0
12,1,52.0,40.0,49.0,46.0,1,46.0
12,2,52.0,40.0,49.0,59.0,0,49.0
12,3,52.0,40.0,62.0,40.0,0,62.0
12,4,52.0,40.0,61.0,34.0,0,61.0
12,5,52.0,40.0,48.0,53.0,0,48.0
12,6,52.0,40.0,50.0,34.0,0,50.0
12,7,52.0,40.0,50.0,55.0,0,50.0
12,8,52.0,40.0,41.0,51.0,0,41.0
12,9,52.0,40.0,60.0,47.0,0,60.0
13,0,40.0,28.0,43.0,35.0,1,35.0
13,1,40.0,28.0,40.0,36.0,1,36.0
13,2,40.0,28.0,55.0,28.0,0,55.0
13,3,40.0,28.0,27.0,18.0,0,27.0
13,4,40.0,28.0,38.0,35.0,0,38.0
13,5,40.0,28.0,29.0,29.0,0,29.0
13,6,40.0,28.0,51.0,30.0,0,51.0
13,7,40.0,28.0,43.0,28.0,0,43.0
13,8,40.0,28.0,36.0,28.0,0,36.0
13,9,40.0,28.0,39.0,24.0,0,39.0
14,0,40.0,44.0,47.0,39.0,0,47.0
14,1,40.0,44.0,38.0,34.0,1,34.0
14,2,40.0,44.0,53.0,31.0,0,53.0
14,3,40.0,44.0,60.0,54.0,1,54.0
14,4,40.0,44.0,43.0,45.0,1,45.0
14,5,40.0,44.0,45.0,33.0,1,33.0
14,6,40.0,44.0,41.0,57.0,1,57.0
14,7,40.0,44.0,49.0,49.0,1,49.0
14,8,40.0,44.0,36.0,25.0,1,25.0
14,9,40.0,44.0,57.0,22.0,1,22.0
15,0,40.0,10.0,28.0,18.0,0,28.0
15,1,40.0,10.0,43.0,2.0,0,43.0
15,2,40.0,10.0,30.0,0.0,1,0.0
15,3,40.0,10.0,24.0,5.0,1,5.0
15,4,40.0,10.0,26.0,-2.0,0,26.0
16,0,52.0,60.0,58.0,63.0,0,58.0
16,1,52.0,60.0,42.0,52.0,1,52.0
16,2,52.0,60.0,51.0,54.0,1,54.0
16,3,52.0,60.0,37.0,60.0,0,37.0
16,4,52.0,60.0,46.0,74.0,1,74.0
16,5,52.0,60.0,59.0,54.0,1,54.0
16,6,52.0,60.0,61.0,77.0,1,77.0
16,7,52.0,60.0,64.0,78.0,1,78.0
16,8,52.0,60.0,32.0,65.0,1,65.0
16,9,52.0,60.0,55.0,59.0,1,59.0
17,0,40.0,52.0,42.0,59.0,1,59.0
17,1,40.0,52.0,28.0,49.0,0,28.0
17,2,40.0,52.0,37.0,40.0,1,40.0
17,3,40.0,52.0,47.0,51.0,1,51.0
17,4,40.0,52.0,45.0,52.0,1,52.0
18,0,28.0,40.0,27.0,49.0,0,27.0
18,1,28.0,40.0,25.0,37.0,0,25.0
18,2,28.0,40.0,27.0,45.0,0,27.0
18,3,28.0,40.0,40.0,59.0,1,59.0
18,4,28.0,40.0,29.0,32.0,0,29.0
19,0,60.0,56.0,59.0,62.0,0,59.0
19,1,60.0,56.0,61.0,48.0,1,48.0
19,2,60.0,56.0,62.0,60.0,0,62.0
19,3,60.0,56.0,59.0,61.0,0,59.0
19,4,60.0,56.0,79.0,56.0,0,79.0
19,5,60.0,56.0,62.0,65.0,0,62.0
19,6,60.0,56.0,73.0,59.0,0,73.0
19,7,60.0,56.0,66.0,63.0,0,66.0
19,8,60.0,56.0,65.0,57.0,0,65.0
19,9,60.0,56.0,69.0,51.0,0,69.0
20,0,10.0,40.0,3.0,42.0,1,42.0
20,1,10.0,40.0,12.0,42.0,1,42.0
20,2,10.0,40.0,19.0,43.0,0,19.0
20,3,10.0,40.0,9.0,44.0,1,44.0
20,4,10.0,40.0,1.0,35.0,1,35.0
21,0,60.0,72.0,73.0,72.0,1,72.0
21,1,60.0,72.0,66.0,57.0,1,57.0
21,2,60.0,72.0,60.0,62.0,0,60.0
21,3,60.0,72.0,55.0,71.0,1,71.0
21,4,60.0,72.0,86.0,68.0,1,68.0
22,0,60.0,90.0,61.0,91.0,0,61.0
22,1,60.0,90.0,56.0,83.0,0,56.0
22,2,60.0,90.0,55.0,80.0,1,80.0
22,3,60.0,90.0,56.0,80.0,0,56.0
22,4,60.0,90.0,54.0,88.0,0,54.0
22,5,60.0,90.0,70.0,88.0,0,70.0
22,6,60.0,90.0,57.0,95.0,0,57.0
22,7,60.0,90.0,58.0,79.0,0,58.0
22,8,60.0,90.0,73.0,92.0,0,73.0
22,9,60.0,90.0,88.0,98.0,0,88.0
23,0,60.0,64.0,68.0,55.0,0,68.0
23,1,60.0,64.0,51.0,63.0,0,51.0
23,2,60.0,64.0,72.0,74.0,1,74.0
23,3,60.0,64.0,52.0,70.0,0,52.0
23,4,60.0,64.0,61.0,62.0,0,61.0
23,5,60.0,64.0,59.0,57.0,0,59.0
23,6,60.0,64.0,59.0,58.0,0,59.0
23,7,60.0,64.0,58.0,55.0,0,58.0
23,8,60.0,64.0,62.0,71.0,0,62.0
23,9,60.0,64.0,64.0,64.0,0,64.0
24,0,44.0,40.0,41.0,32.0,1,32.0
24,1,44.0,40.0,43.0,51.0,0,43.0
24,2,44.0,40.0,46.0,49.0,0,46.0
24,3,44.0,40.0,48.0,32.0,0,48.0
24,4,44.0,40.0,45.0,37.0,0,45.0
24,5,44.0,40.0,35.0,40.0,0,35.0
24,6,44.0,40.0,32.0,47.0,0,32.0
24,7,44.0,40.0,46.0,47.0,0,46.0
24,8,44.0,40.0,47.0,35.0,0,47.0
24,9,44.0,40.0,53.0,44.0,0,53.0
25,0,44.0,40.0,47.0,38.0,1,38.0
25,1,44.0,40.0,37.0,38.0,0,37.0
25,2,44.0,40.0,40.0,40.0,0,40.0
25,3,44.0,40.0,40.0,47.0,1,47.0
25,4,44.0,40.0,43.0,31.0,1,31.0
25,5,44.0,40.0,44.0,53.0,1,53.0
25,6,44.0,40.0,36.0,29.0,1,29.0
25,7,44.0,40.0,36.0,42.0,1,42.0
25,8,44.0,40.0,41.0,32.0,1,32.0
25,9,44.0,40.0,44.0,47.0,1,47.0
26,0,60.0,52.0,56.0,49.0,0,56.0
26,1,60.0,52.0,54.0,51.0,0,54.0
26,2,60.0,52.0,62.0,49.0,1,49.0
26,3,60.0,52.0,62.0,62.0,0,62.0
26,4,60.0,52.0,53.0,55.0,0,53.0
27,0,40.0,10.0,37.0,18.0,1,18.0
27,1,40.0,10.0,37.0,-1.0,1,-1.0
27,2,40.0,10.0,37.0,24.0,0,37.0
27,3,40.0,10.0,36.0,12.0,0,36.0
27,4,40.0,10.0,38.0,6.0,1,6.0
28,0,40.0,20.0,39.0,29.0,1,29.0
28,1,40.0,20.0,40.0,21.0,0,40.0
28,2,40.0,20.0,50.0,17.0,1,17.0
28,3,40.0,20.0,31.0,14.0,0,31.0
28,4,40.0,20.0,31.0,18.0,1,18.0
29,0,52.0,40.0,52.0,31.0,0,52.0
29,1,52.0,40.0,59.0,40.0,0,59.0
29,2,52.0,40.0,54.0,40.0,0,54.0
29,3,52.0,40.0,52.0,47.0,1,47.0
29,4,52.0,40.0,51.0,36.0,0,51.0
29,5,52.0,40.0,48.0,23.0,0,48.0
29,6,52.0,40.0,48.0,48.0,0,48.0
29,7,52.0,40.0,50.0,40.0,0,50.0
29,8,52.0,40.0,48.0,41.0,0,48.0
29,9,52.0,40.0,41.0,41.0,0,41.0
30,0,48.0,40.0,39.0,38.0,0,39.0
30,1,48.0,40.0,41.0,33.0,1,33.0
30,2,48.0,40.0,48.0,41.0,1,41.0
30,3,48.0,40.0,48.0,56.0,0,48.0
30,4,48.0,40.0,34.0,39.0,1,39.0
30,5,48.0,40.0,40.0,59.0,1,59.0
30,6,48.0,40.0,37.0,37.0,1,37.0
30,7,48.0,40.0,51.0,44.0,1,44.0
30,8,48.0,40.0,41.0,30.0,1,30.0
30,9,48.0,40.0,42.0,41.0,1,41.0
31,0,52.0,60.0,48.0,62.0,1,62.0
31,1,52.0,60.0,71.0,76.0,0,71.0
31,2,52.0,60.0,68.0,72.0,0,68.0
31,3,52.0,60.0,52.0,60.0,1,60.0
31,4,52.0,60.0,53.0,71.0,1,71.0
31,5,52.0,60.0,40.0,64.0,1,64.0
31,6,52.0,60.0,39.0,68.0,1,68.0
31,7,52.0,60.0,48.0,59.0,1,59.0
31,8,52.0,60.0,63.0,59.0,1,59.0
31,9,52.0,60.0,47.0,55.0,1,55.0
32,0,28.0,40.0,29.0,49.0,1,49.0
32,1,28.0,40.0,24.0,59.0,1,59.0
32,2,28.0,40.0,24.0,43.0,0,24.0
32,3,28.0,40.0,25.0,38.0,0,25.0
32,4,28.0,40.0,22.0,44.0,1,44.0
33,0,60.0,52.0,57.0,43.0,1,43.0
33,1,60.0,52.0,57.0,49.0,1,49.0
33,2,60.0,52.0,51.0,53.0,0,51.0
33,3,60.0,52.0,62.0,54.0,1,54.0
33,4,60.0,52.0,61.0,49.0,1,49.0
34,0,40.0,52.0,32.0,55.0,0,32.0
34,1,40.0,52.0,49.0,61.0,1,61.0
34,2,40.0,52.0,26.0,44.0,0,26.0
34,3,40.0,52.0,35.0,52.0,1,52.0
34,4,40.0,52.0,37.0,49.0,1,49.0
35,0,10.0,40.0,13.0,43.0,1,43.0
35,1,10.0,40.0,21.0,37.0,1,37.0
35,2,10.0,40.0,6.0,39.0,0,6.0
35,3,10.0,40.0,7.0,49.0,0,7.0
35,4,10.0,40.0,0.0,33.0,1,33.0
35,5,10.0,40.0,11.0,42.0,1,42.0
35,6,10.0,40.0,7.0,38.0,1,38.0
35,7,10.0,40.0,-1.0,48.0,1,48.0
35,8,10.0,40.0,20.0,46.0,1,46.0
35,9,10.0,40.0,16.0,45.0,1,45.0
36,0,60.0,40.0,64.0,40.0,0,64.0
36,1,60.0,40.0,73.0,40.0,1,40.0
36,2,60.0,40.0,75.0,42.0,1,42.0
36,3,60.0,40.0,49.0,43.0,0,49.0
36,4,60.0,40.0,62.0,46.0,1,46.0
36,5,60.0,40.0,73.0,41.0,1,41.0
36,6,60.0,40.0,55.0,36.0,1,36.0
36,7,60.0,40.0,68.0,45.0,1,45.0
36,8,60.0,40.0,50.0,42.0,1,42.0
36,9,60.0,40.0,54.0,36.0,1,36.0
37,0,60.0,56.0,57.0,47.0,1,47.0
37,1,60.0,56.0,58.0,60.0,1,60.0
37,2,60.0,56.0,63.0,51.0,0,63.0
37,3,60.0,56.0,59.0,62.0,1,62.0
37,4,60.0,56.0,54.0,57.0,1,57.0
38,0,64.0,60.0,60.0,48.0,0,60.0
38,1,64.0,60.0,67.0,55.0,1,55.0
38,2,64.0,60.0,67.0,59.0,0,67.0
38,3,64.0,60.0,60.0,75.0,1,75.0
38,4,64.0,60.0,63.0,67.0,1,67.0
38,5,64.0,60.0,63.0,52.0,1,52.0
38,6,64.0,60.0,84.0,61.0,1,61.0
38,7,64.0,60.0,62.0,66.0,1,66.0
38,8,64.0,60.0,44.0,59.0,1,59.0
38,9,64.0,60.0,68.0,64.0,1,64.0
39,0,40.0,70.0,35.0,74.0,1,74.0
39,1,40.0,70.0,41.0,92.0,0,41.0
39,2,40.0,70.0,39.0,63.0,0,39.0
39,3,40.0,70.0,48.0,88.0,0,48.0
39,4,40.0,70.0,47.0,83.0,1,83.0
40,0,10.0,40.0,4.0,48.0,0,4.0
40,1,10.0,40.0,14.0,37.0,1,37.0
40,2,10.0,40.0,21.0,37.0,1,37.0
40,3,10.0,40.0,7.0,32.0,1,32.0
40,4,10.0,40.0,-2.0,27.0,1,27.0
41,0,48.0,60.0,48.0,59.0,0,48.0
41,1,48.0,60.0,52.0,63.0,0,52.0
41,2,48.0,60.0,41.0,55.0,1,55.0
41,3,48.0,60.0,39.0,53.0,1,53.0
41,4,48.0,60.0,51.0,55.0,1,55.0
41,5,48.0,60.0,53.0,63.0,1,63.0
41,6,48.0,60.0,53.0,58.0,1,58.0
41,7,48.0,60.0,47.0,55.0,1,55.0
41,8,48.0,60.0,46.0,64.0,1,64.0
41,9,48.0,60.0,50.0,64.0,1,64.0
42,0,20.0,40.0,27.0,42.0,1,42.0
42,1,20.0,40.0,32.0,34.0,0,32.0
42,2,20.0,40.0,22.0,48.0,1,48.0
42,3,20.0,40.0,28.0,29.0,0,28.0
42,4,20.0,40.0,23.0,30.0,1,30.0
42,5,20.0,40.0,20.0,43.0,1,43.0
42,6,20.0,40.0,31.0,40.0,1,40.0
42,7,20.0,40.0,15.0,35.0,1,35.0
42,8,20.0,40.0,27.0,45.0,1,45.0
42,9,20.0,40.0,17.0,36.0,1,36.0
43,0,80.0,60.0,80.0,57.0,0,80.0
43,1,80.0,60.0,97.0,56.0,1,56.0
43,2,80.0,60.0,75.0,50.0,0,75.0
43,3,80.0,60.0,60.0,72.0,1,72.0
43,4,80.0,60.0,78.0,55.0,1,55.0
43,5,80.0,60.0,70.0,50.0,1,50.0
43,6,80.0,60.0,91.0,54.0,1,54.0
43,7,80.0,60.0,91.0,50.0,1,50.0
43,8,80.0,60.0,101.0,71.0,1,71.0
43,9,80.0,60.0,86.0,65.0,1,65.0
44,0,48.0,60.0,66.0,70.0,1,70.0
44,1,48.0,60.0,52.0,54.0,0,52.0
44,2,48.0,60.0,54.0,59.0,1,59.0
44,3,48.0,60.0,40.0,68.0,1,68.0
44,4,48.0,60.0,48.0,62.0,1,62.0
44,5,48.0,60.0,49.0,59.0,1,59.0
44,6,48.0,60.0,30.0,69.0,1,69.0
44,7,48.0,60.0,57.0,64.0,1,64.0
44,8,48.0,60.0,43.0,62.0,1,62.0
44,9,48.0,60.0,40.0,58.0,1,58.0
45,0,52.0,60.0,42.0,44.0,0,42.0
45,1,52.0,60.0,60.0,56.0,1,56.0
45,2,52.0,60.0,47.0,54.0,0,47.0
45,3,52.0,60.0,45.0,55.0,0,45.0
45,4,52.0,60.0,65.0,54.0,0,65.0
45,5,52.0,60.0,43.0,65.0,0,43.0
45,6,52.0,60.0,63.0,36.0,0,63.0
45,7,52.0,60.0,49.0,57.0,0,49.0
45,8,52.0,60.0,48.0,63.0,0,48.0
45,9,52.0,60.0,51.0,39.0,0,51.0
46,0,52.0,60.0,45.0,54.0,0,45.0
46,1,52.0,60.0,37.0,60.0,0,37.0
46,2,52.0,60.0,48.0,56.0,0,48.0
46,3,52.0,60.0,64.0,55.0,1,55.0
46,4,52.0,60.0,58.0,55.0,0,58.0
46,5,52.0,60.0,44.0,57.0,0,44.0
46,6,52.0,60.0,46.0,51.0,0,46.0
46,7,52.0,60.0,49.0,68.0,0,49.0
46,8,52.0,60.0,60.0,50.0,0,60.0
46,9,52.0,60.0,56.0,61.0,0,56.0
47,0,40.0,28.0,43.0,37.0,1,37.0
47,1,40.0,28.0,26.0,12.0,1,12.0
47,2,40.0,28.0,44.0,25.0,0,44.0
47,3,40.0,28.0,44.0,28.0,0,44.0
47,4,40.0,28.0,42.0,26.0,1,26.0
48,0,56.0,60.0,62.0,54.0,0,62.0
48,1,56.0,60.0,59.0,40.0,1,40.0
48,2,56.0,60.0,64.0,79.0,1,79.0
48,3,56.0,60.0,54.0,63.0,0,54.0
48,4,56.0,60.0,51.0,52.0,1,52.0
49,0,32.0,40.0,25.0,33.0,1,33.0
49,1,32.0,40.0,27.0,36.0,1,36.0
49,2,32.0,40.0,20.0,48.0,1,48.0
49,3,32.0,40.0,33.0,49.0,0,33.0
49,4,32.0,40.0,32.0,39.0,1,39.0
49,5,32.0,40.0,21.0,35.0,1,35.0
49,6,32.0,40.0,35.0,46.0,1,46.0
49,7,32.0,40.0,41.0,38.0,1,38.0
49,8,32.0,40.0,30.0,37.0,1,37.0
49,9,32.0,40.0,40.0,45.0,1,45.0
50,0,60.0,56.0,65.0,52.0,1,52.0
50,1,60.0,56.0,41.0,56.0,0,41.0
50,2,60.0,56.0,61.0,50.0,1,50.0
50,3,60.0,56.0,63.0,52.0,0,63.0
50,4,60.0,56.0,51.0,62.0,1,62.0
50,5,60.0,56.0,53.0,53.0,1,53.0
50,6,60.0,56.0,51.0,61.0,1,61.0
50,7,60.0,56.0,60.0,69.0,1,69.0
50,8,60.0,56.0,66.0,56.0,1,56.0
50,9,60.0,56.0,58.0,47.0,1,47.0
51,0,60.0,52.0,55.0,44.0,0,55.0
51,1,60.0,52.0,51.0,57.0,0,51.0
51,2,60.0,52.0,66.0,45.0,0,66.0
