run,trial,task,mean0,mean1,reward0,reward1,choice,reward
0,0,4,0.75,0.75,1.0,1.0,0,1.0
0,1,2,0.25,0.75,0.0,1.0,0,0.0
0,2,1,0.25,0.25,0.0,1.0,0,0.0
0,3,3,0.75,0.25,1.0,0.0,0,1.0
0,4,1,0.25,0.25,0.0,0.0,1,0.0
0,5,2,0.25,0.75,1.0,1.0,1,1.0
0,6,4,0.75,0.75,1.0,1.0,0,1.0
0,7,1,0.25,0.25,0.0,0.0,0,0.0
0,8,1,0.25,0.25,0.0,0.0,1,0.0
0,9,1,0.25,0.25,1.0,1.0,0,1.0
0,10,4,0.75,0.75,1.0,1.0,0,1.0
0,11,4,0.75,0.75,1.0,0.0,0,1.0
0,12,3,0.75,0.25,1.0,0.0,0,1.0
0,13,2,0.25,0.75,0.0,1.0,1,1.0
0,14,1,0.25,0.25,1.0,1.0,0,1.0
0,15,3,0.75,0.25,0.0,0.0,0,0.0
0,16,1,0.25,0.25,0.0,1.0,0,0.0
0,17,4,0.75,0.75,0.0,0.0,0,0.0
0,18,3,0.75,0.25,0.0,0.0,0,0.0
0,19,3,0.75,0.25,0.0,0.0,0,0.0
0,20,1,0.25,0.25,1.0,1.0,0,1.0
0,21,1,0.25,0.25,0.0,0.0,0,0.0
0,22,1,0.25,0.25,0.0,0.0,0,0.0
0,23,4,0.75,0.75,1.0,1.0,0,1.0
0,24,1,0.25,0.25,0.0,0.0,0,0.0
0,25,3,0.75,0.25,1.0,0.0,0,1.0
0,26,4,0.75,0.75,1.0,1.0,0,1.0
0,27,4,0.75,0.75,1.0,1.0,0,1.0
0,28,3,0.75,0.25,1.0,0.0,0,1.0
0,29,3,0.75,0.25,1.0,0.0,0,1.0
0,30,4,0.75,0.75,0.0,1.0,0,0.0
0,31,4,0.75,0.75,1.0,1.0,0,1.0
0,32,4,0.75,0.75,0.0,1.0,0,0.0
0,33,2,0.25,0.75,0.0,1.0,1,1.0
0,34,1,0.25,0.25,0.0,0.0,0,0.0
0,35,4,0.75,0.75,1.0,1.0,0,1.0
0,36,2,0.25,0.75,0.0,1.0,1,1.0
0,37,1,0.25,0.25,0.0,0.0,0,0.0
0,38,4,0.75,0.75,1.0,0.0,0,1.0
0,39,2,0.25,0.75,0.0,1.0,1,1.0
0,40,1,0.25,0.25,0.0,0.0,0,0.0
0,41,1,0.25,0.25,0.0,0.0,0,0.0
0,42,2,0.25,0.75,1.0,1.0,1,1.0
0,43,2,0.25,0.75,0.0,0.0,1,0.0
0,44,3,0.75,0.25,1.0,1.0,0,1.0
0,45,3,0.75,0.25,1.0,0.0,0,1.0
0,46,4,0.75,0.75,1.0,0.0,0,1.0
0,47,2,0.25,0.75,0.0,1.0,1,1.0
0,48,2,0.25,0.75,0.0,1.0,1,1.0
0,49,2,0.25,0.75,1.0,0.0,1,0.0
0,50,2,0.25,0.75,0.0,1.0,1,1.0
0,51,2,0.25,0.75,0.0,0.0,1,0.0
0,52,1,0.25,0.25,0.0,0.0,0,0.0
0,53,3,0.75,0.25,1.0,0.0,0,1.0
0,54,2,0.25,0.75,0.0,1.0,1,1.0
0,55,2,0.25,0.75,0.0,1.0,1,1.0
0,56,4,0.75,0.75,0.0,1.0,0,0.0
0,57,3,0.75,0.25,1.0,1.0,0,1.0
0,58,3,0.75,0.25,1.0,0.0,0,1.0
0,59,3,0.75,0.25,1.0,0.0,0,1.0
0,60,2,0.25,0.75,0.0,0.0,1,0.0
0,61,3,0.75,0.25,1.0,0.0,0,1.0
0,62,4,0.75,0.75,0.0,1.0,0,0.0
0,63,3,0.75,0.25,1.0,0.0,0,1.0
0,64,2,0.25,0.75,0.0,1.0,1,1.0
0,65,2,0.25,0.75,0.0,1.0,1,1.0
0,66,1,0.25,0.25,0.0,1.0,0,0.0
0,67,1,0.25,0.25,0.0,1.0,0,0.0
0,68,1,0.25,0.25,0.0,0.0,0,0.0
0,69,3,0.75,0.25,1.0,0.0,0,1.0
0,70,1,0.25,0.25,0.0,0.0,0,0.0
0,71,4,0.75,0.75,1.0,1.0,0,1.0
0,72,2,0.25,0.75,0.0,1.0,1,1.0
0,73,4,0.75,0.75,1.0,1.0,0,1.0
0,74,4,0.75,0.75,1.0,1.0,0,1.0
0,75,2,0.25,0.75,1.0,1.0,1,1.0
0,76,4,0.75,0.75,1.0,1.0,0,1.0
0,77,3,0.75,0.25,1.0,0.0,0,1.0
0,78,2,0.25,0.75,0.0,1.0,1,1.0
0,79,1,0.25,0.25,0.0,0.0,0,0.0
0,80,2,0.25,0.75,0.0,1.0,1,1.0
0,81,1,0.25,0.25,0.0,1.0,0,0.0
0,82,3,0.75,0.25,1.0,1.0,0,1.0
0,83,4,0.75,0.75,1.0,0.0,0,1.0
0,84,2,0.25,0.75,0.0,1.0,1,1.0
0,85,4,0.75,0.75,0.0,0.0,0,0.0
0,86,3,0.75,0.25,0.0,0.0,0,0.0
0,87,1,0.25,0.25,0.0,0.0,0,0.0
0,88,3,0.75,0.25,1.0,0.0,0,1.0
0,89,3,0.75,0.25,1.0,0.0,0,1.0
0,90,4,0.75,0.75,1.0,1.0,0,1.0
0,91,3,0.75,0.25,1.0,0.0,0,1.0
0,92,4,0.75,0.75,0.0,0.0,0,0.0
0,93,1,0.25,0.25,0.0,0.0,0,0.0
0,94,2,0.25,0.75,0.0,0.0,1,0.0
0,95,3,0.75,0.25,1.0,0.0,0,1.0
1,0,2,0.25,0.75,1.0,1.0,0,1.0
1,1,4,0.75,0.75,0.0,1.0,0,0.0
1,2,4,0.75,0.75,1.0,0.0,1,0.0
1,3,4,0.75,0.75,0.0,0.0,1,0.0
1,4,1,0.25,0.25,0.0,0.0,1,0.0
1,5,2,0.25,0.75,0.0,1.0,0,0.0
1,6,4,0.75,0.75,1.0,1.0,1,1.0
1,7,4,0.75,0.75,0.0,0.0,1,0.0
1,8,2,0.25,0.75,0.0,1.0,0,0.0
1,9,1,0.25,0.25,1.0,1.0,0,1.0
1,10,2,0.25,0.75,1.0,1.0,0,1.0
1,11,3,0.75,0.25,1.0,1.0,1,1.0
1,12,4,0.75,0.75,1.0,0.0,1,0.0
1,13,1,0.25,0.25,0.0,0.0,0,0.0
1,14,3,0.75,0.25,1.0,0.0,1,0.0
1,15,2,0.25,0.75,0.0,1.0,0,0.0
1,16,3,0.75,0.25,1.0,0.0,1,0.0
1,17,4,0.75,0.75,0.0,1.0,1,1.0
1,18,1,0.25,0.25,1.0,0.0,0,1.0
1,19,1,0.25,0.25,0.0,1.0,0,0.0
1,20,3,0.75,0.25,1.0,1.0,1,1.0
1,21,2,0.25,0.75,0.0,1.0,0,0.0
1,22,1,0.25,0.25,0.0,0.0,0,0.0
1,23,2,0.25,0.75,0.0,1.0,0,0.0
1,24,2,0.25,0.75,1.0,1.0,0,1.0
1,25,3,0.75,0.25,1.0,0.0,1,0.0
1,26,3,0.75,0.25,1.0,0.0,1,0.0
1,27,2,0.25,0.75,1.0,0.0,0,1.0
1,28,3,0.75,0.25,1.0,0.0,1,0.0
1,29,1,0.25,0.25,0.0,0.0,0,0.0
1,30,3,0.75,0.25,1.0,0.0,1,0.0
1,31,1,0.25,0.25,1.0,0.0,0,1.0
1,32,3,0.75,0.25,1.0,0.0,1,0.0
1,33,2,0.25,0.75,0.0,0.0,0,0.0
1,34,1,0.25,0.25,0.0,0.0,0,0.0
1,35,1,0.25,0.25,0.0,0.0,0,0.0
1,36,4,0.75,0.75,1.0,1.0,1,1.0
1,37,1,0.25,0.25,1.0,0.0,0,1.0
1,38,1,0.25,0.25,1.0,1.0,0,1.0
1,39,4,0.75,0.75,0.0,1.0,1,1.0
1,40,4,0.75,0.75,1.0,1.0,1,1.0
1,41,3,0.75,0.25,1.0,1.0,1,1.0
1,42,1,0.25,0.25,1.0,0.0,0,1.0
1,43,4,0.75,0.75,1.0,1.0,1,1.0
1,44,2,0.25,0.75,0.0,1.0,0,0.0
1,45,4,0.75,0.75,1.0,1.0,1,1.0
1,46,4,0.75,0.75,1.0,1.0,1,1.0
1,47,4,0.75,0.75,1.0,0.0,1,0.0
1,48,3,0.75,0.25,0.0,1.0,1,1.0
1,49,4,0.75,0.75,1.0,1.0,1,1.0
1,50,4,0.75,0.75,1.0,1.0,1,1.0
1,51,4,0.75,0.75,1.0,1.0,1,1.0
1,52,3,0.75,0.25,1.0,0.0,1,0.0
1,53,3,0.75,0.25,1.0,0.0,1,0.0
1,54,4,0.75,0.75,1.0,1.0,1,1.0
1,55,2,0.25,0.75,0.0,0.0,0,0.0
1,56,3,0.75,0.25,1.0,0.0,1,0.0
1,57,2,0.25,0.75,1.0,1.0,0,1.0
1,58,1,0.25,0.25,0.0,0.0,0,0.0
1,59,1,0.25,0.25,0.0,0.0,0,0.0
1,60,1,0.25,0.25,1.0,0.0,0,1.0
1,61,4,0.75,0.75,1.0,0.0,1,0.0
1,62,3,0.75,0.25,1.0,0.0,1,0.0
1,63,3,0.75,0.25,1.0,0.0,1,0.0
1,64,1,0.25,0.25,0.0,1.0,0,0.0
1,65,4,0.75,0.75,1.0,0.0,1,0.0
1,66,2,0.25,0.75,0.0,1.0,0,0.0
1,67,1,0.25,0.25,1.0,1.0,0,1.0
1,68,3,0.75,0.25,0.0,0.0,1,0.0
1,69,2,0.25,0.75,0.0,1.0,0,0.0
1,70,2,0.25,0.75,1.0,1.0,0,1.0
1,71,4,0.75,0.75,0.0,0.0,1,0.0
1,72,2,0.25,0.75,0.0,0.0,0,0.0
1,73,3,0.75,0.25,0.0,0.0,1,0.0
1,74,2,0.25,0.75,0.0,1.0,0,0.0
1,75,4,0.75,0.75,0.0,1.0,1,1.0
1,76,1,0.25,0.25,0.0,0.0,0,0.0
1,77,3,0.75,0.25,1.0,0.0,1,0.0
1,78,4,0.75,0.75,1.0,1.0,1,1.0
1,79,2,0.25,0.75,0.0,1.0,0,0.0
1,80,2,0.25,0.75,0.0,0.0,0,0.0
1,81,2,0.25,0.75,0.0,0.0,0,0.0
1,82,3,0.75,0.25,0.0,1.0,1,1.0
1,83,3,0.75,0.25,1.0,0.0,1,0.0
1,84,3,0.75,0.25,1.0,0.0,1,0.0
1,85,1,0.25,0.25,0.0,0.0,0,0.0
1,86,2,0.25,0.75,0.0,1.0,0,0.0
1,87,1,0.25,0.25,0.0,0.0,0,0.0
1,88,2,0.25,0.75,0.0,0.0,0,0.0
1,89,4,0.75,0.75,1.0,1.0,1,1.0
1,90,2,0.25,0.75,0.0,1.0,0,0.0
1,91,3,0.75,0.25,0.0,1.0,1,1.0
1,92,1,0.25,0.25,0.0,0.0,0,0.0
1,93,1,0.25,0.25,1.0,0.0,0,1.0
1,94,3,0.75,0.25,0.0,0.0,1,0.0
1,95,1,0.25,0.25,0.0,0.0,0,0.0
2,0,4,0.75,0.75,1.0,1.0,0,1.0
2,1,3,0.75,0.25,0.0,0.0,0,0.0
2,2,2,0.25,0.75,1.0,1.0,0,1.0
2,3,2,0.25,0.75,0.0,1.0,0,0.0
2,4,4,0.75,0.75,1.0,1.0,0,1.0
2,5,4,0.75,0.75,1.0,1.0,0,1.0
2,6,1,0.25,0.25,0.0,0.0,0,0.0
2,7,1,0.25,0.25,1.0,1.0,1,1.0
2,8,4,0.75,0.75,0.0,1.0,0,0.0
2,9,4,0.75,0.75,0.0,1.0,0,0.0
2,10,2,0.25,0.75,0.0,1.0,0,0.0
2,11,2,0.25,0.75,0.0,1.0,0,0.0
2,12,1,0.25,0.25,0.0,1.0,1,1.0
2,13,2,0.25,0.75,0.0,1.0,0,0.0
2,14,2,0.25,0.75,0.0,1.0,0,0.0
2,15,3,0.75,0.25,0.0,0.0,1,0.0
2,16,3,0.75,0.25,1.0,1.0,1,1.0
2,17,3,0.75,0.25,1.0,0.0,1,0.0
2,18,4,0.75,0.75,1.0,1.0,0,1.0
2,19,4,0.75,0.75,0.0,1.0,0,0.0
2,20,3,0.75,0.25,1.0,1.0,1,1.0
2,21,3,0.75,0.25,1.0,1.0,1,1.0
2,22,4,0.75,0.75,1.0,1.0,0,1.0
2,23,1,0.25,0.25,1.0,0.0,1,0.0
2,24,3,0.75,0.25,1.0,0.0,1,0.0
2,25,1,0.25,0.25,1.0,1.0,1,1.0
2,26,2,0.25,0.75,0.0,0.0,0,0.0
2,27,1,0.25,0.25,1.0,0.0,1,0.0
2,28,2,0.25,0.75,0.0,0.0,0,0.0
2,29,4,0.75,0.75,1.0,1.0,0,1.0
2,30,1,0.25,0.25,0.0,0.0,1,0.0
2,31,1,0.25,0.25,1.0,0.0,1,0.0
2,32,3,0.75,0.25,1.0,0.0,1,0.0
2,33,2,0.25,0.75,1.0,0.0,0,1.0
2,34,3,0.75,0.25,1.0,0.0,1,0.0
2,35,1,0.25,0.25,0.0,1.0,1,1.0
2,36,4,0.75,0.75,1.0,1.0,0,1.0
2,37,2,0.25,0.75,0.0,1.0,0,0.0
2,38,2,0.25,0.75,0.0,1.0,0,0.0
2,39,2,0.25,0.75,0.0,1.0,0,0.0
2,40,1,0.25,0.25,0.0,0.0,1,0.0
2,41,3,0.75,0.25,0.0,0.0,1,0.0
2,42,4,0.75,0.75,0.0,1.0,0,0.0
2,43,3,0.75,0.25,0.0,1.0,1,1.0
2,44,2,0.25,0.75,0.0,1.0,0,0.0
2,45,1,0.25,0.25,0.0,1.0,1,1.0
2,46,4,0.75,0.75,1.0,1.0,0,1.0
2,47,2,0.25,0.75,0.0,1.0,0,0.0
2,48,2,0.25,0.75,0.0,0.0,0,0.0
2,49,1,0.25,0.25,0.0,0.0,1,0.0
2,50,3,0.75,0.25,1.0,1.0,1,1.0
2,51,3,0.75,0.25,1.0,0.0,1,0.0
2,52,2,0.25,0.75,1.0,0.0,0,1.0
2,53,3,0.75,0.25,1.0,1.0,1,1.0
2,54,4,0.75,0.75,1.0,1.0,0,1.0
2,55,1,0.25,0.25,1.0,1.0,1,1.0
2,56,4,0.75,0.75,1.0,1.0,0,1.0
2,57,4,0.75,0.75,1.0,0.0,0,1.0
2,58,1,0.25,0.25,0.0,0.0,1,0.0
2,59,1,0.25,0.25,0.0,0.0,1,0.0
2,60,4,0.75,0.75,1.0,0.0,0,1.0
2,61,1,0.25,0.25,0.0,0.0,1,0.0
2,62,1,0.25,0.25,0.0,1.0,1,1.0
2,63,2,0.25,0.75,0.0,1.0,0,0.0
2,64,4,0.75,0.75,0.0,1.0,0,0.0
2,65,4,0.75,0.75,1.0,1.0,0,1.0
2,66,4,0.75,0.75,0.0,1.0,0,0.0
2,67,1,0.25,0.25,0.0,0.0,1,0.0
