trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,3,0.75,0.25,1.0,1.0,0,1.0,0
0,1,0.75,0.25,1.0,1.0,0,1.0,0
1,1,0.25,0.25,0.0,0.0,0,0.0,0
1,2,0.25,0.25,0.0,0.0,0,0.0,0
2,2,0.25,0.75,0.0,1.0,0,0.0,0
2,3,0.25,0.75,0.0,1.0,0,0.0,0
3,3,0.75,0.25,0.0,0.0,0,0.0,0
3,4,0.75,0.25,0.0,0.0,0,0.0,0
4,4,0.75,0.75,1.0,1.0,1,1.0,0
4,3,0.75,0.75,1.0,1.0,1,1.0,0
5,3,0.75,0.25,1.0,0.0,1,0.0,0
5,4,0.75,0.25,1.0,0.0,1,0.0,0
6,4,0.75,0.75,1.0,1.0,0,1.0,0
6,1,0.75,0.75,1.0,1.0,0,1.0,0
7,1,0.25,0.25,1.0,1.0,0,1.0,0
7,1,0.25,0.25,1.0,1.0,0,1.0,0
8,1,0.25,0.25,0.0,0.0,1,0.0,0
8,4,0.25,0.25,0.0,0.0,1,0.0,0
9,4,0.75,0.75,1.0,1.0,1,1.0,0
9,1,0.75,0.75,1.0,1.0,1,1.0,0
10,1,0.25,0.25,1.0,0.0,1,0.0,0
10,1,0.25,0.25,1.0,0.0,1,0.0,0
11,1,0.25,0.25,0.0,0.0,1,0.0,0
11,2,0.25,0.25,0.0,0.0,1,0.0,0
12,2,0.25,0.75,0.0,1.0,0,0.0,0
12,1,0.25,0.75,0.0,1.0,0,0.0,0
13,1,0.25,0.25,0.0,0.0,0,0.0,0
13,2,0.25,0.25,0.0,0.0,0,0.0,0
14,2,0.25,0.75,0.0,0.0,1,0.0,0
14,4,0.25,0.75,0.0,0.0,1,0.0,0
15,4,0.75,0.75,1.0,0.0,0,1.0,0
15,1,0.75,0.75,1.0,0.0,0,1.0,0
16,1,0.25,0.25,0.0,0.0,0,0.0,0
16,2,0.25,0.25,0.0,0.0,0,0.0,0
17,2,0.25,0.75,1.0,1.0,0,1.0,0
17,1,0.25,0.75,1.0,1.0,0,1.0,0
18,1,0.25,0.25,0.0,1.0,1,1.0,0
18,1,0.25,0.25,0.0,1.0,1,1.0,0
19,1,0.25,0.25,0.0,0.0,1,0.0,0
19,4,0.25,0.25,0.0,0.0,1,0.0,0
