trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,4,0.75,0.75,1.0,1.0,1,1.0,0
0,3,0.75,0.75,1.0,1.0,1,1.0,0
1,3,0.75,0.25,0.0,1.0,0,0.0,0
1,2,0.75,0.25,0.0,1.0,0,0.0,0
2,2,0.25,0.75,0.0,1.0,1,1.0,0
2,3,0.25,0.75,0.0,1.0,1,1.0,0
3,3,0.75,0.25,0.0,1.0,1,1.0,0
3,3,0.75,0.25,0.0,1.0,1,1.0,0
4,3,0.75,0.25,1.0,0.0,0,1.0,0
4,1,0.75,0.25,1.0,0.0,0,1.0,0
5,1,0.25,0.25,1.0,0.0,1,0.0,0
5,4,0.25,0.25,1.0,0.0,1,0.0,0
6,4,0.75,0.75,1.0,0.0,1,0.0,0
6,4,0.75,0.75,1.0,0.0,1,0.0,0
7,4,0.75,0.75,1.0,1.0,0,1.0,0
7,4,0.75,0.75,1.0,1.0,0,1.0,0
8,4,0.75,0.75,0.0,1.0,0,0.0,0
8,2,0.75,0.75,0.0,1.0,0,0.0,0
9,2,0.25,0.75,1.0,1.0,1,1.0,0
9,1,0.25,0.75,1.0,1.0,1,1.0,0
10,1,0.25,0.25,0.0,0.0,1,0.0,0
10,2,0.25,0.25,0.0,0.0,1,0.0,0
11,2,0.25,0.75,0.0,0.0,1,0.0,0
11,2,0.25,0.75,0.0,0.0,1,0.0,0
12,2,0.25,0.75,0.0,1.0,0,0.0,0
12,3,0.25,0.75,0.0,1.0,0,0.0,0
13,3,0.75,0.25,0.0,0.0,1,0.0,0
13,2,0.75,0.25,0.0,0.0,1,0.0,0
14,2,0.25,0.75,0.0,1.0,1,1.0,0
14,4,0.25,0.75,0.0,1.0,1,1.0,0
15,4,0.75,0.75,1.0,1.0,1,1.0,0
15,3,0.75,0.75,1.0,1.0,1,1.0,0
16,3,0.75,0.25,1.0,0.0,0,1.0,0
16,4,0.75,0.25,1.0,0.0,0,1.0,0
17,4,0.75,0.75,1.0,1.0,1,1.0,0
17,2,0.75,0.75,1.0,1.0,1,1.0,0
18,2,0.25,0.75,0.0,0.0,0,0.0,0
18,1,0.25,0.75,0.0,0.0,0,0.0,0
19,1,0.25,0.25,0.0,1.0,1,1.0,0
19,1,0.25,0.25,0.0,1.0,1,1.0,0
20,1,0.25,0.25,0.0,0.0,0,0.0,0
20,2,0.25,0.25,0.0,0.0,0,0.0,0
21,2,0.25,0.75,0.0,1.0,0,0.0,0
21,3,0.25,0.75,0.0,1.0,0,0.0,0
22,3,0.75,0.25,1.0,0.0,1,0.0,0
22,4,0.75,0.25,1.0,0.0,1,0.0,0
23,4,0.75,0.75,1.0,0.0,1,0.0,0
23,4,0.75,0.75,1.0,0.0,1,0.0,0
24,4,0.75,0.75,1.0,1.0,1,1.0,0
24,1,0.75,0.75,1.0,1.0,1,1.0,0
25,1,0.25,0.25,0.0,0.0,0,0.0,0
25,2,0.25,0.25,0.0,0.0,0,0.0,0
26,2,0.25,0.75,0.0,0.0,1,0.0,0
26,1,0.25,0.75,0.0,0.0,1,0.0,0
27,1,0.25,0.25,1.0,1.0,1,1.0,0
27,4,0.25,0.25,1.0,1.0,1,1.0,0
28,4,0.75,0.75,1.0,0.0,0,1.0,0
28,1,0.75,0.75,1.0,0.0,0,1.0,0
29,1,0.25,0.25,0.0,1.0,1,1.0,0
29,4,0.25,0.25,0.0,1.0,1,1.0,0
30,4,0.75,0.75,1.0,1.0,0,1.0,0
30,2,0.75,0.75,1.0,1.0,0,1.0,0
31,2,0.25,0.75,0.0,0.0,0,0.0,0
31,2,0.25,0.75,0.0,0.0,0,0.0,0
32,2,0.25,0.75,0.0,1.0,0,0.0,0
32,2,0.25,0.75,0.0,1.0,0,0.0,0
