trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,3,0.75,0.25,1.0,0.0,1,0.0,0
0,4,0.75,0.25,1.0,0.0,1,0.0,0
1,4,0.75,0.75,1.0,0.0,0,1.0,0
1,1,0.75,0.75,1.0,0.0,0,1.0,0
2,1,0.25,0.25,1.0,1.0,1,1.0,0
2,1,0.25,0.25,1.0,1.0,1,1.0,0
3,1,0.25,0.25,0.0,1.0,1,1.0,0
3,3,0.25,0.25,0.0,1.0,1,1.0,0
4,3,0.75,0.25,0.0,0.0,1,0.0,0
4,1,0.75,0.25,0.0,0.0,1,0.0,0
5,1,0.25,0.25,1.0,0.0,1,0.0,0
5,4,0.25,0.25,1.0,0.0,1,0.0,0
6,4,0.75,0.75,1.0,0.0,0,1.0,0
6,4,0.75,0.75,1.0,0.0,0,1.0,0
7,4,0.75,0.75,1.0,1.0,0,1.0,0
7,3,0.75,0.75,1.0,1.0,0,1.0,0
8,3,0.75,0.25,1.0,0.0,0,1.0,0
8,2,0.75,0.25,1.0,0.0,0,1.0,0
9,2,0.25,0.75,0.0,1.0,1,1.0,0
9,3,0.25,0.75,0.0,1.0,1,1.0,0
10,3,0.75,0.25,1.0,0.0,1,0.0,0
10,4,0.75,0.25,1.0,0.0,1,0.0,0
11,4,0.75,0.75,1.0,1.0,0,1.0,0
11,4,0.75,0.75,1.0,1.0,0,1.0,0
12,4,0.75,0.75,0.0,0.0,0,0.0,0
12,1,0.75,0.75,0.0,0.0,0,0.0,0
13,1,0.25,0.25,1.0,0.0,1,0.0,0
13,2,0.25,0.25,1.0,0.0,1,0.0,0
14,2,0.25,0.75,1.0,1.0,1,1.0,0
14,1,0.25,0.75,1.0,1.0,1,1.0,0
15,1,0.25,0.25,1.0,0.0,1,0.0,0
15,1,0.25,0.25,1.0,0.0,1,0.0,0
16,1,0.25,0.25,0.0,0.0,1,0.0,0
16,2,0.25,0.25,0.0,0.0,1,0.0,0
17,2,0.25,0.75,0.0,0.0,1,0.0,0
17,4,0.25,0.75,0.0,0.0,1,0.0,0
18,4,0.75,0.75,1.0,0.0,0,1.0,0
18,1,0.75,0.75,1.0,0.0,0,1.0,0
19,1,0.25,0.25,0.0,1.0,1,1.0,0
19,2,0.25,0.25,0.0,1.0,1,1.0,0
20,2,0.25,0.75,1.0,1.0,1,1.0,0
20,4,0.25,0.75,1.0,1.0,1,1.0,0
21,4,0.75,0.75,1.0,1.0,0,1.0,0
21,1,0.75,0.75,1.0,1.0,0,1.0,0
22,1,0.25,0.25,1.0,1.0,1,1.0,0
22,1,0.25,0.25,1.0,1.0,1,1.0,0
23,1,0.25,0.25,1.0,0.0,1,0.0,0
23,4,0.25,0.25,1.0,0.0,1,0.0,0
24,4,0.75,0.75,1.0,1.0,0,1.0,0
24,4,0.75,0.75,1.0,1.0,0,1.0,0
25,4,0.75,0.75,1.0,1.0,0,1.0,0
25,4,0.75,0.75,1.0,1.0,0,1.0,0
26,4,0.75,0.75,0.0,1.0,0,0.0,0
26,3,0.75,0.75,0.0,1.0,0,0.0,0
27,3,0.75,0.25,0.0,1.0,1,1.0,0
27,2,0.75,0.25,0.0,1.0,1,1.0,0
28,2,0.25,0.75,0.0,1.0,1,1.0,0
28,1,0.25,0.75,0.0,1.0,1,1.0,0
29,1,0.25,0.25,0.0,0.0,1,0.0,0
29,1,0.25,0.25,0.0,0.0,1,0.0,0
30,1,0.25,0.25,1.0,1.0,1,1.0,0
30,3,0.25,0.25,1.0,1.0,1,1.0,0
31,3,0.75,0.25,1.0,0.0,1,0.0,0
31,3,0.75,0.25,1.0,0.0,1,0.0,0
32,3,0.75,0.25,1.0,0.0,0,1.0,0
32,1,0.75,0.25,1.0,0.0,0,1.0,0
33,1,0.25,0.25,1.0,0.0,1,0.0,0
33,1,0.25,0.25,1.0,0.0,1,0.0,0
34,1,0.25,0.25,0.0,1.0,1,1.0,0
34,3,0.25,0.25,0.0,1.0,1,1.0,0
35,3,0.75,0.25,1.0,0.0,1,0.0,0
35,2,0.75,0.25,1.0,0.0,1,0.0,0
36,2,0.25,0.75,0.0,0.0,1,0.0,0
36,4,0.25,0.75,0.0,0.0,1,0.0,0
37,4,0.75,0.75,1.0,0.0,0,1.0,0
37,1,0.75,0.75,1.0,0.0,0,1.0,0
38,1,0.25,0.25,1.0,0.0,1,0.0,0
38,4,0.25,0.25,1.0,0.0,1,0.0,0
39,4,0.75,0.75,0.0,1.0,1,1.0,0
39,4,0.75,0.75,0.0,1.0,1,1.0,0
40,4,0.75,0.75,0.0,1.0,0,0.0,0
40,3,0.75,0.75,0.0,1.0,0,0.0,0
41,3,0.75,0.25,1.0,0.0,1,0.0,0
41,3,0.75,0.25,1.0,0.0,1,0.0,0
42,3,0.75,0.25,1.0,1.0,0,1.0,0
42,1,0.75,0.25,1.0,1.0,0,1.0,0
43,1,0.25,0.25,0.0,0.0,1,0.0,0
43,3,0.25,0.25,0.0,0.0,1,0.0,0
44,3,0.75,0.25,1.0,0.0,1,0.0,0
44,3,0.75,0.25,1.0,0.0,1,0.0,0
45,3,0.75,0.25,1.0,0.0,0,1.0,0
45,3,0.75,0.25,1.0,0.0,0,1.0,0
46,3,0.75,0.25,0.0,1.0,0,0.0,0
46,2,0.75,0.25,0.0,1.0,0,0.0,0
47,2,0.25,0.75,0.0,1.0,0,0.0,0
47,2,0.25,0.75,0.0,1.0,0,0.0,0
48,2,0.25,0.75,0.0,1.0,1,1.0,0
48,4,0.25,0.75,0.0,1.0,1,1.0,0
49,4,0.75,0.75,0.0,1.0,0,0.0,0
49,2,0.75,0.75,0.0,1.0,0,0.0,0
50,2,0.25,0.75,1.0,0.0,1,0.0,0
50,2,0.25,0.75,1.0,0.0,1,0.0,0
51,2,0.25,0.75,1.0,1.0,1,1.0,0
51,4,0.25,0.75,1.0,1.0,1,1.0,0
52,4,0.75,0.75,0.0,0.0,1,0.0,0
52,3,0.75,0.75,0.0,0.0,1,0.0,0
53,3,0.75,0.25,0.0,0.0,1,0.0,0
53,4,0.75,0.25,0.0,0.0,1,0.0,0
54,4,0.75,0.75,1.0,1.0,1,1.0,0
54,2,0.75,0.75,1.0,1.0,1,1.0,0
55,2,0.25,0.75,0.0,1.0,1,1.0,0
55,3,0.25,0.75,0.0,1.0,1,1.0,0
56,3,0.75,0.25,0.0,0.0,0,0.0,0
56,1,0.75,0.25,0.0,0.0,0,0.0,0
57,1,0.25,0.25,0.0,0.0,1,0.0,0
57,1,0.25,0.25,0.0,0.0,1,0.0,0
58,1,0.25,0.25,0.0,0.0,1,0.0,0
58,2,0.25,0.25,0.0,0.0,1,0.0,0
59,2,0.25,0.75,1.0,1.0,1,1.0,0
59,3,0.25,0.75,1.0,1.0,1,1.0,0
60,3,0.75,0.25,0.0,0.0,1,0.0,0
60,1,0.75,0.25,0.0,0.0,1,0.0,0
61,1,0.25,0.25,0.0,0.0,1,0.0,0
61,1,0.25,0.25,0.0,0.0,1,0.0,0
62,1,0.25,0.25,0.0,0.0,1,0.0,0
62,4,0.25,0.25,0.0,0.0,1,0.0,0
63,4,0.75,0.75,1.0,1.0,0,1.0,0
63,3,0.75,0.75,1.0,1.0,0,1.0,0
64,3,0.75,0.25,1.0,0.0,1,0.0,0
64,1,0.75,0.25,1.0,0.0,1,0.0,0
65,1,0.25,0.25,0.0,0.0,1,0.0,0
65,2,0.25,0.25,0.0,0.0,1,0.0,0
66,2,0.25,0.75,1.0,1.0,1,1.0,0
66,2,0.25,0.75,1.0,1.0,1,1.0,0
67,2,0.25,0.75,1.0,0.0,0,1.0,0
67,4,0.25,0.75,1.0,0.0,0,1.0,0
68,4,0.75,0.75,1.0,0.0,0,1.0,0
68,2,0.75,0.75,1.0,0.0,0,1.0,0
69,2,0.25,0.75,1.0,1.0,0,1.0,0
69,3,0.25,0.75,1.0,1.0,0,1.0,0
70,3,0.75,0.25,1.0,0.0,1,0.0,0
70,3,0.75,0.25,1.0,0.0,1,0.0,0
71,3,0.75,0.25,1.0,0.0,1,0.0,0
71,2,0.75,0.25,1.0,0.0,1,0.0,0
72,2,0.25,0.75,0.0,0.0,0,0.0,0
72,4,0.25,0.75,0.0,0.0,0,0.0,0
73,4,0.75,0.75,1.0,0.0,0,1.0,0
73,2,0.75,0.75,1.0,0.0,0,1.0,0
74,2,0.25,0.75,0.0,0.0,1,0.0,0
74,3,0.25,0.75,0.0,0.0,1,0.0,0
75,3,0.75,0.25,0.0,0.0,1,0.0,0
75,3,0.75,0.25,0.0,0.0,1,0.0,0
76,3,0.75,0.25,1.0,0.0,1,0.0,0
76,1,0.75,0.25,1.0,0.0,1,0.0,0
77,1,0.25,0.25,0.0,0.0,1,0.0,0
77,4,0.25,0.25,0.0,0.0,1,0.0,0
78,4,0.75,0.75,1.0,1.0,0,1.0,0
78,4,0.75,0.75,1.0,1.0,0,1.0,0
79,4,0.75,0.75,1.0,0.0,0,1.0,0
79,2,0.75,0.75,1.0,0.0,0,1.0,0
80,2,0.25,0.75,0.0,1.0,0,0.0,0
80,2,0.25,0.75,0.0,1.0,0,0.0,0
81,2,0.25,0.75,0.0,1.0,1,1.0,0
81,2,0.25,0.75,0.0,1.0,1,1.0,0
82,2,0.25,0.75,0.0,1.0,0,0.0,0
82,2,0.25,0.75,0.0,1.0,0,0.0,0
83,2,0.25,0.75,0.0,0.0,0,0.0,0
83,1,0.25,0.75,0.0,0.0,0,0.0,0
84,1,0.25,0.25,1.0,0.0,1,0.0,0
84,2,0.25,0.25,1.0,0.0,1,0.0,0
85,2,0.25,0.75,1.0,1.0,1,1.0,0
85,4,0.25,0.75,1.0,1.0,1,1.0,0
86,4,0.75,0.75,1.0,1.0,1,1.0,0
86,4,0.75,0.75,1.0,1.0,1,1.0,0
87,4,0.75,0.75,1.0,1.0,0,1.0,0
87,2,0.75,0.75,1.0,1.0,0,1.0,0
88,2,0.25,0.75,0.0,0.0,1,0.0,0
88,3,0.25,0.75,0.0,0.0,1,0.0,0
89,3,0.75,0.25,1.0,1.0,1,1.0,0
89,1,0.75,0.25,1.0,1.0,1,1.0,0
90,1,0.25,0.25,0.0,0.0,1,0.0,0
90,3,0.25,0.25,0.0,0.0,1,0.0,0
91,3,0.75,0.25,1.0,1.0,1,1.0,0
91,4,0.75,0.25,1.0,1.0,1,1.0,0
92,4,0.75,0.75,1.0,1.0,0,1.0,0
92,2,0.75,0.75,1.0,1.0,0,1.0,0
93,2,0.25,0.75,0.0,1.0,1,1.0,0
93,3,0.25,0.75,0.0,1.0,1,1.0,0
94,3,0.75,0.25,1.0,1.0,0,1.0,0
94,1,0.75,0.25,1.0,1.0,0,1.0,0
95,1,0.25,0.25,1.0,0.0,1,0.0,0
95,1,0.25,0.25,1.0,0.0,1,0.0,0
0,1,0.25,0.25,0.0,0.0,0,0.0,1
0,1,0.25,0.25,0.0,0.0,0,0.0,1
1,1,0.25,0.25,0.0,0.0,1,0.0,1
1,1,0.25,0.25,0.0,0.0,1,0.0,1
2,1,0.25,0.25,1.0,0.0,1,0.0,1
2,4,0.25,0.25,1.0,0.0,1,0.0,1
3,4,0.75,0.75,1.0,1.0,1,1.0,1
3,3,0.75,0.75,1.0,1.0,1,1.0,1
4,3,0.75,0.25,0.0,1.0,0,0.0,1
4,1,0.75,0.25,0.0,1.0,0,0.0,1
5,1,0.25,0.25,0.0,1.0,0,0.0,1
5,4,0.25,0.25,0.0,1.0,0,0.0,1
6,4,0.75,0.75,1.0,1.0,1,1.0,1
6,4,0.75,0.75,1.0,1.0,1,1.0,1
7,4,0.75,0.75,1.0,0.0,1,0.0,1
7,4,0.75,0.75,1.0,0.0,1,0.0,1
8,4,0.75,0.75,1.0,1.0,1,1.0,1
8,1,0.75,0.75,1.0,1.0,1,1.0,1
9,1,0.25,0.25,0.0,0.0,0,0.0,1
9,3,0.25,0.25,0.0,0.0,0,0.0,1
10,3,0.75,0.25,0.0,0.0,0,0.0,1
10,4,0.75,0.25,0.0,0.0,0,0.0,1
11,4,0.75,0.75,1.0,1.0,1,1.0,1
11,3,0.75,0.75,1.0,1.0,1,1.0,1
12,3,0.75,0.25,1.0,0.0,0,1.0,1
12,4,0.75,0.25,1.0,0.0,0,1.0,1
13,4,0.75,0.75,1.0,1.0,1,1.0,1
13,4,0.75,0.75,1.0,1.0,1,1.0,1
14,4,0.75,0.75,0.0,1.0,1,1.0,1
14,3,0.75,0.75,0.0,1.0,1,1.0,1
15,3,0.75,0.25,1.0,0.0,1,0.0,1
15,2,0.75,0.25,1.0,0.0,1,0.0,1
16,2,0.25,0.75,1.0,0.0,1,0.0,1
16,1,0.25,0.75,1.0,0.0,1,0.0,1
17,1,0.25,0.25,0.0,1.0,0,0.0,1
17,1,0.25,0.25,0.0,1.0,0,0.0,1
18,1,0.25,0.25,0.0,0.0,1,0.0,1
18,3,0.25,0.25,0.0,0.0,1,0.0,1
19,3,0.75,0.25,1.0,0.0,1,0.0,1
19,2,0.75,0.25,1.0,0.0,1,0.0,1
20,2,0.25,0.75,1.0,0.0,1,0.0,1
20,1,0.25,0.75,1.0,0.0,1,0.0,1
21,1,0.25,0.25,1.0,0.0,0,1.0,1
21,3,0.25,0.25,1.0,0.0,0,1.0,1
22,3,0.75,0.25,0.0,0.0,0,0.0,1
22,4,0.75,0.25,0.0,0.0,0,0.0,1
23,4,0.75,0.75,0.0,1.0,1,1.0,1
23,3,0.75,0.75,0.0,1.0,1,1.0,1
24,3,0.75,0.25,1.0,1.0,0,1.0,1
24,1,0.75,0.25,1.0,1.0,0,1.0,1
25,1,0.25,0.25,1.0,0.0,0,1.0,1
25,3,0.25,0.25,1.0,0.0,0,1.0,1
26,3,0.75,0.25,0.0,0.0,1,0.0,1
26,2,0.75,0.25,0.0,0.0,1,0.0,1
27,2,0.25,0.75,0.0,1.0,1,1.0,1
27,1,0.25,0.75,0.0,1.0,1,1.0,1
28,1,0.25,0.25,0.0,1.0,0,0.0,1
28,4,0.25,0.25,0.0,1.0,0,0.0,1
29,4,0.75,0.75,0.0,0.0,1,0.0,1
29,4,0.75,0.75,0.0,0.0,1,0.0,1
30,4,0.75,0.75,1.0,1.0,0,1.0,1
30,3,0.75,0.75,1.0,1.0,0,1.0,1
31,3,0.75,0.25,1.0,1.0,0,1.0,1
31,4,0.75,0.25,1.0,1.0,0,1.0,1
32,4,0.75,0.75,1.0,1.0,1,1.0,1
32,1,0.75,0.75,1.0,1.0,1,1.0,1
33,1,0.25,0.25,0.0,1.0,1,1.0,1
33,2,0.25,0.25,0.0,1.0,1,1.0,1
34,2,0.25,0.75,1.0,0.0,1,0.0,1
