trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,4,0.75,0.75,1.0,1.0,0,1.0,0
0,1,0.75,0.75,1.0,1.0,0,1.0,0
1,1,0.25,0.25,0.0,1.0,1,1.0,0
1,4,0.25,0.25,0.0,1.0,1,1.0,0
2,4,0.75,0.75,1.0,0.0,1,0.0,0
2,4,0.75,0.75,1.0,0.0,1,0.0,0
3,4,0.75,0.75,1.0,1.0,0,1.0,0
3,1,0.75,0.75,1.0,1.0,0,1.0,0
4,1,0.25,0.25,0.0,0.0,1,0.0,0
4,4,0.25,0.25,0.0,0.0,1,0.0,0
5,4,0.75,0.75,1.0,1.0,0,1.0,0
5,1,0.75,0.75,1.0,1.0,0,1.0,0
6,1,0.25,0.25,0.0,1.0,0,0.0,0
6,2,0.25,0.25,0.0,1.0,0,0.0,0
7,2,0.25,0.75,0.0,0.0,1,0.0,0
7,3,0.25,0.75,0.0,0.0,1,0.0,0
8,3,0.75,0.25,1.0,0.0,0,1.0,0
8,3,0.75,0.25,1.0,0.0,0,1.0,0
9,3,0.75,0.25,1.0,0.0,1,0.0,0
9,3,0.75,0.25,1.0,0.0,1,0.0,0
10,3,0.75,0.25,1.0,0.0,1,0.0,0
10,1,0.75,0.25,1.0,0.0,1,0.0,0
11,1,0.25,0.25,0.0,0.0,0,0.0,0
11,3,0.25,0.25,0.0,0.0,0,0.0,0
12,3,0.75,0.25,1.0,1.0,1,1.0,0
12,1,0.75,0.25,1.0,1.0,1,1.0,0
13,1,0.25,0.25,0.0,0.0,0,0.0,0
13,3,0.25,0.25,0.0,0.0,0,0.0,0
14,3,0.75,0.25,0.0,1.0,1,1.0,0
14,4,0.75,0.25,0.0,1.0,1,1.0,0
15,4,0.75,0.75,1.0,1.0,1,1.0,0
15,3,0.75,0.75,1.0,1.0,1,1.0,0
16,3,0.75,0.25,0.0,1.0,1,1.0,0
16,4,0.75,0.25,0.0,1.0,1,1.0,0
17,4,0.75,0.75,0.0,1.0,1,1.0,0
17,4,0.75,0.75,0.0,1.0,1,1.0,0
18,4,0.75,0.75,1.0,1.0,0,1.0,0
18,3,0.75,0.75,1.0,1.0,0,1.0,0
19,3,0.75,0.25,1.0,0.0,1,0.0,0
19,3,0.75,0.25,1.0,0.0,1,0.0,0
20,3,0.75,0.25,0.0,0.0,1,0.0,0
20,1,0.75,0.25,0.0,0.0,1,0.0,0
21,1,0.25,0.25,0.0,0.0,1,0.0,0
21,2,0.25,0.25,0.0,0.0,1,0.0,0
22,2,0.25,0.75,0.0,1.0,1,1.0,0
22,2,0.25,0.75,0.0,1.0,1,1.0,0
23,2,0.25,0.75,0.0,1.0,0,0.0,0
23,1,0.25,0.75,0.0,1.0,0,0.0,0
24,1,0.25,0.25,0.0,0.0,0,0.0,0
24,2,0.25,0.25,0.0,0.0,0,0.0,0
25,2,0.25,0.75,0.0,1.0,0,0.0,0
25,4,0.25,0.75,0.0,1.0,0,0.0,0
26,4,0.75,0.75,1.0,1.0,1,1.0,0
26,2,0.75,0.75,1.0,1.0,1,1.0,0
27,2,0.25,0.75,0.0,1.0,0,0.0,0
27,4,0.25,0.75,0.0,1.0,0,0.0,0
28,4,0.75,0.75,1.0,0.0,0,1.0,0
28,1,0.75,0.75,1.0,0.0,0,1.0,0
29,1,0.25,0.25,0.0,0.0,1,0.0,0
29,4,0.25,0.25,0.0,0.0,1,0.0,0
30,4,0.75,0.75,1.0,1.0,1,1.0,0
30,3,0.75,0.75,1.0,1.0,1,1.0,0
31,3,0.75,0.25,1.0,0.0,1,0.0,0
31,3,0.75,0.25,1.0,0.0,1,0.0,0
32,3,0.75,0.25,1.0,0.0,1,0.0,0
32,3,0.75,0.25,1.0,0.0,1,0.0,0
33,3,0.75,0.25,1.0,0.0,0,1.0,0
33,1,0.75,0.25,1.0,0.0,0,1.0,0
34,1,0.25,0.25,1.0,0.0,1,0.0,0
34,1,0.25,0.25,1.0,0.0,1,0.0,0
35,1,0.25,0.25,0.0,0.0,1,0.0,0
35,1,0.25,0.25,0.0,0.0,1,0.0,0
36,1,0.25,0.25,0.0,0.0,1,0.0,0
36,1,0.25,0.25,0.0,0.0,1,0.0,0
37,1,0.25,0.25,0.0,0.0,0,0.0,0
37,1,0.25,0.25,0.0,0.0,0,0.0,0
38,1,0.25,0.25,0.0,0.0,1,0.0,0
38,2,0.25,0.25,0.0,0.0,1,0.0,0
39,2,0.25,0.75,0.0,1.0,0,0.0,0
39,4,0.25,0.75,0.0,1.0,0,0.0,0
40,4,0.75,0.75,1.0,0.0,1,0.0,0
40,4,0.75,0.75,1.0,0.0,1,0.0,0
41,4,0.75,0.75,1.0,1.0,0,1.0,0
41,2,0.75,0.75,1.0,1.0,0,1.0,0
42,2,0.25,0.75,0.0,1.0,1,1.0,0
42,3,0.25,0.75,0.0,1.0,1,1.0,0
43,3,0.75,0.25,0.0,0.0,0,0.0,0
43,4,0.75,0.25,0.0,0.0,0,0.0,0
44,4,0.75,0.75,1.0,0.0,0,1.0,0
44,2,0.75,0.75,1.0,0.0,0,1.0,0
45,2,0.25,0.75,0.0,1.0,1,1.0,0
45,1,0.25,0.75,0.0,1.0,1,1.0,0
46,1,0.25,0.25,0.0,0.0,0,0.0,0
46,2,0.25,0.25,0.0,0.0,0,0.0,0
47,2,0.25,0.75,0.0,1.0,1,1.0,0
47,4,0.25,0.75,0.0,1.0,1,1.0,0
48,4,0.75,0.75,1.0,1.0,0,1.0,0
48,1,0.75,0.75,1.0,1.0,0,1.0,0
49,1,0.25,0.25,0.0,0.0,1,0.0,0
49,3,0.25,0.25,0.0,0.0,1,0.0,0
50,3,0.75,0.25,1.0,0.0,1,0.0,0
50,3,0.75,0.25,1.0,0.0,1,0.0,0
51,3,0.75,0.25,0.0,0.0,0,0.0,0
51,2,0.75,0.25,0.0,0.0,0,0.0,0
