trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,3,0.75,0.25,1.0,1.0,0,1.0,0
0,2,0.75,0.25,1.0,1.0,0,1.0,0
1,2,0.25,0.75,0.0,1.0,1,1.0,0
1,3,0.25,0.75,0.0,1.0,1,1.0,0
2,3,0.75,0.25,1.0,0.0,0,1.0,0
2,3,0.75,0.25,1.0,0.0,0,1.0,0
3,3,0.75,0.25,1.0,0.0,1,0.0,0
3,1,0.75,0.25,1.0,0.0,1,0.0,0
4,1,0.25,0.25,1.0,0.0,0,1.0,0
4,4,0.25,0.25,1.0,0.0,0,1.0,0
5,4,0.75,0.75,0.0,0.0,1,0.0,0
5,1,0.75,0.75,0.0,0.0,1,0.0,0
6,1,0.25,0.25,0.0,0.0,0,0.0,0
6,2,0.25,0.25,0.0,0.0,0,0.0,0
7,2,0.25,0.75,0.0,1.0,1,1.0,0
7,3,0.25,0.75,0.0,1.0,1,1.0,0
8,3,0.75,0.25,1.0,0.0,0,1.0,0
8,2,0.75,0.25,1.0,0.0,0,1.0,0
9,2,0.25,0.75,0.0,1.0,1,1.0,0
9,2,0.25,0.75,0.0,1.0,1,1.0,0
10,2,0.25,0.75,0.0,1.0,1,1.0,0
10,2,0.25,0.75,0.0,1.0,1,1.0,0
11,2,0.25,0.75,0.0,1.0,1,1.0,0
11,3,0.25,0.75,0.0,1.0,1,1.0,0
12,3,0.75,0.25,0.0,1.0,0,0.0,0
12,2,0.75,0.25,0.0,1.0,0,0.0,0
13,2,0.25,0.75,0.0,1.0,1,1.0,0
13,1,0.25,0.75,0.0,1.0,1,1.0,0
14,1,0.25,0.25,0.0,0.0,1,0.0,0
14,2,0.25,0.25,0.0,0.0,1,0.0,0
15,2,0.25,0.75,0.0,1.0,1,1.0,0
15,4,0.25,0.75,0.0,1.0,1,1.0,0
16,4,0.75,0.75,0.0,1.0,0,0.0,0
16,4,0.75,0.75,0.0,1.0,0,0.0,0
17,4,0.75,0.75,1.0,0.0,1,0.0,0
17,2,0.75,0.75,1.0,0.0,1,0.0,0
18,2,0.25,0.75,0.0,1.0,1,1.0,0
18,2,0.25,0.75,0.0,1.0,1,1.0,0
19,2,0.25,0.75,0.0,1.0,1,1.0,0
19,4,0.25,0.75,0.0,1.0,1,1.0,0
20,4,0.75,0.75,0.0,1.0,1,1.0,0
20,4,0.75,0.75,0.0,1.0,1,1.0,0
21,4,0.75,0.75,0.0,1.0,1,1.0,0
21,1,0.75,0.75,0.0,1.0,1,1.0,0
22,1,0.25,0.25,0.0,1.0,0,0.0,0
22,2,0.25,0.25,0.0,1.0,0,0.0,0
23,2,0.25,0.75,0.0,0.0,1,0.0,0
23,3,0.25,0.75,0.0,0.0,1,0.0,0
24,3,0.75,0.25,1.0,0.0,1,0.0,0
24,4,0.75,0.25,1.0,0.0,1,0.0,0
25,4,0.75,0.75,1.0,0.0,0,1.0,0
25,1,0.75,0.75,1.0,0.0,0,1.0,0
26,1,0.25,0.25,1.0,0.0,1,0.0,0
26,3,0.25,0.25,1.0,0.0,1,0.0,0
27,3,0.75,0.25,1.0,0.0,0,1.0,0
27,1,0.75,0.25,1.0,0.0,0,1.0,0
28,1,0.25,0.25,1.0,0.0,1,0.0,0
28,4,0.25,0.25,1.0,0.0,1,0.0,0
29,4,0.75,0.75,0.0,0.0,1,0.0,0
29,1,0.75,0.75,0.0,0.0,1,0.0,0
30,1,0.25,0.25,0.0,0.0,1,0.0,0
30,2,0.25,0.25,0.0,0.0,1,0.0,0
31,2,0.25,0.75,1.0,0.0,0,1.0,0
31,1,0.25,0.75,1.0,0.0,0,1.0,0
32,1,0.25,0.25,1.0,1.0,0,1.0,0
32,4,0.25,0.25,1.0,1.0,0,1.0,0
33,4,0.75,0.75,1.0,1.0,1,1.0,0
33,1,0.75,0.75,1.0,1.0,1,1.0,0
34,1,0.25,0.25,1.0,0.0,0,1.0,0
34,1,0.25,0.25,1.0,0.0,0,1.0,0
35,1,0.25,0.25,0.0,1.0,0,0.0,0
35,4,0.25,0.25,0.0,1.0,0,0.0,0
36,4,0.75,0.75,1.0,1.0,0,1.0,0
36,3,0.75,0.75,1.0,1.0,0,1.0,0
37,3,0.75,0.25,1.0,1.0,1,1.0,0
37,3,0.75,0.25,1.0,1.0,1,1.0,0
38,3,0.75,0.25,1.0,1.0,1,1.0,0
38,1,0.75,0.25,1.0,1.0,1,1.0,0
39,1,0.25,0.25,0.0,1.0,0,0.0,0
39,3,0.25,0.25,0.0,1.0,0,0.0,0
40,3,0.75,0.25,1.0,0.0,1,0.0,0
40,1,0.75,0.25,1.0,0.0,1,0.0,0
41,1,0.25,0.25,0.0,1.0,0,0.0,0
41,3,0.25,0.25,0.0,1.0,0,0.0,0
42,3,0.75,0.25,1.0,0.0,1,0.0,0
42,2,0.75,0.25,1.0,0.0,1,0.0,0
43,2,0.25,0.75,1.0,1.0,1,1.0,0
43,4,0.25,0.75,1.0,1.0,1,1.0,0
44,4,0.75,0.75,1.0,1.0,0,1.0,0
44,3,0.75,0.75,1.0,1.0,0,1.0,0
45,3,0.75,0.25,1.0,0.0,1,0.0,0
45,1,0.75,0.25,1.0,0.0,1,0.0,0
46,1,0.25,0.25,1.0,0.0,1,0.0,0
46,2,0.25,0.25,1.0,0.0,1,0.0,0
47,2,0.25,0.75,1.0,1.0,1,1.0,0
47,2,0.25,0.75,1.0,1.0,1,1.0,0
48,2,0.25,0.75,0.0,1.0,1,1.0,0
48,2,0.25,0.75,0.0,1.0,1,1.0,0
49,2,0.25,0.75,1.0,1.0,1,1.0,0
49,2,0.25,0.75,1.0,1.0,1,1.0,0
50,2,0.25,0.75,1.0,1.0,0,1.0,0
50,1,0.25,0.75,1.0,1.0,0,1.0,0
51,1,0.25,0.25,0.0,0.0,0,0.0,0
51,4,0.25,0.25,0.0,0.0,0,0.0,0
52,4,0.75,0.75,0.0,1.0,1,1.0,0
52,4,0.75,0.75,0.0,1.0,1,1.0,0
53,4,0.75,0.75,1.0,1.0,1,1.0,0
53,4,0.75,0.75,1.0,1.0,1,1.0,0
54,4,0.75,0.75,1.0,1.0,0,1.0,0
54,1,0.75,0.75,1.0,1.0,0,1.0,0
55,1,0.25,0.25,0.0,0.0,1,0.0,0
55,4,0.25,0.25,0.0,0.0,1,0.0,0
56,4,0.75,0.75,1.0,0.0,1,0.0,0
56,3,0.75,0.75,1.0,0.0,1,0.0,0
57,3,0.75,0.25,0.0,0.0,1,0.0,0
57,3,0.75,0.25,0.0,0.0,1,0.0,0
58,3,0.75,0.25,0.0,1.0,1,1.0,0
58,2,0.75,0.25,0.0,1.0,1,1.0,0
59,2,0.25,0.75,0.0,1.0,1,1.0,0
59,3,0.25,0.75,0.0,1.0,1,1.0,0
