run,trial,task,choice,reward
0,0,3,0,0.0
0,1,4,1,1.0
0,2,4,1,1.0
0,3,3,0,0.0
0,4,1,1,0.0
0,5,1,0,0.0
0,6,2,0,1.0
0,7,3,0,0.0
0,8,4,1,0.0
0,9,3,1,0.0
0,10,4,0,1.0
0,11,1,0,1.0
0,12,2,0,1.0
0,13,2,0,1.0
0,14,1,0,0.0
0,15,2,1,1.0
0,16,1,1,0.0
0,17,1,0,0.0
0,18,2,1,0.0
0,19,2,0,1.0
0,20,3,0,1.0
0,21,3,0,0.0
0,22,2,0,1.0
0,23,3,1,1.0
0,24,2,0,0.0
0,25,1,1,0.0
0,26,4,0,0.0
0,27,4,1,1.0
0,28,4,1,1.0
0,29,1,1,1.0
0,30,4,0,1.0
0,31,3,1,1.0
0,32,2,0,1.0
0,33,3,1,1.0
0,34,4,0,1.0
0,35,3,1,1.0
0,36,4,0,1.0
0,37,2,0,1.0
0,38,4,0,0.0
0,39,2,0,0.0
0,40,3,1,1.0
0,41,2,1,0.0
0,42,1,1,0.0
0,43,1,0,1.0
0,44,1,0,0.0
0,45,1,1,0.0
0,46,4,0,1.0
0,47,3,1,0.0
0,48,3,0,0.0
0,49,1,0,0.0
0,50,4,0,0.0
0,51,1,1,0.0
0,52,4,0,1.0
0,53,4,0,1.0
0,54,1,0,1.0
0,55,2,0,1.0
0,56,2,0,1.0
0,57,2,0,1.0
0,58,4,0,1.0
0,59,2,0,0.0
0,60,3,1,1.0
0,61,3,1,0.0
0,62,1,0,0.0
0,63,3,1,1.0
0,64,1,1,0.0
0,65,3,1,0.0
0,66,3,0,0.0
0,67,2,0,1.0
0,68,4,0,1.0
0,69,1,1,0.0
0,70,1,0,1.0
0,71,4,0,1.0
0,72,4,0,0.0
0,73,3,1,1.0
0,74,3,1,1.0
0,75,1,0,0.0
0,76,2,0,1.0
0,77,4,0,1.0
0,78,2,0,0.0
0,79,2,0,1.0
0,80,4,0,1.0
0,81,4,0,1.0
0,82,3,1,0.0
0,83,1,0,0.0
0,84,3,0,0.0
0,85,2,0,1.0
0,86,2,0,0.0
0,87,4,0,0.0
0,88,2,1,0.0
0,89,4,0,1.0
0,90,1,1,1.0
0,91,3,0,0.0
0,92,1,1,0.0
0,93,1,1,0.0
0,94,3,1,1.0
0,95,2,0,1.0
1,0,1,1,0.0
1,1,4,1,1.0
1,2,2,0,1.0
1,3,1,0,0.0
1,4,2,1,0.0
1,5,1,1,1.0
1,6,3,0,1.0
1,7,2,0,0.0
1,8,1,1,0.0
1,9,2,0,1.0
1,10,3,0,0.0
1,11,4,1,1.0
1,12,3,1,1.0
1,13,4,1,0.0
1,14,3,1,1.0
1,15,4,1,1.0
1,16,2,0,0.0
1,17,1,1,0.0
1,18,3,1,0.0
1,19,4,1,0.0
1,20,1,1,0.0
1,21,3,1,1.0
1,22,3,1,1.0
1,23,4,1,1.0
1,24,1,0,1.0
1,25,2,0,1.0
1,26,2,0,1.0
1,27,1,0,0.0
1,28,4,1,1.0
1,29,4,1,1.0
1,30,3,1,1.0
1,31,2,0,1.0
1,32,3,1,1.0
1,33,3,1,0.0
1,34,2,0,1.0
1,35,2,0,0.0
1,36,4,1,1.0
1,37,3,1,1.0
1,38,2,0,1.0
1,39,2,0,1.0
1,40,3,1,1.0
1,41,4,1,1.0
1,42,1,0,0.0
1,43,1,0,1.0
1,44,4,1,1.0
1,45,1,0,0.0
1,46,1,0,0.0
1,47,4,1,0.0
1,48,3,1,1.0
1,49,1,0,0.0
1,50,3,1,1.0
1,51,4,1,0.0
1,52,3,1,1.0
1,53,1,0,1.0
1,54,2,0,1.0
1,55,3,1,0.0
1,56,1,1,0.0
1,57,2,0,0.0
1,58,4,1,1.0
1,59,2,0,1.0
1,60,2,0,1.0
1,61,4,1,1.0
1,62,1,0,0.0
1,63,4,1,1.0
1,64,3,1,0.0
1,65,3,1,1.0
1,66,3,1,1.0
1,67,1,0,0.0
1,68,4,1,1.0
1,69,2,0,0.0
1,70,1,0,1.0
1,71,2,0,1.0
1,72,2,0,1.0
1,73,4,1,1.0
1,74,1,1,0.0
1,75,2,0,1.0
1,76,4,1,0.0
1,77,4,1,1.0
1,78,3,1,1.0
1,79,1,1,0.0
1,80,4,1,1.0
1,81,4,1,1.0
1,82,4,1,1.0
1,83,2,0,1.0
1,84,3,1,1.0
1,85,1,1,0.0
1,86,1,0,0.0
1,87,2,0,1.0
1,88,2,0,1.0
1,89,1,0,1.0
1,90,1,0,0.0
1,91,3,1,1.0
1,92,3,1,0.0
1,93,4,1,0.0
1,94,3,1,1.0
1,95,2,0,0.0
2,0,3,1,0.0
2,1,4,0,0.0
2,2,4,1,1.0
2,3,3,0,0.0
2,4,2,1,1.0
2,5,2,1,0.0
2,6,3,0,0.0
2,7,3,1,1.0
2,8,2,1,0.0
2,9,1,1,0.0
2,10,1,0,0.0
2,11,2,1,0.0
2,12,4,0,1.0
2,13,1,1,0.0
2,14,1,1,1.0
2,15,4,0,1.0
2,16,1,1,0.0
2,17,4,0,0.0
2,18,3,1,1.0
2,19,4,0,1.0
2,20,1,1,0.0
2,21,2,1,0.0
2,22,2,1,1.0
2,23,4,0,1.0
2,24,4,0,1.0
2,25,1,1,1.0
2,26,3,1,1.0
2,27,1,1,0.0
2,28,2,1,0.0
2,29,3,1,0.0
2,30,3,1,1.0
2,31,2,0,1.0
2,32,1,1,0.0
2,33,2,0,1.0
2,34,2,0,1.0
2,35,3,1,1.0
2,36,3,1,1.0
2,37,1,0,0.0
2,38,2,0,1.0
2,39,4,1,0.0
2,40,2,0,0.0
2,41,1,1,0.0
2,42,4,1,1.0
2,43,4,1,1.0
2,44,3,1,1.0
2,45,4,1,1.0
2,46,3,1,0.0
2,47,1,1,1.0
2,48,1,1,0.0
2,49,3,1,1.0
2,50,2,0,1.0
2,51,1,1,1.0
2,52,4,1,0.0
2,53,3,1,1.0
2,54,2,0,0.0
2,55,1,1,0.0
2,56,3,1,1.0
2,57,4,1,1.0
2,58,2,0,1.0
2,59,2,0,1.0
2,60,4,1,1.0
2,61,3,1,0.0
2,62,1,1,0.0
2,63,4,1,1.0
2,64,2,0,1.0
2,65,3,1,1.0
2,66,4,1,1.0
2,67,4,1,1.0
2,68,2,0,0.0
2,69,3,1,1.0
2,70,1,1,0.0
2,71,1,1,0.0
2,72,3,1,1.0
2,73,2,0,1.0
2,74,4,1,1.0
2,75,1,0,0.0
2,76,1,1,1.0
2,77,4,1,0.0
2,78,2,0,1.0
2,79,3,1,0.0
2,80,2,0,0.0
2,81,4,1,1.0
2,82,4,1,1.0
2,83,2,0,1.0
2,84,2,0,1.0
2,85,4,1,0.0
2,86,3,1,1.0
2,87,2,0,1.0
2,88,4,1,1.0
2,89,3,1,0.0
2,90,3,1,1.0
2,91,1,1,0.0
2,92,1,1,1.0
2,93,3,1,1.0
2,94,1,1,0.0
2,95,1,0,0.0
3,0,1,0,0.0
3,1,1,0,0.0
3,2,1,1,0.0
3,3,1,0,1.0
3,4,2,0,1.0
3,5,3,1,0.0
3,6,3,0,0.0
3,7,2,0,1.0
3,8,4,1,0.0
3,9,3,0,0.0
3,10,2,0,1.0
3,11,4,1,1.0
3,12,4,1,1.0
3,13,3,0,0.0
3,14,2,0,0.0
3,15,4,1,1.0
3,16,4,1,0.0
3,17,2,0,1.0
3,18,1,0,0.0
3,19,2,0,1.0
3,20,4,1,1.0
3,21,1,0,0.0
3,22,3,0,0.0
3,23,1,1,0.0
3,24,2,1,1.0
3,25,3,1,0.0
3,26,3,1,1.0
3,27,3,0,0.0
3,28,2,0,1.0
3,29,4,1,1.0
3,30,1,0,1.0
3,31,4,1,1.0
3,32,4,0,0.0
3,33,3,0,1.0
3,34,2,1,1.0
3,35,1,0,0.0
3,36,3,0,0.0
3,37,1,0,1.0
3,38,2,1,0.0
3,39,4,1,1.0
3,40,3,0,0.0
3,41,4,1,1.0
3,42,2,0,1.0
3,43,2,1,0.0
3,44,4,1,1.0
3,45,1,0,0.0
3,46,3,1,1.0
3,47,1,0,0.0
3,48,1,0,0.0
3,49,2,0,1.0
3,50,2,1,0.0
3,51,3,1,0.0
3,52,2,1,0.0
3,53,4,1,0.0
3,54,1,0,0.0
3,55,4,1,1.0
3,56,3,0,0.0
3,57,3,1,1.0
3,58,1,0,0.0
3,59,4,1,1.0
3,60,3,0,0.0
3,61,2,0,0.0
3,62,4,1,1.0
3,63,1,0,1.0
3,64,3,0,1.0
3,65,3,1,1.0
3,66,4,1,1.0
3,67,1,0,0.0
3,68,1,1,0.0
3,69,3,0,0.0
3,70,1,0,0.0
3,71,4,1,1.0
3,72,2,0,1.0
3,73,2,0,1.0
3,74,4,1,1.0
3,75,1,0,1.0
3,76,3,1,1.0
3,77,2,0,1.0
3,78,4,1,0.0
3,79,2,0,0.0
3,80,1,0,0.0
3,81,1,0,0.0
3,82,1,1,0.0
3,83,3,1,1.0
3,84,2,0,1.0
3,85,3,1,0.0
3,86,2,0,1.0
3,87,4,1,0.0
3,88,4,1,1.0
3,89,3,0,0.0
3,90,2,0,1.0
3,91,3,1,1.0
3,92,4,1,1.0
3,93,4,1,1.0
3,94,2,0,0.0
3,95,1,0,1.0
4,0,3,1,1.0
4,1,2,1,0.0
4,2,4,0,1.0
4,3,3,1,1.0
4,4,2,1,0.0
4,5,1,0,0.0
4,6,4,0,1.0
4,7,4,0,0.0
4,8,4,0,1.0
4,9,1,1,1.0
4,10,2,0,0.0
4,11,3,1,1.0
4,12,2,0,1.0
4,13,1,1,0.0
4,14,3,1,0.0
4,15,1,0,0.0
4,16,3,1,1.0
4,17,1,0,0.0
4,18,2,1,0.0
4,19,4,0,1.0
4,20,1,1,0.0
4,21,1,1,1.0
4,22,4,0,1.0
4,23,2,0,0.0
4,24,1,1,0.0
4,25,2,1,0.0
4,26,4,0,1.0
4,27,3,1,1.0
4,28,4,1,0.0
4,29,3,1,1.0
4,30,3,1,0.0
4,31,2,0,1.0
4,32,1,1,1.0
4,33,4,0,1.0
4,34,2,0,1.0
4,35,3,1,1.0
4,36,3,0,1.0
4,37,1,1,0.0
4,38,4,0,0.0
4,39,1,1,0.0
4,40,3,1,1.0
4,41,2,0,0.0
4,42,4,0,1.0
4,43,2,0,1.0
4,44,3,1,1.0
4,45,1,1,0.0
4,46,2,0,1.0
4,47,4,0,1.0
4,48,3,1,1.0
4,49,3,0,1.0
4,50,1,1,0.0
4,51,1,1,0.0
4,52,2,0,1.0
4,53,3,1,1.0
4,54,4,0,1.0
4,55,2,0,1.0
4,56,2,1,0.0
4,57,3,1,1.0
4,58,4,0,1.0
4,59,4,1,1.0
4,60,2,0,0.0
4,61,1,1,1.0
4,62,1,0,0.0
4,63,4,0,0.0
4,64,3,1,1.0
4,65,1,1,1.0
4,66,4,0,1.0
4,67,3,1,1.0
4,68,1,1,0.0
4,69,3,1,0.0
4,70,3,1,1.0
4,71,2,0,1.0
4,72,2,0,1.0
4,73,4,0,0.0
4,74,2,0,1.0
4,75,1,1,0.0
4,76,4,0,1.0
4,77,2,0,0.0
4,78,4,0,1.0
4,79,1,0,0.0
4,80,2,0,1.0
4,81,1,1,0.0
4,82,3,1,0.0
4,83,2,1,0.0
4,84,2,1,0.0
4,85,1,1,0.0
4,86,3,1,1.0
4,87,2,1,1.0
4,88,4,0,1.0
4,89,4,0,0.0
4,90,3,1,1.0
4,91,4,0,1.0
4,92,1,1,1.0
4,93,3,1,1.0
4,94,4,0,1.0
4,95,1,0,0.0
5,0,3,0,0.0
5,1,4,0,1.0
5,2,1,1,1.0
5,3,1,1,0.0
5,4,4,0,0.0
5,5,2,1,0.0
5,6,4,0,1.0
5,7,4,0,1.0
5,8,3,1,1.0
5,9,1,0,0.0
5,10,2,0,1.0
5,11,1,1,0.0
5,12,3,0,1.0
5,13,2,0,1.0
5,14,2,0,0.0
5,15,3,0,0.0
5,16,4,0,1.0
5,17,1,1,1.0
5,18,3,1,1.0
