run,trial,task,mean0,mean1,reward0,reward1,choice,reward
0,0,1,0.25,0.25,1.0,1.0,0,1.0
0,1,4,0.75,0.75,1.0,1.0,0,1.0
0,2,3,0.75,0.25,1.0,0.0,1,0.0
0,3,4,0.75,0.75,1.0,1.0,1,1.0
0,4,1,0.25,0.25,1.0,0.0,0,1.0
0,5,3,0.75,0.25,0.0,0.0,0,0.0
0,6,3,0.75,0.25,1.0,1.0,0,1.0
0,7,1,0.25,0.25,1.0,0.0,0,1.0
0,8,1,0.25,0.25,0.0,0.0,0,0.0
0,9,2,0.25,0.75,1.0,0.0,0,1.0
0,10,4,0.75,0.75,1.0,1.0,1,1.0
0,11,4,0.75,0.75,0.0,1.0,1,1.0
0,12,4,0.75,0.75,1.0,0.0,1,0.0
0,13,1,0.25,0.25,1.0,0.0,0,1.0
0,14,3,0.75,0.25,1.0,0.0,0,1.0
0,15,4,0.75,0.75,0.0,1.0,0,0.0
0,16,1,0.25,0.25,0.0,0.0,0,0.0
0,17,3,0.75,0.25,1.0,0.0,0,1.0
0,18,2,0.25,0.75,0.0,0.0,0,0.0
0,19,2,0.25,0.75,0.0,0.0,0,0.0
0,20,4,0.75,0.75,1.0,1.0,1,1.0
0,21,3,0.75,0.25,1.0,0.0,0,1.0
0,22,4,0.75,0.75,1.0,1.0,1,1.0
0,23,3,0.75,0.25,1.0,0.0,0,1.0
0,24,1,0.25,0.25,0.0,1.0,0,0.0
0,25,2,0.25,0.75,0.0,1.0,1,1.0
0,26,2,0.25,0.75,0.0,1.0,1,1.0
0,27,2,0.25,0.75,1.0,0.0,1,0.0
0,28,2,0.25,0.75,0.0,1.0,1,1.0
0,29,1,0.25,0.25,0.0,0.0,0,0.0
0,30,3,0.75,0.25,1.0,1.0,0,1.0
0,31,2,0.25,0.75,1.0,0.0,1,0.0
0,32,4,0.75,0.75,1.0,1.0,0,1.0
0,33,4,0.75,0.75,1.0,1.0,1,1.0
0,34,1,0.25,0.25,0.0,1.0,0,0.0
0,35,2,0.25,0.75,0.0,1.0,0,0.0
0,36,1,0.25,0.25,0.0,0.0,0,0.0
0,37,2,0.25,0.75,1.0,1.0,0,1.0
0,38,4,0.75,0.75,0.0,0.0,1,0.0
0,39,4,0.75,0.75,1.0,0.0,1,0.0
0,40,4,0.75,0.75,1.0,1.0,0,1.0
0,41,1,0.25,0.25,0.0,0.0,0,0.0
0,42,1,0.25,0.25,0.0,1.0,0,0.0
0,43,1,0.25,0.25,0.0,0.0,0,0.0
0,44,3,0.75,0.25,1.0,0.0,0,1.0
0,45,1,0.25,0.25,0.0,0.0,0,0.0
0,46,3,0.75,0.25,1.0,0.0,0,1.0
0,47,3,0.75,0.25,0.0,0.0,0,0.0
0,48,2,0.25,0.75,1.0,0.0,0,1.0
0,49,1,0.25,0.25,1.0,0.0,0,1.0
0,50,2,0.25,0.75,1.0,1.0,1,1.0
0,51,1,0.25,0.25,0.0,1.0,0,0.0
0,52,3,0.75,0.25,1.0,0.0,0,1.0
0,53,2,0.25,0.75,1.0,0.0,1,0.0
0,54,2,0.25,0.75,0.0,0.0,0,0.0
0,55,4,0.75,0.75,1.0,1.0,1,1.0
0,56,3,0.75,0.25,1.0,0.0,0,1.0
