run,trial,task,mean0,mean1,reward0,reward1,choice,reward
0,0,2,0.25,0.75,0.0,0.0,0,0.0
0,1,2,0.25,0.75,0.0,1.0,1,1.0
0,2,3,0.75,0.25,1.0,0.0,0,1.0
0,3,3,0.75,0.25,1.0,0.0,0,1.0
0,4,1,0.25,0.25,1.0,1.0,1,1.0
0,5,2,0.25,0.75,0.0,1.0,1,1.0
0,6,3,0.75,0.25,1.0,0.0,0,1.0
0,7,1,0.25,0.25,0.0,0.0,1,0.0
0,8,4,0.75,0.75,1.0,1.0,0,1.0
0,9,3,0.75,0.25,1.0,0.0,0,1.0
0,10,1,0.25,0.25,0.0,1.0,1,1.0
0,11,2,0.25,0.75,0.0,0.0,1,0.0
0,12,4,0.75,0.75,1.0,1.0,0,1.0
0,13,4,0.75,0.75,1.0,1.0,0,1.0
0,14,2,0.25,0.75,0.0,0.0,1,0.0
0,15,3,0.75,0.25,1.0,0.0,0,1.0
0,16,1,0.25,0.25,0.0,0.0,1,0.0
0,17,3,0.75,0.25,1.0,1.0,0,1.0
0,18,3,0.75,0.25,1.0,0.0,0,1.0
0,19,2,0.25,0.75,1.0,1.0,1,1.0
0,20,1,0.25,0.25,0.0,0.0,1,0.0
0,21,1,0.25,0.25,0.0,0.0,1,0.0
0,22,1,0.25,0.25,0.0,0.0,1,0.0
0,23,3,0.75,0.25,1.0,1.0,0,1.0
0,24,2,0.25,0.75,0.0,1.0,1,1.0
0,25,4,0.75,0.75,1.0,1.0,0,1.0
0,26,2,0.25,0.75,0.0,1.0,1,1.0
0,27,3,0.75,0.25,0.0,0.0,0,0.0
0,28,2,0.25,0.75,0.0,1.0,1,1.0
0,29,3,0.75,0.25,1.0,0.0,0,1.0
0,30,3,0.75,0.25,0.0,0.0,0,0.0
0,31,2,0.25,0.75,0.0,0.0,1,0.0
0,32,1,0.25,0.25,1.0,0.0,1,0.0
0,33,1,0.25,0.25,1.0,0.0,1,0.0
0,34,4,0.75,0.75,0.0,1.0,0,0.0
0,35,1,0.25,0.25,0.0,0.0,1,0.0
0,36,3,0.75,0.25,1.0,0.0,0,1.0
0,37,2,0.25,0.75,0.0,1.0,1,1.0
0,38,2,0.25,0.75,0.0,1.0,1,1.0
0,39,4,0.75,0.75,1.0,1.0,0,1.0
0,40,3,0.75,0.25,1.0,1.0,0,1.0
0,41,4,0.75,0.75,0.0,1.0,0,0.0
0,42,4,0.75,0.75,1.0,1.0,0,1.0
0,43,4,0.75,0.75,1.0,1.0,0,1.0
0,44,4,0.75,0.75,1.0,1.0,0,1.0
0,45,4,0.75,0.75,1.0,1.0,0,1.0
0,46,4,0.75,0.75,1.0,1.0,0,1.0
0,47,1,0.25,0.25,0.0,0.0,1,0.0
0,48,1,0.25,0.25,0.0,0.0,1,0.0
0,49,3,0.75,0.25,1.0,0.0,0,1.0
0,50,3,0.75,0.25,0.0,1.0,0,0.0
0,51,1,0.25,0.25,0.0,0.0,0,0.0
0,52,2,0.25,0.75,0.0,1.0,1,1.0
0,53,1,0.25,0.25,0.0,0.0,1,0.0
0,54,4,0.75,0.75,0.0,1.0,0,0.0
0,55,3,0.75,0.25,1.0,1.0,0,1.0
0,56,1,0.25,0.25,0.0,0.0,0,0.0
0,57,1,0.25,0.25,0.0,1.0,1,1.0
0,58,1,0.25,0.25,0.0,0.0,1,0.0
0,59,1,0.25,0.25,1.0,0.0,1,0.0
0,60,4,0.75,0.75,0.0,1.0,0,0.0
0,61,1,0.25,0.25,0.0,0.0,1,0.0
0,62,3,0.75,0.25,1.0,0.0,0,1.0
0,63,1,0.25,0.25,0.0,0.0,1,0.0
0,64,3,0.75,0.25,1.0,0.0,0,1.0
0,65,4,0.75,0.75,1.0,1.0,0,1.0
0,66,3,0.75,0.25,0.0,0.0,0,0.0
0,67,4,0.75,0.75,0.0,1.0,0,0.0
0,68,4,0.75,0.75,1.0,1.0,0,1.0
0,69,4,0.75,0.75,1.0,1.0,0,1.0
0,70,3,0.75,0.25,1.0,0.0,0,1.0
0,71,2,0.25,0.75,0.0,0.0,1,0.0
0,72,4,0.75,0.75,1.0,0.0,0,1.0
0,73,3,0.75,0.25,1.0,0.0,0,1.0
0,74,2,0.25,0.75,1.0,0.0,1,0.0
0,75,4,0.75,0.75,1.0,1.0,0,1.0
0,76,4,0.75,0.75,1.0,1.0,0,1.0
0,77,1,0.25,0.25,0.0,0.0,1,0.0
0,78,2,0.25,0.75,0.0,0.0,1,0.0
0,79,1,0.25,0.25,0.0,0.0,1,0.0
0,80,2,0.25,0.75,0.0,1.0,1,1.0
0,81,4,0.75,0.75,1.0,1.0,0,1.0
0,82,3,0.75,0.25,1.0,0.0,0,1.0
0,83,2,0.25,0.75,0.0,1.0,1,1.0
0,84,1,0.25,0.25,0.0,1.0,0,0.0
0,85,3,0.75,0.25,1.0,0.0,0,1.0
0,86,2,0.25,0.75,1.0,1.0,1,1.0
0,87,4,0.75,0.75,1.0,1.0,0,1.0
0,88,3,0.75,0.25,1.0,1.0,0,1.0
0,89,2,0.25,0.75,0.0,0.0,1,0.0
0,90,2,0.25,0.75,1.0,0.0,1,0.0
0,91,2,0.25,0.75,1.0,1.0,1,1.0
0,92,2,0.25,0.75,1.0,1.0,1,1.0
0,93,1,0.25,0.25,0.0,0.0,1,0.0
0,94,2,0.25,0.75,0.0,1.0,1,1.0
0,95,4,0.75,0.75,1.0,1.0,0,1.0
1,0,3,0.75,0.25,1.0,1.0,0,1.0
1,1,3,0.75,0.25,1.0,0.0,0,1.0
1,2,1,0.25,0.25,0.0,1.0,1,1.0
1,3,4,0.75,0.75,0.0,1.0,0,0.0
1,4,2,0.25,0.75,0.0,1.0,1,1.0
1,5,3,0.75,0.25,0.0,0.0,0,0.0
1,6,4,0.75,0.75,1.0,1.0,1,1.0
1,7,3,0.75,0.25,0.0,0.0,0,0.0
1,8,4,0.75,0.75,1.0,1.0,1,1.0
1,9,2,0.25,0.75,0.0,1.0,1,1.0
1,10,3,0.75,0.25,1.0,0.0,0,1.0
1,11,2,0.25,0.75,0.0,1.0,1,1.0
1,12,4,0.75,0.75,0.0,0.0,1,0.0
1,13,4,0.75,0.75,1.0,0.0,1,0.0
1,14,3,0.75,0.25,0.0,1.0,0,0.0
1,15,4,0.75,0.75,0.0,1.0,1,1.0
1,16,1,0.25,0.25,0.0,0.0,1,0.0
1,17,3,0.75,0.25,0.0,0.0,0,0.0
1,18,1,0.25,0.25,0.0,0.0,1,0.0
1,19,1,0.25,0.25,0.0,1.0,1,1.0
1,20,3,0.75,0.25,1.0,0.0,0,1.0
1,21,3,0.75,0.25,1.0,1.0,0,1.0
1,22,2,0.25,0.75,0.0,0.0,1,0.0
1,23,4,0.75,0.75,0.0,1.0,1,1.0
1,24,3,0.75,0.25,1.0,0.0,0,1.0
1,25,2,0.25,0.75,0.0,1.0,1,1.0
1,26,1,0.25,0.25,0.0,0.0,1,0.0
1,27,1,0.25,0.25,0.0,1.0,1,1.0
1,28,4,0.75,0.75,1.0,1.0,1,1.0
1,29,2,0.25,0.75,0.0,0.0,1,0.0
1,30,4,0.75,0.75,1.0,0.0,1,0.0
1,31,1,0.25,0.25,0.0,0.0,1,0.0
1,32,3,0.75,0.25,0.0,0.0,0,0.0
1,33,3,0.75,0.25,1.0,0.0,0,1.0
1,34,1,0.25,0.25,1.0,0.0,1,0.0
1,35,4,0.75,0.75,1.0,1.0,1,1.0
1,36,2,0.25,0.75,0.0,1.0,1,1.0
1,37,2,0.25,0.75,0.0,1.0,1,1.0
1,38,3,0.75,0.25,1.0,1.0,0,1.0
1,39,1,0.25,0.25,0.0,0.0,1,0.0
1,40,4,0.75,0.75,1.0,1.0,1,1.0
1,41,2,0.25,0.75,0.0,1.0,1,1.0
1,42,3,0.75,0.25,1.0,0.0,0,1.0
1,43,1,0.25,0.25,0.0,0.0,1,0.0
1,44,4,0.75,0.75,1.0,1.0,1,1.0
1,45,1,0.25,0.25,0.0,0.0,1,0.0
1,46,2,0.25,0.75,0.0,1.0,1,1.0
1,47,4,0.75,0.75,0.0,0.0,1,0.0
1,48,2,0.25,0.75,0.0,1.0,1,1.0
1,49,2,0.25,0.75,0.0,0.0,1,0.0
1,50,3,0.75,0.25,1.0,0.0,0,1.0
1,51,1,0.25,0.25,0.0,0.0,1,0.0
1,52,4,0.75,0.75,0.0,0.0,1,0.0
1,53,1,0.25,0.25,0.0,0.0,1,0.0
1,54,1,0.25,0.25,0.0,0.0,1,0.0
1,55,4,0.75,0.75,1.0,1.0,1,1.0
1,56,2,0.25,0.75,1.0,1.0,1,1.0
1,57,2,0.25,0.75,1.0,1.0,1,1.0
1,58,1,0.25,0.25,1.0,0.0,1,0.0
1,59,2,0.25,0.75,1.0,0.0,1,0.0
1,60,2,0.25,0.75,0.0,1.0,1,1.0
1,61,1,0.25,0.25,0.0,0.0,1,0.0
1,62,1,0.25,0.25,0.0,1.0,1,1.0
1,63,1,0.25,0.25,0.0,0.0,1,0.0
1,64,2,0.25,0.75,0.0,1.0,1,1.0
1,65,2,0.25,0.75,0.0,1.0,1,1.0
1,66,3,0.75,0.25,0.0,0.0,0,0.0
1,67,1,0.25,0.25,0.0,0.0,1,0.0
1,68,4,0.75,0.75,1.0,1.0,1,1.0
1,69,3,0.75,0.25,1.0,0.0,0,1.0
1,70,2,0.25,0.75,0.0,1.0,1,1.0
1,71,3,0.75,0.25,0.0,0.0,0,0.0
1,72,3,0.75,0.25,1.0,0.0,0,1.0
1,73,2,0.25,0.75,1.0,0.0,1,0.0
1,74,1,0.25,0.25,0.0,0.0,1,0.0
1,75,2,0.25,0.75,1.0,0.0,1,0.0
1,76,4,0.75,0.75,1.0,0.0,1,0.0
1,77,3,0.75,0.25,1.0,0.0,0,1.0
1,78,2,0.25,0.75,0.0,0.0,1,0.0
1,79,4,0.75,0.75,0.0,0.0,1,0.0
1,80,2,0.25,0.75,0.0,1.0,1,1.0
1,81,4,0.75,0.75,1.0,1.0,1,1.0
1,82,3,0.75,0.25,1.0,0.0,0,1.0
1,83,1,0.25,0.25,0.0,0.0,0,0.0
1,84,3,0.75,0.25,1.0,0.0,0,1.0
1,85,2,0.25,0.75,1.0,0.0,1,0.0
1,86,3,0.75,0.25,1.0,0.0,0,1.0
1,87,4,0.75,0.75,1.0,1.0,1,1.0
1,88,4,0.75,0.75,0.0,1.0,1,1.0
1,89,1,0.25,0.25,1.0,0.0,1,0.0
1,90,1,0.25,0.25,1.0,1.0,0,1.0
1,91,4,0.75,0.75,1.0,0.0,1,0.0
1,92,4,0.75,0.75,1.0,1.0,1,1.0
1,93,3,0.75,0.25,1.0,1.0,0,1.0
1,94,4,0.75,0.75,1.0,0.0,1,0.0
1,95,1,0.25,0.25,0.0,0.0,0,0.0
2,0,3,0.75,0.25,1.0,1.0,0,1.0
2,1,1,0.25,0.25,0.0,0.0,0,0.0
2,2,3,0.75,0.25,0.0,0.0,0,0.0
2,3,2,0.25,0.75,0.0,1.0,1,1.0
2,4,2,0.25,0.75,0.0,0.0,1,0.0
2,5,2,0.25,0.75,0.0,0.0,1,0.0
2,6,3,0.75,0.25,1.0,0.0,0,1.0
2,7,1,0.25,0.25,1.0,1.0,0,1.0
2,8,1,0.25,0.25,1.0,0.0,0,1.0
2,9,3,0.75,0.25,1.0,1.0,0,1.0
