informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.8,0.71,True,0
False,0.9,0.5,0.91,False,0
True,0.5,0.8,0.71,True,1
False,0.2,0.6,0.29,True,1
True,0.6,0.2,0.75,True,2
False,0.7,0.6,0.78,True,2
True,0.5,0.9,0.91,True,3
False,0.9,0.5,0.91,True,3
True,0.5,0.30000000000000004,0.67,False,4
False,0.9,0.5,0.9,True,4
True,0.4,0.09999999999999998,0.14,True,5
False,0.7,0.4,0.78,True,5
True,0.6,0.7,0.29,True,6
False,0.3,0.5,0.43,False,6
True,0.5,0.09999999999999998,0.11,True,7
False,0.8,0.4,0.67,False,7
True,0.5,0.1,0.11,True,8
False,0.8,0.5,0.71,True,8
True,0.4,0.19999999999999996,0.29,False,9
False,0.3,0.5,0.3,True,9
True,0.5,0.2,0.29,True,10
False,0.7,0.6,0.33,True,10
True,0.6,0.3,0.67,True,11
False,0.9,0.5,0.91,False,11
True,0.5,0.09999999999999998,0.91,False,12
False,0.8,0.6,0.75,False,12
True,0.5,0.8,0.29,False,13
False,0.7,0.6,0.67,True,13
True,0.6,0.19999999999999996,0.75,False,14
False,0.1,0.5,0.11,True,14
True,0.4,0.3,0.29,True,15
False,0.3,0.4,0.33,False,15
True,0.5,0.30000000000000004,0.67,False,16
False,0.8,0.6,0.75,True,16
True,0.6,0.9,0.86,True,17
False,0.2,0.6,0.29,False,17
True,0.5,0.8,0.29,False,18
False,0.1,0.4,0.33,True,18
True,0.5,0.3,0.67,True,19
False,0.2,0.6,0.33,False,19
