informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.8,0.75,False,0
False,0.3,0.6,0.48,True,0
True,0.4,0.7,0.65,False,1
False,0.1,0.4,0.28,True,1
True,0.5,0.9,0.28,False,2
False,0.2,0.5,0.28,True,2
True,0.6,0.2,0.78,False,3
False,0.2,0.5,0.28,True,3
True,0.4,0.2,0.78,True,4
False,0.7,0.5,0.68,False,4
True,0.6,0.2,0.65,True,5
False,0.3,0.6,0.58,False,5
True,0.4,0.2,0.6,True,6
False,0.9,0.4,0.78,False,6
True,0.6,0.3,0.65,False,7
False,0.1,0.5,0.58,True,7
True,0.6,0.8,0.75,True,8
False,0.3,0.6,0.65,False,8
True,0.4,0.3,0.68,True,9
False,0.3,0.5,0.48,True,9
True,0.6,0.2,0.75,False,10
False,0.3,0.5,0.28,False,10
True,0.5,0.1,0.67,True,11
False,0.3,0.5,0.48,True,11
True,0.5,0.1,0.38,True,12
False,0.3,0.5,0.42,False,12
True,0.4,0.7,0.68,True,13
False,0.9,0.5,0.87,True,13
True,0.5,0.7,0.7,True,14
False,0.2,0.4,0.65,False,14
True,0.5,0.2,0.68,False,15
False,0.3,0.5,0.38,True,15
True,0.5,0.7,0.78,False,16
False,0.1,0.5,0.38,False,16
True,0.6,0.8,0.7,True,17
False,0.7,0.6,0.75,True,17
True,0.6,0.1,0.69,False,18
False,0.9,0.5,0.63,True,18
True,0.5,0.7,0.7,False,19
False,0.8,0.4,0.7,False,19
True,0.5,0.3,0.67,False,20
False,0.7,0.6,0.75,True,20
True,0.5,0.8,0.6,False,21
False,0.3,0.5,0.38,False,21
True,0.6,0.3,0.78,False,22
False,0.1,0.4,0.42,True,22
True,0.5,0.8,0.78,False,23
False,0.1,0.5,0.33,False,23
True,0.4,0.8,0.78,False,24
False,0.2,0.5,0.37,False,24
True,0.5,0.8,0.75,True,25
False,0.3,0.5,0.38,False,25
True,0.6,0.8,0.75,True,26
False,0.8,0.5,0.78,True,26
True,0.4,0.9,0.45,False,27
False,0.2,0.5,0.28,True,27
True,0.6,0.3,0.78,False,28
False,0.3,0.5,0.38,False,28
True,0.5,0.7,0.68,False,29
False,0.8,0.5,0.62,False,29
True,0.5,0.7,0.68,True,30
False,0.3,0.5,0.48,True,30
True,0.5,0.8,0.67,True,31
False,0.7,0.6,0.65,False,31
True,0.5,0.2,0.75,True,32
False,0.1,0.6,0.38,False,32
True,0.4,0.9,0.25,True,33
False,0.2,0.5,0.28,False,33
True,0.5,0.1,0.38,False,34
False,0.3,0.6,0.58,False,34
True,0.4,0.7,0.58,True,35
False,0.7,0.5,0.71,True,35
True,0.5,0.1,0.45,False,36
False,0.2,0.5,0.28,False,36
True,0.6,0.7,0.65,False,37
False,0.9,0.5,0.69,False,37
True,0.5,0.9,0.78,True,38
False,0.8,0.4,0.75,False,38
True,0.6,0.3,0.68,False,39
False,0.8,0.5,0.78,True,39
True,0.5,0.3,0.78,True,40
False,0.9,0.5,0.78,False,40
True,0.5,0.3,0.78,True,41
False,0.9,0.5,0.78,False,41
True,0.5,0.7,0.7,True,42
False,0.1,0.4,0.7,False,42
True,0.6,0.3,0.78,True,43
False,0.1,0.5,0.27,True,43
True,0.4,0.2,0.78,True,44
False,0.1,0.4,0.67,True,44
True,0.6,0.9,0.75,True,45
False,0.1,0.5,0.27,True,45
True,0.4,0.8,0.67,True,46
False,0.8,0.6,0.65,False,46
True,0.5,0.8,0.78,False,47
False,0.2,0.5,0.28,False,47
True,0.5,0.1,0.38,True,48
False,0.7,0.4,0.75,False,48
True,0.5,0.7,0.71,True,49
False,0.1,0.6,0.78,False,49
True,0.5,0.8,0.7,True,50
False,0.2,0.4,0.6,True,50
True,0.4,0.1,0.6,False,51
False,0.7,0.6,0.67,True,51
True,0.4,0.1,0.65,True,52
False,0.7,0.5,0.71,True,52
True,0.5,0.2,0.7,True,53
False,0.8,0.4,0.75,True,53
