informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.3,0.44,False,0
False,0.7,0.4,0.69,True,0
True,0.4,0.7,0.5,False,1
False,0.8,0.5,0.8,True,1
True,0.5,0.3,0.5,True,2
False,0.2,0.5,0.1,False,2
True,0.5,0.3,0.25,False,3
False,0.3,0.5,0.41,True,3
True,0.5,0.1,0.22,False,4
False,0.2,0.6,0.11,True,4
True,0.6,0.2,0.34,True,5
False,0.3,0.6,0.37,False,5
True,0.4,0.9,0.16,False,6
False,0.1,0.5,0.1,False,6
True,0.5,0.8,0.5,True,7
False,0.7,0.4,0.47,True,7
True,0.5,0.2,0.5,False,8
False,0.3,0.5,0.03,False,8
True,0.4,0.8,0.55,False,9
False,0.7,0.4,0.52,False,9
True,0.4,0.1,0.08,False,10
False,0.2,0.5,0.0,False,10
True,0.5,0.8,0.33,True,11
False,0.1,0.6,0.0,False,11
True,0.5,0.3,0.45,True,12
False,0.3,0.5,0.07,True,12
True,0.5,0.2,0.7,False,13
False,0.7,0.6,0.69,False,13
True,0.5,0.9,0.79,True,14
False,0.2,0.4,0.05,True,14
True,0.5,0.9,0.5,True,15
False,0.1,0.5,0.11,True,15
True,0.5,0.1,0.5,True,16
False,0.2,0.5,0.0,True,16
True,0.4,0.7,0.28,True,17
False,0.2,0.5,0.02,False,17
True,0.5,0.2,0.87,True,18
False,0.3,0.6,0.25,True,18
True,0.5,0.9,0.5,True,19
False,0.3,0.5,0.44,True,19
True,0.5,0.8,0.18,False,20
False,0.3,0.5,0.33,True,20
True,0.4,0.8,0.1,True,21
False,0.9,0.5,0.75,True,21
True,0.5,0.1,0.5,True,22
False,0.2,0.5,0.08,True,22
True,0.5,0.8,0.33,True,23
False,0.8,0.5,0.75,False,23
True,0.5,0.8,0.67,False,24
False,0.1,0.4,0.97,True,24
True,0.5,0.2,0.8,True,25
False,0.2,0.6,0.18,False,25
True,0.6,0.8,0.4,False,26
False,0.3,0.6,0.45,False,26
True,0.5,0.2,0.0,False,27
False,0.8,0.5,0.75,False,27
True,0.5,0.7,0.67,True,28
False,0.8,0.4,0.8,True,28
True,0.6,0.8,0.68,False,29
False,0.8,0.5,0.5,True,29
True,0.5,0.9,0.63,False,30
False,0.7,0.4,0.56,False,30
True,0.4,0.9,0.44,False,31
False,0.2,0.6,0.54,False,31
True,0.4,0.3,0.29,False,32
False,0.3,0.6,0.08,True,32
True,0.5,0.7,0.75,False,33
False,0.8,0.4,0.93,False,33
True,0.4,0.2,0.08,True,34
False,0.2,0.4,0.14,False,34
True,0.5,0.1,0.71,True,35
False,0.9,0.4,0.75,True,35
True,0.5,0.2,0.84,False,36
False,0.3,0.6,0.5,True,36
True,0.5,0.8,0.0,True,37
False,0.3,0.6,0.05,True,37
True,0.6,0.3,0.59,True,38
False,0.1,0.5,0.22,True,38
True,0.5,0.8,0.0,False,39
False,0.7,0.6,0.5,True,39
True,0.5,0.2,0.33,False,40
False,0.9,0.4,0.75,False,40
True,0.5,0.1,0.5,True,41
False,0.2,0.5,0.02,False,41
True,0.5,0.7,0.72,True,42
