informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.9,0.06,False,0
False,0.7,0.5,0.5,False,0
True,0.6,0.3,0.3,False,1
False,0.3,0.5,0.3,True,1
True,0.5,0.1,0.5,False,2
False,0.3,0.5,0.5,False,2
True,0.6,0.9,0.06,False,3
False,0.9,0.5,0.5,False,3
True,0.5,0.8,0.8,True,4
False,0.7,0.6,0.42,True,4
True,0.5,0.7,0.5,False,5
False,0.9,0.5,0.0,False,5
True,0.5,0.1,0.1,True,6
False,0.1,0.4,0.4,True,6
True,0.5,0.2,0.2,False,7
False,0.2,0.6,0.2,False,7
True,0.5,0.7,11,True,8
False,0.3,0.4,0.2,True,8
True,0.5,0.2,0.2,True,9
False,0.9,0.6,0.75,True,9
True,0.6,0.7,0.7,True,10
False,0.9,0.5,0.5,False,10
True,0.5,0.7,0.76,False,11
False,0.7,0.4,0.6,True,11
True,0.4,0.1,0.04,True,12
False,0.3,0.5,0.5,True,12
True,0.5,0.2,0.5,True,13
False,0.9,0.6,0.08,False,13
True,0.4,0.7,0.33333,True,14
False,0.8,0.5,0.8,True,14
True,0.5,0.3,0.5,True,15
False,0.7,0.6,0.28,False,15
True,0.4,0.3,0.22,True,16
False,0.2,0.4,0.15,True,16
True,0.6,0.3,0.6,True,17
False,0.7,0.5,0.5,True,17
True,0.5,0.7,0.7,True,18
False,0.7,0.5,0.5,False,18
True,0.6,0.2,0.5,True,19
False,0.2,0.4,0.17,True,19
True,0.5,0.7,0.7,False,20
False,0.9,0.6,0.09,True,20
True,0.4,0.1,0.03,True,21
False,0.9,0.4,0.5,False,21
True,0.6,0.9,0.1,False,22
False,0.9,0.4,0.7,False,22
True,0.5,0.8,0.8,False,23
False,0.1,0.6,0.109,True,23
True,0.5,0.2,0.11,True,24
False,0.9,0.6,0.01,True,24
True,0.5,0.8,0.5,True,25
False,0.3,0.5,0.02,True,25
True,0.5,0.3,0.0,False,26
False,0.2,0.5,0.5,True,26
True,0.6,0.8,0.5,False,27
False,0.3,0.4,0.22,True,27
True,0.5,0.7,0.25,False,28
False,0.7,0.5,0.7,True,28
True,0.5,0.8,0.71,True,29
False,0.8,0.5,0.6,True,29
True,0.5,0.8,0.4,True,30
False,0.2,0.5,0.5,True,30
True,0.5,0.1,0.38,False,31
False,0.8,0.6,0.66,True,31
True,0.4,0.2,0.22,False,32
False,0.8,0.5,0.8,True,32
True,0.5,0.3,0.7,False,33
False,0.1,0.5,0.1,False,33
True,0.5,0.3,0.4,True,34
False,0.3,0.4,0.0,False,34
True,0.6,0.1,0.06,False,35
False,0.9,0.5,0.5,True,35
True,0.4,0.1,0.4,False,36
False,0.3,0.5,0.3,False,36
True,0.5,0.7,0.45,False,37
False,0.2,0.5,0.5,True,37
True,0.6,0.1,0.94,False,38
False,0.9,0.5,0.05,False,38
True,0.5,0.2,0.2,True,39
False,0.9,0.4,0.66,False,39
True,0.6,0.8,0.6,False,40
False,0.3,0.5,0.3,True,40
True,0.6,0.2,0.2,False,41
False,0.8,0.6,0.32,False,41
True,0.4,0.2,0.08,True,42
False,0.8,0.5,0.8,False,42
True,0.5,0.1,0.1,True,43
False,0.1,0.6,0.01,True,43
True,0.5,0.2,0.2,False,44
False,0.7,0.5,0.5,False,44
True,0.5,0.3,0.5,False,45
False,0.8,0.6,0.6,True,45
True,0.5,0.1,0.5,True,46
False,0.2,0.6,0.6,True,46
True,0.6,0.9,0.6,True,47
False,0.9,0.5,0.5,False,47
True,0.6,0.8,0.12,False,48
False,0.7,0.6,0.54,True,48
True,0.5,0.2,0.2,True,49
False,0.8,0.5,0.5,True,49
True,0.4,0.9,0.4,False,50
False,0.3,0.6,0.3,False,50
True,0.4,0.8,0.4,False,51
False,0.2,0.4,0.2,False,51
True,0.5,0.2,0.0,False,52
False,0.8,0.4,0.4,True,52
True,0.6,0.7,0.6,True,53
False,0.3,0.5,0.4,True,53
True,0.4,0.2,0.2,True,54
False,0.3,0.5,0.3,True,54
True,0.5,0.2,0.5,True,55
False,0.8,0.5,0.8,False,55
True,0.5,0.3,0.27,True,56
False,0.8,0.6,0.33,False,56
True,0.6,0.1,0.06,True,57
False,0.3,0.6,0.5,False,57
True,0.5,0.3,0.6,True,58
False,0.1,0.5,0.1,False,58
True,0.4,0.3,0.375,False,59
False,0.9,0.4,0.45,False,59
True,0.5,0.7,0.8,True,60
False,0.7,0.6,0.63,True,60
True,0.5,0.8,0.2,False,61
False,0.1,0.6,0.0,True,61
True,0.5,0.2,0.6,True,62
False,0.8,0.5,0.8,False,62
True,0.5,0.1,0.5556,True,63
False,0.7,0.5,0.44,False,63
True,0.4,0.8,0.33,False,64
False,0.7,0.4,0.5,False,64
True,0.4,0.7,0.43,True,65
False,0.7,0.5,0.7,True,65
True,0.5,0.8,0.02,False,66
False,0.7,0.5,0.7,True,66
True,0.6,0.3,0.65,True,67
False,0.8,0.5,0.8,False,67
True,0.6,0.7,0.7,True,68
False,0.9,0.6,0.93103,True,68
True,0.4,0.2,0.2,True,69
False,0.9,0.6,0.5,False,69
True,0.5,0.8,0.2,False,70
False,0.9,0.5,0.9,False,70
True,0.5,0.2,0.5,False,71
False,0.9,0.5,0.47,False,71
True,0.5,0.2,0.2,True,72
False,0.2,0.5,0.1,True,72
True,0.6,0.9,0.2,False,73
False,0.2,0.6,0.5,True,73
True,0.5,0.8,0.1,False,74
False,0.2,0.5,0.2,True,74
True,0.6,0.3,0.39,True,75
False,0.9,0.6,0.9,True,75
True,0.4,0.9,0.4,False,76
False,0.3,0.6,0.6,True,76
True,0.6,0.2,0.5,True,77
False,0.9,0.6,0.5,False,77
True,0.6,0.3,0.6,True,78
False,0.1,0.6,70,False,78
True,0.5,0.1,0.5,True,79
False,0.2,0.6,0.33,False,79
True,0.6,0.3,0.6,True,80
False,0.7,0.4,0.6,False,80
True,0.6,0.3,0.38,False,81
False,0.2,0.6,0.2,True,81
True,0.6,0.2,0.26,True,82
False,0.3,0.4,0.1,False,82
True,0.4,0.7,0.60869,True,83
False,0.9,0.5,0.9,False,83
True,0.5,0.8,0.8,True,84
False,0.9,0.5,0.9,False,84
True,0.4,0.3,0.3,True,85
False,0.3,0.4,0.2,True,85
True,0.5,0.9,0.9,True,86
False,0.2,0.6,0.2,True,86
True,0.6,0.1,0.12,False,87
False,0.8,0.4,0.32,False,87
True,0.5,0.8,0.8,False,88
False,0.3,0.4,0.1,True,88
True,0.4,0.8,0.2,False,89
False,0.3,0.5,0.46,False,89
True,0.5,0.1,0.5,False,90
False,0.3,0.5,0.1,False,90
True,0.6,0.1,0.2,True,91
False,0.2,0.5,0.2,False,91
True,0.6,0.3,0.6,True,92
False,0.2,0.5,0.2,True,92
True,0.4,0.2,0.5,False,93
False,0.9,0.5,0.9,False,93
True,0.4,0.7,0.21,False,94
False,0.8,0.4,0.6,False,94
True,0.6,0.7,0.0,False,95
False,0.1,0.6,0.4,False,95
True,0.5,0.3,0.35,False,96
False,0.2,0.5,0.5,True,96
True,0.6,0.3,0.7,False,97
False,0.3,0.5,0.15,True,97
True,0.5,0.3,0.45,True,98
False,0.2,0.5,87,False,98
True,0.4,0.8,0.06,False,99
False,0.9,0.5,0.9,True,99
True,0.5,0.3,0.3,True,100
False,0.8,0.5,0.5,False,100
True,0.5,0.2,0.5,True,101
False,0.8,0.6,0.2,False,101
True,0.5,0.3,0.3,False,102
False,0.7,0.5,0.7,False,102
True,0.6,0.7,0.78,True,103
False,0.1,0.6,0.625,True,103
True,0.5,0.9,0.4,False,104
False,0.3,0.5,0.5,True,104
True,0.5,0.3,0.3,True,105
False,0.7,0.5,0.7,False,105
True,0.4,0.1,0.5,True,106
False,0.7,0.4,0.72,True,106
True,0.4,0.8,0.14,False,107
False,0.7,0.5,07,False,107
True,0.5,0.9,0.45,True,108
False,0.1,0.5,0.1,False,108
True,0.5,0.1,0.45,True,109
False,0.1,0.5,0.11,False,109
True,0.6,0.2,0.06,False,110
False,0.7,0.4,0.42,False,110
True,0.6,0.1,41,True,111
False,0.2,0.5,0.02,False,111
True,0.4,0.2,73,True,112
False,0.9,0.5,0.818,True,112
True,0.5,0.8,0.5,True,113
False,0.1,0.5,0.5,False,113
True,0.4,0.7,0.24,False,114
False,0.8,0.5,0.8,True,114
True,0.5,0.7,0.3,False,115
False,0.9,0.5,0.45,True,115
True,0.5,0.8,0.4,True,116
False,0.2,0.6,0.06,True,116
True,0.6,0.8,0.6,True,117
False,0.1,0.4,0.06,False,117
True,0.4,0.7,43,True,118
False,0.2,0.4,0.25,True,118
True,0.6,0.1,0.55,True,119
False,0.2,0.5,0.83,False,119
True,0.4,0.7,0.12,False,120
False,0.9,0.6,0.9,True,120
True,0.6,0.2,0.66,False,121
False,0.3,0.4,0.3,True,121
True,0.5,0.3,0.3,False,122
False,0.7,0.6,0.78,True,122
True,0.5,0.9,0.5,True,123
False,0.2,0.4,0.2,False,123
True,0.5,0.8,0.5,False,124
False,0.9,0.5,0.45,False,124
True,0.5,0.3,0.5357,True,125
False,0.7,0.5,0.7,True,125
True,0.5,0.8,0.5,False,126
False,0.9,0.6,0.2,False,126
True,0.4,0.1,0.07,False,127
False,0.7,0.6,0.42,False,127
True,0.5,0.8,0.5,False,128
False,0.3,0.5,0.568,True,128
True,0.5,0.2,0.66,False,129
False,0.8,0.4,0.8,True,129
True,0.5,0.8,0.8,True,130
False,0.9,0.5,0.9,True,130
True,0.6,0.2,0.2,True,131
False,0.9,0.6,39,True,131
True,0.5,0.3,0.6,True,132
False,0.9,0.6,0.8,True,132
True,0.5,0.9,0.45,True,133
False,0.3,0.5,0.5,False,133
True,0.5,0.2,0.2,False,134
False,0.7,0.6,0.0,False,134
True,0.6,0.7,0.78,True,135
False,0.8,0.6,0.5,False,135
True,0.4,0.3,0.273,True,136
False,0.9,0.6,0.9,True,136
True,0.5,0.3,0.15,False,137
False,0.8,0.4,0.8,False,137
True,0.5,0.9,0.0,False,138
False,0.8,0.6,0.73,False,138
True,0.5,0.2,0.2,True,139
False,0.7,0.4,0.7,True,139
True,0.4,0.1,0.01,True,140
False,0.8,0.5,0.5,False,140
True,0.6,0.9,0.81,True,141
False,0.2,0.5,0.05,False,141
True,0.5,0.9,0.6,True,142
False,0.7,0.4,0.254,False,142
True,0.5,0.3,0.75,False,143
False,0.9,0.5,0.9,False,143
True,0.5,0.1,0.1,True,144
False,0.7,0.5,0.7,False,144
True,0.5,0.3,0.15,True,145
False,0.2,0.4,0.1,True,145
True,0.4,0.1,0.07,True,146
False,0.1,0.6,0.42,True,146
True,0.5,0.7,0.5,False,147
False,0.8,0.5,0.2,False,147
