informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.8,0.12,False,0
False,0.8,0.6,0.6,True,0
True,0.6,0.8,0.12,False,1
False,0.2,0.5,0.2,False,1
True,0.6,0.7,0.7,True,2
False,0.1,0.5,0.5,True,2
True,0.5,0.8,0.4,True,3
False,0.7,0.5,0.714,True,3
True,0.6,0.3,0.207,True,4
False,0.8,0.5,0.4,True,4
True,0.5,0.9,0.25,False,5
False,0.7,0.5,0.7,False,5
True,0.6,0.7,0.7,True,6
False,0.3,0.5,0.3,False,6
True,0.5,0.8,0.2,False,7
False,0.7,0.5,0.7,False,7
True,0.5,0.2,0.4,False,8
False,0.3,0.5,0.15,False,8
True,0.6,0.9,0.06,False,9
False,0.8,0.4,0.6,False,9
True,0.4,0.7,0.3,False,10
False,0.7,0.5,0.35,True,10
True,0.5,0.2,0.4,False,11
False,0.1,0.6,0.4,False,11
True,0.6,0.8,0.8,True,12
False,0.9,0.4,0.6,False,12
True,0.6,0.2,0.48,False,13
False,0.3,0.5,0.075,True,13
True,0.6,0.1,0.9,False,14
False,0.3,0.5,0.15,False,14
True,0.4,0.2,0.32,False,15
False,0.3,0.5,0.3,False,15
True,0.5,0.7,0.3,False,16
False,0.1,0.5,0.05,False,16
True,0.5,0.7,0.3,False,17
False,0.9,0.4,0.4,True,17
True,0.4,0.8,0.8,True,18
False,0.7,0.5,0.35,True,18
True,0.5,0.2,0.2,True,19
False,0.9,0.6,0.6,True,19
True,0.5,0.1,0.357,True,20
False,0.8,0.4,0.4,True,20
True,0.5,0.3,0.23,True,21
False,0.2,0.5,0.2,True,21
True,0.6,0.7,0.7,True,22
False,0.3,0.5,0.3,False,22
True,0.4,0.1,0.9,False,23
False,0.7,0.6,0.6,True,23
True,0.5,0.3,0.23,True,24
False,0.3,0.6,0.12,False,24
True,0.5,0.8,0.67,True,25
False,0.7,0.5,0.35,True,25
True,0.4,0.7,0.3,False,26
False,0.8,0.6,0.6,True,26
True,0.5,0.3,0.1,False,27
False,0.2,0.5,0.2,True,27
True,0.5,0.8,0.67,True,28
False,0.8,0.4,0.4,True,28
True,0.4,0.3,0.7,False,29
False,0.9,0.5,0.5,False,29
True,0.4,0.3,0.55,True,30
False,0.3,0.5,0.105,True,30
True,0.4,0.2,0.32,False,31
False,0.2,0.5,0.5,True,31
True,0.4,0.7,0.7,True,32
False,0.7,0.4,0.4,True,32
True,0.5,0.8,0.67,True,33
False,0.2,0.4,0.6,False,33
True,0.4,0.9,0.1,False,34
False,0.3,0.5,0.105,True,34
True,0.5,0.1,0.263,False,35
False,0.7,0.5,0.35,True,35
True,0.5,0.8,0.1,False,36
False,0.8,0.4,0.6,False,36
True,0.6,0.1,0.06,True,37
False,0.1,0.5,0.05,False,37
True,0.5,0.9,0.9,True,38
False,0.1,0.6,0.6,True,38
True,0.5,0.1,0.67,False,39
False,0.2,0.5,0.5,False,39
True,0.5,0.1,0.357,True,40
False,0.9,0.5,0.45,False,40
True,0.5,0.9,0.95,True,41
False,0.2,0.5,0.2,False,41
True,0.5,0.9,0.25,False,42
False,0.9,0.6,0.4,False,42
True,0.5,0.2,0.1,True,43
False,0.3,0.4,0.57,True,43
True,0.4,0.8,0.8,True,44
