informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.3,0.67,True,0
False,0.7,0.5,0.6,False,0
True,0.6,0.8,0.6,True,1
False,0.7,0.6,0.67,True,1
True,0.5,0.9,0.6,False,2
False,0.2,0.5,0.6,False,2
True,0.4,0.1,0.6,True,3
False,0.2,0.6,0.6,False,3
True,0.6,0.1,0.6,True,4
False,0.1,0.6,0.6,False,4
True,0.6,0.9,0.75,True,5
False,0.1,0.5,0.67,True,5
True,0.5,0.9,0.6,False,6
False,0.2,0.5,0.67,True,6
True,0.6,0.7,0.6,False,7
False,0.7,0.5,0.67,True,7
True,0.5,0.2,0.67,True,8
False,0.2,0.4,0.6,True,8
True,0.5,0.9,0.9,True,9
False,0.1,0.5,0.67,False,9
True,0.4,0.8,0.6,False,10
False,0.3,0.5,0.67,True,10
True,0.6,0.3,0.67,True,11
False,0.3,0.5,0.6,False,11
True,0.5,0.9,0.9,True,12
False,0.1,0.5,0.67,True,12
True,0.6,0.8,0.6,False,13
False,0.1,0.5,0.67,True,13
True,0.6,0.9,0.6,False,14
False,0.7,0.5,0.67,True,14
True,0.5,0.9,0.6,False,15
False,0.2,0.4,0.6,True,15
True,0.5,0.8,0.6,False,16
False,0.1,0.5,0.67,False,16
True,0.5,0.8,0.6,True,17
False,0.2,0.5,0.67,False,17
True,0.4,0.2,0.6,False,18
False,0.8,0.5,0.67,False,18
True,0.5,0.9,0.92,True,19
False,0.3,0.6,0.6,True,19
True,0.6,0.7,0.6,True,20
False,0.8,0.4,0.67,True,20
True,0.5,0.1,0.67,True,21
False,0.7,0.4,0.6,False,21
True,0.5,0.1,0.67,True,22
False,0.1,0.6,0.6,False,22
True,0.4,0.3,0.6,False,23
False,0.1,0.5,0.67,False,23
True,0.6,0.9,0.6,True,24
False,0.9,0.6,0.72,True,24
True,0.5,0.9,0.6,False,25
False,0.1,0.5,0.67,True,25
True,0.6,0.3,0.6,False,26
False,0.8,0.5,0.67,True,26
True,0.5,0.3,0.67,True,27
False,0.2,0.6,0.6,False,27
True,0.5,0.7,0.6,False,28
False,0.9,0.5,0.99,False,28
True,0.5,0.8,0.6,True,29
False,0.9,0.5,0.67,False,29
True,0.5,0.7,0.67,True,30
False,0.8,0.4,0.67,True,30
True,0.5,0.1,0.6,False,31
False,0.8,0.4,0.6,False,31
True,0.4,0.7,0.6,True,32
False,0.7,0.5,0.67,False,32
True,0.5,0.7,0.6,False,33
False,0.8,0.4,0.67,True,33
True,0.5,0.9,0.6,False,34
False,0.3,0.5,0.67,False,34
True,0.6,0.1,0.6,True,35
False,0.1,0.5,0.6,False,35
True,0.5,0.9,0.6,False,36
False,0.9,0.5,0.67,False,36
True,0.5,0.1,0.67,True,37
