informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.7,0.33,True,0
False,0.3,0.5,0.33,False,0
True,0.4,0.2,0.4,False,1
False,0.2,0.6,0.83,True,1
True,0.4,0.9,0.5,True,2
False,0.2,0.6,0.4,False,2
True,0.6,0.7,0.33,True,3
False,0.7,0.6,0.52,True,3
True,0.4,0.7,0.25,True,4
False,0.9,0.5,0.37,True,4
True,0.6,0.9,0.5,False,5
False,0.9,0.4,0.76,False,5
True,0.5,0.8,0.5,False,6
False,0.2,0.5,0.33,True,6
True,0.6,0.2,0.8,True,7
False,0.8,0.5,0.83,True,7
True,0.4,0.1,0.33,False,8
False,0.3,0.6,0.35,True,8
True,0.6,0.2,0.56,False,9
False,0.7,0.5,0.55,True,9
True,0.6,0.9,0.4,False,10
False,0.1,0.6,0.53,False,10
True,0.5,0.3,0.5,False,11
False,0.1,0.5,0.11,False,11
True,0.4,0.8,0.57,False,12
False,0.7,0.5,0.45,True,12
True,0.6,0.2,0.66,True,13
False,0.9,0.5,0.62,True,13
True,0.4,0.1,0.64,False,14
False,0.9,0.5,0.83,True,14
True,0.5,0.7,0.38,True,15
False,0.3,0.5,0.5,True,15
True,0.5,0.9,0.16,False,16
False,0.9,0.6,0.59,True,16
True,0.5,0.2,0.64,True,17
False,0.2,0.5,0.24,True,17
True,0.6,0.2,0.23,False,18
False,0.3,0.5,0.65,False,18
True,0.4,0.8,0.5,False,19
False,0.3,0.5,0.5,True,19
True,0.5,0.1,0.58,False,20
False,0.1,0.5,0.25,False,20
True,0.6,0.1,0.34,True,21
False,0.2,0.4,0.2,True,21
True,0.5,0.1,0.53,False,22
False,0.1,0.5,0.9,True,22
True,0.5,0.7,0.81,True,23
False,0.2,0.4,0.45,True,23
True,0.5,0.2,0.6,True,24
False,0.2,0.4,0.67,False,24
True,0.4,0.2,0.25,True,25
False,0.2,0.4,0.29,True,25
True,0.6,0.2,0.26,True,26
False,0.8,0.6,0.43,False,26
True,0.5,0.8,0.57,True,27
False,0.2,0.5,0.6,False,27
True,0.6,0.9,0.71,True,28
False,0.8,0.4,0.77,False,28
True,0.5,0.2,0.99,True,29
False,0.1,0.6,0.6,True,29
True,0.6,0.3,0.33,True,30
False,0.9,0.5,0.51,True,30
True,0.6,0.1,0.6,True,31
False,0.7,0.6,0.58,False,31
True,0.6,0.1,0.67,False,32
False,0.9,0.4,0.75,True,32
True,0.6,0.8,0.63,False,33
False,0.8,0.4,0.8,True,33
True,0.4,0.7,0.42,False,34
False,0.9,0.6,0.45,False,34
True,0.5,0.9,0.63,True,35
False,0.1,0.5,0.75,True,35
True,0.5,0.9,0.25,False,36
False,0.9,0.6,0.3,False,36
True,0.5,0.9,0.37,False,37
False,0.7,0.5,0.65,True,37
True,0.4,0.7,0.4,True,38
False,0.3,0.6,0.2,False,38
True,0.6,0.9,0.75,True,39
False,0.2,0.4,0.72,False,39
True,0.5,0.9,0.63,True,40
False,0.3,0.4,0.5,True,40
True,0.5,0.2,0.5,True,41
False,0.7,0.5,0.12,False,41
True,0.6,0.8,0.43,True,42
False,0.8,0.5,0.33,True,42
True,0.5,0.1,0.5,False,43
False,0.9,0.6,0.63,True,43
True,0.5,0.2,0.4,False,44
False,0.1,0.5,0.2,True,44
True,0.4,0.3,0.42,False,45
False,0.3,0.5,0.25,False,45
True,0.4,0.1,0.25,True,46
False,0.3,0.5,0.33,False,46
True,0.5,0.2,0.75,True,47
False,0.3,0.5,0.5,True,47
True,0.4,0.9,0.19,True,48
False,0.9,0.6,0.96,False,48
True,0.6,0.9,0.44,False,49
False,0.8,0.4,0.72,False,49
True,0.4,0.7,0.12,True,50
False,0.2,0.5,0.75,False,50
