informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.3,0.45,True,0
False,0.1,0.4,0.14,False,0
True,0.4,0.7,0.5,True,1
False,0.1,0.5,0.09,False,1
True,0.5,0.2,0.2,True,2
False,0.9,0.6,0.6,True,2
True,0.4,0.3,0.35,True,3
False,0.7,0.4,0.5,True,3
True,0.5,0.2,0.2,True,4
False,0.2,0.4,0.25,True,4
True,0.5,0.2,0.2,False,5
False,0.2,0.6,0.2,False,5
True,0.4,0.9,0.08,False,6
False,0.8,0.5,0.62,False,6
True,0.5,0.7,0.3,False,7
False,0.7,0.4,0.37,False,7
True,0.4,0.8,0.2,False,8
False,0.7,0.4,0.37,False,8
True,0.6,0.8,0.2,False,9
False,0.2,0.5,0.29,True,9
True,0.5,0.2,0.2,False,10
False,0.2,0.4,0.14,False,10
True,0.5,0.3,0.3,True,11
False,0.2,0.6,0.2,False,11
True,0.4,0.9,0.04,False,12
False,0.8,0.5,0.62,False,12
True,0.4,0.7,0.5,True,13
False,0.3,0.6,0.45,True,13
True,0.4,0.3,0.35,True,14
False,0.9,0.5,0.5,True,14
True,0.5,0.1,0.33,True,15
False,0.1,0.4,0.14,False,15
True,0.6,0.2,0.43,True,16
False,0.8,0.4,0.57,False,16
True,0.4,0.9,0.08,False,17
False,0.2,0.5,0.29,True,17
True,0.5,0.9,0.9,True,18
False,0.8,0.5,0.62,True,18
True,0.5,0.7,0.3,False,19
False,0.7,0.5,0.59,False,19
True,0.6,0.1,0.4,True,20
False,0.8,0.5,0.62,True,20
True,0.5,0.7,0.3,False,21
False,0.3,0.5,0.23,False,21
True,0.5,0.1,0.33,False,22
False,0.9,0.6,0.6,True,22
True,0.5,0.1,0.33,True,23
False,0.3,0.5,0.3,True,23
True,0.4,0.1,0.31,False,24
False,0.8,0.5,0.62,True,24
True,0.6,0.2,0.27,False,25
False,0.3,0.5,0.3,False,25
True,0.4,0.8,0.2,False,26
False,0.8,0.4,0.57,False,26
True,0.5,0.7,0.7,True,27
False,0.7,0.4,0.5,True,27
True,0.5,0.9,0.9,True,28
False,0.9,0.5,0.64,False,28
True,0.5,0.8,0.8,True,29
False,0.1,0.6,0.19,False,29
True,0.6,0.1,0.4,True,30
