trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,38.15,0.5,0,0
1,0,1,0,44.49,0.6,0,0
2,0,2,0,32.16,0.7,0,0
3,0,3,0,51.27,0.75,0,0
4,0,4,0,43.05,0.8,0,0
5,0,5,0,37.94,0.85,0,0
6,0,6,0,57.89,0.9,0,0
7,0,7,0,47.09,0.95,0,0
8,0,8,1,59.7,0.55,1,0
9,0,9,1,66.03,0.65,1,0
10,0,10,1,61.82,0.75,1,0
11,0,11,1,59.66,0.85,1,0
12,0,12,1,62.46,0.9,1,0
13,0,13,1,75.58,0.95,1,0
14,0,14,1,61.1,0.95,1,0
15,0,15,1,64.96,0.95,1,0
16,0,16,1,58.95,0.95,1,0
17,0,17,1,70.19,0.95,1,0
18,0,18,1,73.12,0.95,1,0
19,0,19,1,51.56,0.95,1,0
20,0,20,1,64.98,0.8,0,0
21,1,0,1,32.53,0.85,0,0
22,1,1,0,73.28,0.6,1,0
23,1,2,0,46.41,0.75,1,0
24,1,3,0,57.66,0.85,1,0
25,1,4,0,74.24,0.9,1,0
26,1,5,0,59.31,0.95,1,0
27,1,6,0,52.73,0.95,1,0
28,1,7,0,63.4,0.95,1,0
29,1,8,0,79.73,0.95,1,0
30,1,9,0,37.3,0.95,1,0
31,1,10,0,45.04,0.95,1,0
32,1,11,0,73.9,0.95,1,0
33,1,12,0,64.36,0.95,1,0
34,1,13,0,58.45,0.95,1,0
35,1,14,0,74.78,0.95,1,0
36,1,15,1,47.07,0.6,0,0
37,1,16,1,31.36,0.65,0,0
38,1,17,0,50.44,0.75,1,0
39,1,18,0,61.82,0.8,1,0
40,1,19,0,60.76,0.85,0,0
41,2,0,0,36.75,0.9,0,0
42,2,1,0,38.65,0.85,0,0
43,2,2,0,57.79,0.8,0,0
44,2,3,0,36.43,0.75,0,0
45,2,4,1,57.88,0.6,1,0
46,2,5,1,68.98,0.7,1,0
47,2,6,1,53.16,0.8,1,0
48,2,7,1,76.12,0.85,1,0
49,2,8,1,54.31,0.9,1,0
50,2,9,1,60.03,0.95,1,0
51,2,10,1,66.0,0.95,1,0
52,2,11,1,53.69,0.95,1,0
53,2,12,1,68.21,0.95,1,0
54,2,13,1,63.64,0.95,1,0
55,2,14,1,70.08,0.95,1,0
56,2,15,1,65.3,0.95,1,0
57,2,16,1,59.83,0.95,1,0
58,2,17,1,38.6,0.95,1,0
59,2,18,1,69.2,0.95,1,0
60,2,19,1,60.08,0.95,0,0
61,3,0,0,53.17,0.6,1,0
62,3,1,0,55.57,0.75,1,0
63,3,2,0,52.48,0.85,1,0
64,3,3,0,48.05,0.9,1,0
65,3,4,0,64.4,0.95,1,0
66,3,5,0,61.8,0.95,1,0
67,3,6,0,69.49,0.95,1,0
68,3,7,0,56.83,0.95,1,0
69,3,8,0,62.01,0.95,1,0
70,3,9,0,47.55,0.95,1,0
