trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,46.05,0.95,0,0
1,0,1,0,36.79,0.85,0,0
2,0,2,0,25.04,0.95,0,0
3,0,3,0,34.79,0.62,0,0
4,0,4,0,47.12,0.85,0,0
5,0,5,0,35.92,0.8,0,0
6,0,6,1,66.77,0.95,1,0
7,0,7,0,55.08,0.75,0,0
8,0,8,0,46.06,0.85,0,0
9,0,9,1,62.56,0.95,1,0
10,0,10,0,55.57,0.85,0,0
11,0,11,0,29.92,0.7,0,0
12,0,12,0,35.08,0.75,0,0
13,0,13,0,41.93,0.83,0,0
14,0,14,0,40.77,0.65,0,0
15,0,15,0,40.31,0.87,0,0
16,0,16,0,46.02,0.73,0,0
17,0,17,0,52.56,0.75,0,0
18,0,18,0,38.93,0.7,0,0
19,0,19,1,59.16,0.75,1,0
20,0,20,1,53.75,0.7,0,0
21,1,0,0,65.74,0.62,1,0
22,1,1,0,63.17,0.9,1,0
23,1,2,0,56.52,0.85,1,0
24,1,3,1,45.24,0.7,0,0
25,1,4,0,67.55,0.75,1,0
26,1,5,0,52.92,0.82,1,0
27,1,6,1,39.06,0.86,0,0
28,1,7,1,38.17,0.65,0,0
29,1,8,1,41.9,0.65,0,0
30,1,9,0,55.71,0.62,1,0
31,1,10,0,65.27,0.6,1,0
32,1,11,1,39.38,0.85,0,0
33,1,12,0,59.43,0.57,1,0
34,1,13,0,59.27,0.75,1,0
35,1,14,0,69.71,0.6,1,0
36,1,15,1,51.35,0.95,0,0
37,1,16,0,63.38,0.73,1,0
38,1,17,0,52.87,0.9,1,0
39,1,18,1,48.01,0.92,0,0
40,1,19,0,51.39,0.77,0,0
41,2,0,1,53.21,0.99,1,0
42,2,1,1,67.63,0.72,1,0
43,2,2,0,33.01,0.78,0,0
44,2,3,0,48.73,0.65,0,0
45,2,4,0,42.69,0.85,0,0
46,2,5,0,57.34,0.85,0,0
47,2,6,0,50.3,0.65,0,0
48,2,7,0,55.23,0.85,0,0
49,2,8,0,38.79,0.85,0,0
50,2,9,0,29.63,0.77,0,0
51,2,10,1,54.34,0.78,1,0
52,2,11,0,41.87,0.62,0,0
53,2,12,0,41.76,0.85,0,0
54,2,13,0,43.79,0.67,0,0
55,2,14,0,49.29,0.95,0,0
56,2,15,0,33.44,0.92,0,0
57,2,16,1,54.07,0.78,1,0
58,2,17,0,28.23,0.99,0,0
59,2,18,0,44.28,0.77,0,0
60,2,19,1,67.18,0.99,0,0
61,3,0,1,38.55,0.74,0,0
62,3,1,0,63.24,0.58,1,0
63,3,2,0,56.41,0.65,1,0
64,3,3,1,42.54,0.8,0,0
65,3,4,1,20.47,0.83,0,0
66,3,5,0,47.69,0.83,1,0
67,3,6,0,69.03,0.97,1,0
68,3,7,1,37.32,0.85,0,0
69,3,8,0,60.08,0.99,1,0
70,3,9,0,59.89,0.87,1,0
71,3,10,0,49.8,0.99,1,0
72,3,11,0,48.39,0.89,1,0
73,3,12,0,57.36,0.87,1,0
74,3,13,0,43.03,0.82,1,0
75,3,14,0,55.96,0.95,1,0
76,3,15,1,31.06,0.6,0,0
77,3,16,0,61.4,0.85,1,0
