trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,74.01,0.0,1,0
1,0,1,0,40.75,0.0,0,0
2,0,2,0,33.58,0.0,0,0
3,0,3,1,58.97,0.0,1,0
4,0,4,0,39.91,0.0,0,0
5,0,5,1,53.9,,1,0
6,0,6,1,60.71,0.0,1,0
7,0,7,0,48.08,0.0,0,0
8,0,8,1,45.78,,1,0
9,0,9,0,42.61,0.0,0,0
10,0,10,1,67.05,0.0,1,0
11,0,11,1,49.19,0.0,1,0
12,0,12,1,70.92,0.0,1,0
13,0,13,0,28.29,0.0,0,0
14,0,14,1,42.01,0.0,1,0
15,0,15,1,52.78,0.0,1,0
16,0,16,1,68.61,0.0,1,0
17,0,17,0,54.47,0.0,0,0
18,0,18,0,24.38,,0,0
19,0,19,1,71.81,0.0,1,0
20,0,20,0,35.06,0.0,1,0
21,1,0,1,24.16,0.0,0,0
22,1,1,1,43.28,0.0,0,0
23,1,2,1,53.73,0.0,0,0
24,1,3,0,57.3,,1,0
25,1,4,0,62.11,,1,0
26,1,5,1,52.17,,0,0
27,1,6,0,71.22,,1,0
28,1,7,1,37.03,,0,0
29,1,8,0,49.85,,1,0
30,1,9,1,50.07,0.0,0,0
31,1,10,1,31.77,0.0,0,0
32,1,11,1,32.97,,0,0
33,1,12,0,65.55,,1,0
34,1,13,0,72.74,0.0,1,0
35,1,14,1,42.04,0.0,0,0
36,1,15,0,59.25,,1,0
37,1,16,1,27.05,0.0,0,0
38,1,17,0,55.49,,1,0
39,1,18,1,37.35,,0,0
40,1,19,1,34.8,,1,0
41,2,0,0,37.83,0.0,0,0
42,2,1,0,39.43,0.0,0,0
43,2,2,0,54.77,,0,0
44,2,3,1,64.54,,1,0
45,2,4,1,52.99,0.0,1,0
46,2,5,0,21.59,,0,0
47,2,6,0,35.58,0.0,0,0
48,2,7,1,46.06,,1,0
49,2,8,0,44.91,,0,0
50,2,9,0,32.38,0.0,0,0
51,2,10,0,31.86,,0,0
52,2,11,0,34.15,,0,0
53,2,12,0,45.49,,0,0
54,2,13,0,37.09,0.0,0,0
55,2,14,1,49.45,,1,0
56,2,15,1,57.75,0.0,1,0
