trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,51.17,0.99,1,0
1,0,1,0,38.07,0.99,0,0
2,0,2,0,43.72,0.99,0,0
3,0,3,0,31.02,0.99,0,0
4,0,4,1,70.12,0.99,1,0
5,0,5,1,64.1,0.99,1,0
6,0,6,1,58.19,0.99,1,0
7,0,7,1,60.88,0.99,1,0
8,0,8,0,54.16,0.99,0,0
9,0,9,0,38.18,0.99,0,0
10,0,10,0,44.21,0.99,0,0
11,0,11,0,33.17,0.99,0,0
12,0,12,0,41.89,0.99,0,0
13,0,13,1,63.68,0.99,1,0
14,0,14,0,35.1,0.99,0,0
15,0,15,0,29.39,0.99,0,0
16,0,16,0,42.71,0.99,0,0
17,0,17,0,40.64,0.99,0,0
18,0,18,0,45.8,0.99,0,0
19,0,19,1,55.44,0.99,1,0
20,0,20,1,50.91,0.99,0,0
21,1,0,1,37.6,0.99,0,0
22,1,1,1,23.5,0.99,0,0
23,1,2,0,52.14,0.99,1,0
24,1,3,1,58.61,0.99,0,0
25,1,4,0,54.14,0.99,1,0
26,1,5,1,36.27,0.99,0,0
27,1,6,0,67.29,0.99,1,0
28,1,7,0,54.26,0.99,1,0
29,1,8,0,66.1,0.99,1,0
30,1,9,1,20.82,0.99,0,0
31,1,10,1,48.7,0.99,0,0
32,1,11,0,50.8,0.99,1,0
33,1,12,0,61.08,0.99,1,0
34,1,13,0,57.87,0.99,1,0
35,1,14,0,50.21,0.99,1,0
36,1,15,1,36.06,0.99,0,0
37,1,16,1,46.43,0.99,0,0
38,1,17,1,32.47,0.99,0,0
39,1,18,1,42.09,0.99,0,0
40,1,19,0,58.73,0.99,0,0
41,2,0,0,35.11,0.99,0,0
42,2,1,0,50.21,0.99,0,0
43,2,2,1,64.7,0.99,1,0
44,2,3,0,39.75,0.99,0,0
45,2,4,0,39.06,0.99,0,0
46,2,5,1,50.45,0.99,1,0
47,2,6,1,39.97,0.99,1,0
48,2,7,0,48.85,0.99,0,0
49,2,8,1,66.52,0.99,1,0
50,2,9,0,52.43,0.99,0,0
51,2,10,1,44.65,0.99,1,0
52,2,11,1,76.87,0.99,1,0
53,2,12,1,47.56,0.99,1,0
54,2,13,1,73.05,0.99,1,0
55,2,14,1,49.25,0.99,1,0
56,2,15,0,41.42,0.99,0,0
57,2,16,1,53.86,0.99,1,0
58,2,17,1,63.92,0.99,1,0
59,2,18,0,35.02,0.99,0,0
60,2,19,0,29.06,0.99,1,0
61,3,0,1,35.81,0.99,0,0
62,3,1,1,35.41,0.99,0,0
63,3,2,0,66.01,0.99,1,0
64,3,3,0,57.96,0.99,1,0
65,3,4,1,46.66,0.99,0,0
66,3,5,1,47.07,0.99,0,0
67,3,6,1,50.22,0.99,0,0
68,3,7,0,66.46,0.99,1,0
69,3,8,1,37.07,0.99,0,0
70,3,9,1,36.02,0.99,0,0
71,3,10,1,36.37,0.99,0,0
72,3,11,0,64.61,0.99,1,0
73,3,12,0,68.1,0.99,1,0
74,3,13,0,62.81,0.99,1,0
75,3,14,0,61.17,0.99,1,0
76,3,15,0,50.28,0.99,1,0
77,3,16,0,46.87,0.99,1,0
78,3,17,1,40.93,0.99,0,0
79,3,18,0,54.83,0.99,0,0
0,0,0,0,48.53,0.99,0,1
1,0,1,1,50.89,0.99,1,1
2,0,2,0,41.49,0.99,0,1
3,0,3,1,61.45,0.99,1,1
4,0,4,0,27.92,0.99,0,1
5,0,5,1,70.64,0.99,1,1
