trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,46.46,0.5,0,0
1,0,1,0,43.97,0.7,0,0
2,0,2,0,30.27,0.8,0,0
3,0,3,0,49.16,0.8,0,0
4,0,4,0,36.42,0.8,0,0
5,0,5,0,24.72,0.8,0,0
6,0,6,0,31.21,0.8,0,0
7,0,7,1,50.58,0.8,1,0
8,0,8,1,61.42,0.8,1,0
9,0,9,1,59.41,0.8,1,0
10,0,10,1,61.77,0.8,1,0
11,0,11,1,58.79,0.8,1,0
12,0,12,0,36.58,0.8,0,0
13,0,13,0,37.26,0.8,0,0
14,0,14,0,33.49,0.8,0,0
15,0,15,1,51.35,0.8,1,0
16,0,16,0,38.04,0.8,0,0
17,0,17,1,62.98,0.8,1,0
18,0,18,1,57.27,0.8,1,0
19,0,19,0,42.95,0.8,0,0
20,0,20,1,90.98,0.8,0,0
21,1,0,1,55.06,0.8,0,0
22,1,1,1,32.35,0.8,0,0
23,1,2,1,37.52,0.8,0,0
24,1,3,1,27.2,0.8,0,0
25,1,4,1,43.36,0.8,0,0
26,1,5,1,49.46,0.8,0,0
27,1,6,1,32.34,0.8,0,0
28,1,7,1,47.64,0.8,0,0
29,1,8,1,50.61,0.8,0,0
30,1,9,1,35.59,0.8,0,0
31,1,10,1,43.25,0.8,0,0
32,1,11,1,33.39,0.8,0,0
33,1,12,1,44.0,0.8,0,0
34,1,13,1,27.82,0.8,0,0
35,1,14,1,35.89,0.8,0,0
36,1,15,1,37.11,0.8,0,0
37,1,16,1,49.95,0.8,0,0
38,1,17,1,35.51,0.8,0,0
39,1,18,1,23.24,0.8,0,0
40,1,19,1,38.48,0.8,1,0
41,2,0,1,56.97,0.8,1,0
42,2,1,1,59.63,0.8,1,0
43,2,2,1,55.38,0.8,1,0
44,2,3,1,72.61,0.8,1,0
45,2,4,1,49.87,0.8,1,0
46,2,5,1,55.68,0.8,1,0
47,2,6,1,68.24,0.8,1,0
48,2,7,1,61.95,0.8,1,0
49,2,8,1,73.17,0.8,1,0
50,2,9,1,45.73,0.8,1,0
51,2,10,1,64.54,0.8,1,0
52,2,11,1,64.3,0.8,1,0
53,2,12,1,45.43,0.8,1,0
54,2,13,1,61.13,0.8,1,0
55,2,14,1,53.72,0.8,1,0
56,2,15,1,58.2,0.8,1,0
57,2,16,1,65.56,0.8,1,0
58,2,17,1,66.55,0.8,1,0
59,2,18,1,56.29,0.8,1,0
60,2,19,1,61.64,0.8,0,0
61,3,0,1,39.87,0.8,0,0
62,3,1,1,46.35,0.8,0,0
63,3,2,1,30.64,0.8,0,0
64,3,3,1,45.47,0.8,0,0
65,3,4,1,44.2,0.8,0,0
66,3,5,1,35.26,0.8,0,0
67,3,6,1,43.35,0.8,0,0
68,3,7,1,44.79,0.8,0,0
69,3,8,1,33.16,0.8,0,0
70,3,9,1,54.1,0.8,0,0
71,3,10,1,35.5,0.8,0,0
72,3,11,1,47.65,0.8,0,0
73,3,12,1,52.47,0.8,0,0
74,3,13,1,33.36,0.8,0,0
75,3,14,1,20.03,0.8,0,0
76,3,15,1,41.76,0.8,0,0
77,3,16,1,38.72,0.8,0,0
78,3,17,1,25.97,0.8,0,0
79,3,18,1,35.87,0.8,1,0
0,0,0,0,28.7,0.5,0,1
1,0,1,0,23.4,0.7,0,1
2,0,2,0,49.09,0.8,0,1
3,0,3,0,40.83,0.8,0,1
4,0,4,0,43.49,0.8,0,1
5,0,5,0,29.26,0.8,0,1
6,0,6,0,45.58,0.8,0,1
7,0,7,0,43.0,0.8,0,1
8,0,8,0,29.86,0.8,0,1
9,0,9,0,30.18,0.8,0,1
10,0,10,0,33.03,0.8,0,1
11,0,11,0,35.92,0.8,0,1
12,0,12,0,55.14,0.8,0,1
13,0,13,0,48.34,0.8,0,1
14,0,14,0,39.62,0.8,0,1
15,0,15,1,59.17,0.8,1,1
16,0,16,0,43.17,0.8,0,1
17,0,17,1,70.58,0.8,1,1
18,0,18,1,60.79,0.8,1,1
19,0,19,1,61.56,0.8,1,1
20,0,20,0,45.65,0.8,1,1
21,1,0,1,45.53,0.8,0,1
22,1,1,0,49.89,0.8,1,1
23,1,2,0,62.12,0.8,1,1
24,1,3,1,46.86,0.8,0,1
25,1,4,1,45.37,0.8,0,1
26,1,5,1,29.98,0.8,0,1
27,1,6,1,30.13,0.8,0,1
28,1,7,1,42.42,0.8,0,1
29,1,8,1,42.87,0.8,0,1
30,1,9,1,48.08,0.8,0,1
31,1,10,1,45.68,0.8,0,1
32,1,11,1,42.19,0.8,0,1
33,1,12,1,33.54,0.8,0,1
34,1,13,1,48.83,0.8,0,1
35,1,14,1,45.5,0.8,0,1
36,1,15,1,32.67,0.8,0,1
37,1,16,1,46.88,0.8,0,1
38,1,17,1,30.61,0.8,0,1
39,1,18,1,38.17,0.8,0,1
40,1,19,1,36.76,0.8,1,1
41,2,0,1,66.88,0.8,1,1
42,2,1,1,69.53,0.8,1,1
43,2,2,1,54.22,0.8,1,1
44,2,3,1,57.59,0.8,1,1
45,2,4,1,42.51,0.8,1,1
46,2,5,1,53.01,0.8,1,1
47,2,6,1,72.52,0.8,1,1
48,2,7,1,59.71,0.8,1,1
49,2,8,1,60.11,0.8,1,1
50,2,9,1,59.11,0.8,1,1
