trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,37.13,0.85,0,0
1,0,1,0,38.88,0.92,0,0
2,0,2,0,42.19,0.88,0,0
3,0,3,0,37.01,0.95,0,0
4,0,4,0,26.69,0.85,0,0
5,0,5,0,43.82,0.82,0,0
6,0,6,0,38.34,0.85,0,0
7,0,7,0,46.22,0.95,0,0
8,0,8,0,29.83,0.87,0,0
9,0,9,0,49.29,0.85,0,0
10,0,10,0,41.65,0.85,0,0
11,0,11,0,36.39,0.85,0,0
12,0,12,0,55.29,0.8,0,0
13,0,13,0,30.33,0.85,0,0
14,0,14,0,48.03,0.85,0,0
15,0,15,0,37.99,0.85,0,0
16,0,16,0,40.46,0.87,0,0
17,0,17,0,42.81,0.87,0,0
18,0,18,0,49.29,0.85,0,0
19,0,19,0,43.86,0.95,0,0
20,0,20,0,38.68,0.85,1,0
21,1,0,0,59.92,0.95,1,0
22,1,1,0,77.37,0.85,1,0
23,1,2,0,56.24,0.85,1,0
24,1,3,0,57.43,0.88,1,0
25,1,4,0,52.97,0.95,1,0
26,1,5,0,60.92,0.85,1,0
27,1,6,0,51.56,0.88,1,0
28,1,7,0,48.04,0.85,1,0
29,1,8,0,61.76,0.88,1,0
30,1,9,0,46.1,0.85,1,0
31,1,10,0,67.42,0.88,1,0
32,1,11,0,54.44,0.95,1,0
33,1,12,0,62.54,0.92,1,0
34,1,13,0,58.88,0.92,1,0
35,1,14,0,52.87,0.88,1,0
36,1,15,0,57.76,0.93,1,0
37,1,16,0,63.04,0.88,1,0
38,1,17,0,57.6,0.92,1,0
39,1,18,0,64.76,0.93,1,0
40,1,19,0,57.06,0.85,0,0
41,2,0,0,42.75,0.85,0,0
42,2,1,0,31.66,0.85,0,0
43,2,2,0,28.35,0.95,0,0
44,2,3,0,29.82,0.88,0,0
45,2,4,0,43.75,0.95,0,0
46,2,5,0,42.13,0.95,0,0
47,2,6,0,22.81,0.88,0,0
48,2,7,0,34.97,0.92,0,0
49,2,8,0,38.35,0.85,0,0
50,2,9,0,61.2,0.85,0,0
51,2,10,0,31.04,0.85,0,0
52,2,11,0,32.46,0.93,0,0
53,2,12,0,30.43,0.85,0,0
54,2,13,0,43.04,0.87,0,0
55,2,14,0,48.28,0.85,0,0
56,2,15,0,53.44,0.85,0,0
57,2,16,0,51.62,0.95,0,0
58,2,17,0,20.0,0.85,0,0
59,2,18,0,50.0,0.85,0,0
60,2,19,0,35.65,0.92,1,0
61,3,0,0,74.69,0.85,1,0
62,3,1,0,56.38,0.85,1,0
63,3,2,0,60.11,0.88,1,0
64,3,3,0,40.1,0.9,1,0
65,3,4,0,60.54,0.95,1,0
66,3,5,0,55.88,0.85,1,0
67,3,6,0,55.66,0.95,1,0
68,3,7,0,48.24,0.87,1,0
69,3,8,0,59.97,0.87,1,0
