trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,46.29,0.35,0,0
1,0,1,1,34.93,0.65,0,0
2,0,2,1,18.09,0.4,0,0
3,0,3,0,55.28,0.72,1,0
4,0,4,1,56.09,0.96,0,0
5,0,5,0,56.03,0.73,1,0
6,0,6,1,36.61,0.79,0,0
7,0,7,1,40.74,0.86,0,0
8,0,8,0,54.0,0.79,1,0
9,0,9,0,61.4,0.86,1,0
10,0,10,0,52.71,0.85,1,0
11,0,11,1,32.83,0.87,0,0
12,0,12,0,61.48,0.81,1,0
13,0,13,0,69.34,0.81,1,0
14,0,14,1,41.04,0.96,0,0
15,0,15,1,47.42,0.95,0,0
16,0,16,1,45.45,0.99,0,0
17,0,17,1,53.0,0.85,0,0
18,0,18,0,62.23,0.72,1,0
19,0,19,0,74.95,0.73,1,0
20,0,20,1,41.73,0.99,1,0
21,1,0,1,64.68,0.88,1,0
22,1,1,0,37.6,0.69,0,0
23,1,2,1,58.31,0.93,1,0
24,1,3,1,81.35,0.96,1,0
25,1,4,1,61.04,0.74,1,0
26,1,5,1,50.58,0.97,1,0
27,1,6,0,39.78,0.67,0,0
28,1,7,1,52.45,0.99,1,0
29,1,8,0,37.86,0.74,0,0
30,1,9,1,54.23,0.67,1,0
31,1,10,1,54.69,0.84,1,0
32,1,11,0,41.19,0.49,0,0
33,1,12,1,72.85,0.96,1,0
34,1,13,1,48.89,0.51,1,0
35,1,14,1,51.38,0.95,1,0
36,1,15,1,69.86,0.62,1,0
37,1,16,0,43.24,0.86,0,0
38,1,17,1,57.6,0.78,1,0
39,1,18,1,45.1,0.93,1,0
40,1,19,0,35.01,0.69,1,0
41,2,0,1,30.99,0.95,0,0
42,2,1,1,27.17,0.74,0,0
43,2,2,0,55.07,0.95,1,0
44,2,3,1,40.17,0.99,0,0
45,2,4,1,38.26,0.85,0,0
46,2,5,1,39.91,0.99,0,0
47,2,6,0,67.71,0.64,1,0
48,2,7,1,43.48,0.96,0,0
49,2,8,1,42.43,0.82,0,0
50,2,9,1,35.82,0.99,0,0
51,2,10,0,57.5,0.61,1,0
52,2,11,1,38.91,0.99,0,0
53,2,12,1,37.13,0.98,0,0
54,2,13,1,38.77,0.99,0,0
55,2,14,1,35.59,0.66,0,0
56,2,15,1,41.24,0.62,0,0
57,2,16,1,46.95,0.99,0,0
58,2,17,1,43.4,0.99,0,0
59,2,18,1,49.28,0.99,0,0
60,2,19,1,32.45,0.86,1,0
61,3,0,0,39.92,0.98,0,0
62,3,1,1,67.09,0.82,1,0
63,3,2,1,76.07,0.99,1,0
64,3,3,0,42.0,0.65,0,0
65,3,4,1,47.34,0.99,1,0
66,3,5,1,41.96,0.99,1,0
67,3,6,1,74.44,0.54,1,0
68,3,7,1,64.77,0.89,1,0
69,3,8,1,61.35,0.99,1,0
70,3,9,1,69.01,0.99,1,0
71,3,10,1,59.81,0.99,1,0
72,3,11,1,62.34,0.95,1,0
73,3,12,0,45.61,0.74,0,0
74,3,13,1,54.42,0.69,1,0
75,3,14,1,67.14,0.73,1,0
76,3,15,1,75.58,0.53,1,0
77,3,16,1,67.48,0.63,1,0
78,3,17,0,34.08,0.69,0,0
79,3,18,0,31.02,0.89,1,0
0,0,0,0,38.58,0.8,0,1
1,0,1,1,54.81,0.75,1,1
2,0,2,1,64.82,0.99,1,1
3,0,3,1,71.84,0.92,1,1
4,0,4,0,30.77,0.99,0,1
5,0,5,0,43.59,0.99,0,1
6,0,6,0,29.33,0.99,0,1
7,0,7,0,42.38,0.99,0,1
8,0,8,1,58.67,0.97,1,1
9,0,9,0,62.31,0.99,0,1
10,0,10,0,42.64,0.99,0,1
11,0,11,0,33.82,0.98,0,1
12,0,12,1,53.24,0.99,1,1
13,0,13,1,52.92,0.99,1,1
14,0,14,0,49.53,0.98,0,1
15,0,15,0,24.11,0.99,0,1
16,0,16,0,44.93,0.99,0,1
17,0,17,1,66.47,0.84,1,1
18,0,18,1,61.98,0.99,1,1
19,0,19,1,65.92,0.99,1,1
20,0,20,0,42.84,0.99,1,1
21,1,0,1,46.63,0.87,0,1
22,1,1,0,73.53,0.99,1,1
23,1,2,1,45.15,0.99,0,1
24,1,3,0,56.85,0.99,1,1
25,1,4,1,44.08,0.99,0,1
26,1,5,0,59.58,0.99,1,1
27,1,6,0,58.84,0.99,1,1
28,1,7,1,36.91,0.98,0,1
29,1,8,1,44.06,0.95,0,1
30,1,9,1,38.91,0.99,0,1
31,1,10,1,45.25,0.99,0,1
32,1,11,0,62.65,0.99,1,1
33,1,12,1,46.35,0.95,0,1
34,1,13,0,63.65,0.99,1,1
35,1,14,1,38.42,0.99,0,1
36,1,15,1,25.61,0.99,0,1
37,1,16,0,57.86,0.87,1,1
38,1,17,0,59.06,0.99,1,1
39,1,18,0,59.44,0.99,1,1
40,1,19,0,54.52,0.99,0,1
41,2,0,0,37.44,0.99,0,1
42,2,1,1,60.7,0.93,1,1
43,2,2,1,57.04,0.99,1,1
44,2,3,1,59.72,0.97,1,1
45,2,4,1,67.33,0.99,1,1
46,2,5,1,58.38,0.96,1,1
47,2,6,0,44.82,0.99,0,1
48,2,7,1,57.48,0.89,1,1
49,2,8,1,64.97,0.99,1,1
50,2,9,0,31.69,0.99,0,1
51,2,10,0,33.07,0.99,0,1
52,2,11,0,28.32,0.99,0,1
53,2,12,0,46.79,0.99,0,1
54,2,13,1,59.41,0.99,1,1
55,2,14,0,53.88,0.95,0,1
56,2,15,0,46.19,0.98,0,1
57,2,16,0,40.21,0.85,0,1
58,2,17,1,61.12,0.99,1,1
59,2,18,1,55.58,0.99,1,1
60,2,19,1,59.92,0.99,0,1
61,3,0,1,32.58,0.85,0,1
62,3,1,0,57.85,0.83,1,1
63,3,2,0,62.02,0.92,1,1
64,3,3,1,40.69,0.73,0,1
65,3,4,0,51.68,0.99,1,1
66,3,5,1,54.14,0.82,0,1
67,3,6,0,63.43,0.99,1,1
68,3,7,0,55.23,0.99,1,1
69,3,8,1,49.65,0.99,0,1
70,3,9,0,53.66,0.99,1,1
71,3,10,0,59.57,0.99,1,1
72,3,11,1,55.15,0.99,0,1
73,3,12,1,37.0,0.61,0,1
74,3,13,0,77.73,0.98,1,1
75,3,14,0,65.6,0.95,1,1
76,3,15,0,75.07,0.86,1,1
77,3,16,0,52.79,0.72,1,1
78,3,17,0,68.98,0.89,1,1
79,3,18,0,56.83,0.81,0,1
0,0,0,0,36.97,0.69,0,2
1,0,1,1,60.47,0.64,1,2
2,0,2,1,60.72,0.53,1,2
3,0,3,1,59.82,0.89,1,2
4,0,4,0,41.49,0.92,0,2
5,0,5,1,53.76,0.99,1,2
6,0,6,1,55.01,0.67,1,2
7,0,7,0,45.41,0.99,0,2
8,0,8,0,42.69,0.98,0,2
9,0,9,1,47.05,0.96,1,2
10,0,10,1,66.4,0.99,1,2
11,0,11,1,58.85,0.75,1,2
12,0,12,1,66.64,0.99,1,2
13,0,13,1,51.26,0.99,1,2
14,0,14,1,52.41,0.85,1,2
15,0,15,1,56.25,0.86,1,2
16,0,16,1,50.24,0.99,1,2
17,0,17,1,64.17,0.66,1,2
18,0,18,1,71.2,0.93,1,2
19,0,19,1,53.06,0.94,1,2
20,0,20,0,40.46,0.99,1,2
21,1,0,0,52.48,0.99,1,2
22,1,1,0,59.65,0.87,1,2
23,1,2,1,41.53,0.78,0,2
24,1,3,0,68.28,0.99,1,2
25,1,4,1,37.21,0.85,0,2
26,1,5,1,39.35,0.99,0,2
27,1,6,1,20.46,0.75,0,2
28,1,7,1,39.76,0.99,0,2
29,1,8,1,44.74,0.95,0,2
30,1,9,1,51.32,0.99,0,2
31,1,10,1,39.05,0.73,0,2
32,1,11,0,50.26,0.99,1,2
33,1,12,1,39.21,0.96,0,2
34,1,13,1,46.36,0.89,0,2
35,1,14,1,37.47,0.68,0,2
36,1,15,1,46.11,0.99,0,2
37,1,16,1,33.54,0.98,0,2
38,1,17,1,27.47,0.98,0,2
39,1,18,1,35.83,0.88,0,2
40,1,19,1,44.62,0.86,1,2
41,2,0,1,78.64,0.98,1,2
42,2,1,0,49.64,0.99,0,2
43,2,2,1,64.6,0.86,1,2
44,2,3,1,49.18,0.84,1,2
45,2,4,1,70.71,0.99,1,2
46,2,5,1,75.8,0.88,1,2
47,2,6,1,66.63,0.94,1,2
48,2,7,0,52.51,0.99,0,2
49,2,8,0,35.61,0.99,0,2
50,2,9,1,66.34,0.95,1,2
51,2,10,1,68.21,0.99,1,2
52,2,11,1,44.91,0.74,1,2
53,2,12,1,55.54,0.87,1,2
54,2,13,1,41.51,0.53,1,2
55,2,14,1,53.72,0.99,1,2
56,2,15,0,28.53,0.96,0,2
57,2,16,1,59.18,0.82,1,2
58,2,17,1,71.15,0.54,1,2
59,2,18,1,52.72,0.99,1,2
60,2,19,1,50.21,0.71,0,2
61,3,0,1,23.54,0.99,0,2
62,3,1,1,41.49,0.66,0,2
63,3,2,0,63.4,0.58,1,2
64,3,3,1,42.31,0.99,0,2
65,3,4,1,43.13,0.92,0,2
66,3,5,1,45.38,0.99,0,2
67,3,6,1,35.59,0.73,0,2
68,3,7,1,39.84,0.92,0,2
69,3,8,1,47.25,0.99,0,2
70,3,9,1,31.31,0.59,0,2
71,3,10,1,33.28,0.99,0,2
72,3,11,1,35.72,0.88,0,2
73,3,12,0,66.86,0.98,1,2
74,3,13,0,65.27,0.99,1,2
75,3,14,1,38.34,0.92,0,2
76,3,15,1,41.71,0.99,0,2
77,3,16,1,44.48,0.65,0,2
78,3,17,1,61.52,0.97,0,2
79,3,18,1,32.58,0.97,1,2
0,0,0,0,62.86,0.7,1,3
1,0,1,1,31.6,0.99,0,3
2,0,2,1,50.12,0.54,0,3
3,0,3,1,43.36,0.95,0,3
4,0,4,1,27.89,0.75,0,3
5,0,5,1,27.68,0.86,0,3
6,0,6,0,51.3,0.75,1,3
7,0,7,0,62.74,0.99,1,3
8,0,8,0,51.62,0.94,1,3
9,0,9,1,34.73,0.97,0,3
10,0,10,1,28.91,0.99,0,3
11,0,11,1,43.59,0.92,0,3
12,0,12,0,89.24,0.95,1,3
13,0,13,1,39.95,0.99,0,3
14,0,14,0,65.48,0.98,1,3
15,0,15,0,54.29,0.98,1,3
16,0,16,1,37.6,0.84,0,3
17,0,17,1,39.84,0.98,0,3
18,0,18,1,36.59,0.95,0,3
19,0,19,1,48.64,0.67,0,3
20,0,20,1,48.33,0.97,1,3
21,1,0,1,51.25,0.99,1,3
22,1,1,1,78.96,0.97,1,3
23,1,2,0,27.99,0.99,0,3
24,1,3,1,60.6,0.99,1,3
25,1,4,0,41.67,0.97,0,3
26,1,5,0,42.34,0.98,0,3
27,1,6,1,43.58,0.99,1,3
28,1,7,1,57.46,0.99,1,3
29,1,8,0,39.91,0.74,0,3
30,1,9,1,71.06,0.98,1,3
31,1,10,1,64.02,0.99,1,3
32,1,11,1,50.17,0.97,1,3
33,1,12,1,62.07,0.99,1,3
34,1,13,0,33.97,0.99,0,3
35,1,14,1,62.5,0.98,1,3
36,1,15,1,65.32,0.99,1,3
37,1,16,1,60.65,0.95,1,3
38,1,17,1,56.42,0.99,1,3
39,1,18,0,37.02,0.84,0,3
40,1,19,1,71.16,0.72,0,3
41,2,0,1,52.23,0.61,0,3
42,2,1,1,42.85,0.99,0,3
43,2,2,1,40.02,0.99,0,3
44,2,3,0,80.79,0.71,1,3
45,2,4,0,63.35,0.99,1,3
46,2,5,0,69.56,0.96,1,3
47,2,6,1,37.28,0.99,0,3
48,2,7,1,34.95,0.97,0,3
49,2,8,0,59.6,0.74,1,3
50,2,9,0,54.28,0.75,1,3
51,2,10,1,38.52,0.99,0,3
52,2,11,1,60.57,0.99,0,3
53,2,12,1,31.08,0.99,0,3
54,2,13,0,74.58,0.72,1,3
55,2,14,1,45.73,0.58,0,3
56,2,15,0,53.85,0.48,1,3
57,2,16,1,26.49,0.92,0,3
58,2,17,1,42.22,0.75,0,3
59,2,18,1,45.85,0.53,0,3
60,2,19,1,47.04,0.63,1,3
61,3,0,1,78.96,0.99,1,3
62,3,1,0,32.26,0.95,0,3
63,3,2,1,51.69,0.73,1,3
64,3,3,0,20.86,0.99,0,3
65,3,4,1,62.74,0.99,1,3
66,3,5,1,65.09,0.66,1,3
67,3,6,0,39.02,0.99,0,3
68,3,7,1,61.53,0.66,1,3
