trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,64.58,0.7,1,0
1,0,1,1,43.85,0.5,0,0
2,0,2,0,47.61,0.0,1,0
3,0,3,0,70.45,0.7,1,0
4,0,4,1,45.47,0.8,0,0
5,0,5,1,46.96,0.6,0,0
6,0,6,0,64.83,0.0,1,0
7,0,7,1,54.6,0.0,0,0
8,0,8,0,53.54,0.5,1,0
9,0,9,0,74.54,0.7,1,0
10,0,10,0,52.41,0.0,1,0
11,0,11,1,47.79,0.85,0,0
12,0,12,1,45.77,0.85,0,0
13,0,13,0,57.44,0.75,1,0
14,0,14,1,43.75,0.7,0,0
15,0,15,1,36.88,0.0,0,0
16,0,16,1,55.03,0.8,0,0
17,0,17,0,50.37,0.7,1,0
18,0,18,0,69.8,0.75,1,0
19,0,19,0,56.56,0.75,1,0
20,0,20,0,49.62,0.75,0,0
21,1,0,0,47.64,0.75,0,0
22,1,1,0,41.61,0.0,0,0
23,1,2,1,56.0,0.8,1,0
24,1,3,1,60.31,0.75,1,0
25,1,4,1,64.86,0.85,1,0
26,1,5,0,44.98,0.8,0,0
27,1,6,0,42.18,0.75,0,0
28,1,7,0,36.16,0.75,0,0
29,1,8,0,43.57,0.85,0,0
30,1,9,0,36.11,0.75,0,0
31,1,10,0,45.27,0.85,0,0
32,1,11,0,49.95,0.8,0,0
33,1,12,1,59.58,0.75,1,0
34,1,13,0,46.79,0.85,0,0
35,1,14,0,35.73,0.8,0,0
36,1,15,0,29.36,0.75,0,0
37,1,16,0,41.9,0.85,0,0
38,1,17,0,43.66,0.8,0,0
39,1,18,0,40.23,0.75,0,0
40,1,19,0,36.67,0.85,1,0
41,2,0,0,55.9,0.8,1,0
42,2,1,1,39.72,0.75,0,0
43,2,2,0,54.99,0.0,1,0
44,2,3,0,63.5,0.0,1,0
45,2,4,0,54.77,0.75,1,0
46,2,5,0,57.53,0.85,1,0
47,2,6,1,52.26,0.67,0,0
48,2,7,0,67.28,0.85,1,0
49,2,8,0,68.74,0.75,1,0
50,2,9,0,69.04,0.75,1,0
51,2,10,0,47.34,0.75,1,0
52,2,11,0,64.04,0.8,1,0
53,2,12,0,57.79,0.85,1,0
54,2,13,0,58.14,0.85,1,0
55,2,14,0,53.93,0.75,1,0
56,2,15,1,39.38,0.75,0,0
57,2,16,1,49.39,0.85,0,0
58,2,17,1,46.16,0.0,0,0
59,2,18,0,49.25,0.85,1,0
60,2,19,1,33.99,0.85,1,0
61,3,0,0,31.01,0.85,0,0
62,3,1,0,39.67,0.0,0,0
63,3,2,1,65.53,0.75,1,0
64,3,3,1,56.51,0.75,1,0
65,3,4,0,33.11,0.75,0,0
66,3,5,0,46.15,0.75,0,0
67,3,6,0,40.54,0.85,0,0
68,3,7,0,44.0,0.75,0,0
69,3,8,0,35.13,0.75,0,0
70,3,9,0,50.68,0.75,0,0
71,3,10,0,47.96,0.85,0,0
72,3,11,1,65.94,0.7,1,0
73,3,12,1,56.06,0.0,1,0
74,3,13,0,46.14,0.75,0,0
75,3,14,0,43.84,0.0,0,0
76,3,15,0,47.32,0.85,0,0
77,3,16,0,44.88,0.0,0,0
78,3,17,0,46.57,0.75,0,0
79,3,18,0,35.96,0.85,1,0
0,0,0,1,60.52,0.5,1,1
1,0,1,0,32.18,0.8,0,1
2,0,2,1,68.3,0.9,1,1
3,0,3,0,29.34,0.85,0,1
4,0,4,1,55.84,0.0,1,1
5,0,5,1,58.81,0.6,1,1
6,0,6,0,50.73,0.75,0,1
7,0,7,1,59.66,0.75,1,1
8,0,8,0,38.28,0.6,0,1
9,0,9,0,39.01,0.8,0,1
10,0,10,1,62.93,0.85,1,1
11,0,11,1,63.13,0.75,1,1
12,0,12,0,30.34,0.7,0,1
13,0,13,1,44.71,0.85,1,1
14,0,14,1,56.33,0.8,1,1
15,0,15,1,61.13,0.0,1,1
16,0,16,1,66.89,0.85,1,1
17,0,17,0,44.85,0.8,0,1
