trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,51.09,0.5,0,0
1,0,1,0,58.09,0.51,1,0
2,0,2,0,64.68,0.5,1,0
3,0,3,1,34.9,0.4,0,0
4,0,4,1,27.65,0.51,0,0
5,0,5,0,60.69,0.51,1,0
6,0,6,0,69.65,0.95,1,0
7,0,7,0,62.77,0.95,1,0
8,0,8,1,44.59,0.5,0,0
9,0,9,1,34.87,0.61,0,0
10,0,10,1,52.79,0.04,0,0
11,0,11,1,41.29,0.53,0,0
12,0,12,1,39.48,0.51,0,0
13,0,13,1,33.38,0.72,0,0
14,0,14,1,24.14,0.55,0,0
15,0,15,1,26.55,0.72,0,0
16,0,16,0,67.3,0.51,1,0
17,0,17,0,60.48,0.51,1,0
18,0,18,1,39.11,0.98,0,0
19,0,19,1,48.84,0.5,0,0
20,0,20,1,49.21,0.53,1,0
21,1,0,1,74.25,0.9,1,0
22,1,1,1,69.53,0.85,1,0
23,1,2,0,33.57,0.02,0,0
24,1,3,1,74.75,0.71,1,0
25,1,4,1,53.68,0.7,1,0
26,1,5,1,74.44,0.5,1,0
27,1,6,0,44.38,0.5,0,0
28,1,7,1,66.4,0.5,1,0
29,1,8,1,65.3,0.5,1,0
30,1,9,0,30.41,0.75,0,0
31,1,10,1,46.13,0.0,1,0
32,1,11,0,44.71,0.53,0,0
33,1,12,0,29.81,0.7,0,0
34,1,13,1,62.9,0.5,1,0
35,1,14,1,56.65,0.52,1,0
36,1,15,1,53.51,0.8,1,0
37,1,16,1,55.15,0.84,1,0
38,1,17,1,54.92,0.99,1,0
39,1,18,0,30.12,0.53,0,0
40,1,19,1,65.53,0.97,0,0
41,2,0,1,44.11,0.99,0,0
42,2,1,1,32.41,0.85,0,0
43,2,2,0,76.97,0.87,1,0
44,2,3,1,58.54,0.66,0,0
45,2,4,1,24.39,0.5,0,0
46,2,5,0,46.82,0.99,1,0
47,2,6,0,54.68,0.51,1,0
48,2,7,1,41.08,0.66,0,0
49,2,8,0,51.16,0.56,1,0
50,2,9,0,67.14,0.69,1,0
51,2,10,0,55.98,0.79,1,0
52,2,11,1,39.95,0.85,0,0
53,2,12,1,35.01,0.79,0,0
54,2,13,0,53.53,0.98,1,0
55,2,14,0,65.84,0.99,1,0
56,2,15,0,40.44,0.59,1,0
57,2,16,0,66.73,0.53,1,0
58,2,17,1,47.37,0.85,0,0
59,2,18,0,66.61,0.99,1,0
60,2,19,0,54.49,0.99,0,0
61,3,0,1,69.5,0.72,1,0
62,3,1,1,54.02,0.5,1,0
63,3,2,1,60.54,0.06,1,0
64,3,3,1,68.38,0.8,1,0
65,3,4,1,48.73,0.85,1,0
66,3,5,1,56.24,0.85,1,0
67,3,6,1,60.07,0.85,1,0
68,3,7,0,45.46,0.95,0,0
69,3,8,1,64.69,0.51,1,0
70,3,9,0,36.58,0.98,0,0
71,3,10,0,51.44,0.85,0,0
72,3,11,0,26.72,0.75,0,0
73,3,12,1,67.65,0.74,1,0
74,3,13,1,55.07,0.95,1,0
75,3,14,1,70.15,0.95,1,0
76,3,15,1,45.08,0.97,1,0
77,3,16,0,43.48,0.85,0,0
78,3,17,0,40.24,0.5,0,0
79,3,18,0,43.19,0.98,1,0
0,0,0,0,44.28,0.5,0,1
1,0,1,1,54.04,0.7,1,1
2,0,2,1,68.62,0.5,1,1
3,0,3,0,60.22,0.85,0,1
4,0,4,1,57.14,0.45,1,1
5,0,5,1,55.56,0.5,1,1
6,0,6,1,68.64,0.5,1,1
7,0,7,0,39.43,0.8,0,1
8,0,8,1,54.87,0.88,1,1
9,0,9,1,64.51,0.4,1,1
10,0,10,1,51.54,0.45,1,1
11,0,11,1,63.26,0.54,1,1
12,0,12,0,46.68,0.5,0,1
13,0,13,0,53.94,0.61,0,1
14,0,14,0,41.79,0.52,0,1
15,0,15,1,56.16,0.5,1,1
16,0,16,0,35.49,0.65,0,1
17,0,17,0,32.48,0.65,0,1
18,0,18,1,78.09,0.74,1,1
19,0,19,0,43.4,0.5,0,1
20,0,20,1,47.1,0.54,0,1
21,1,0,0,65.04,0.85,1,1
22,1,1,1,39.04,0.85,0,1
23,1,2,1,25.8,0.57,0,1
24,1,3,0,56.37,0.4,1,1
25,1,4,1,44.14,0.85,0,1
26,1,5,0,53.4,0.84,1,1
27,1,6,1,36.55,0.51,0,1
28,1,7,1,26.23,0.66,0,1
29,1,8,1,31.04,0.7,0,1
30,1,9,1,37.71,0.5,0,1
31,1,10,1,31.13,0.85,0,1
32,1,11,1,46.48,0.64,0,1
33,1,12,0,57.4,0.53,1,1
34,1,13,1,40.04,0.66,0,1
35,1,14,1,34.89,0.9,0,1
36,1,15,0,70.9,0.81,1,1
37,1,16,0,75.41,0.84,1,1
38,1,17,1,42.24,0.7,0,1
39,1,18,0,59.69,0.9,1,1
40,1,19,0,68.79,0.99,0,1
41,2,0,1,61.89,0.63,1,1
42,2,1,0,41.61,0.79,0,1
43,2,2,1,65.34,0.7,1,1
44,2,3,0,36.55,0.87,0,1
45,2,4,1,56.93,0.99,1,1
46,2,5,0,47.69,0.77,0,1
47,2,6,0,28.28,0.95,0,1
48,2,7,1,42.71,0.95,1,1
49,2,8,1,69.88,0.5,1,1
50,2,9,0,34.83,0.8,0,1
51,2,10,1,57.46,0.99,1,1
52,2,11,1,62.25,0.74,1,1
53,2,12,0,22.24,0.5,0,1
54,2,13,0,53.66,0.61,0,1
55,2,14,1,64.06,0.57,1,1
56,2,15,0,52.55,0.72,0,1
57,2,16,0,29.75,0.88,0,1
58,2,17,1,82.67,0.99,1,1
59,2,18,1,73.0,0.05,1,1
60,2,19,0,45.85,0.71,1,1
61,3,0,0,63.44,0.9,1,1
62,3,1,1,37.17,0.85,0,1
63,3,2,1,48.32,0.98,0,1
64,3,3,1,44.37,0.9,0,1
65,3,4,1,58.53,0.0,0,1
66,3,5,1,42.26,0.999,0,1
67,3,6,0,68.65,0.99,1,1
68,3,7,1,41.9,0.99,0,1
69,3,8,1,59.31,0.999,0,1
70,3,9,0,63.23,0.82,1,1
71,3,10,0,64.69,0.5,1,1
72,3,11,1,39.16,0.95,0,1
73,3,12,0,64.42,0.81,1,1
74,3,13,0,62.38,0.58,1,1
75,3,14,0,58.7,0.5,1,1
76,3,15,1,43.57,0.65,0,1
77,3,16,1,25.97,0.999,0,1
78,3,17,0,64.35,0.99,1,1
79,3,18,0,64.28,0.025,0,1
0,0,0,1,48.33,0.5,0,2
1,0,1,1,35.76,0.5,0,2
2,0,2,1,35.09,0.38,0,2
3,0,3,1,44.58,0.5,0,2
4,0,4,1,23.3,0.75,0,2
5,0,5,1,31.88,0.5,0,2
6,0,6,1,31.71,0.5,0,2
7,0,7,1,45.49,0.75,0,2
8,0,8,1,36.08,0.75,0,2
9,0,9,1,38.92,0.55,0,2
10,0,10,0,52.46,0.96,1,2
11,0,11,0,49.31,0.96,1,2
12,0,12,0,52.59,0.96,1,2
13,0,13,0,53.92,0.96,1,2
14,0,14,0,53.91,0.72,1,2
15,0,15,0,66.76,0.72,1,2
16,0,16,0,57.38,0.55,1,2
17,0,17,0,68.89,0.78,1,2
18,0,18,1,39.97,0.97,0,2
19,0,19,1,37.8,0.61,0,2
20,0,20,1,34.28,0.8,1,2
21,1,0,1,65.15,0.41,1,2
22,1,1,0,47.22,0.84,0,2
23,1,2,1,70.81,0.92,1,2
24,1,3,1,51.48,0.98,1,2
25,1,4,1,38.85,0.96,1,2
26,1,5,1,49.65,0.4,1,2
27,1,6,0,20.29,0.78,0,2
28,1,7,0,27.67,0.8,0,2
29,1,8,1,50.66,0.87,1,2
30,1,9,0,42.62,0.95,0,2
31,1,10,1,57.82,0.61,1,2
32,1,11,0,34.1,0.95,0,2
33,1,12,0,43.15,0.95,0,2
34,1,13,1,68.88,0.9,1,2
35,1,14,1,60.6,0.66,1,2
36,1,15,0,47.69,0.96,0,2
37,1,16,0,33.7,0.95,0,2
38,1,17,0,53.03,0.99,0,2
39,1,18,1,60.51,0.45,1,2
40,1,19,1,55.34,0.88,0,2
41,2,0,0,63.81,0.95,1,2
42,2,1,0,70.55,0.52,1,2
43,2,2,1,45.33,0.55,0,2
44,2,3,0,56.38,0.95,1,2
45,2,4,1,50.08,0.95,0,2
46,2,5,0,60.86,0.96,1,2
47,2,6,0,49.41,0.6,1,2
48,2,7,1,44.97,0.5,0,2
49,2,8,1,45.45,0.72,0,2
50,2,9,0,70.18,0.88,1,2
51,2,10,0,54.69,0.98,1,2
52,2,11,0,53.84,0.66,1,2
53,2,12,1,48.71,0.65,0,2
54,2,13,1,44.96,0.53,0,2
55,2,14,0,37.05,0.74,1,2
56,2,15,0,62.88,0.8,1,2
57,2,16,0,64.39,0.98,1,2
58,2,17,0,61.49,0.98,1,2
59,2,18,1,31.97,0.98,0,2
60,2,19,0,75.81,0.95,0,2
61,3,0,0,47.33,0.9,0,2
62,3,1,0,46.0,0.8,0,2
63,3,2,0,32.8,0.76,0,2
64,3,3,0,40.57,0.55,0,2
65,3,4,1,74.74,0.87,1,2
66,3,5,1,66.79,0.65,1,2
67,3,6,1,71.48,0.99,1,2
68,3,7,1,63.4,0.96,1,2
69,3,8,1,61.86,0.53,1,2
70,3,9,1,47.88,0.8,1,2
71,3,10,1,51.05,0.99,1,2
72,3,11,1,58.42,0.99,1,2
