trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,49.38,0.5,0,0
1,0,1,1,41.04,0.5,0,0
2,0,2,1,40.62,0.75,0,0
3,0,3,1,49.54,0.75,0,0
4,0,4,1,34.92,0.75,0,0
5,0,5,1,49.09,0.75,0,0
6,0,6,1,35.21,0.75,0,0
7,0,7,1,39.09,0.75,0,0
8,0,8,1,36.66,0.75,0,0
9,0,9,0,69.64,0.6,1,0
10,0,10,0,56.4,0.85,1,0
11,0,11,0,61.4,0.85,1,0
12,0,12,0,59.25,0.85,1,0
13,0,13,0,86.48,0.85,1,0
14,0,14,0,66.52,0.85,1,0
15,0,15,0,69.52,0.85,1,0
16,0,16,0,71.91,0.85,1,0
17,0,17,0,67.55,0.85,1,0
18,0,18,0,67.25,0.85,1,0
19,0,19,0,55.83,0.85,1,0
20,0,20,0,66.76,0.0,0,0
21,1,0,1,51.8,0.85,1,0
22,1,1,0,47.52,0.6,0,0
23,1,2,0,24.75,0.85,0,0
24,1,3,0,41.25,0.85,0,0
25,1,4,0,29.51,0.85,0,0
26,1,5,0,45.83,0.75,0,0
27,1,6,0,5.48,0.85,0,0
28,1,7,0,43.04,0.75,0,0
29,1,8,0,39.45,0.0,0,0
30,1,9,0,26.15,0.0,0,0
31,1,10,1,56.93,0.0,1,0
32,1,11,0,45.66,0.85,0,0
33,1,12,1,58.28,0.0,1,0
34,1,13,0,40.31,0.0,0,0
35,1,14,1,55.71,0.0,1,0
36,1,15,0,25.7,0.85,0,0
37,1,16,0,34.45,0.65,0,0
38,1,17,0,39.05,0.0,0,0
39,1,18,0,40.92,0.85,0,0
40,1,19,0,41.84,0.85,1,0
41,2,0,0,62.39,0.75,1,0
42,2,1,1,40.46,0.85,0,0
43,2,2,0,71.9,0.85,1,0
44,2,3,0,58.21,0.85,1,0
45,2,4,1,34.58,0.75,0,0
46,2,5,0,55.42,0.85,1,0
47,2,6,1,38.73,0.0,0,0
48,2,7,0,66.2,0.85,1,0
49,2,8,1,38.8,0.65,0,0
50,2,9,1,32.32,0.85,0,0
51,2,10,1,30.34,0.85,0,0
52,2,11,0,67.06,0.65,1,0
53,2,12,0,48.72,0.85,1,0
54,2,13,1,45.61,0.85,0,0
55,2,14,1,35.6,0.85,0,0
56,2,15,1,33.81,0.85,0,0
57,2,16,0,62.73,0.65,1,0
58,2,17,1,27.89,0.75,0,0
59,2,18,1,40.89,0.75,0,0
60,2,19,0,75.44,0.85,0,0
61,3,0,0,43.29,0.85,0,0
62,3,1,1,54.11,0.0,1,0
63,3,2,1,64.6,0.0,1,0
64,3,3,0,26.83,0.85,0,0
65,3,4,0,50.8,0.85,0,0
66,3,5,0,54.87,0.85,0,0
67,3,6,0,42.66,0.85,0,0
68,3,7,1,60.41,0.85,1,0
69,3,8,1,65.37,0.75,1,0
70,3,9,1,65.11,0.0,1,0
71,3,10,1,40.95,0.0,1,0
72,3,11,0,27.25,0.0,0,0
73,3,12,0,42.61,0.85,0,0
74,3,13,0,47.6,0.75,0,0
75,3,14,0,50.13,0.0,0,0
76,3,15,0,39.72,0.0,0,0
77,3,16,0,35.32,0.75,0,0
78,3,17,1,67.27,0.75,1,0
79,3,18,1,54.07,0.85,0,0
0,0,0,1,42.26,0.5,0,1
1,0,1,1,35.59,0.5,0,1
2,0,2,1,39.98,0.5,0,1
3,0,3,0,56.36,0.75,1,1
4,0,4,0,60.58,0.85,1,1
5,0,5,0,61.78,0.85,1,1
6,0,6,0,59.35,0.85,1,1
7,0,7,0,73.33,0.85,1,1
8,0,8,0,58.63,0.85,1,1
9,0,9,1,52.87,0.85,0,1
10,0,10,0,60.36,0.85,1,1
11,0,11,0,61.85,0.85,1,1
12,0,12,0,68.08,0.85,1,1
13,0,13,0,57.0,0.85,1,1
14,0,14,0,60.05,0.85,1,1
