trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,61.19,0.8,1,0
1,0,1,0,51.64,0.8,1,0
2,0,2,0,57.24,0.8,1,0
3,0,3,0,66.36,0.8,1,0
4,0,4,0,65.75,0.8,1,0
5,0,5,0,64.89,0.8,1,0
6,0,6,0,52.52,0.8,1,0
7,0,7,0,55.55,0.8,1,0
8,0,8,0,60.88,0.8,1,0
9,0,9,0,72.92,0.8,1,0
10,0,10,0,58.98,0.8,1,0
11,0,11,0,62.48,0.8,1,0
12,0,12,0,60.69,0.8,1,0
13,0,13,0,59.51,0.8,1,0
14,0,14,0,57.85,0.8,1,0
15,0,15,0,43.63,0.8,1,0
16,0,16,0,64.04,0.8,1,0
17,0,17,0,58.57,0.8,1,0
18,0,18,0,58.63,0.8,1,0
19,0,19,0,53.72,0.8,1,0
20,0,20,1,52.11,0.95,1,0
21,1,0,1,54.36,0.95,1,0
22,1,1,1,64.34,0.95,1,0
23,1,2,1,71.27,0.95,1,0
24,1,3,1,70.95,0.95,1,0
25,1,4,1,58.27,0.95,1,0
26,1,5,1,62.04,0.95,1,0
27,1,6,1,54.06,0.95,1,0
28,1,7,1,55.21,0.95,1,0
29,1,8,1,51.57,0.95,1,0
30,1,9,1,60.15,0.95,1,0
31,1,10,0,42.5,0.8,0,0
32,1,11,1,59.97,0.95,1,0
33,1,12,1,64.69,0.95,1,0
34,1,13,1,55.76,0.95,1,0
35,1,14,1,70.64,0.95,1,0
36,1,15,1,60.61,0.95,1,0
37,1,16,1,63.9,0.95,1,0
38,1,17,1,46.25,0.95,1,0
39,1,18,1,53.96,0.95,1,0
40,1,19,1,65.08,0.95,0,0
41,2,0,1,33.15,0.95,0,0
42,2,1,1,36.92,0.95,0,0
43,2,2,1,47.84,0.95,0,0
44,2,3,1,51.86,0.95,0,0
45,2,4,1,35.8,0.95,0,0
46,2,5,1,28.49,0.95,0,0
47,2,6,1,31.96,0.95,0,0
48,2,7,1,41.31,0.95,0,0
49,2,8,1,50.67,0.95,0,0
50,2,9,1,45.72,0.95,0,0
51,2,10,1,47.08,0.95,0,0
52,2,11,1,41.06,0.95,0,0
53,2,12,1,35.14,0.95,0,0
54,2,13,1,36.01,0.95,0,0
55,2,14,1,54.05,0.95,0,0
56,2,15,1,38.0,0.95,0,0
57,2,16,1,41.63,0.95,0,0
58,2,17,1,47.17,0.95,0,0
59,2,18,1,51.37,0.95,0,0
60,2,19,1,53.39,0.95,1,0
61,3,0,1,73.81,0.95,1,0
62,3,1,1,58.85,0.95,1,0
63,3,2,1,56.16,0.95,1,0
64,3,3,1,71.43,0.95,1,0
65,3,4,1,64.46,0.95,1,0
66,3,5,1,64.44,0.95,1,0
67,3,6,1,60.27,0.95,1,0
68,3,7,1,51.25,0.95,1,0
69,3,8,1,55.58,0.95,1,0
70,3,9,1,74.66,0.95,1,0
71,3,10,1,60.98,0.95,1,0
72,3,11,1,70.17,0.95,1,0
73,3,12,1,63.32,0.95,1,0
74,3,13,1,56.2,0.95,1,0
75,3,14,1,68.31,0.95,1,0
76,3,15,1,61.9,0.95,1,0
77,3,16,1,80.4,0.95,1,0
78,3,17,1,63.65,0.95,1,0
79,3,18,1,44.19,0.95,0,0
0,0,0,1,46.02,0.8,0,1
1,0,1,1,34.8,0.8,0,1
2,0,2,1,45.22,0.8,0,1
3,0,3,1,46.22,0.8,0,1
4,0,4,1,58.14,0.8,0,1
5,0,5,1,49.75,0.8,0,1
6,0,6,1,43.59,0.8,0,1
7,0,7,1,38.43,0.8,0,1
8,0,8,1,36.21,0.8,0,1
9,0,9,1,48.31,0.8,0,1
10,0,10,1,46.83,0.8,0,1
11,0,11,1,48.41,0.8,0,1
12,0,12,1,33.1,0.8,0,1
13,0,13,1,39.57,0.95,0,1
14,0,14,1,25.09,0.8,0,1
15,0,15,1,46.51,0.8,0,1
16,0,16,1,51.72,0.8,0,1
17,0,17,1,23.92,0.8,0,1
18,0,18,1,45.34,0.8,0,1
19,0,19,1,41.31,0.8,0,1
20,0,20,1,42.7,0.8,1,1
21,1,0,1,71.45,0.8,1,1
22,1,1,1,64.32,0.8,1,1
23,1,2,1,41.22,0.8,1,1
24,1,3,1,63.21,0.8,1,1
25,1,4,1,57.11,0.8,1,1
26,1,5,1,68.78,0.8,1,1
27,1,6,1,59.1,0.8,1,1
28,1,7,1,60.92,0.8,1,1
29,1,8,1,59.53,0.8,1,1
30,1,9,1,58.02,0.8,1,1
31,1,10,1,72.17,0.8,1,1
32,1,11,1,55.9,0.8,1,1
33,1,12,1,51.89,0.8,1,1
34,1,13,1,74.41,0.8,1,1
35,1,14,1,70.0,0.8,1,1
36,1,15,1,56.25,0.8,1,1
37,1,16,1,60.04,0.8,1,1
38,1,17,1,64.39,0.8,1,1
39,1,18,1,60.34,0.8,1,1
40,1,19,1,56.8,0.8,0,1
41,2,0,1,42.06,0.8,0,1
42,2,1,1,33.65,0.8,0,1
43,2,2,1,34.57,0.8,0,1
44,2,3,1,35.05,0.8,0,1
45,2,4,1,44.24,0.8,0,1
46,2,5,1,37.21,0.8,0,1
47,2,6,1,56.06,0.8,0,1
48,2,7,1,61.51,0.8,0,1
49,2,8,1,40.05,0.8,0,1
50,2,9,1,40.39,0.8,0,1
51,2,10,1,39.6,0.8,0,1
52,2,11,1,38.11,0.8,0,1
53,2,12,1,42.14,0.8,0,1
54,2,13,1,51.84,0.8,0,1
55,2,14,1,39.27,0.8,0,1
56,2,15,1,43.13,0.8,0,1
57,2,16,1,57.99,0.8,0,1
58,2,17,1,36.93,0.8,0,1
59,2,18,1,45.65,0.8,0,1
60,2,19,1,48.02,0.8,1,1
61,3,0,1,60.23,0.8,1,1
62,3,1,1,65.08,0.8,1,1
63,3,2,1,50.21,0.8,1,1
64,3,3,1,58.49,0.8,1,1
65,3,4,1,55.41,0.8,1,1
66,3,5,1,74.59,0.8,1,1
67,3,6,1,72.66,0.8,1,1
68,3,7,1,59.91,0.8,1,1
69,3,8,1,57.68,0.8,1,1
70,3,9,1,68.06,0.8,1,1
71,3,10,1,78.99,0.8,1,1
72,3,11,1,66.65,0.73,1,1
73,3,12,1,58.29,0.73,1,1
74,3,13,1,48.92,0.73,1,1
75,3,14,1,56.3,0.73,1,1
76,3,15,1,52.35,0.73,1,1
77,3,16,1,59.71,0.73,1,1
78,3,17,1,54.36,0.73,1,1
79,3,18,1,60.97,0.73,0,1
0,0,0,1,59.76,0.75,1,2
1,0,1,1,61.48,0.75,1,2
2,0,2,1,77.92,0.75,1,2
3,0,3,1,56.48,0.75,1,2
4,0,4,1,57.73,0.75,1,2
5,0,5,1,63.25,0.75,1,2
6,0,6,1,77.53,0.75,1,2
7,0,7,1,50.25,0.75,1,2
8,0,8,1,60.28,0.75,1,2
9,0,9,1,52.7,0.75,1,2
10,0,10,1,57.43,0.75,1,2
11,0,11,1,67.35,0.75,1,2
12,0,12,1,54.43,0.75,1,2
13,0,13,1,60.94,0.75,1,2
14,0,14,1,57.67,0.75,1,2
15,0,15,1,81.95,0.75,1,2
16,0,16,1,55.35,0.75,1,2
17,0,17,1,52.74,0.75,1,2
18,0,18,1,58.66,0.75,1,2
19,0,19,1,61.09,0.75,1,2
20,0,20,1,48.67,0.75,0,2
21,1,0,1,42.47,0.75,0,2
22,1,1,1,42.2,0.75,0,2
23,1,2,1,44.16,0.75,0,2
24,1,3,1,35.19,0.75,0,2
25,1,4,1,31.9,0.75,0,2
26,1,5,1,38.9,0.75,0,2
27,1,6,1,51.31,0.75,0,2
28,1,7,1,39.31,0.75,0,2
29,1,8,1,33.86,0.75,0,2
30,1,9,1,57.69,0.75,0,2
31,1,10,1,47.86,0.75,0,2
32,1,11,1,48.46,0.75,0,2
33,1,12,1,36.98,0.75,0,2
34,1,13,1,34.17,0.75,0,2
35,1,14,1,49.22,0.75,0,2
36,1,15,1,23.38,0.75,0,2
37,1,16,1,29.14,0.75,0,2
38,1,17,1,56.58,0.75,0,2
39,1,18,1,48.4,0.75,0,2
40,1,19,1,39.83,0.75,1,2
41,2,0,1,66.05,0.75,1,2
42,2,1,1,70.58,0.75,1,2
43,2,2,1,70.23,0.75,1,2
44,2,3,1,64.01,0.75,1,2
45,2,4,1,58.31,0.75,1,2
46,2,5,1,49.07,0.75,1,2
47,2,6,1,57.74,0.75,1,2
48,2,7,1,57.58,0.75,1,2
49,2,8,1,53.83,0.75,1,2
50,2,9,1,55.66,0.75,1,2
51,2,10,1,57.7,0.75,1,2
52,2,11,1,56.99,0.75,1,2
53,2,12,1,60.99,0.75,1,2
54,2,13,1,73.44,0.75,1,2
55,2,14,1,71.33,0.75,1,2
56,2,15,1,55.61,0.75,1,2
57,2,16,1,52.35,0.75,1,2
58,2,17,1,63.71,0.75,1,2
59,2,18,1,69.14,0.75,1,2
60,2,19,1,63.26,0.75,0,2
61,3,0,1,34.48,0.75,0,2
62,3,1,1,31.57,0.75,0,2
63,3,2,1,42.93,0.75,0,2
64,3,3,1,29.1,0.75,0,2
65,3,4,1,40.15,0.75,0,2
66,3,5,1,35.72,0.75,0,2
67,3,6,1,20.82,0.75,0,2
68,3,7,1,44.25,0.75,0,2
69,3,8,1,35.21,0.75,0,2
70,3,9,1,46.75,0.75,0,2
71,3,10,1,32.44,0.75,0,2
72,3,11,1,35.17,0.75,0,2
73,3,12,1,52.03,0.75,0,2
74,3,13,1,46.05,0.75,0,2
75,3,14,1,29.05,0.75,0,2
76,3,15,1,40.33,0.75,0,2
77,3,16,1,33.01,0.75,0,2
78,3,17,1,48.96,0.75,0,2
79,3,18,1,43.1,0.75,1,2
0,0,0,1,73.23,0.75,1,3
1,0,1,1,51.46,0.75,1,3
2,0,2,1,54.88,0.75,1,3
3,0,3,1,67.31,0.75,1,3
4,0,4,1,57.22,0.75,1,3
5,0,5,1,72.68,0.75,1,3
6,0,6,1,57.85,0.75,1,3
7,0,7,1,56.07,0.75,1,3
8,0,8,1,72.31,0.75,1,3
9,0,9,1,60.17,0.75,1,3
10,0,10,1,62.19,0.75,1,3
11,0,11,1,52.81,0.75,1,3
12,0,12,1,65.71,0.75,1,3
13,0,13,1,56.37,0.75,1,3
14,0,14,1,62.69,0.75,1,3
15,0,15,1,66.04,0.75,1,3
16,0,16,1,57.55,0.75,1,3
17,0,17,1,74.37,0.75,1,3
18,0,18,1,58.49,0.75,1,3
19,0,19,1,57.23,0.75,1,3
20,0,20,1,70.77,0.75,0,3
21,1,0,1,41.51,0.75,0,3
22,1,1,1,39.13,0.75,0,3
23,1,2,1,42.7,0.75,0,3
24,1,3,1,45.22,0.75,0,3
25,1,4,1,26.87,0.75,0,3
26,1,5,1,43.42,0.75,0,3
27,1,6,1,37.56,0.75,0,3
28,1,7,1,38.86,0.75,0,3
29,1,8,1,49.58,0.75,0,3
30,1,9,1,50.99,0.75,0,3
31,1,10,1,30.43,0.75,0,3
32,1,11,1,26.78,0.75,0,3
33,1,12,1,45.93,0.75,0,3
34,1,13,1,47.7,0.75,0,3
35,1,14,1,45.05,0.75,0,3
36,1,15,1,49.61,0.75,0,3
37,1,16,1,45.33,0.75,0,3
38,1,17,1,34.4,0.75,0,3
39,1,18,1,43.48,0.75,0,3
40,1,19,1,28.07,0.75,1,3
41,2,0,1,57.54,0.75,1,3
42,2,1,1,58.82,0.75,1,3
43,2,2,1,64.22,0.75,1,3
44,2,3,1,42.93,0.75,1,3
45,2,4,1,62.54,0.75,1,3
46,2,5,1,49.8,0.75,1,3
