trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,-4.13,0.5,0,0
1,0,1,1,16.56,0.75,1,0
2,0,2,1,7.21,0.8,1,0
3,0,3,1,21.02,0.85,1,0
4,0,4,1,19.52,0.9,1,0
5,0,5,1,10.05,0.95,1,0
6,0,6,1,10.12,0.96,1,0
7,0,7,1,15.55,0.97,1,0
8,0,8,1,20.87,0.98,1,0
9,0,9,1,1.57,0.99,1,0
10,0,10,0,-10.23,0.5,0,0
11,0,11,1,3.98,0.98,1,0
12,0,12,1,4.05,0.95,1,0
13,0,13,0,-19.34,0.5,0,0
14,0,14,1,21.94,0.92,1,0
15,0,15,1,4.09,0.9,1,0
16,0,16,1,-4.98,0.88,1,0
17,0,17,1,-4.61,0.85,1,0
18,0,18,0,-7.56,0.5,0,0
19,0,19,1,-0.71,0.82,1,0
20,0,20,0,-10.65,0.6,1,0
21,1,0,1,-8.13,0.8,0,0
22,1,1,0,20.62,0.55,1,0
23,1,2,0,12.79,0.6,1,0
24,1,3,0,16.53,0.65,1,0
25,1,4,0,12.18,0.7,1,0
26,1,5,0,32.59,0.75,1,0
27,1,6,0,17.61,0.8,1,0
28,1,7,0,4.2,0.85,1,0
29,1,8,0,2.07,0.9,1,0
30,1,9,0,18.37,0.85,1,0
31,1,10,0,6.6,0.86,1,0
32,1,11,0,3.57,0.87,1,0
33,1,12,0,13.37,0.88,1,0
34,1,13,0,12.15,0.89,1,0
35,1,14,0,-2.31,0.9,1,0
36,1,15,0,-16.09,0.88,1,0
37,1,16,1,-20.1,0.6,0,0
38,1,17,0,9.71,0.85,1,0
39,1,18,0,12.88,0.83,1,0
40,1,19,0,18.39,0.82,0,0
41,2,0,0,-5.37,0.81,0,0
42,2,1,0,-5.5,0.8,0,0
43,2,2,0,-9.17,0.78,0,0
44,2,3,1,13.67,0.6,1,0
45,2,4,1,19.93,0.65,1,0
46,2,5,1,-5.3,0.7,1,0
47,2,6,1,28.56,0.75,1,0
48,2,7,1,0.57,0.8,1,0
49,2,8,1,5.09,0.82,1,0
50,2,9,1,9.95,0.84,1,0
51,2,10,1,13.53,0.86,1,0
52,2,11,1,-1.94,0.88,1,0
53,2,12,1,10.47,0.9,1,0
54,2,13,1,6.16,0.92,1,0
55,2,14,1,-6.89,0.94,1,0
56,2,15,1,13.8,0.92,1,0
57,2,16,1,7.47,0.9,1,0
58,2,17,1,-13.45,0.88,1,0
59,2,18,0,0.11,0.6,0,0
60,2,19,0,-5.94,0.62,1,0
61,3,0,1,-7.04,0.6,0,0
62,3,1,0,24.86,0.6,1,0
63,3,2,0,8.62,0.65,1,0
64,3,3,0,9.84,0.7,1,0
65,3,4,0,10.47,0.75,1,0
66,3,5,0,6.38,0.8,1,0
67,3,6,0,-1.27,0.82,1,0
68,3,7,0,22.83,0.84,1,0
69,3,8,0,14.64,0.86,1,0
70,3,9,0,4.46,0.88,1,0
71,3,10,0,17.33,0.9,1,0
72,3,11,0,-4.53,0.92,1,0
73,3,12,0,9.35,0.9,1,0
74,3,13,0,5.82,0.88,1,0
75,3,14,0,18.51,0.86,1,0
76,3,15,0,15.14,0.84,1,0
77,3,16,0,1.99,0.82,1,0
78,3,17,0,6.8,0.8,1,0
79,3,18,0,8.78,0.78,0,0
0,0,0,1,17.66,0.5,1,1
1,0,1,0,-5.11,0.5,0,1
2,0,2,1,11.65,0.75,1,1
3,0,3,1,11.44,0.8,1,1
4,0,4,1,11.97,0.85,1,1
5,0,5,1,10.54,0.9,1,1
6,0,6,1,-11.01,0.95,1,1
7,0,7,0,-19.35,0.5,0,1
8,0,8,1,3.45,0.6,1,1
9,0,9,1,26.72,0.65,1,1
10,0,10,1,13.23,0.7,1,1
11,0,11,1,12.13,0.75,1,1
12,0,12,1,15.55,0.8,1,1
13,0,13,1,-6.62,0.85,1,1
14,0,14,1,6.55,0.8,1,1
15,0,15,1,-5.35,0.75,1,1
16,0,16,0,-8.58,0.5,0,1
17,0,17,1,14.18,0.7,1,1
18,0,18,1,8.71,0.65,1,1
19,0,19,1,12.64,0.6,1,1
20,0,20,1,22.51,0.6,0,1
21,1,0,1,-16.59,0.6,0,1
22,1,1,1,-22.11,0.55,0,1
23,1,2,0,5.75,0.6,1,1
24,1,3,0,20.35,0.65,1,1
25,1,4,0,13.04,0.7,1,1
26,1,5,0,9.06,0.75,1,1
27,1,6,0,22.32,0.8,1,1
28,1,7,0,3.23,0.85,1,1
29,1,8,0,3.87,0.85,1,1
30,1,9,0,6.1,0.85,1,1
31,1,10,0,17.86,0.85,1,1
32,1,11,0,19.16,0.87,1,1
33,1,12,0,19.86,0.88,1,1
34,1,13,0,-8.17,0.89,1,1
35,1,14,0,6.88,0.85,1,1
36,1,15,0,2.15,0.85,1,1
37,1,16,0,12.59,0.83,1,1
38,1,17,0,-3.54,0.82,1,1
39,1,18,0,14.86,0.8,1,1
40,1,19,0,11.26,0.78,0,1
41,2,0,0,-6.75,0.76,0,1
42,2,1,0,-5.2,0.74,0,1
43,2,2,0,-4.66,0.72,0,1
44,2,3,0,-7.95,0.7,0,1
45,2,4,1,3.14,0.55,1,1
46,2,5,1,14.33,0.57,1,1
47,2,6,1,-12.54,0.59,1,1
48,2,7,1,21.26,0.61,1,1
49,2,8,1,11.91,0.63,1,1
50,2,9,1,6.96,0.65,1,1
51,2,10,1,15.17,0.67,1,1
52,2,11,1,22.16,0.69,1,1
53,2,12,1,6.57,0.71,1,1
54,2,13,1,8.22,0.73,1,1
55,2,14,1,1.44,0.75,1,1
56,2,15,1,1.43,0.77,1,1
57,2,16,1,6.91,0.79,1,1
58,2,17,1,6.49,0.81,1,1
59,2,18,1,-2.67,0.83,1,1
60,2,19,1,6.62,0.81,0,1
61,3,0,1,-21.0,0.8,0,1
62,3,1,0,11.22,0.6,1,1
63,3,2,0,3.01,0.62,1,1
64,3,3,0,6.32,0.64,1,1
65,3,4,0,7.96,0.66,1,1
66,3,5,0,26.36,0.68,1,1
67,3,6,0,0.69,0.7,1,1
68,3,7,0,20.55,0.72,1,1
69,3,8,0,24.16,0.74,1,1
70,3,9,0,15.56,0.76,1,1
71,3,10,0,9.85,0.78,1,1
72,3,11,0,10.58,0.8,1,1
73,3,12,0,17.31,0.82,1,1
74,3,13,0,7.19,0.84,1,1
75,3,14,0,1.68,0.86,1,1
76,3,15,0,14.1,0.88,1,1
77,3,16,0,3.79,0.9,1,1
78,3,17,0,6.71,0.88,1,1
79,3,18,0,4.4,0.86,0,1
0,0,0,0,-16.39,0.5,0,2
1,0,1,1,26.08,0.75,1,2
2,0,2,1,8.96,0.8,1,2
3,0,3,1,12.22,0.85,1,2
4,0,4,1,15.57,0.9,1,2
5,0,5,1,-0.72,0.95,1,2
6,0,6,0,-27.7,0.5,0,2
7,0,7,1,9.45,0.6,1,2
8,0,8,1,11.39,0.65,1,2
9,0,9,1,1.2,0.7,1,2
10,0,10,1,14.67,0.75,1,2
11,0,11,1,16.6,0.8,1,2
12,0,12,1,2.23,0.85,1,2
13,0,13,1,10.86,0.9,1,2
14,0,14,1,8.17,0.85,1,2
15,0,15,1,11.68,0.8,1,2
16,0,16,1,9.59,0.8,1,2
17,0,17,1,17.02,0.8,1,2
18,0,18,1,13.99,0.8,1,2
19,0,19,1,15.37,0.8,1,2
20,0,20,1,11.23,0.8,0,2
21,1,0,1,-36.72,0.8,0,2
22,1,1,0,20.16,0.6,1,2
23,1,2,0,15.19,0.65,1,2
24,1,3,0,-0.74,0.7,1,2
25,1,4,0,12.27,0.75,1,2
26,1,5,0,15.38,0.8,1,2
27,1,6,0,11.68,0.85,1,2
28,1,7,0,8.16,0.9,1,2
29,1,8,0,2.72,0.92,1,2
30,1,9,1,-17.62,0.6,0,2
31,1,10,0,28.13,0.94,1,2
32,1,11,0,11.38,0.96,1,2
33,1,12,0,2.59,0.98,1,2
34,1,13,0,6.29,0.98,1,2
35,1,14,0,-5.91,0.98,1,2
36,1,15,0,14.09,0.96,1,2
37,1,16,0,19.33,0.94,1,2
38,1,17,0,3.05,0.92,1,2
39,1,18,0,14.55,0.9,1,2
40,1,19,0,8.84,0.88,0,2
41,2,0,0,-11.86,0.86,0,2
42,2,1,1,8.67,0.6,1,2
43,2,2,1,12.66,0.62,1,2
44,2,3,1,2.11,0.64,1,2
45,2,4,1,11.31,0.66,1,2
46,2,5,1,16.26,0.68,1,2
47,2,6,1,17.92,0.7,1,2
48,2,7,1,10.52,0.72,1,2
49,2,8,1,3.89,0.74,1,2
50,2,9,1,16.48,0.76,1,2
51,2,10,1,18.59,0.78,1,2
52,2,11,1,23.28,0.8,1,2
53,2,12,1,-3.08,0.82,1,2
54,2,13,1,16.59,0.84,1,2
55,2,14,1,4.11,0.86,1,2
56,2,15,1,6.12,0.88,1,2
57,2,16,1,10.81,0.9,1,2
58,2,17,1,14.52,0.92,1,2
59,2,18,1,11.23,0.94,1,2
60,2,19,1,22.23,0.96,0,2
61,3,0,1,-27.4,0.98,0,2
62,3,1,0,6.09,0.6,1,2
63,3,2,0,6.28,0.62,1,2
64,3,3,0,8.14,0.64,1,2
65,3,4,0,17.0,0.66,1,2
66,3,5,0,16.45,0.68,1,2
67,3,6,0,1.72,0.7,1,2
68,3,7,0,-2.62,0.72,1,2
69,3,8,0,9.91,0.74,1,2
70,3,9,0,10.05,0.76,1,2
71,3,10,0,15.52,0.78,1,2
72,3,11,0,11.1,0.8,1,2
73,3,12,0,10.22,0.82,1,2
74,3,13,0,9.24,0.84,1,2
75,3,14,0,-8.95,0.86,1,2
76,3,15,0,21.61,0.84,1,2
77,3,16,0,21.97,0.82,1,2
78,3,17,0,16.37,0.8,1,2
79,3,18,0,11.24,0.82,0,2
0,0,0,1,-4.01,0.5,0,3
1,0,1,0,12.6,0.75,1,3
2,0,2,0,4.55,0.8,1,3
3,0,3,0,20.95,0.85,1,3
4,0,4,0,9.85,0.9,1,3
5,0,5,0,8.54,0.95,1,3
6,0,6,0,15.97,0.96,1,3
7,0,7,0,16.65,0.97,1,3
8,0,8,0,0.37,0.98,1,3
9,0,9,1,-4.4,0.5,0,3
10,0,10,0,15.24,0.98,1,3
11,0,11,0,10.19,0.98,1,3
12,0,12,0,20.43,0.98,1,3
13,0,13,0,8.92,0.98,1,3
14,0,14,0,3.2,0.98,1,3
15,0,15,0,2.69,0.98,1,3
16,0,16,0,8.67,0.97,1,3
17,0,17,0,2.78,0.97,1,3
18,0,18,1,-19.06,0.5,0,3
19,0,19,0,-0.67,0.97,1,3
20,0,20,0,6.59,0.95,0,3
21,1,0,0,-17.54,0.93,0,3
22,1,1,1,-3.62,0.6,1,3
23,1,2,0,-17.65,0.9,0,3
24,1,3,1,18.08,0.6,1,3
25,1,4,1,18.1,0.65,1,3
26,1,5,1,0.07,0.7,1,3
27,1,6,1,5.02,0.75,1,3
28,1,7,1,-4.64,0.8,1,3
29,1,8,1,13.34,0.8,1,3
30,1,9,1,2.68,0.82,1,3
31,1,10,1,4.88,0.83,1,3
32,1,11,1,11.09,0.84,1,3
33,1,12,1,3.23,0.85,1,3
34,1,13,1,24.68,0.86,1,3
35,1,14,1,3.78,0.87,1,3
36,1,15,1,4.15,0.88,1,3
37,1,16,1,15.69,0.89,1,3
38,1,17,1,19.51,0.9,1,3
39,1,18,1,12.36,0.91,1,3
40,1,19,1,10.2,0.92,0,3
41,2,0,1,-6.81,0.93,0,3
42,2,1,1,-15.16,0.92,0,3
43,2,2,0,13.27,0.6,1,3
44,2,3,0,2.83,0.65,1,3
45,2,4,0,20.37,0.7,1,3
46,2,5,0,12.94,0.75,1,3
47,2,6,0,14.58,0.8,1,3
48,2,7,0,7.89,0.85,1,3
49,2,8,0,9.61,0.9,1,3
50,2,9,0,12.36,0.92,1,3
51,2,10,0,13.28,0.94,1,3
52,2,11,0,5.07,0.96,1,3
53,2,12,0,-3.27,0.97,1,3
54,2,13,1,-9.86,0.5,0,3
55,2,14,0,-8.05,0.95,1,3
56,2,15,0,12.67,0.9,1,3
57,2,16,0,24.34,0.85,1,3
58,2,17,0,6.99,0.8,1,3
59,2,18,0,4.5,0.8,1,3
60,2,19,0,-5.17,0.8,0,3
61,3,0,0,-14.02,0.75,0,3
62,3,1,1,11.45,0.6,1,3
63,3,2,1,-1.27,0.65,1,3
64,3,3,1,11.82,0.7,1,3
65,3,4,1,19.92,0.75,1,3
66,3,5,1,8.06,0.8,1,3
67,3,6,1,18.29,0.85,1,3
68,3,7,1,22.55,0.9,1,3
69,3,8,1,-1.45,0.92,1,3
70,3,9,1,7.96,0.93,1,3
71,3,10,1,17.1,0.94,1,3
72,3,11,1,15.7,0.95,1,3
73,3,12,1,11.88,0.96,1,3
74,3,13,1,16.25,0.97,1,3
75,3,14,1,0.54,0.98,1,3
76,3,15,1,9.32,0.98,1,3
77,3,16,1,0.12,0.98,1,3
78,3,17,1,11.9,0.98,1,3
79,3,18,1,0.09,0.98,0,3
0,0,0,1,7.47,0.5,1,4
1,0,1,0,5.91,0.5,0,4
2,0,2,1,10.0,0.6,1,4
3,0,3,1,14.88,0.7,1,4
4,0,4,1,11.36,0.75,1,4
5,0,5,1,12.85,0.8,1,4
6,0,6,1,14.01,0.85,1,4
7,0,7,1,18.62,0.9,1,4
