trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,2.75,0.75,1,0
1,0,1,1,-10.97,0.85,0,0
2,0,2,0,6.02,0.8,1,0
3,0,3,0,9.81,0.78,1,0
4,0,4,0,0.99,0.73,1,0
5,0,5,1,-14.19,0.68,0,0
6,0,6,0,7.0,0.72,1,0
7,0,7,0,12.13,0.73,1,0
8,0,8,0,8.39,0.75,1,0
9,0,9,0,7.99,0.73,1,0
10,0,10,0,18.22,0.78,1,0
11,0,11,0,-7.05,0.77,1,0
12,0,12,0,17.7,0.72,1,0
13,0,13,0,13.92,0.79,1,0
14,0,14,0,19.36,0.76,1,0
15,0,15,0,5.18,0.79,1,0
16,0,16,0,14.23,0.79,1,0
17,0,17,0,5.47,0.75,1,0
18,0,18,0,9.86,0.78,1,0
19,0,19,0,-16.55,0.79,1,0
20,0,20,1,-12.72,0.65,1,0
21,1,0,0,-22.76,0.78,0,0
22,1,1,0,3.91,0.76,0,0
23,1,2,0,-8.26,0.74,0,0
24,1,3,0,-13.64,0.73,0,0
25,1,4,0,-24.16,0.78,0,0
26,1,5,0,-21.98,0.79,0,0
27,1,6,0,-1.79,0.79,0,0
28,1,7,1,17.92,0.65,1,0
29,1,8,0,-4.48,0.74,0,0
30,1,9,0,-3.56,0.73,0,0
31,1,10,0,1.39,0.79,0,0
32,1,11,0,-2.04,0.77,0,0
33,1,12,0,-24.26,0.78,0,0
34,1,13,0,-21.83,0.76,0,0
35,1,14,0,-12.46,0.79,0,0
36,1,15,0,-17.06,0.78,0,0
37,1,16,0,-7.9,0.79,0,0
38,1,17,0,0.88,0.78,0,0
39,1,18,0,-7.28,0.76,0,0
40,1,19,0,2.0,0.79,1,0
41,2,0,0,14.67,0.78,1,0
42,2,1,0,4.48,0.79,1,0
43,2,2,0,-0.39,0.78,1,0
44,2,3,0,2.75,0.79,1,0
45,2,4,0,21.02,0.78,1,0
46,2,5,0,1.82,0.78,1,0
47,2,6,0,5.1,0.78,1,0
