present bias,subaddictivity,delay-speedup asymmetry-1,delay-length asymmetry-2,score,run
1,0,1,1,8,0
1,1,0,0,5,1
0,0,0,1,12,2
0,1,0,1,8,3
1,0,1,1,10,4
1,1,0,1,3,5
0,1,0,1,12,6
0,0,1,1,12,7
1,0,0,0,8,8
0,0,0,1,13,9
0,1,0,0,11,10
1,1,1,0,8,11
0,1,1,1,4,12
1,0,1,0,8,13
0,1,1,1,5,14
0,1,0,0,6,15
0,1,1,1,9,16
0,0,1,0,10,17
1,0,0,0,11,18
0,0,1,1,10,19
0,1,0,0,7,20
1,1,1,1,3,21
1,1,0,0,12,22
1,0,1,1,4,23
1,0,0,0,13,24
1,0,1,0,7,25
0,0,0,0,7,26
0,1,0,1,6,27
0,0,0,0,8,28
1,0,0,0,14,29
0,0,0,0,12,30
1,1,0,0,8,31
0,0,0,0,13,32
1,0,0,1,13,33
1,1,1,0,8,34
0,1,1,0,10,35
1,1,1,0,10,36
1,0,1,1,9,37
0,1,0,1,7,38
0,0,0,1,12,39
0,0,1,0,15,40
1,0,0,1,8,41
1,0,0,1,7,42
0,0,0,1,13,43
0,1,0,1,12,44
0,1,1,1,8,45
1,1,1,1,4,46
1,1,0,0,6,47
0,0,0,0,15,48
0,1,1,1,5,49
1,0,0,0,12,50
1,0,0,0,8,51
0,0,0,1,9,52
1,0,0,0,11,53
1,0,1,1,7,54
0,0,1,0,11,55
1,0,0,0,9,56
1,0,1,1,8,57
0,1,1,1,8,58
0,1,1,0,14,59
1,1,0,1,4,60
1,0,0,1,8,61
0,1,1,1,5,62
0,0,0,0,12,63
1,0,0,1,9,64
1,1,1,0,5,65
1,1,0,1,11,66
0,0,1,1,9,67
0,0,0,0,8,68
1,1,1,1,3,69
1,1,0,0,6,70
0,1,1,1,11,71
1,1,0,0,10,72
1,1,0,0,11,73
1,0,0,1,13,74
1,1,1,1,6,75
0,1,0,1,11,76
0,0,0,0,13,77
0,1,1,1,5,78
1,1,0,1,10,79
1,1,0,0,8,80
1,1,0,0,8,81
1,0,1,1,8,82
0,1,1,0,9,83
