trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.7112097820349486,0.3416556163030262,0.43718973587333537,0.7153320283912168,0
1,Y,Y,J,0,0.7010542635815815,0.34729762123259234,0.46773501674989276,0.7185967573020609,0
2,X,X,D,0,0.7091565698848052,0.349384282831939,0.4333600489810274,0.6951138680683195,0
3,X,X,D,0,0.7191229643321898,0.3463027282914377,0.4083772177829451,0.6970049418065974,0
4,X,Y,K,1,0.7113495704911097,0.28821531387835103,0.39376785732144637,0.6757083100017905,0
5,Y,Y,K,1,0.707780242580844,0.29001919757340894,0.3794678073530968,0.6964934088013357,0
6,Y,Y,K,1,0.7203525961959224,0.27813047779059763,0.37694214201478293,0.6815134963710724,0
7,Y,Y,K,1,0.6606707958465847,0.2953627138774679,0.4126714657008039,0.6688957683423433,0
8,Y,Y,K,1,0.6982525900269709,0.3103329877814463,0.44037204666483026,0.6770862911449326,0
9,Y,Y,K,1,0.7434046723880834,0.30498661773755587,0.4354762277432746,0.6773070886177835,0
10,Y,Y,K,1,0.738177716524024,0.2897088986624218,0.4593059810795361,0.6630192522773911,0
11,Y,Y,K,1,0.723697485158437,0.265067781843595,0.4444695548921958,0.6960466401220315,0
12,Y,Y,K,0,0.7406413892956267,0.28115333008422916,0.45397007598811817,0.6830163969587665,0
13,Y,X,F,0,0.7354667484661442,0.30915759220847894,0.4445172784165995,0.6428999822470515,0
14,Y,Y,K,1,0.75,0.3079113425611919,0.4790092519541776,0.6336972711251623,0
15,Y,Y,K,1,0.75,0.26978454618309455,0.49094523352883396,0.6374394196535215,0
16,Y,Y,K,1,0.7483609148462448,0.2739872263928648,0.4830481469818772,0.6270611616109796,0
17,Y,Y,K,0,0.7223467984909688,0.2803861334115213,0.4766728414371776,0.6630488786302386,0
18,Y,X,F,0,0.7226415485665856,0.3366757388953954,0.47284796805513607,0.6804469666361712,0
19,Y,X,F,0,0.7451962215192881,0.3428085964688403,0.47322534521928905,0.689879933876634,0
0,X,X,D,0,0.26116619643084227,0.3026010722358881,0.2670815851199106,0.43941287083725444,1
1,Y,Y,J,0,0.25,0.2624547343755888,0.29889086904452206,0.434915573866624,1
2,X,X,D,0,0.2522431611696599,0.25,0.2962067512321885,0.47021355641919904,1
3,X,Y,K,1,0.2726865122483692,0.2777554976720608,0.3301794936251645,0.4916018816236672,1
4,Y,X,F,1,0.3043459636040259,0.341530514921483,0.3384109948751544,0.5209551669443184,1
5,Y,Y,K,1,0.2865347841785514,0.3388802959228788,0.35067055159640365,0.5088024111252037,1
6,Y,Y,K,1,0.26097535274513234,0.3148365507871652,0.35065130421123214,0.512497203620665,1
7,Y,X,F,0,0.30431943314556265,0.31140937128062013,0.3411612515143612,0.5003460982083638,1
8,Y,Y,K,0,0.26920689336302245,0.26994170416347674,0.3497363436289605,0.49133553194623986,1
9,Y,X,F,1,0.25,0.31971770935856914,0.31948875454033265,0.5285936021475242,1
10,Y,X,F,0,0.25,0.32639634463127837,0.3304039907917967,0.4900088378152765,1
11,X,X,F,0,0.25,0.2828486085310862,0.37612966467758113,0.4619750365320755,1
12,Y,Y,K,1,0.2794278497896655,0.31120859064152867,0.35705469623184305,0.42788443854602903,1
13,Y,Y,K,1,0.2915562835916827,0.36264846883780455,0.39381598174409027,0.4228153098680165,1
14,Y,Y,K,0,0.2964300994454087,0.4212089234140552,0.45572708223629566,0.407888451109522,1
15,Y,Y,K,0,0.2958570768675533,0.41260520219579894,0.44521294398619415,0.37220372860024853,1
16,Y,Y,K,0,0.30181507522570983,0.41316655471514496,0.4635626915896687,0.3967536304639568,1
17,Y,X,D,0,0.25,0.43301062229045906,0.47652211766933245,0.422832209070221,1
18,X,Y,K,1,0.25,0.46145743499920827,0.47397213151777806,0.43912384242535785,1
19,Y,Y,J,0,0.25,0.4442618059679403,0.48765234715034567,0.4413790474555814,1
0,X,Y,K,1,0.39454605307534374,0.3101331424105769,0.29464503119958135,0.5122567036926448,2
1,X,X,F,0,0.39920197175996136,0.32615412963013424,0.32939588151189814,0.542845783627052,2
2,Y,Y,K,0,0.3592736766746618,0.37819306996470625,0.3438236681089134,0.5504509105391968,2
3,X,X,F,1,0.32317995011146616,0.33950277138040214,0.3181728932384385,0.5247617496354343,2
4,X,Y,K,1,0.3174379919813169,0.2983741885347955,0.31979644112270994,0.486838281722182,2
5,Y,Y,K,0,0.3535021582173825,0.34413077792069496,0.35533782867724467,0.4535787906364575,2
6,Y,Y,K,1,0.3439203391347849,0.34143071845530265,0.3782306961424536,0.4887928363849756,2
7,Y,Y,K,1,0.3287558463478109,0.3010605739620081,0.321768446340004,0.532244920728796,2
8,Y,Y,K,0,0.31894633038748477,0.31667129810086103,0.3393355947997551,0.5438305927445829,2
9,Y,Y,K,1,0.35198296316013383,0.32059365654594985,0.37076793004172803,0.4752058387831149,2
10,Y,Y,K,0,0.3675817784406685,0.30387431343398513,0.3983276937836032,0.4696874830185469,2
11,X,X,F,0,0.3321451703425462,0.26995808536833205,0.4011184032789162,0.4910294787164445,2
12,Y,Y,K,0,0.31562759667781404,0.2678493893186206,0.38554260424018993,0.523920263475743,2
13,X,X,F,0,0.31457671555528377,0.310380019299851,0.35643677559307063,0.5673354554810903,2
14,Y,Y,K,1,0.2831838851136682,0.29919934760991035,0.4403296296644807,0.5456418155925703,2
15,Y,Y,K,1,0.3029732297276402,0.25657867771724496,0.4735613771963159,0.5789883132439833,2
16,Y,Y,K,1,0.3291945582578618,0.25,0.4634874718825347,0.5297732799575745,2
17,Y,Y,K,0,0.3344545661176469,0.26385478238582494,0.4757380478474378,0.5238643725878926,2
18,Y,Y,K,1,0.3587988339405323,0.25,0.49077689075312564,0.5077162719837284,2
19,Y,X,F,0,0.3639317437713984,0.25,0.4700147543889593,0.5150272584348923,2
0,X,X,D,1,0.35890590890017365,0.5707275226460786,0.7051900917158941,0.31925699191244405,3
1,X,X,D,0,0.3273752037682764,0.6263389823895723,0.7099293626920722,0.3092390755227901,3
2,Y,Y,K,0,0.3208008055366071,0.5840920108017303,0.6690361537273471,0.27163215529472556,3
3,Y,Y,K,1,0.258994365867652,0.5945230480307682,0.6254777638492761,0.3269177168777393,3
