trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,1,0.3422109275689813,0.38987821798233285,0.44271708099742546,0.38788312144499654,0
1,Y,Y,J,0,0.3535860603119764,0.3549067909618664,0.40866729905216037,0.38553187540506606,0
2,X,X,D,1,0.3446788020910313,0.37819638174493764,0.45807661609711997,0.372223616486976,0
3,X,X,D,0,0.31827299319267144,0.38007614659611516,0.3961665964795684,0.37321361299453104,0
4,Y,Y,J,0,0.31817739983112686,0.3448325126379201,0.41790729023635725,0.3464209545778909,0
5,X,X,D,0,0.31940671614406074,0.3203629042125337,0.46146956549550666,0.310219757288442,0
6,Y,Y,K,1,0.339445638745693,0.3496607502633789,0.47194945922585313,0.33620386226871063,0
7,Y,Y,K,0,0.2995326805456669,0.4089044864399307,0.5031410608076451,0.3090005472500202,0
8,Y,Y,K,0,0.28714691386419006,0.4299588809683945,0.4709550050153786,0.32338352051432306,0
9,X,X,F,0,0.2904614234235491,0.4018364746240417,0.4382712917847551,0.3715052254620555,0
10,Y,Y,J,0,0.27599134038549195,0.4344258774533172,0.46841367229605735,0.3610948394713004,0
11,Y,X,D,0,0.2727096762683121,0.44777246836090545,0.4384498427167314,0.3688627351361584,0
12,Y,Y,K,1,0.27708242668016403,0.4637827097077901,0.4217126446056613,0.35629791063260047,0
13,Y,Y,K,0,0.25,0.40636508070596344,0.4303682712699143,0.37673685267959833,0
14,Y,Y,K,1,0.25,0.43132978385390625,0.4433939402775344,0.35866698615335124,0
15,Y,Y,K,1,0.2874199250184572,0.41254326391908064,0.4440963486924635,0.38252120396136197,0
16,Y,Y,K,0,0.28593030387257123,0.40195542229193687,0.4228783428352413,0.37495281103462846,0
17,Y,Y,K,0,0.31503780362573686,0.4002916076489852,0.41943310265912925,0.3866646154667372,0
18,Y,X,F,1,0.33997189262705313,0.39344231125420315,0.4226430278763367,0.3337655613274277,0
19,Y,Y,K,0,0.3261776035789666,0.40997057156977557,0.451330294068622,0.29934589936805445,0
0,X,X,F,1,0.5995856309522289,0.6463279067361284,0.6665054893139426,0.6509298140469789,0
1,X,X,F,0,0.6058015867641264,0.650667584594216,0.6659151916197625,0.625820572542724,0
