trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.685826819918917,0.29774618885410165,0.7462060183856665,0.472199626843274,0
1,X,X,D,1,0.6744629101410867,0.2911421360331248,0.75,0.5057880584572622,0
2,X,X,D,1,0.6647778072632669,0.3055967457453221,0.75,0.461106606549322,0
3,X,X,D,0,0.6645836882542903,0.31300603614256167,0.7355027296335185,0.4450543775825101,0
4,X,X,D,1,0.6938666471867566,0.2753887977898575,0.75,0.38047947486488554,0
5,X,Y,J,1,0.7011519273006281,0.2735491448307792,0.75,0.40311441778544654,0
6,X,X,D,1,0.7154345582275167,0.25614451289832807,0.739206602551929,0.363117190861961,0
7,X,X,D,1,0.75,0.25,0.75,0.32818414275864716,0
8,X,X,D,0,0.75,0.25,0.75,0.38785557968438594,0
9,X,X,D,1,0.75,0.2790376280210173,0.7138707801531127,0.36737548377383505,0
10,X,Y,K,0,0.7087704436858626,0.25409391761036565,0.7223819600407216,0.3735601463738474,0
11,X,Y,K,1,0.7201129727676034,0.25,0.75,0.395591141375903,0
12,X,Y,K,0,0.7004573434463661,0.25,0.7438030250474029,0.42832022832284683,0
13,X,X,F,1,0.7466117732261754,0.25,0.7364142222362474,0.41618115966561015,0
14,X,X,F,1,0.75,0.2860235025786073,0.7106873271917044,0.4427383203624573,0
15,X,X,F,1,0.75,0.297175671463597,0.7105784230777401,0.44477757621570513,0
16,X,X,F,0,0.7203376549373446,0.2841554261478875,0.7385316364095837,0.44121314249877563,0
17,X,X,F,0,0.7129107342422444,0.29899856915952394,0.75,0.4721094808619365,0
18,X,X,F,0,0.6964396424372277,0.2746438147418206,0.7296442992340032,0.4436908949808225,0
19,X,Y,K,1,0.720980548742651,0.2846606358146698,0.7380955938228156,0.425692894057194,0
0,X,X,D,0,0.5333966458637749,0.3879340369539977,0.5280881330686532,0.48043704384508196,1
1,X,X,D,0,0.5009816244844975,0.384419973461117,0.48926015574082243,0.46881266493407536,1
2,X,X,D,1,0.5265145724586792,0.39947103358013186,0.4943069109314497,0.45044796243675317,1
3,X,X,D,0,0.47988430631542245,0.39230386038546006,0.46974343928890777,0.43043855762258165,1
4,X,X,D,1,0.5075366131791094,0.3964544515037815,0.46033268629962343,0.3991636246950829,1
5,X,X,D,0,0.5311990136874215,0.36782127038411006,0.4476172297104908,0.38773179546650105,1
6,X,X,D,1,0.5346336199015822,0.3723585238270217,0.4421882687887606,0.3613882522442221,1
7,X,X,D,0,0.5621034243890541,0.3470206797432257,0.4749950654662387,0.37031571903936417,1
8,X,X,D,1,0.5703996076852239,0.3842627396177072,0.4578232336404364,0.3795207050652875,1
9,X,X,D,1,0.5705515827170697,0.39170456529626313,0.441377636203804,0.41210050650381863,1
10,X,X,D,1,0.6249483089950225,0.4057674228378107,0.4805888966787552,0.4319255092931268,1
11,X,X,D,1,0.5834470729276158,0.4155820746763321,0.5230376729634315,0.43150601367802127,1
12,X,X,D,1,0.5869030057797002,0.43941825912572796,0.5261922557584929,0.4050861839426539,1
13,X,X,D,0,0.5515512245129903,0.4755183516344241,0.5458828042627831,0.3858902473014136,1
14,X,Y,J,0,0.5381687543214704,0.4755051351638862,0.5461168092698654,0.40643684611589537,1
15,X,Y,K,0,0.5221005348914108,0.4502268077319808,0.5511766563659344,0.4230064822325881,1
16,X,X,D,1,0.541508539448061,0.4491619771003524,0.5546108662475021,0.4052141436542651,1
17,X,X,D,0,0.5435348583969614,0.4446033021214069,0.5532998518802037,0.3986683116318548,1
18,X,X,D,1,0.5374784019998488,0.4560424670220558,0.5454320823538482,0.3870453088677248,1
19,X,X,D,1,0.4833458281441524,0.4387736924790016,0.5677508292082319,0.44219175060586197,1
0,X,X,D,1,0.320990390016667,0.42593891445860205,0.3168286210628566,0.7115248515126604,2
1,X,X,D,0,0.35159962165941394,0.4509573918500854,0.3199770593774835,0.6973458180571798,2
2,X,X,D,1,0.3819703048418773,0.49020985228182484,0.271028829549932,0.6931341074226007,2
3,X,X,D,1,0.3768474749028379,0.4597816850072878,0.25,0.6603205510642594,2
4,X,Y,J,1,0.38055497604548255,0.46143904379599865,0.26427985396544723,0.6597783055726262,2
5,X,Y,J,0,0.4125261097318085,0.47391807545130554,0.25,0.6559380049714411,2
6,X,X,D,0,0.4186521158470282,0.47590079982235406,0.25,0.6596335628320611,2
7,X,Y,J,0,0.41552316767643366,0.4502333099668172,0.284221755496347,0.6689934145942382,2
8,X,X,D,0,0.3918247103162962,0.46147074684193157,0.25702971003848024,0.6479707488788419,2
9,X,X,D,1,0.40951811072578714,0.4708534834791426,0.26278835849376064,0.6581409887166518,2
10,X,X,D,0,0.4096711191097486,0.4479652433865054,0.25,0.6921485584434013,2
11,X,X,D,1,0.4080226227012588,0.44802367782592106,0.2705231710227718,0.7473956933002575,2
12,X,X,D,0,0.37824437121076093,0.42700860453122563,0.2997995999834415,0.6777835943885864,2
13,X,X,D,0,0.3661698960706907,0.4488826940747655,0.323774346994472,0.6517438375129668,2
14,X,X,D,1,0.3474541466719254,0.4542125052382593,0.3042416710361894,0.6711317898930165,2
15,X,Y,J,1,0.3479469030556212,0.4491784279989256,0.30294937079580975,0.70542983050306,2
16,X,X,D,1,0.34105233907254967,0.4563766523168009,0.27258774551672366,0.6915015159350572,2
17,X,X,D,1,0.32756334264167986,0.4630810251429232,0.28422790641478063,0.6894970367124705,2
18,X,X,D,1,0.3308972895539426,0.4637842832256958,0.3415746308357045,0.7198610850963892,2
19,X,X,D,0,0.2795189573452431,0.44860482077304215,0.36133520645795836,0.7236488830550213,2
0,X,X,D,0,0.25962553554432377,0.5931421704655228,0.5134002380360252,0.4178040312595531,3
1,X,X,D,0,0.2642082583537793,0.6037196691747748,0.5182623348178963,0.42713991029943976,3
2,X,Y,J,0,0.25402900914727666,0.6165443998083072,0.4635675552276639,0.383112281909759,3
3,X,X,D,1,0.25543700833439215,0.6261235391957608,0.4824221393106108,0.3663042601505061,3
4,X,Y,K,0,0.25,0.64961580814132,0.47729051625901003,0.3749758696595761,3
5,X,X,D,1,0.25,0.7107092294897989,0.471237562225007,0.3534726006608183,3
6,X,X,D,0,0.2507673166009139,0.7243617488854874,0.423840430680435,0.4053929840800448,3
7,X,X,D,1,0.25,0.7047691271112367,0.450153313898246,0.411881746364104,3
8,X,Y,K,1,0.25,0.7269107947575206,0.4654950315598297,0.3907493831382284,3
9,X,X,D,0,0.2570471866665027,0.7086150250382726,0.5181275913836281,0.3860664473055671,3
10,X,X,D,0,0.25,0.7268765822660327,0.5426752903463983,0.38043577005657403,3
11,X,X,D,0,0.25,0.7155222128558207,0.578802499821249,0.37189557649160654,3
12,X,Y,K,0,0.25,0.7133192822903466,0.5664185863428043,0.3511788317860432,3
13,X,X,D,0,0.25,0.7185390573337549,0.5995230580330912,0.36731536867635783,3
14,X,X,D,0,0.25,0.7318558062882808,0.6464173617796334,0.42450006739988,3
15,X,X,D,0,0.25,0.7491178846116147,0.6778295377682418,0.4399713656348047,3
16,X,X,D,0,0.25,0.75,0.6419292602552439,0.3991684154309425,3
17,X,X,D,0,0.2653359695004869,0.75,0.6152087954267906,0.3986541403660546,3
18,X,X,D,0,0.2743545920150147,0.7293473010027954,0.5997051979435732,0.4271182857377321,3
19,X,X,D,1,0.31861026381414037,0.7087872352104241,0.5803000561438377,0.42836516361350396,3
0,X,X,D,0,0.7499493791580418,0.4448014016775878,0.49865669993888984,0.31640891029064666,4
1,X,X,D,1,0.7450911386310589,0.448690824590578,0.5088064504655854,0.3479938092042743,4
2,X,X,D,1,0.723666853251232,0.4813633583588428,0.5149501245545411,0.35035037904477573,4
3,X,Y,J,0,0.7149752385130195,0.4926813579275463,0.505718936053383,0.3510699711838319,4
4,X,X,D,1,0.7203500670278273,0.473855974263774,0.49956606085179134,0.38220499874732616,4
5,X,X,D,0,0.75,0.44980357557135503,0.48671596454164073,0.4242740034193266,4
6,X,X,D,1,0.75,0.430171526417348,0.5050771227827493,0.40961914176343783,4
7,X,X,D,1,0.7035172328782869,0.3965437822364003,0.48671358522692004,0.3952480124338801,4
8,X,X,D,0,0.6911388211978622,0.38543200381923204,0.46803809350662046,0.39433218450627433,4
9,X,Y,K,0,0.7200208433124008,0.3838844508492532,0.4422275270180983,0.3419050718460255,4
10,X,Y,K,1,0.7301686639899633,0.3869339366904972,0.3938772300408769,0.342271687426214,4
11,X,X,D,1,0.7217360102359379,0.3596745637021822,0.3930671909781168,0.347567817164481,4
12,X,X,D,1,0.75,0.3595715916329694,0.4095742142770751,0.383334093138796,4
13,X,X,D,0,0.75,0.35106814476788933,0.4034225798232588,0.37924214194254785,4
14,X,X,D,1,0.7490175053512829,0.3485994994622232,0.41602884408166557,0.3528659621990731,4
15,X,X,D,0,0.7396646383431827,0.35766932105385674,0.41880439013690035,0.3400167915739811,4
16,X,X,D,1,0.7383396122459522,0.3398054001538478,0.39806801551049015,0.32563926921587827,4
17,X,Y,K,0,0.75,0.32367661645745904,0.38350777273401193,0.3255084121336785,4
18,X,X,D,1,0.75,0.34659328147140533,0.34323774751065256,0.29846795489161837,4
19,X,X,D,1,0.75,0.3373504894463997,0.2835315874761418,0.3072669921997507,4
0,X,Y,J,1,0.3470841855075573,0.7016698441220404,0.7476199942386916,0.7462854852951126,5
1,X,X,D,0,0.3313194264524742,0.6952492948215406,0.75,0.707533741717466,5
2,X,X,F,1,0.33064853862980975,0.7072082393953621,0.7292700987662737,0.7016810870739469,5
3,X,X,F,0,0.35700477968887023,0.6936012281138778,0.6882651450443467,0.6342444033790191,5
4,X,X,F,1,0.3566051403809681,0.693850024549634,0.7006370403280143,0.6098256758123237,5
5,X,Y,K,0,0.36301543116579804,0.6738134342068995,0.6922557046848029,0.6009348650556811,5
6,X,Y,J,1,0.34595701890517594,0.6716824694468562,0.6731895778730044,0.5869300229324353,5
7,X,Y,J,1,0.3822266579349565,0.6858884332225359,0.649156925684454,0.6014233753845927,5
8,X,X,F,0,0.40040066144952463,0.6786252891552591,0.6514913425585834,0.574949979037291,5
9,X,X,F,1,0.39404714940343455,0.6865030924322814,0.6332391714522575,0.5907114102763483,5
10,X,X,F,1,0.3797260661512474,0.6635463509137608,0.6249190830797082,0.5919181350317677,5
11,X,Y,J,1,0.41309597965173017,0.6393702580513948,0.6016489864294345,0.6199465098763983,5
12,X,Y,J,1,0.41676595871104427,0.6749509431459246,0.6036096250472427,0.5987830066388609,5
13,X,X,F,1,0.4414807146619703,0.6789869006923516,0.6087676758579775,0.5550823335663396,5
14,X,X,F,1,0.42684723249820905,0.7061514006983,0.5997660407476764,0.5678614689584264,5
15,X,X,F,0,0.47704352593563853,0.7165705278008327,0.556315392435925,0.6059268117269532,5
16,X,X,F,1,0.5007406239853507,0.75,0.5724285338333021,0.6280063653811143,5
17,X,Y,J,0,0.5316844010955131,0.7249261534119339,0.5241821104997617,0.6381692770176923,5
18,X,X,F,1,0.5330742866502111,0.7025350657767271,0.5417526585496529,0.6198530811482997,5
19,X,X,F,0,0.5260879951341781,0.6952547250420524,0.5835552557550108,0.6201358606739314,5
0,X,Y,J,0,0.5451515967323419,0.3262080678525573,0.3422724475395752,0.6263754148720163,6
1,X,Y,K,1,0.577094009412862,0.3105411513073279,0.3351464399080017,0.5923101684981953,6
2,X,X,D,0,0.568638586398299,0.30424481373137163,0.2962406205898527,0.5717965605710149,6
3,X,X,F,0,0.5465058053892332,0.2928531797739374,0.28733754789816734,0.5678682725490594,6
4,X,X,D,0,0.5489492709951066,0.2636014205305267,0.2954441446817133,0.6062189016038533,6
5,X,X,F,0,0.5565946120150397,0.25,0.29485893460969453,0.5828244926610391,6
6,X,X,F,0,0.5880557441600852,0.25,0.25282197981739574,0.5917464609761026,6
7,X,X,F,0,0.5870579378129518,0.25,0.2668666156253641,0.5353239376086518,6
8,X,X,F,0,0.572932431515827,0.27596784915964095,0.2662288153916231,0.5635971698215656,6
9,X,X,F,1,0.5527834375183216,0.29053386455768665,0.2769781984162372,0.5784805596972556,6
10,X,X,F,0,0.5681054407687265,0.29495745871854007,0.28092179299462794,0.564114795808047,6
11,X,Y,K,0,0.5672036919825426,0.31694332725688085,0.26063197496568147,0.5563097121112464,6
12,X,X,F,1,0.5558008786039262,0.31177455437526896,0.2875927212023015,0.6052027863391941,6
13,X,X,F,0,0.5695907756892503,0.3488307166553421,0.2915338621359796,0.6091137761394818,6
14,X,Y,K,1,0.5446296411248444,0.351679988373568,0.3112490037641834,0.631114816526355,6
15,X,X,F,0,0.5280797487334501,0.33494685024975285,0.2957926885326939,0.6161142511139069,6
16,X,X,F,1,0.49503578899216283,0.33192267659862135,0.2632929949608702,0.6253678235757346,6
17,X,X,F,0,0.5350577873809176,0.3139482651203164,0.2558630754748607,0.6487220857166225,6
18,X,Y,K,1,0.5184442646768835,0.29881355739495113,0.25507372953013013,0.6522283887601942,6
19,X,X,F,0,0.543121446853976,0.3007079427090656,0.25,0.6052407005949548,6
0,X,X,D,0,0.2798052385795267,0.2649276397387949,0.48173039558016584,0.5529377437891057,7
1,X,X,D,0,0.2738209020839083,0.2936208665354808,0.5103290909837884,0.5523264558324552,7
2,X,X,D,1,0.30189746783326954,0.3021141082216305,0.5165619588820956,0.5699406417041808,7
3,X,Y,J,0,0.2953419902809334,0.3200131258409707,0.5290227689677964,0.5686692937843876,7
4,X,X,D,1,0.3180586193395163,0.35851240241998744,0.5135565387736234,0.5953727424654195,7
5,X,X,D,0,0.335815905116684,0.35069025541586574,0.5438584188388476,0.6510237907965004,7
6,X,Y,K,1,0.30260811142572597,0.3620920302823128,0.5175080530916041,0.6047629537365327,7
7,X,Y,K,1,0.28940197733864875,0.3782558581157319,0.49410636104231886,0.6196775809190486,7
8,X,X,D,1,0.2921023222375662,0.3628395414827478,0.47962452326000266,0.6204556793307964,7
9,X,Y,K,0,0.26133722188051606,0.30910447854133966,0.5025534965439752,0.6138646637824076,7
10,X,Y,K,1,0.2551268043036882,0.3108033864216503,0.5259220722135043,0.5510873384619375,7
11,X,Y,K,0,0.2830795038952429,0.31220929169212774,0.5660890192291534,0.5493848989763114,7
12,X,X,D,1,0.27559671388607704,0.3007197065661979,0.6045776389130884,0.5870202458900919,7
13,X,X,F,1,0.2584636420837964,0.2977652131732931,0.5961443780772379,0.5946402017415529,7
14,X,X,F,0,0.25,0.3025466449101297,0.5881792105402451,0.5517815103804828,7
15,X,X,F,0,0.28869004244941515,0.317189869784724,0.6180124140928088,0.5217535462129097,7
16,X,X,F,0,0.2876545327765673,0.32785714754311635,0.6217389178161578,0.48823210441096676,7
17,X,X,F,1,0.2807583847189144,0.3169533632879147,0.6344993132586745,0.4590150829444068,7
18,X,X,F,0,0.27478132777582176,0.31870828032158866,0.6011636226545657,0.44000861242542233,7
19,X,X,F,0,0.25,0.28675432812865026,0.5650962025495074,0.46171839545802085,7
0,X,X,D,1,0.4340466134982216,0.2659327180868947,0.7165693016783157,0.6801190381449038,8
1,X,X,D,0,0.4775134947562717,0.3108386101496283,0.7189049805914386,0.6316716659023197,8
2,X,X,D,0,0.4540388177077041,0.28446590519995274,0.7081049861167366,0.6122205952634067,8
3,X,X,D,0,0.3946622704679422,0.2895613822320078,0.7407279450264304,0.6001722228114326,8
4,X,X,D,0,0.40390073866811127,0.3152398292682617,0.7348553688607368,0.5622332091878351,8
5,X,X,D,1,0.3861863785203339,0.29986779819649123,0.6797288941342083,0.5406562714685359,8
6,X,Y,J,1,0.3568451925368551,0.2856919211145819,0.7120916396186301,0.5509981056748317,8
7,X,Y,J,1,0.3652169880035759,0.302121195931636,0.6948530628638259,0.5279512624260041,8
8,X,X,F,0,0.37417682023894,0.326264032281128,0.6856757893018266,0.5281204819513274,8
9,X,X,D,1,0.3718229803511404,0.27512076395253227,0.686089955455411,0.5662931335022429,8
10,X,Y,J,0,0.3527590939889458,0.3052692233059642,0.6833081880987065,0.603924193719991,8
11,X,X,D,1,0.3519386461051489,0.29805335988261505,0.6287232039582719,0.5917770017190929,8
12,X,Y,J,1,0.3324924661800166,0.25335931192824146,0.6198203410161544,0.6181262545163977,8
13,X,Y,J,1,0.350908343319569,0.25,0.5947453727501295,0.6343916650787863,8
14,X,X,D,0,0.3330163254400572,0.2766037156644461,0.5678114409171184,0.5794939927472285,8
15,X,X,D,0,0.33865654219668706,0.30325214092341096,0.5272692529260368,0.5777445599850645,8
16,X,Y,J,1,0.3257833985051233,0.2915155054513695,0.5378120457964541,0.576259528511833,8
17,X,X,F,1,0.3226887951788084,0.2653586155920411,0.5545405184504916,0.5509248198339958,8
18,X,Y,J,1,0.3457594014314046,0.25,0.5344575961773574,0.5472434830436604,8
19,X,Y,J,0,0.3736486282782819,0.27739559566845656,0.5320719949111848,0.5772311202388561,8
0,X,X,D,0,0.3425029751067189,0.31284415474932553,0.6060972065229705,0.7454297568490429,9
1,X,X,D,1,0.3519788397035676,0.31084854051807953,0.6132321129496905,0.7498274562476742,9
2,X,X,D,0,0.34842249045820567,0.3173669036415566,0.616987776908006,0.75,9
3,X,X,D,1,0.3798902160690745,0.3377444264037417,0.5950415031890599,0.7306922058533885,9
4,X,Y,J,1,0.3894101048914032,0.347080914760747,0.6021145215424982,0.7468868016805806,9
5,X,X,F,0,0.3658455131616318,0.32775718625558503,0.6065062904737849,0.7231637583808903,9
6,X,Y,J,0,0.3612708849191912,0.35374757947783403,0.6021105560208424,0.7382580023368598,9
7,X,X,D,0,0.35120826684505985,0.3397723914135745,0.6077325503901877,0.7271340773168666,9
8,X,X,D,0,0.3508244589889456,0.36123370435550733,0.6239028638331027,0.6775776742430236,9
9,X,X,D,1,0.35851892322737183,0.334750614583833,0.6105028889180066,0.6853643515044822,9
10,X,X,D,0,0.3985139127908317,0.35956235206634335,0.6579082596715485,0.6752125947176167,9
11,X,X,D,1,0.4180024058618068,0.3828368491160908,0.6495221200516541,0.6386896197041324,9
12,X,Y,J,1,0.4270943223221693,0.38802722270701145,0.6463714189139943,0.6870974410372676,9
13,X,X,D,0,0.44560228337617563,0.3504189794710776,0.6967339280784116,0.6980103817873252,9
14,X,Y,J,1,0.4225701065214762,0.3459190569332998,0.6998450640085652,0.7183763331598125,9
15,X,X,D,1,0.4135915308946516,0.36417869615784304,0.7011350530402717,0.7189721727987181,9
16,X,X,D,0,0.41359878770570646,0.3291273748268966,0.7104810022312638,0.6899941645424839,9
17,X,Y,J,1,0.4297958371421247,0.36196892620671645,0.7276154497917244,0.6880565327698438,9
18,X,X,D,0,0.38581256963319344,0.3696688596429153,0.7012012656949121,0.7092058483856957,9
19,X,X,D,0,0.39081502433461096,0.374032464713866,0.7045922293671861,0.6798656273371513,9
0,X,Y,J,1,0.7444028191526318,0.6141125274623837,0.5101607251046087,0.35827940874859715,10
1,X,Y,K,0,0.75,0.5961909614318478,0.522305632191285,0.3756865446687029,10
2,X,Y,J,1,0.75,0.6076455264266755,0.5020361412023896,0.3419813990207582,10
3,X,X,D,1,0.75,0.608436537114245,0.46653241279891405,0.3370129935392236,10
4,X,X,D,0,0.75,0.5623648058098036,0.4996215436632204,0.36239726240429637,10
5,X,X,D,1,0.7216974212195939,0.5684100310712071,0.47725773722664805,0.36903630171052587,10
6,X,X,D,0,0.6833171487985702,0.5465982984290174,0.4949428685889595,0.3634228682338642,10
7,X,X,D,0,0.7020624185095228,0.5453334564541401,0.4855759458535372,0.4156466057184335,10
8,X,X,D,0,0.6937467031146398,0.5279684390376437,0.4881087111407837,0.4316353547485671,10
9,X,X,D,1,0.7024397716416161,0.522887670378814,0.49726290790442534,0.4920987747367667,10
10,X,X,D,1,0.6815074025080516,0.5355943720869993,0.48509983466612644,0.4620662002213179,10
11,X,X,D,1,0.7019829167330786,0.5090483231731404,0.5178087538090161,0.4971376115025052,10
12,X,X,D,1,0.7151576747935624,0.5203574747019403,0.5294132849764464,0.48399146064363197,10
13,X,X,D,1,0.7213206421555279,0.569511413243195,0.5233472602879607,0.5085485936363969,10
14,X,X,D,0,0.7216411289382214,0.5800393935790426,0.5144447860932292,0.5071971333505282,10
15,X,X,D,1,0.7297708977273191,0.5793238917774385,0.5235892555620618,0.5595908846209077,10
16,X,X,D,1,0.7430448904442494,0.6158844275914455,0.5557280932261703,0.5418324020717775,10
17,X,X,D,1,0.75,0.6616350775692794,0.5823846449732336,0.503184882375889,10
18,X,X,D,1,0.75,0.6621993452017229,0.5942463262354691,0.5052776828057514,10
19,X,X,D,0,0.75,0.6221573887618643,0.6043715942197552,0.48532764862461947,10
0,X,Y,J,0,0.7399350776585911,0.698450154005176,0.26594681230500633,0.3616949454656077,11
1,X,X,D,1,0.7006625613590178,0.6589261740629803,0.26674333533816413,0.34581275513440385,11
