trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,X,F,1,0.3824088396647609,0.4439023623465638,0.6214687076287575,0.3754127191376757,0
1,X,Y,J,0,0.43176541135695423,0.49394822676488614,0.6190361067072788,0.4015386445659709,0
2,X,Y,J,1,0.4471576527046179,0.49875828243221054,0.6371548163507654,0.3893001725432158,0
3,Y,Y,J,1,0.4600132589293308,0.4879657500424847,0.6169102884467899,0.3637879209255038,0
4,Y,Y,J,1,0.48482389068377657,0.48065636857306615,0.6217893487971992,0.33356231717818047,0
5,Y,Y,J,0,0.4782813121952387,0.4614147637824843,0.6236427220339037,0.30027847522820733,0
6,X,X,D,0,0.5074907437256827,0.45877420641516947,0.6261495176042523,0.2996717652210438,0
7,X,X,D,0,0.5785177870170249,0.47773115937742455,0.6551967377382196,0.2828223671063533,0
8,X,X,F,1,0.5446821983692495,0.4391637177521845,0.6042243181957511,0.28566420757149497,0
9,X,X,D,1,0.5463090870085355,0.42345712650093353,0.6012784464200384,0.27532352528650417,0
10,Y,Y,J,0,0.5382764952517325,0.42526010786951823,0.6114099032485334,0.25,0
11,X,X,F,0,0.5558039219982536,0.4654336812508687,0.604750329598725,0.25,0
12,Y,Y,J,1,0.5489999777195127,0.4913217229842348,0.5842997367995177,0.25,0
13,Y,Y,K,0,0.588963702722196,0.4802365232271205,0.588377489365946,0.27151978739406263,0
14,X,X,F,1,0.5953364209610413,0.47375860920717805,0.5962261828450097,0.2805520211005477,0
15,X,X,F,0,0.5841932614171917,0.44202194689363744,0.6166927644149165,0.26633581032300513,0
16,X,Y,J,0,0.6589952971434576,0.40749098831938957,0.6175376243182208,0.25,0
17,Y,Y,J,1,0.6323643609551894,0.4374459997353035,0.6463353843489311,0.2903050002130684,0
18,X,Y,J,1,0.6023848987336271,0.43129532180732494,0.7014148181202524,0.3387001969015663,0
19,Y,Y,J,1,0.5833271765413555,0.42459142102137526,0.7141678971953327,0.3100530809789994,0
0,X,X,D,1,0.6991329790181963,0.636162114714638,0.36589012152289074,0.2664585091266062,1
1,Y,X,F,0,0.7178504209912482,0.6424230639144561,0.3600859076200623,0.27648297799862964,1
2,X,X,F,0,0.7168084072399962,0.64940238379636,0.38495476234529413,0.25819230649535163,1
3,Y,Y,J,0,0.7389789921071996,0.6094555757858724,0.39920769641564047,0.2731958165289694,1
4,Y,Y,J,0,0.7072562200241984,0.6055251978976881,0.35778204280808984,0.26565082070396145,1
5,X,X,F,1,0.6907473204870034,0.5754120661916748,0.3644931593278233,0.2548431376295067,1
6,X,Y,J,1,0.681168745066682,0.5663254207876061,0.3686440849678575,0.2678908120486581,1
7,X,Y,J,1,0.6918995212579014,0.5534256103385335,0.3956033784562758,0.2652321659986355,1
8,X,X,F,1,0.7215915544875884,0.5127744432323776,0.4013426925696729,0.26472474132946,1
9,X,Y,J,1,0.686438847392503,0.49855017157877135,0.3824609292949837,0.26095398605244546,1
10,X,X,D,0,0.7457064790524022,0.5073548146640814,0.3640194573331626,0.26900828298678015,1
11,X,X,D,1,0.75,0.4708987082225144,0.39433073065597823,0.25,1
12,X,Y,J,0,0.75,0.45359957316134814,0.39227482393061397,0.25606799266404484,1
13,X,X,D,1,0.7220039148774138,0.4852490475195068,0.38368015864023014,0.25,1
14,X,X,D,1,0.745410234527011,0.5012157324708815,0.35031752350258144,0.26897867489823174,1
15,X,X,D,1,0.7299357376269303,0.43482501664844847,0.343294509196137,0.27068974127487855,1
16,X,Y,J,1,0.6840773439839718,0.43789007044407824,0.3325515646369339,0.3018932130432337,1
17,X,X,F,0,0.728625362728905,0.4493775752318029,0.3590105947548946,0.307475968807372,1
18,X,X,D,1,0.7381683412591926,0.42263605696892714,0.3990126363920042,0.29465681706571517,1
19,X,X,D,1,0.75,0.41961570101399903,0.3471768521525512,0.2808110893396043,1
0,Y,Y,K,0,0.46195080223754825,0.38547487662133717,0.5226993431695515,0.29605607278948204,2
1,X,X,F,0,0.4551098791174,0.37561869765399214,0.5611456142364846,0.3120611621646048,2
2,X,Y,J,0,0.4406792388294933,0.37878062856431793,0.5325230715914185,0.31974709797942874,2
3,X,X,D,1,0.43247051570357714,0.37598496054433567,0.5571123420643358,0.3720720443651264,2
4,X,Y,J,0,0.4361260422834638,0.3964981859646584,0.5590908505228019,0.3186034075261442,2
5,X,X,F,1,0.4470192817226767,0.39563839482491975,0.540102338163072,0.3213920804580016,2
6,X,X,F,1,0.4583156095862904,0.3801377942370696,0.558422690236939,0.33136075007668075,2
7,X,X,D,0,0.427501453156089,0.3937569721566426,0.5604899219993471,0.3423109709487576,2
8,X,Y,K,0,0.41075971601995936,0.41780703359609855,0.5839470351874664,0.3582181214678717,2
9,X,Y,J,1,0.42146050638302557,0.4548091348214258,0.5860878556757116,0.3308213362275199,2
10,X,X,D,1,0.41024083975414677,0.48046141322763763,0.5729841144498544,0.32735385700761027,2
11,X,X,D,0,0.43829356512028317,0.5061983144088321,0.6017522021804238,0.31994472193773404,2
12,X,X,F,0,0.4576965962638794,0.5112786057697316,0.60065585601727,0.32566958089544085,2
13,X,Y,K,1,0.44544536517380384,0.5138862963916848,0.6114989671553017,0.3334887012112836,2
14,X,Y,J,0,0.4251455249744138,0.5040131482192794,0.5952249171821946,0.3265541311491572,2
15,X,Y,J,1,0.42510898623647925,0.45921659271569165,0.5720260764162151,0.362337938000439,2
16,X,X,D,0,0.4345024433888451,0.4729804510636518,0.5381859092611248,0.3878733474272357,2
17,X,X,D,0,0.41539100981842747,0.43906823635301073,0.5319430744799739,0.34725804921557357,2
18,X,X,D,0,0.3945674165915516,0.4555315185618932,0.5163945764877803,0.3644030925823417,2
19,X,X,D,0,0.38877936947980546,0.4331155635825191,0.5051728305843558,0.33719920118387203,2
0,X,X,D,0,0.6012566187950972,0.6692830604280162,0.41858183223385403,0.45639600030214333,3
1,X,Y,K,1,0.5868630914915056,0.6612608349680907,0.39587504012175506,0.43671283223131646,3
2,X,X,F,1,0.5764666891921432,0.6444616146737951,0.39442303456261296,0.44592588348706963,3
3,X,Y,J,0,0.5700304702592154,0.6569808779934375,0.38001014799946914,0.42870908755249965,3
4,Y,X,D,1,0.5556531902183288,0.6561682770645301,0.3515480634320981,0.4493469711868379,3
5,Y,Y,J,0,0.5445693055879318,0.6357321019525048,0.33482130842104346,0.4420154922840806,3
6,Y,Y,J,0,0.5629842580950748,0.6554735354041937,0.3730799879644594,0.4647667706693725,3
7,X,Y,J,1,0.5781110747706202,0.6074431716527409,0.3802856447126759,0.47033593598155515,3
8,X,X,D,1,0.5888086687451345,0.6245764506906174,0.3849112144687966,0.444759550934912,3
9,Y,X,D,1,0.5952747515853556,0.5855670974703323,0.39511460205738297,0.48414011073302543,3
10,Y,X,F,1,0.5616529625327581,0.6019131087580394,0.3777518072662986,0.48727035820683307,3
11,X,Y,K,0,0.626479005592374,0.5731721704106636,0.3786307614023818,0.48265138127075424,3
12,X,X,D,1,0.6375412564432511,0.6239793420255916,0.3862606161139344,0.45937201241805053,3
13,X,X,D,1,0.6730740860493548,0.6593596252284298,0.39626836224457695,0.4422060682583146,3
14,X,X,D,1,0.6851503106931518,0.6743837925140739,0.4060030430998676,0.4241375824490437,3
15,X,X,D,1,0.6848083797598984,0.6709686951180629,0.3918088846882734,0.4328327018955159,3
16,X,X,F,0,0.6558498499388512,0.6764807191987441,0.4261524842780313,0.4244535110721406,3
17,X,Y,J,0,0.6686644649745932,0.6632798683394157,0.40427727736039726,0.42336902633499557,3
18,X,X,D,1,0.66378039827629,0.668832139037596,0.41804872315833935,0.4117651370948332,3
19,X,X,D,0,0.652259660939231,0.6892863202559566,0.39286715239912656,0.4249070610917478,3
0,Y,Y,J,0,0.5490125948760003,0.6328220498224972,0.5654299482482873,0.3700428860085271,4
1,X,X,D,1,0.5608750623330854,0.5963907109285073,0.5374930226873809,0.3897428637779519,4
2,Y,Y,K,0,0.5477228810311555,0.5640166738041201,0.508108413836398,0.43912247935774584,4
3,X,X,D,0,0.5497015897969915,0.5553009936313974,0.5026919057979292,0.4442695593876066,4
4,X,Y,K,1,0.5714432015426321,0.5499972444467413,0.5200373778066835,0.45784018656864306,4
5,X,X,D,1,0.5599341002305888,0.5239085327350873,0.48120444507749255,0.49443179393360526,4
6,X,X,D,1,0.5479676307189968,0.5776940371342869,0.46253173405311687,0.5307236590748216,4
7,X,X,D,0,0.5487567066919573,0.6040794671219624,0.45849738451626015,0.528304703752726,4
8,X,X,F,1,0.5437995489122924,0.6212998081022417,0.42423177514542565,0.5539871011916057,4
9,X,X,D,0,0.5239820542828024,0.6105664849295857,0.43032883083499246,0.5533318308530051,4
10,X,Y,K,0,0.4857915197266103,0.6496145438067514,0.44031791155341654,0.5741681007366845,4
11,X,X,F,1,0.4685994105691884,0.6517666160358607,0.4230491172880333,0.5778786600592238,4
12,X,X,D,0,0.4349215572328702,0.6778253624462517,0.43894293936299283,0.5939789725222284,4
13,X,Y,J,0,0.44367755804240644,0.6596222609404747,0.46128360918232436,0.6055753046257104,4
14,X,X,D,0,0.46954500091597096,0.715226758752279,0.4565806683056982,0.6383698142230628,4
15,X,Y,K,1,0.48698108315370936,0.7054711165232581,0.44574353351459584,0.6417469642239395,4
16,X,X,D,1,0.4917221253628623,0.7215648428338912,0.46285920986493334,0.6597760342563417,4
17,X,Y,J,0,0.4779797240417701,0.75,0.46426939400589134,0.694196166719511,4
18,X,X,D,1,0.4625621001984812,0.7364540775455755,0.5034247080268729,0.7035562287450952,4
19,X,X,D,0,0.4782083860455311,0.75,0.526776257404536,0.6995554073032554,4
0,X,X,D,0,0.6600142490114873,0.5685929324491665,0.4357364760508321,0.5257200707475292,5
1,X,X,D,0,0.6646482086790824,0.5402219248481581,0.40479731741145436,0.5498978865899344,5
2,Y,Y,K,1,0.6500842734509589,0.49041083799140106,0.37654499476590986,0.5347600538822019,5
3,X,Y,J,1,0.65179637985521,0.4853900355451426,0.41435424497892415,0.5403249875548215,5
4,Y,Y,K,1,0.675288370770691,0.4575006524793882,0.4128485229029728,0.5195379987367499,5
5,Y,Y,J,0,0.6765430215845667,0.4886137454858815,0.3710436560121636,0.4975745104054851,5
6,Y,Y,K,1,0.6863981635139711,0.5052266446196879,0.36544541257216584,0.5263776867951495,5
7,X,X,F,0,0.6870550828140441,0.5227566343299921,0.31764360145979326,0.5250951770817349,5
8,Y,Y,K,1,0.6675248533432332,0.5097546045178097,0.3189908641866885,0.5181241017570026,5
9,Y,Y,K,0,0.7046563919512348,0.5399004147977968,0.33665877779204795,0.48898587661074866,5
10,X,Y,K,0,0.6980704543017259,0.5371998829136253,0.3371448098390337,0.4990153217245627,5
11,X,Y,K,0,0.6935242849680161,0.5310808792108377,0.33726281923879287,0.4453131809844992,5
12,Y,Y,K,1,0.6775281781611971,0.5366714625271714,0.33571136562454795,0.44102670990779425,5
13,X,X,D,1,0.6902511598145079,0.5166657713129729,0.3030959332156407,0.47942935822068694,5
14,X,X,D,1,0.6775600496253488,0.5049572323632824,0.310691779401622,0.5064205232315662,5
15,Y,X,D,1,0.6932212666116369,0.47077788164526735,0.2887702469550327,0.5081211798295631,5
16,X,X,D,1,0.6354081237636242,0.4839337244829466,0.26777883693935134,0.5226379415335233,5
17,X,X,F,1,0.6378342347455398,0.5051490065083895,0.26398862867875333,0.5224446317850303,5
18,X,Y,J,0,0.6637159679516534,0.5054647515549502,0.2557425746648824,0.5348965071099004,5
19,X,Y,J,0,0.7001242405184865,0.5443788507241786,0.25,0.5412573984649679,5
0,X,Y,J,0,0.5672158605606069,0.7494575346341431,0.2733491017432503,0.32589431272898267,6
1,Y,Y,K,1,0.5796229072831466,0.75,0.2730167168324626,0.3175909325972548,6
2,X,X,D,1,0.577431533484909,0.75,0.26594405565003354,0.26291336078393746,6
3,X,X,F,1,0.5766817505109864,0.75,0.25,0.2943518443803256,6
4,X,X,D,0,0.6178991302849101,0.7448170659887094,0.2826401784202096,0.2894061655427739,6
5,X,Y,J,0,0.6023682998941277,0.7314200589736445,0.2832362617518087,0.34162687323974666,6
6,X,X,D,1,0.5755606882506551,0.75,0.25281790372013924,0.308634540525729,6
7,X,X,D,1,0.6100221572327614,0.7254448568311587,0.2743587662151266,0.2928349692723383,6
8,Y,Y,J,0,0.6211274129854584,0.7215558278696332,0.2797155507883755,0.30860060094143177,6
9,X,X,D,1,0.5958995806841434,0.6984907740596266,0.2813361320589329,0.28257108287666866,6
10,X,X,D,1,0.5657342795642921,0.6664077081623525,0.2728835021761149,0.25,6
11,Y,Y,J,0,0.5703687740986336,0.709784905049484,0.29632439200334854,0.268178511243888,6
12,X,X,D,1,0.5485270368179314,0.6925614102371468,0.28638365260700843,0.27546883580957693,6
13,X,Y,J,0,0.5382864940404739,0.6934208826855726,0.31776094036358943,0.2592780961203136,6
14,X,X,D,0,0.5264719729734365,0.7177865025104966,0.294115724476338,0.2972544656995293,6
15,X,Y,J,0,0.5357204323947286,0.7081391445916722,0.2887143425532094,0.3566160599795071,6
16,X,X,F,1,0.5579933986971606,0.6934909512876875,0.324142389767689,0.3703027273690999,6
17,X,X,D,0,0.5643845799584364,0.7285005773051314,0.32952766147308926,0.37653229779760056,6
18,X,X,D,0,0.5391263010297448,0.75,0.33359955816078196,0.33473331433855325,6
19,X,X,D,1,0.5115518857558723,0.7071130045328483,0.37476019524801046,0.3413716111450621,6
0,X,Y,J,0,0.6317319349691962,0.27382919552257395,0.4273690656253024,0.35205874750180854,7
1,X,X,F,0,0.6385450150076606,0.2903917092668797,0.4202629953136976,0.32835646324708206,7
2,X,X,D,0,0.6583066334849951,0.3069349251374493,0.44878985361380086,0.30695690528282676,7
3,X,X,D,0,0.6746699513869907,0.2922928842439981,0.43049924375991544,0.3127171232308601,7
4,X,Y,J,0,0.6643527509919925,0.3101534165101294,0.3873241909777676,0.29815415599209905,7
5,X,Y,J,1,0.6364974927050555,0.30547458855487725,0.386271119240655,0.30475245055383293,7
6,X,X,F,0,0.605556670508659,0.2992020992466482,0.36282297929973384,0.3376221265312548,7
7,X,X,D,0,0.6090511651692535,0.30236090851951986,0.36256545349428904,0.3511189751847825,7
8,X,X,D,1,0.6376164361095411,0.2611889066120426,0.41820050193695457,0.33187892937232133,7
9,X,Y,J,1,0.6383103054807392,0.2668309847762533,0.4129571312746674,0.3493304582753243,7
10,X,Y,J,0,0.6309051627652931,0.25,0.4335969425765942,0.35405089980074145,7
11,Y,Y,J,1,0.633179007249581,0.2570821836095322,0.4414285567292807,0.352786606297279,7
12,Y,Y,J,0,0.6195232502524811,0.25,0.46166743715387154,0.3387724284830997,7
13,X,X,D,0,0.6029285069408961,0.2620126465186044,0.44318388742145864,0.3378777115097155,7
14,X,X,F,0,0.5774129323866032,0.2836934704307533,0.41321509856250993,0.35098852887280024,7
15,X,X,D,1,0.5862579892416007,0.2965865530768827,0.440752072985257,0.3336728836922968,7
16,X,Y,K,0,0.5563634801739639,0.25861975478340427,0.46072780479745784,0.3723680853287197,7
17,X,X,D,0,0.580671006111052,0.29760652328056636,0.42706914400847334,0.37493444442067947,7
18,X,X,D,1,0.5520616338964459,0.28772218028896146,0.42622076925438784,0.3788469129192067,7
19,X,Y,K,0,0.5607554917218284,0.29376056294513164,0.40745018696187935,0.38804469166098965,7
0,X,Y,K,1,0.282425097206581,0.6886015329712779,0.6158312012400764,0.6782408642528766,8
