trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,F,0,0.5949677252891789,0.26304805613208376,0.3285604642462439,0.3999507704420237,0
1,Y,Y,J,0,0.6115140246101077,0.2983313109872183,0.31194163535975994,0.38218016552071266,0
2,Y,Y,K,1,0.6226604105643718,0.30059218156285805,0.31968834549312114,0.42539877214104355,0
3,X,X,F,1,0.5873859482997386,0.3085421873613522,0.31314881471917927,0.41414515167894567,0
4,Y,Y,J,0,0.6020985178898958,0.2703657378461638,0.3225673919596893,0.42547066319167964,0
5,X,X,D,0,0.6147479088232327,0.25,0.31102597257587167,0.4381012754578258,0
6,X,X,F,1,0.550168862823651,0.27075820677075374,0.31626404844813105,0.49294630510638554,0
7,X,Y,J,1,0.5538569355530161,0.28121560400194995,0.3837929685072643,0.4982963258834929,0
8,Y,Y,J,0,0.5045433491700135,0.27646542692565534,0.35282920083183517,0.4528048549498153,0
9,X,X,F,0,0.4969880185798315,0.31143381811251303,0.37389923228923083,0.44318785534167693,0
10,Y,Y,K,0,0.5259275778347033,0.3423202309088372,0.3686696435377522,0.41897800087864856,0
11,X,X,D,1,0.4897732043988012,0.326874690252604,0.40425817844507683,0.4484776603784261,0
12,Y,X,F,0,0.49564389834787226,0.32418428322017157,0.4175889231894122,0.47138023112018174,0
13,Y,X,D,0,0.5122930375515826,0.32870464640348473,0.42527653627753004,0.45698138520399273,0
14,Y,Y,K,0,0.5197209330515619,0.3278342891668513,0.3875641280757002,0.48079000268520655,0
15,Y,Y,K,0,0.4961042857841251,0.3245451001587012,0.4296590049894743,0.5159323424084948,0
16,Y,Y,J,1,0.5470493491674602,0.3403951021865204,0.4678575316763192,0.5345496222014569,0
17,Y,Y,K,1,0.5379220175121217,0.36818231705854626,0.45599865223450525,0.5303631847575662,0
18,Y,X,D,0,0.5608616079525742,0.34628625404279834,0.4282116174877545,0.504103645366864,0
19,X,X,F,0,0.5728391877719595,0.3350296057474612,0.44350062265468176,0.5238210380086654,0
0,Y,X,F,1,0.4617605558115025,0.44549655218254275,0.38355323532838775,0.614428483964011,1
1,X,X,D,0,0.46733346793597585,0.4411568372809309,0.40232496252636135,0.5865292709934317,1
2,Y,Y,J,1,0.47974550105524455,0.43406172066340254,0.4141317481558279,0.5688918357145613,1
3,Y,Y,K,1,0.4787638140274842,0.4225548776801891,0.4040389209913724,0.5621115386923035,1
4,X,Y,J,0,0.4708929018721621,0.4513159471019552,0.3887597499046267,0.5262405563931047,1
5,Y,Y,K,0,0.48513050430379695,0.47253011932619093,0.3852421073707978,0.5054327475295235,1
6,X,Y,J,1,0.4978129208325198,0.4955995122311332,0.3570071883982453,0.4856659691425378,1
7,X,Y,J,1,0.4615600788973546,0.49879429942409476,0.38922603075422996,0.4591004592464678,1
8,X,X,D,0,0.5055933552468787,0.49285357946120906,0.4042713919484392,0.4460244805682422,1
9,X,X,F,0,0.5286918063272399,0.46660463467892976,0.407581615732043,0.4765827093168732,1
10,X,Y,K,0,0.5325122411185824,0.4310604912660115,0.4258469228419238,0.47717536675747557,1
11,Y,Y,K,0,0.5445546893762624,0.42217118822602706,0.4113260574817873,0.4791728986710995,1
12,X,X,D,0,0.524331656614151,0.42474729221729024,0.4030738949372275,0.45292754733781715,1
13,X,Y,K,1,0.5191259655714527,0.46065745167889427,0.37357030843730843,0.4822656455203013,1
14,Y,X,D,0,0.536631454860605,0.3923115937719291,0.42752077801375565,0.48382658192295347,1
15,Y,Y,J,0,0.5200869530858159,0.40447536054564864,0.40603130269311005,0.4530796596065335,1
16,Y,Y,K,0,0.5155010201425698,0.4111711908913763,0.4130284559272877,0.43365563123288015,1
17,X,X,F,0,0.5558504042770314,0.41401355299660203,0.41709083966932914,0.41053785195512027,1
18,X,X,F,0,0.6131257914535535,0.42423219314980354,0.37727466606251564,0.4673578580544299,1
19,Y,Y,J,1,0.6071774708930819,0.4512750358867017,0.3980155753982844,0.4494441080346496,1
0,Y,X,F,0,0.6027467358377102,0.43296786818873406,0.7085657287757353,0.34276169029668774,2
