trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,0.6297851091303572,0.34774719430471424,0.7329140603833442,0.2509624304759203,0
1,X,X,D,0,0.62933724336217,0.3380291275194059,0.75,0.25,0
2,X,Y,J,1,0.6537336216203471,0.392985836194796,0.75,0.25,0
3,X,X,D,1,0.6720647368278998,0.4227866056857959,0.75,0.2627740303816928,0
4,X,Y,J,1,0.6751600986299883,0.4318837300280631,0.75,0.2796992526791491,0
5,X,X,D,1,0.6622501559819955,0.43646475500969073,0.7486544155193254,0.29914208207224297,0
6,X,X,D,0,0.652663835864127,0.4478392200696058,0.7405217089724286,0.3319664599071982,0
7,X,X,D,1,0.6732183151421225,0.42620786825828094,0.75,0.33772561554825037,0
8,X,X,D,0,0.6711652946003266,0.409267710209427,0.75,0.3087066712050035,0
9,X,X,D,1,0.6378778743571581,0.41686011189791894,0.75,0.3563267807038245,0
10,X,X,D,1,0.6057591620426042,0.40710295222933357,0.75,0.3598330689939199,0
11,X,X,D,1,0.6155904032637828,0.46264593420125144,0.75,0.41345906113097397,0
12,X,Y,J,1,0.6782510921583018,0.47043936959733945,0.7201535563466201,0.38823093115602636,0
13,X,X,D,0,0.661676803125073,0.4798768785975796,0.75,0.4142994083502721,0
14,X,Y,J,1,0.6687929658636182,0.49081111808355077,0.7428523430678113,0.46197548902966734,0
15,X,Y,J,1,0.6580630247522385,0.5065161075741472,0.7356480664258676,0.49746609916805545,0
16,X,X,D,1,0.6290947861107049,0.49868374762913004,0.7459837613618411,0.47174726441644377,0
17,X,X,D,1,0.6445375202840888,0.49818776175897594,0.7353350485892991,0.48517018819233726,0
18,X,Y,J,1,0.6933156652586419,0.475428561010609,0.6748342757955773,0.4757851403110704,0
19,X,X,D,1,0.7234476541703556,0.5003769874620204,0.6119565924582584,0.4647979232236977,0
0,X,X,D,1,0.5551605642488595,0.27576104628541653,0.562500218237301,0.6043279452571455,1
1,X,X,D,1,0.5498021876699692,0.2522276455887513,0.5765109932088881,0.6101024607668971,1
2,X,X,D,0,0.5396335838464134,0.25570372062495095,0.5925536513294615,0.6262721204678059,1
3,X,X,D,0,0.570142267746897,0.2621619339181142,0.5722846330801974,0.6013121837245765,1
4,X,X,D,0,0.5836316812958918,0.25,0.5915202589602436,0.6747735324137167,1
5,X,X,D,0,0.6206600601917425,0.2501604318213631,0.6327130660150149,0.702642739904223,1
6,X,X,D,0,0.6581852934920682,0.262698777328606,0.6678198682194867,0.7020908068546073,1
7,X,Y,J,1,0.6729806395452242,0.25,0.6623598022746179,0.7325969893188217,1
8,X,X,D,0,0.6693705421886996,0.25,0.7047123574203962,0.7186485377393823,1
9,X,X,D,1,0.6951950020381235,0.27242627735767483,0.7102751893970745,0.7289949208138468,1
10,X,X,D,1,0.6621998717366115,0.25499278428156197,0.657804127639577,0.7108844339824947,1
11,X,X,D,0,0.6659408028037332,0.26173870692460083,0.6777264166506765,0.6757440373178513,1
12,X,Y,J,0,0.7185877537265299,0.27997955701003524,0.6635733987775111,0.6710890372280277,1
13,X,Y,J,1,0.7268889181464044,0.2924004871789507,0.6711281432178323,0.6528896792942817,1
14,X,X,D,1,0.7338841439053359,0.29535235996900533,0.6415832013305579,0.6196761778571229,1
15,X,X,D,1,0.7298212033702842,0.2865562254613627,0.6671780520287987,0.6412119339497847,1
16,X,X,D,1,0.7151897977393921,0.25495898496948666,0.6710679908669085,0.604755910540481,1
17,X,X,D,0,0.7164452027483776,0.25395591039705173,0.6621852993058639,0.5703018484343263,1
18,X,Y,J,1,0.7300402862482037,0.25,0.6845836767580864,0.6036431541240664,1
19,X,Y,J,1,0.7167427088825586,0.27487096954749185,0.6275794439452647,0.6093232947863528,1
0,X,X,D,1,0.4464162954503567,0.4059772309393177,0.26914381347714905,0.34687336751543996,2
1,X,X,D,0,0.46238269583049074,0.3796889962842604,0.25,0.3490066067752373,2
2,X,X,D,0,0.4999790666160582,0.3586247772477801,0.2976840701625345,0.34600304515742125,2
3,X,X,D,1,0.4870141827180116,0.36735396263231757,0.30193927136060683,0.3432870029391544,2
4,X,X,D,1,0.4868849091109632,0.3691461970323478,0.32231368167444363,0.3419775475357176,2
5,X,Y,J,0,0.49217961630597323,0.35994404136748104,0.327490991772088,0.3667920620209439,2
6,X,X,D,0,0.4746414511971416,0.37399593647788487,0.33890884038516006,0.4154951203187681,2
7,X,X,D,0,0.49513324889988936,0.37406369894681296,0.32670127990033887,0.36553779911638973,2
8,X,X,D,0,0.4394715452408335,0.3703849259418048,0.3989926764980689,0.38705364140217274,2
9,X,X,D,1,0.47500536828395445,0.38533778393884927,0.40700431842710105,0.38409580033268337,2
10,X,X,D,1,0.44102518707779936,0.3818176741940585,0.41494625519611406,0.38775569191716164,2
