trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,0,0.44505225139116017,0.7192244709187492,0.5550468459874713,0.2815001556730331,0
1,X,X,D,0,0.4284229100212926,0.7207737060888397,0.5354051826308099,0.3347653493719525,0
2,Y,Y,J,1,0.4315289234167642,0.6731310346987452,0.5131150474794184,0.3201357178461629,0
3,X,X,D,1,0.43775623885943676,0.6778982232273492,0.4926413873081598,0.2919647390264682,0
4,Y,X,D,0,0.4204374932655913,0.6845386213108124,0.4386506547153231,0.2955145937749487,0
5,Y,Y,J,0,0.45684509222305386,0.6393140283357835,0.4464357579805372,0.2990387987162817,0
6,Y,X,D,0,0.47042506873098966,0.6413661510434004,0.43182879089841797,0.2912283059412514,0
7,X,X,D,1,0.4916478422808187,0.6414416536950842,0.4121025958001553,0.2930782233439055,0
8,Y,X,D,0,0.46991180808664584,0.630961788534256,0.39998508237631886,0.25,0
9,Y,Y,J,0,0.4815520993368752,0.6347871537087861,0.4059448015402331,0.2514606075614909,0
10,X,X,D,0,0.5112855037934932,0.6499952316080158,0.3938011788603488,0.2521770172316809,0
11,Y,Y,J,0,0.4817454855072183,0.5948209744098045,0.4255768784038625,0.31415875110184316,0
12,X,Y,J,0,0.4565448261161361,0.5754144887115082,0.44306722198083914,0.3244474315217793,0
13,Y,Y,J,1,0.48241756294751587,0.5989658175706517,0.4663557359650177,0.3257391486020786,0
14,Y,Y,J,1,0.4685367007553583,0.5755852185759869,0.44660890554333127,0.33487555212770015,0
15,X,X,D,0,0.5022560355282422,0.5691257151814385,0.42171744614048046,0.3623193827016106,0
16,X,X,D,0,0.5064114634408744,0.5782689802729185,0.44325164052817,0.3549876266872978,0
17,Y,Y,J,0,0.5028329066208607,0.5695429847685434,0.42407510172428786,0.3307451653565334,0
18,Y,Y,J,0,0.5030865544699903,0.5639388276463718,0.41494986198789136,0.3749429063352042,0
19,X,X,D,1,0.472198816234766,0.5429339938051099,0.4169187340016259,0.3598764386480397,0
0,X,Y,J,0,0.27264452122094035,0.4481028813304429,0.5057997464163937,0.6117413176465505,1
1,X,X,D,0,0.2690770335667,0.4458941086391451,0.5229492686497731,0.6177605829861073,1
2,Y,Y,K,1,0.2991831704202559,0.4340031286139666,0.5210556550498255,0.6559595929146375,1
3,X,X,D,0,0.2777305466223919,0.4498021830115665,0.5137829750681271,0.6983729163138777,1
4,Y,X,D,1,0.30451611478359897,0.4668923769195457,0.4793007699568026,0.6906171789753305,1
5,Y,Y,K,0,0.3049729438936179,0.5120502815441478,0.4732248916386318,0.672621196079424,1
6,Y,X,D,0,0.2581037058239644,0.4809397729661288,0.45748786751946136,0.6421195374952723,1
7,Y,Y,K,1,0.29041354124772684,0.45906980215609505,0.43600831602108026,0.666562200868627,1
8,X,X,D,1,0.27024573567940763,0.45409103437350645,0.4637968447366549,0.6300630062390913,1
9,Y,Y,K,1,0.2606970844518055,0.44408258507533555,0.4681217631091544,0.6122828697109371,1
10,Y,Y,K,0,0.25,0.40482663149612075,0.4938922208527553,0.6404690428172067,1
11,Y,Y,K,1,0.2537187523658463,0.38226073412768863,0.4854789369360119,0.6125974508184735,1
12,X,Y,K,0,0.2979496344262849,0.37298264730026803,0.46685824633116535,0.65427562404139,1
13,X,X,D,1,0.27198037442230405,0.4097593034407185,0.45096680580535764,0.6227834969066108,1
14,Y,Y,K,0,0.2901183672143234,0.4507570008613581,0.5053195842306207,0.5958155545696442,1
15,Y,X,D,0,0.2870227773408505,0.434245398034021,0.498569407114063,0.5657591414795977,1
16,Y,X,D,0,0.27402918039844093,0.4627332407305958,0.5242329911496084,0.5842468484122151,1
17,X,Y,K,1,0.2673572388048021,0.48186859948600713,0.4966324243969205,0.5841033935219155,1
18,Y,X,D,1,0.2718373460613275,0.44359996975060884,0.49949719341092497,0.6039414625469735,1
19,Y,Y,K,1,0.31953554197004613,0.4195549495419492,0.47040845047101504,0.6247999069918445,1
0,X,X,D,1,0.47290247108077654,0.642157632104253,0.43204905863802034,0.3882120229436217,2
1,Y,X,D,0,0.44895845498917875,0.6125163044778461,0.4229858340811787,0.37170691193902805,2
2,X,Y,K,0,0.4806622958363417,0.6350382463047423,0.4380482373007444,0.3759748223761615,2
3,X,X,D,1,0.4181502700936296,0.6538515784220319,0.4420490692634231,0.428876948415732,2
4,Y,Y,K,1,0.39900892280412653,0.6471214546063003,0.4265154609514319,0.41603559351293873,2
5,Y,X,D,1,0.4246856539696798,0.6624570901406227,0.44667603141138035,0.4403181693893136,2
6,X,X,D,1,0.4256024963749835,0.6837687544816325,0.44350889635363977,0.43392594955491115,2
7,X,Y,K,0,0.4445775224287425,0.6877766809720731,0.4547898866934935,0.40946465637298124,2
8,X,Y,K,0,0.48486755039623997,0.7045695427685069,0.456880703135454,0.41001779399853944,2
9,X,X,D,1,0.48897844142691793,0.6873259462024339,0.4501265406491529,0.42725450278992455,2
10,Y,Y,K,1,0.5030103752636411,0.6687609145033061,0.44015972397167585,0.46699497696840214,2
11,Y,X,D,0,0.5022403901476703,0.67882294525559,0.44114493787734016,0.44814191256247077,2
12,X,Y,K,1,0.4695035815114606,0.731667237582128,0.4557176271966067,0.4094092077307832,2
13,X,Y,K,0,0.4432397451802426,0.75,0.47894082771840624,0.4355848993079462,2
14,X,X,D,0,0.45386929672194576,0.7249818976697495,0.4864838998897245,0.456291952498507,2
15,Y,Y,K,1,0.5057618570670116,0.7237348827331124,0.47302177889121944,0.4819289863053866,2
16,Y,Y,K,0,0.530649453473152,0.711706706523183,0.42048778280024734,0.48305091144816825,2
17,Y,X,D,1,0.5097553800962308,0.6990659956193491,0.40740235582361845,0.4775018907435824,2
18,Y,X,D,0,0.5355013644095544,0.6671416940640456,0.41434749980869306,0.5016175992911966,2
19,Y,Y,K,0,0.5291639418754103,0.6544492695461941,0.4034624799238971,0.4745768417037656,2
0,X,Y,K,0,0.6640726132181729,0.44355765939000286,0.6989493042407366,0.6457970921964031,3
1,X,X,D,1,0.6644125664811337,0.4260910121704287,0.689537760987376,0.6730652383304286,3
2,Y,Y,K,0,0.6927642543983265,0.444026083682432,0.6652330577522565,0.6642028866136134,3
3,Y,X,D,1,0.7010701871576293,0.43754087909230466,0.6829072444021451,0.679775168179167,3
4,X,Y,K,0,0.6842604633176099,0.4475320123349623,0.6596997338145568,0.6958804461819881,3
5,Y,X,D,1,0.6508493956397792,0.45800978060948744,0.6477611464558308,0.677682603184731,3
6,Y,Y,J,1,0.6645107372531931,0.4561325034981639,0.6490781993478916,0.6385207093295145,3
7,Y,X,D,0,0.6272996329386278,0.4388141867241733,0.6614568756356388,0.6331015199559283,3
8,X,X,D,1,0.6713232650120634,0.453219994965405,0.6819011268615619,0.6189097767789299,3
9,Y,Y,J,1,0.6215820810588097,0.46295358887505234,0.7050193579329447,0.59606545701123,3
10,Y,Y,J,0,0.6102265770189277,0.4380902988661461,0.6804632112202674,0.5752618838807027,3
11,X,X,D,1,0.5833813489611928,0.4416665862051015,0.6782364756396858,0.5746188879916464,3
12,Y,Y,J,1,0.5557210144041539,0.4278829878571156,0.7025891684784323,0.5396860341655354,3
13,Y,X,D,1,0.545858430944555,0.4122093790709713,0.6699210017246612,0.5189591412006139,3
14,Y,Y,J,1,0.5390623618038946,0.3770583160600016,0.6800960436340833,0.5231134550586133,3
15,Y,X,D,1,0.543118831258249,0.37905674189179955,0.6626823832607698,0.5491196175872206,3
16,X,X,D,1,0.521230196771591,0.37915756380193,0.6479874557854506,0.5449904641629865,3
17,X,X,D,1,0.501165345896201,0.381496776640193,0.6665260478110202,0.5631150581858076,3
18,Y,X,D,1,0.4838885772804609,0.38151488998530037,0.6185971407742074,0.6075022733360613,3
19,X,X,D,0,0.5039900156872491,0.4152210387787328,0.640226649435238,0.6211386786615016,3
0,X,X,D,0,0.29773110065764313,0.7162825714300987,0.4272293171889085,0.7082034061657567,4
1,Y,X,D,0,0.3141335496187497,0.6793649233638428,0.4343053771077229,0.7230371047211422,4
2,Y,X,D,0,0.3416863315115077,0.75,0.45753668568583244,0.7229150301956867,4
3,Y,X,D,1,0.3629256160718467,0.75,0.4256552367494735,0.7446024375235692,4
4,X,Y,K,1,0.3520288738393266,0.75,0.4605551147235593,0.75,4
5,X,X,D,0,0.3598803985031753,0.7468732348966187,0.48267869307983163,0.74314930358731,4
6,Y,Y,J,0,0.3759318942000052,0.75,0.44525642750209304,0.75,4
7,Y,Y,K,1,0.3617195340300431,0.75,0.4536659199230662,0.7475650403090098,4
8,Y,Y,K,1,0.3433541877500393,0.75,0.44144710485819366,0.75,4
9,X,X,D,1,0.3664023677088034,0.75,0.45196684423211364,0.75,4
10,X,X,D,0,0.3739741282461408,0.75,0.46434678828120074,0.7321047642114253,4
11,Y,X,D,1,0.3929878165416859,0.75,0.43239614209542204,0.75,4
12,Y,X,D,1,0.38205720068863097,0.7114918889541076,0.3991803830559518,0.75,4
13,Y,X,D,0,0.3612278753089526,0.75,0.37357678277768597,0.75,4
14,Y,Y,K,1,0.36768960043088506,0.75,0.2983027935627519,0.75,4
15,X,X,D,0,0.3343362488445131,0.7399945588051404,0.26617185250360853,0.7177534386996051,4
16,X,Y,K,1,0.2990111544600761,0.75,0.28252592749643735,0.7022402248912051,4
17,Y,X,D,1,0.3393311357153734,0.7277735189472184,0.26458997530557893,0.713681490513703,4
18,Y,Y,K,1,0.3507792736052617,0.7250493994888787,0.25,0.7371955510944638,4
19,Y,X,D,0,0.36491163868513615,0.7448972930814887,0.25,0.7364355474770151,4
0,X,X,D,0,0.5900137389399687,0.471973894324508,0.482919395298033,0.5372637495783602,5
1,Y,Y,J,1,0.628626682033043,0.43447983774403576,0.47483493095897056,0.5176837475895961,5
2,X,X,D,0,0.6159923705445057,0.4505222105528885,0.48667629548978814,0.527666493174796,5
3,X,X,D,1,0.6328068653168848,0.4746999122536321,0.4728052330704272,0.4962361562254917,5
4,X,Y,J,1,0.6088593448138673,0.4974197915831623,0.46952540966693085,0.5003909958036589,5
5,Y,X,D,0,0.6033217260028152,0.5322625928059269,0.4425506405622823,0.5168141200987805,5
6,Y,Y,J,0,0.5574298337875302,0.5488221893977099,0.4633228859424546,0.5129452016237169,5
7,X,X,D,0,0.535704826067281,0.5753849306982441,0.4446190237549641,0.5059184212163975,5
8,X,Y,J,0,0.5011009169847938,0.5971009908801364,0.4315534385252879,0.525880648390985,5
9,X,X,D,0,0.514394324667519,0.5828538639241633,0.43535750323349476,0.529663585390743,5
10,Y,Y,J,0,0.5145921817700787,0.6045452279041922,0.4065425803311977,0.5055959518198894,5
11,Y,X,D,1,0.508855531158324,0.6088886818662694,0.3734538958516928,0.4558671268718344,5
12,X,X,D,0,0.4943787292312323,0.6276017643263797,0.3855523005727277,0.4109277883617107,5
13,X,X,D,0,0.515863426220861,0.6761496260586192,0.3723191355457395,0.3922614972900744,5
14,Y,X,D,0,0.5471828631788316,0.6445657727112937,0.402659993753966,0.3958249491779391,5
15,X,X,D,0,0.5044956201631758,0.6592023650736842,0.43374889690070395,0.3656947597216462,5
16,Y,Y,K,1,0.4833411072614765,0.7339363585997037,0.4023128002757058,0.37414455870955576,5
17,Y,Y,J,0,0.5018840962966074,0.6986805661011112,0.3665250251314478,0.3947126157498765,5
18,Y,Y,J,0,0.5276057715045657,0.6586540538245657,0.38953121934009827,0.4264651393529248,5
19,X,X,D,0,0.5428043674713691,0.6807642148606098,0.3932942834282879,0.43688855596976245,5
0,X,X,D,0,0.465136098193076,0.40755814232314114,0.3144460507653728,0.4242992703658705,6
1,Y,Y,J,1,0.4785721138090118,0.40052656524816865,0.2921444331191943,0.40417651045341624,6
