trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.6841843619684038,0.6379744358280177,0.6382053887536274,0.42452620852942213,0
1,Y,X,F,0,0.6879156164232206,0.6619674836735491,0.6432143942576326,0.41888526733641473,0
2,Y,Y,J,1,0.6806389360520974,0.7093248015575034,0.6529506315178725,0.43892861743697487,0
3,Y,Y,J,0,0.686718017801153,0.7156168691190569,0.6179780677741455,0.4198597760734802,0
4,Y,Y,J,1,0.6713277938354154,0.679768184484997,0.5867387962133841,0.37458625673699075,0
5,X,X,F,1,0.6876161798782485,0.7135922898252522,0.6276015488353858,0.35544145871641025,0
6,X,Y,K,1,0.6937201067643698,0.7249703074491871,0.6142307145599997,0.33511420162591693,0
7,X,X,D,0,0.6691574800670348,0.7261524581806732,0.6052603037874115,0.32768792323090323,0
8,X,X,D,1,0.68230171887603,0.7228042591550679,0.5812723849258247,0.3070972657268816,0
9,Y,Y,K,0,0.6860897383272619,0.7483658534901012,0.6095622686710865,0.27821552802330946,0
10,X,X,F,1,0.7118033772734809,0.75,0.6224662923106206,0.26945128776012073,0
11,Y,X,D,1,0.7025200037700716,0.75,0.6010162959154343,0.30141834784677213,0
12,Y,X,D,1,0.6940144253051708,0.7341573347513518,0.5808944392420233,0.2919657060243676,0
13,X,X,F,1,0.7002240005648757,0.75,0.5514711563950696,0.2769317169597077,0
14,Y,Y,K,1,0.6915943618939772,0.75,0.5593339443184552,0.267380486397229,0
15,X,Y,K,0,0.6869053583446583,0.75,0.5209864921286923,0.2735307903421355,0
16,Y,X,F,1,0.682263981765941,0.7440501471574994,0.5209072927357463,0.27479852981046865,0
17,X,X,D,0,0.6900863685530317,0.6911806257097706,0.517939907269527,0.25,0
18,Y,Y,K,0,0.7234994753612473,0.6893278103571062,0.5216363665895499,0.25,0
19,X,X,F,1,0.7235322172875115,0.6554324062377584,0.49025778398646147,0.28330389378033183,0
0,X,X,F,0,0.30273662866362266,0.2680172657203194,0.6092118694192256,0.32320021627998036,1
1,Y,Y,K,0,0.32520888822173694,0.28413843570784125,0.5781913256614573,0.30840228012793425,1
