run,trial,action1,state,action2,reward
0,0,X,X,D,0
0,1,X,X,F,0
0,2,Y,X,D,0
0,3,Y,X,D,1
0,4,Y,Y,K,1
0,5,Y,X,F,1
0,6,Y,Y,K,1
0,7,Y,Y,K,1
0,8,Y,Y,K,0
0,9,Y,Y,K,1
0,10,Y,Y,K,1
0,11,Y,X,F,1
0,12,Y,Y,K,0
0,13,Y,Y,K,0
0,14,Y,Y,K,1
0,15,Y,Y,K,0
0,16,Y,Y,K,1
0,17,Y,Y,K,1
0,18,Y,Y,K,1
0,19,Y,X,F,0
0,20,Y,Y,J,0
0,21,Y,Y,K,0
0,22,Y,Y,K,1
0,23,Y,Y,K,0
0,24,Y,Y,K,1
0,25,Y,Y,K,1
0,26,Y,X,F,0
0,27,Y,Y,K,1
0,28,Y,X,F,1
0,29,Y,Y,K,1
0,30,Y,X,F,0
0,31,Y,Y,K,1
0,32,Y,Y,K,1
0,33,Y,Y,K,0
0,34,Y,Y,K,1
0,35,Y,X,F,1
0,36,Y,Y,K,1
0,37,Y,Y,K,1
0,38,Y,Y,K,1
0,39,Y,Y,K,0
0,40,Y,X,F,1
0,41,Y,Y,K,1
0,42,Y,Y,K,0
0,43,Y,X,F,0
0,44,Y,Y,K,1
0,45,Y,X,F,1
0,46,Y,Y,K,1
0,47,Y,X,F,0
0,48,Y,X,F,0
0,49,Y,Y,K,1
0,50,Y,Y,K,1
0,51,Y,Y,K,1
0,52,Y,Y,K,1
0,53,Y,Y,K,0
0,54,Y,Y,K,0
0,55,Y,X,F,1
0,56,Y,X,F,1
0,57,Y,Y,K,0
0,58,Y,Y,K,1
0,59,Y,Y,K,1
0,60,Y,Y,K,0
0,61,Y,Y,K,1
0,62,Y,Y,K,1
0,63,Y,Y,K,0
0,64,Y,X,F,0
0,65,Y,X,F,0
0,66,Y,Y,K,0
0,67,Y,Y,K,1
0,68,Y,Y,K,1
0,69,Y,Y,K,1
0,70,Y,X,F,0
0,71,Y,Y,K,1
0,72,Y,Y,K,1
0,73,Y,X,F,0
0,74,Y,X,F,1
0,75,Y,Y,K,1
0,76,Y,Y,K,1
0,77,Y,Y,K,0
0,78,Y,Y,K,1
0,79,Y,Y,K,0
0,80,Y,Y,K,1
0,81,Y,X,F,1
0,82,Y,Y,K,0
0,83,Y,X,F,0
0,84,Y,Y,K,1
0,85,Y,Y,K,0
0,86,Y,Y,K,0
0,87,Y,Y,K,1
0,88,Y,X,D,1
0,89,Y,Y,K,1
0,90,Y,Y,K,0
0,91,Y,X,D,0
0,92,Y,Y,K,1
0,93,Y,Y,K,1
0,94,Y,Y,J,0
0,95,Y,Y,K,1
0,96,Y,Y,K,0
0,97,Y,X,F,0
0,98,Y,Y,K,1
0,99,Y,Y,K,1
0,100,Y,Y,K,0
0,101,Y,Y,K,1
0,102,Y,X,F,1
0,103,Y,Y,K,1
0,104,Y,Y,K,1
0,105,Y,Y,K,0
0,106,Y,X,F,1
0,107,Y,Y,K,0
0,108,Y,X,D,0
0,109,Y,Y,K,1
0,110,Y,Y,K,1
0,111,Y,Y,K,0
0,112,Y,Y,J,1
0,113,Y,Y,J,1
0,114,Y,X,D,1
0,115,Y,Y,J,1
0,116,Y,X,D,0
0,117,Y,Y,J,0
0,118,Y,Y,J,0
0,119,Y,Y,J,0
0,120,Y,Y,J,0
0,121,Y,Y,K,0
0,122,X,X,F,1
0,123,X,X,F,0
0,124,X,X,F,0
0,125,X,X,D,1
0,126,X,Y,K,1
0,127,X,X,D,1
0,128,X,X,D,0
0,129,X,Y,K,0
0,130,X,X,D,0
0,131,X,X,F,0
0,132,Y,Y,K,1
0,133,Y,Y,K,0
0,134,Y,X,F,0
0,135,Y,Y,K,1
0,136,Y,X,D,1
0,137,Y,X,D,0
0,138,Y,Y,K,1
0,139,Y,X,D,0
0,140,Y,Y,K,0
0,141,Y,Y,K,1
0,142,Y,Y,K,0
0,143,Y,Y,J,0
0,144,Y,Y,K,1
0,145,Y,Y,K,0
0,146,X,X,D,0
0,147,X,Y,K,0
0,148,X,X,F,1
0,149,Y,Y,J,0
0,150,Y,Y,K,1
0,151,Y,Y,K,1
0,152,Y,Y,K,0
0,153,Y,Y,K,0
0,154,Y,Y,K,0
0,155,Y,Y,J,1
0,156,X,X,D,1
0,157,X,X,D,1
0,158,X,Y,J,1
0,159,X,X,D,0
0,160,Y,Y,J,0
0,161,Y,X,D,0
0,162,Y,Y,J,1
0,163,Y,Y,J,1
0,164,Y,Y,J,1
0,165,Y,Y,J,0
0,166,Y,Y,J,0
0,167,Y,X,D,1
0,168,Y,Y,J,0
0,169,Y,Y,K,0
0,170,Y,X,D,0
0,171,Y,Y,J,0
0,172,Y,Y,K,1
0,173,Y,Y,K,1
0,174,Y,Y,K,0
0,175,X,Y,K,0
0,176,Y,X,F,1
0,177,Y,Y,K,1
0,178,Y,Y,K,0
0,179,X,X,F,1
0,180,Y,Y,K,0
0,181,Y,X,D,0
0,182,Y,X,D,0
0,183,Y,Y,J,0
0,184,Y,Y,K,0
0,185,Y,X,F,0
0,186,Y,X,D,0
0,187,Y,Y,K,1
0,188,Y,Y,K,0
0,189,Y,Y,J,1
0,190,Y,Y,K,1
0,191,Y,Y,K,0
0,192,Y,X,F,1
0,193,Y,Y,K,0
0,194,Y,Y,K,0
0,195,X,X,D,0
0,196,Y,X,F,0
0,197,Y,Y,K,1
0,198,Y,Y,K,0
0,199,Y,Y,J,1
1,0,Y,Y,J,0
1,1,Y,X,D,0
1,2,Y,Y,K,0
1,3,X,X,F,0
1,4,X,Y,K,1
1,5,X,X,F,0
1,6,X,X,D,1
1,7,X,X,D,0
1,8,X,X,D,0
1,9,X,Y,K,1
1,10,X,Y,K,1
1,11,X,X,F,1
1,12,X,X,F,1
1,13,X,X,F,1
1,14,X,Y,K,0
1,15,X,Y,K,0
1,16,X,X,F,0
1,17,X,X,F,1
1,18,X,X,F,1
1,19,X,X,F,0
1,20,X,Y,K,1
1,21,X,Y,K,1
1,22,X,Y,K,1
1,23,X,X,F,0
1,24,X,X,F,0
1,25,X,Y,K,1
1,26,X,X,F,0
1,27,X,X,F,1
1,28,X,X,D,0
1,29,X,Y,K,1
1,30,X,X,F,1
1,31,X,X,F,1
