trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,X,F,0,0.7402466418753137,0.46292125044821103,0.5572379515912025,0.2741964689153114,0
1,Y,X,D,1,0.7365789835204989,0.49073493778921945,0.5903013969200841,0.25,0
2,X,X,D,1,0.737883692810609,0.5013250325043006,0.594343054110589,0.25022611067774236,0
3,X,X,D,1,0.75,0.5398197271046677,0.603677960801302,0.25,0
4,X,Y,J,1,0.75,0.5201544734316748,0.5990441646166791,0.26233227447388857,0
5,Y,Y,K,0,0.7248115163689236,0.5748716504720666,0.5621939540787126,0.2535321289162382,0
6,X,X,D,1,0.7209900828415652,0.5323622772468495,0.6198537656711367,0.26459319254855845,0
7,X,Y,J,1,0.6634976290931224,0.525084117583238,0.622272772194766,0.255239740286864,0
8,X,X,D,1,0.637830816432575,0.5658390762819019,0.6388541814127373,0.25,0
9,Y,X,D,1,0.6276236422585847,0.578314292974503,0.6332316835027404,0.25,0
10,X,X,D,0,0.6377767189173392,0.5381126657640064,0.6058587126180823,0.2658184700102935,0
11,X,X,D,1,0.5966720669153076,0.5663438844986521,0.6067752947810731,0.28848300992761305,0
12,X,X,D,1,0.5785594717208687,0.5977728921841501,0.6167444201227675,0.3200923651441828,0
13,X,Y,K,0,0.5821299932438919,0.5994341140485036,0.5679873117887241,0.2962059404055049,0
14,X,X,D,1,0.5922996171637871,0.5929464661832096,0.577684084535985,0.3245810695420943,0
15,X,Y,J,0,0.5956788619119568,0.6221095026198222,0.5648580374017745,0.2907694441506822,0
16,X,Y,J,0,0.614408676351287,0.621982654220626,0.5683431763516014,0.3026382027316776,0
17,X,X,D,1,0.6242421722329722,0.5917370857117035,0.5903672625026243,0.25,0
18,X,X,D,0,0.6694938917668909,0.5883952889231718,0.5695518320709594,0.25,0
19,X,X,D,1,0.6729410231492373,0.5746998294895126,0.5491358539447497,0.2541870618684527,0
0,X,X,D,1,0.5317317035103803,0.6514343437414554,0.6262914287500039,0.7193477222560694,1
1,Y,Y,K,1,0.5224818049966872,0.6448680112478413,0.5530051651201013,0.7279735632176055,1
2,Y,Y,J,0,0.5247478780952308,0.6530446899472708,0.5526728352044361,0.7106404614500709,1
3,X,X,F,1,0.5060807128004593,0.6403225791114249,0.5359431383469745,0.75,1
4,X,X,D,0,0.44030527392894525,0.6574206343986618,0.532387749487022,0.75,1
5,X,X,F,1,0.3988114217945345,0.672199662899217,0.5205149539258003,0.7116412288665573,1
6,X,Y,K,0,0.42827926949048545,0.6847521451410606,0.514239504384498,0.7166913057657109,1
7,Y,X,F,0,0.45234903052601433,0.6950927123151195,0.5102227198611482,0.7017738060086816,1
