trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,Y,J,0,0.2877172667648676,0.3661573716119426,0.5297184689600576,0.2815432623857894,0
1,X,X,D,0,0.2907477219010175,0.348123091093992,0.5231903872425352,0.28457546206163215,0
2,Y,X,D,0,0.2835010032030345,0.3703618670264149,0.5061587237884116,0.2809164201369046,0
3,X,Y,K,1,0.35424000815902645,0.3676474132121541,0.5388892400045111,0.2808579619189326,0
4,Y,Y,K,0,0.3697182941265976,0.40621635950130414,0.5606780795439248,0.2520262348196847,0
5,Y,X,F,0,0.3904557842195002,0.3723436628934038,0.5711686680999261,0.25,0
6,Y,Y,K,0,0.399319829895965,0.3921098503788009,0.5840268816757069,0.25,0
7,Y,X,D,0,0.40387339907942643,0.4032925686004659,0.6141160311977039,0.25,0
8,Y,Y,K,0,0.42545995589892516,0.42538322690525504,0.6441166321649467,0.2694279514185124,0
9,X,X,D,1,0.4256140618457662,0.4355328015752281,0.6575746240215452,0.2529945418643209,0
10,Y,X,D,1,0.3711989944202273,0.42008180381724874,0.6917983512160847,0.25,0
11,Y,Y,K,0,0.3761142489949513,0.40053290806669467,0.675514417497462,0.26375977540937756,0
12,Y,Y,K,0,0.34111581120791273,0.4153919657884188,0.6340204735006157,0.2571004497640081,0
13,X,X,D,1,0.36038191170870204,0.39222343956468947,0.6400175717846267,0.25,0
14,X,X,F,0,0.38932738535713685,0.3500718013335188,0.6539645624766165,0.2615354836487696,0
15,X,Y,J,0,0.3465388015864087,0.35010980160123834,0.6602829022695184,0.2710118953804384,0
16,X,X,F,0,0.394597862510645,0.3023143999411553,0.6381771644601634,0.25930735090604673,0
17,X,Y,K,0,0.4178995234001519,0.3287180287136652,0.6280809982957402,0.25188488740555276,0
18,X,X,D,0,0.39552822733644,0.3153429056447716,0.6193957164570812,0.29359743354156326,0
19,Y,Y,J,0,0.37831852148684975,0.32482764958088395,0.6255400713648833,0.3183147857509935,0
0,X,Y,K,0,0.4732041956251042,0.3797060518944629,0.25601653590429163,0.5692371886219355,0
1,Y,Y,K,1,0.43216914885688895,0.37545866673938966,0.3068555760592584,0.5660855984022098,0
2,Y,Y,K,0,0.39230375050031674,0.41831799501782885,0.2958758775557172,0.5467768162234234,0
3,Y,Y,K,1,0.3947620711096659,0.411445781098749,0.2826193022197467,0.5218210689861585,0
4,X,X,D,1,0.3850627320653242,0.41256337018813183,0.2549272346355314,0.5090911530345985,0
5,X,X,D,0,0.41072391946500525,0.3874603920009616,0.2945986127508265,0.5263172547350193,0
6,Y,X,F,0,0.3948884805837338,0.3626477156607412,0.32387823864898996,0.5282852402495238,0
7,X,Y,J,1,0.3685866784901933,0.34917436730338913,0.302326620276664,0.6058154782925033,0
8,Y,X,D,1,0.40152530509270723,0.3826639741582242,0.31092650102018765,0.6485804096085291,0
9,X,X,F,1,0.39379305063640785,0.41226584645048636,0.3139073214152017,0.6526194714898103,0
10,Y,Y,K,0,0.4193111715358803,0.3974991660279818,0.328686956452106,0.6486809770755425,0
11,X,X,D,1,0.39199001921552235,0.37891881868097776,0.3197442779693077,0.6401616562828548,0
12,X,Y,K,1,0.39368301927006344,0.3844876665300596,0.30762973226392326,0.6635594258682641,0
13,X,X,D,0,0.41066292109146113,0.4168980145625278,0.28352376292800907,0.7135940115531653,0
14,X,Y,K,1,0.4288285812048243,0.40772128203937424,0.3090451591200149,0.7109088550885718,0
15,Y,Y,K,1,0.4276970757544875,0.40083974698577896,0.3010360107761893,0.6745217604460769,0
16,X,Y,J,0,0.44748588184377186,0.3895685114789011,0.30879382444002373,0.675573484233003,0
17,Y,Y,K,1,0.4340661410422253,0.413411423795679,0.3016360106156417,0.6650040264955206,0
18,Y,Y,K,1,0.47622060657920967,0.41612928536564975,0.3032949572791688,0.6433056826164364,0
19,Y,Y,J,0,0.4917432265466912,0.4804018510573909,0.2584420160994234,0.6411221642669831,0
0,Y,Y,K,1,0.48564414408264667,0.49340917669661516,0.6757457364210483,0.6640847135058741,1
1,Y,Y,J,0,0.5288273670053198,0.47736894121410084,0.6685078662142739,0.6933835278355438,1
2,Y,Y,J,1,0.5545201250042754,0.48656232791112125,0.6701614502051363,0.6673798225441061,1
3,X,X,D,1,0.568178689815478,0.4824277978762687,0.6755251511767121,0.6740409059879027,1
4,X,Y,J,0,0.5789388991984995,0.4685037719382311,0.7069417128067172,0.656004271342544,1
5,X,X,D,1,0.602923950638517,0.45489309261203964,0.7042141413696489,0.6038989831948844,1
6,Y,Y,J,1,0.6147662900051846,0.4737266532619978,0.7011604463207242,0.6481604104529307,1
7,X,X,D,1,0.604567086512763,0.48518487559734075,0.7256219111657487,0.6386838816890578,1
8,X,X,D,1,0.577111001349639,0.4723166469975028,0.7191901192696804,0.6619015109357855,1
9,Y,Y,J,1,0.5700086384068231,0.4593558612374692,0.6980508151489279,0.7221668461405448,1
10,Y,Y,J,1,0.5296763270585566,0.4457133501858974,0.684119527930044,0.75,1
11,X,Y,J,1,0.5396399574314502,0.44884996156876955,0.6408287514255537,0.75,1
12,X,Y,J,1,0.47302307454871806,0.46857295573938273,0.5892506379039772,0.75,1
13,X,X,D,0,0.48233355352377405,0.4643597500817277,0.6188356125794094,0.75,1
14,Y,X,F,0,0.49112035514773544,0.49927703715120547,0.6312774117930117,0.7412309313178798,1
15,X,Y,J,0,0.4813397131252182,0.48046581451195375,0.6476966514397203,0.7037436948787706,1
16,Y,Y,J,1,0.5004445366519972,0.4539437486099371,0.6718252799501593,0.7146438908946475,1
17,Y,Y,K,1,0.5243764125595428,0.4227259008728485,0.6516917187070943,0.702417853876557,1
18,X,Y,K,1,0.5776586902213644,0.42197606876250743,0.6793794592860918,0.6825200961614271,1
19,X,Y,K,0,0.589887911589011,0.44450915035263394,0.636134051137829,0.6605348398854681,1
0,X,X,D,0,0.444688191864205,0.32975777445351867,0.3566498494594643,0.3028825256691911,1
1,Y,Y,K,0,0.46232311828943684,0.3351896661740928,0.3596055678883495,0.29820502647161345,1
2,Y,Y,J,0,0.4688551702243571,0.29553505090040155,0.36747978709128865,0.3043678693183014,1
3,X,X,F,0,0.4667522565018756,0.30207510585068076,0.38125223790383594,0.31049952952052284,1
4,Y,Y,J,1,0.4483108694878668,0.32095754087595885,0.38818463581583934,0.3241839551900568,1
5,Y,Y,J,0,0.4860837267737305,0.33803267479549337,0.4207595193662597,0.3041983583982336,1
6,Y,Y,J,1,0.4543365918886819,0.35433088439881283,0.4703461239512174,0.30121913827587815,1
7,Y,X,D,0,0.4527871028186356,0.39279382659599893,0.5026987076549507,0.2823905439231633,1
8,Y,X,D,0,0.42388913745413637,0.36999648040207267,0.5146001148083551,0.2632489648864633,1
9,Y,Y,J,1,0.4710524805882691,0.3805737500921891,0.5171098204433867,0.25,1
10,Y,Y,J,1,0.47473226178228894,0.37372985119580915,0.512327464864642,0.25,1
11,Y,Y,J,1,0.485354937802467,0.4263227036429227,0.5145149685688017,0.25,1
12,Y,X,D,0,0.49227421669938426,0.4083807576325668,0.5494912474017326,0.25,1
13,Y,Y,J,1,0.4939839839120922,0.37472161969710016,0.5423055007252999,0.25,1
14,Y,X,F,0,0.5025603114063051,0.3678571318901884,0.5504331791502306,0.25,1
15,Y,Y,J,0,0.4711711566596147,0.3959266904479599,0.5138841843230093,0.25,1
16,Y,Y,K,1,0.4996231679869903,0.41888533091598207,0.5280373833283181,0.25,1
17,Y,Y,J,1,0.5331132348129719,0.42582914780392245,0.493222885190765,0.25,1
18,X,Y,J,0,0.5038741102027503,0.4715070810992451,0.5069489624182426,0.25312888884525453,1
19,Y,Y,K,0,0.49010030413434486,0.4890536778875774,0.5193865822722733,0.27337120809454446,1
0,X,X,F,0,0.2836899795246021,0.2871833195186398,0.7031019350278924,0.5652005149688246,2
1,X,Y,J,0,0.28848873895731286,0.30393484904358,0.6435264683893073,0.5593766133876229,2
2,Y,X,F,0,0.30290381654739,0.28795094689385603,0.6781877049928132,0.498647609024679,2
3,X,X,D,0,0.3282547808316604,0.25068366408569637,0.6666846231504847,0.46182580602007534,2
4,X,X,D,0,0.30138059854164984,0.253586621551737,0.6836926724057669,0.47243508496650477,2
5,Y,X,D,0,0.2881304758912897,0.25854464862433946,0.664217110244284,0.4541219514883508,2
6,Y,Y,J,0,0.3271160076324251,0.25,0.6489075748358538,0.4130955038057205,2
7,Y,Y,K,1,0.35489219484318846,0.25093451469299366,0.6305114338717132,0.4626426856500846,2
8,Y,X,D,1,0.3459148677812853,0.25,0.6439940764111916,0.48974789993217693,2
9,Y,Y,K,1,0.3554395356059203,0.2503334702119764,0.6253465306417186,0.45762960069005143,2
10,Y,Y,K,0,0.38222341417155237,0.25,0.5868792959739647,0.4644145250085853,2
11,Y,Y,J,0,0.3962190819760343,0.25,0.5819757607047432,0.47545364750007013,2
12,Y,Y,K,1,0.38284145789413015,0.25,0.5572535127993229,0.5301760358981717,2
13,X,X,F,0,0.396375544696167,0.25,0.5423435372767916,0.5284283856609929,2
14,X,Y,K,1,0.3853987851626934,0.25,0.5337821407706717,0.5163006805037634,2
15,Y,X,F,1,0.36943029443852615,0.25,0.49473034121935,0.5280665215374983,2
16,Y,X,F,0,0.3707702523255922,0.25,0.5076648010665705,0.49883750573317925,2
17,X,Y,K,0,0.35518448668495467,0.2638525004402625,0.5294656784468471,0.4982314198442976,2
18,Y,Y,K,1,0.36474038168018014,0.31492165363286184,0.5366283358057802,0.465752926762855,2
19,Y,X,D,1,0.3547148076269102,0.2956106782826528,0.4820774988044833,0.4564783204510513,2
0,X,Y,J,1,0.31323965193212017,0.4344080911804647,0.6167456733232315,0.6017945496403483,2
1,Y,Y,J,1,0.2918442005713899,0.49557703251757673,0.6445638799949751,0.5815760956698163,2
2,Y,Y,J,1,0.29507300073956433,0.5034673091485441,0.6191079444209744,0.5898127089933488,2
3,Y,X,D,0,0.33223887284103265,0.47999810210306776,0.592314464048643,0.5786082626113013,2
4,X,X,F,0,0.3597107000707048,0.4896375063233771,0.6025789322433032,0.5954731712366768,2
5,Y,Y,J,1,0.3396306689135067,0.49531471579984093,0.5492588683505307,0.5719029629308995,2
6,Y,Y,J,1,0.3676787058742352,0.4876277918805508,0.5603419919152156,0.5440918804854915,2
7,Y,X,D,0,0.3582013664157445,0.462217399581172,0.5441719629659327,0.5422834270114072,2
8,Y,Y,J,0,0.3697078380282797,0.48950626491714355,0.556745671710493,0.5457218236968213,2
9,Y,Y,K,1,0.3634331574886261,0.5360212691489117,0.5607147630742831,0.5397253646172564,2
10,X,Y,J,1,0.3780528483674984,0.5790257943776389,0.575718494768793,0.5314943646819325,2
