trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,0,0.7135986718254799,0.4890753906257241,0.51891254543894,0.3313689702944863,0
1,X,X,D,0,0.75,0.4754573820364657,0.532202369965845,0.35132076562769915,0
2,X,X,D,1,0.75,0.45667954073394595,0.5197591992850153,0.3585417147459088,0
3,X,X,D,1,0.7238985077832324,0.43441928206392566,0.4732542162008232,0.3778753995357832,0
4,X,Y,K,0,0.7394564314371745,0.460839229546444,0.49179236069592447,0.4221664169587772,0
5,X,X,D,0,0.75,0.46850108786251576,0.455758751159085,0.46109403162203744,0
6,X,X,D,0,0.75,0.45734242738690295,0.4602612155622795,0.5121176911132316,0
7,X,Y,K,1,0.72905042981933,0.4665893318499983,0.4714384301058988,0.48721460048788645,0
8,X,Y,K,0,0.7429307490427142,0.4800792334973487,0.4731082959884572,0.49511279642480144,0
9,X,X,D,0,0.75,0.4483969727407406,0.47709850471707305,0.46835842245481085,0
10,X,X,D,1,0.731479999203181,0.4791367422405572,0.49021818331609335,0.47677194306012627,0
11,X,Y,K,0,0.7332027717798061,0.4693579345352976,0.5487779824221244,0.44909442091609625,0
12,X,X,D,1,0.75,0.4460713879408842,0.566884643132865,0.4691511523298809,0
13,X,X,D,1,0.7328568493815095,0.4913659448407945,0.577525970144015,0.46301407534324013,0
14,X,X,D,1,0.7144323609590565,0.481573394134877,0.5848243151271031,0.4538536598963721,0
15,X,X,D,0,0.6815356809393223,0.49908321080265466,0.578322724190885,0.4715659318616746,0
16,X,X,D,1,0.6765937464702384,0.466010115996157,0.5854012609679121,0.47254577205322484,0
17,X,Y,K,1,0.6568847743160764,0.4736678162264316,0.6052201055731318,0.45813892284063296,0
18,X,Y,K,0,0.651627548948305,0.5280689018897208,0.618068634957069,0.4252643144663749,0
19,X,X,D,0,0.6703781057376164,0.5176856340001093,0.6267964122143919,0.3805800761293052,0
0,X,Y,K,0,0.7377115232119063,0.4549249743897828,0.40856060759692325,0.4520733099570406,1
1,Y,Y,K,1,0.75,0.4313398395472861,0.4183333921397248,0.47138888541667123,1
2,Y,Y,K,0,0.75,0.4659051508349954,0.4097138280559005,0.47162704363012425,1
