run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,0,X,X,D,1,0.5691118509897637,0.2631176537672685,0.6296924072009463,0.4855050522915265
0,1,X,X,D,1,0.5894146000316993,0.2688710320647838,0.6331752920294567,0.4841286062943919
0,2,X,X,D,1,0.6079853946658395,0.2561203381878107,0.6128415222209487,0.5136125135851334
0,3,X,Y,J,1,0.5790615419323198,0.259856804389886,0.6150468078339595,0.4804514927611199
0,4,X,Y,J,1,0.571632878917566,0.25,0.572286854679783,0.470871660419328
0,5,X,Y,J,1,0.5993888247452014,0.2574811679608262,0.5930571374492447,0.4999992121845453
0,6,X,X,D,0,0.6494557440695506,0.25,0.5874728414298444,0.4705716354386065
0,7,X,X,D,1,0.6426921491836826,0.25,0.6070903844663533,0.4981642900922568
0,8,X,X,D,1,0.6560907208119704,0.25,0.6184626660068456,0.5165415970090589
0,9,X,X,D,0,0.6660708032221854,0.255621961666475,0.6486551750910452,0.5310999759726096
0,10,X,X,D,1,0.6430614882939294,0.2745830160082291,0.6370057538207681,0.4998160382922955
0,11,X,Y,J,1,0.6159332185241067,0.2849054037148819,0.6024355498369096,0.4650429737275852
0,12,X,X,D,1,0.6104517758193971,0.2796189147264991,0.6251157445788803,0.4621197963114382
0,13,X,X,D,0,0.5830484132057422,0.2637827640665844,0.6143503863557433,0.4539981746605681
0,14,X,X,D,0,0.5755585960827463,0.2731377533171892,0.615203820159574,0.4463870950927814
0,15,X,X,D,0,0.5666922400645347,0.2640911089014658,0.5863332982492399,0.4174616528301156
0,16,X,X,D,1,0.6014977083298214,0.304978428717722,0.6631940281850444,0.4452946395451693
0,17,X,X,D,1,0.5675199790949423,0.3263677595901498,0.669696952306725,0.4216776517456277
0,18,X,Y,J,0,0.5934186931595815,0.3377156300546757,0.6478401056970241,0.4563588173046388
0,19,X,X,D,1,0.5889068537862489,0.3512300268667325,0.658730074196514,0.465483426378347
1,0,X,Y,J,0,0.3243137124387316,0.7492337026168573,0.4900162397120184,0.5036124296088562
1,1,Y,Y,J,0,0.3315574182115037,0.7484452267831554,0.4592661152487004,0.4928910758240288
1,2,Y,Y,J,0,0.3222824414879759,0.7188212713158564,0.5107250216451904,0.4677262715835452
1,3,Y,Y,J,1,0.3459562378876877,0.75,0.4749844974781043,0.4552461466354087
1,4,Y,Y,J,0,0.3205948755362402,0.75,0.4832397071363636,0.4750428270549421
1,5,Y,Y,J,0,0.2904019181301652,0.717991313008308,0.4188065579390376,0.4917087888763784
1,6,Y,X,D,1,0.2944059810941559,0.689160498941014,0.4253683785186123,0.4606103900109664
1,7,Y,Y,J,1,0.3044291607745235,0.7104337691256267,0.4022158474260736,0.4984487170124916
1,8,Y,Y,J,0,0.3372592765594427,0.7497250949669939,0.3818046096453067,0.4903479244772225
1,9,Y,X,D,0,0.3575799806461122,0.7292653122569911,0.3603271217208166,0.5208414669019711
1,10,Y,X,D,0,0.3266385955912858,0.7438426620419589,0.3533876892829716,0.4903486237716297
1,11,Y,X,D,0,0.3501632599160528,0.75,0.3405837976378415,0.4967483498915511
1,12,Y,Y,J,0,0.3274292994867676,0.75,0.3348370039788213,0.5133561249345628
1,13,Y,Y,J,1,0.3368068429515491,0.7272732048067657,0.3875475567671577,0.473557639886049
1,14,Y,X,D,1,0.3453136993962673,0.7333256496587008,0.4142591388282565,0.5088457104096709
1,15,Y,Y,J,1,0.3403982513568317,0.722979201667383,0.4312821545028297,0.5088990790669026
1,16,Y,X,D,0,0.363409905228172,0.7112417600807954,0.4388978563617043,0.5310749808286642
1,17,Y,Y,J,1,0.3710619264531952,0.6797882987722276,0.4955741557377667,0.4976373361391825
1,18,Y,X,D,0,0.3412108820751615,0.636241030220174,0.4672688512439054,0.464170981252938
1,19,Y,Y,J,1,0.3594101794319287,0.6318116141907835,0.4516877819765786,0.4705024676994875
2,0,X,Y,J,0,0.6391393084792867,0.4682363214445625,0.638727181895193,0.6805761813772804
2,1,Y,Y,J,1,0.6255120981878101,0.455003574409401,0.6298930144302517,0.6148689446319386
2,2,Y,X,D,0,0.5861590227592626,0.4700324271087603,0.6478000338208091,0.6506637101983859
2,3,Y,Y,J,1,0.5901271695159112,0.4318936133074595,0.6896326548179609,0.6393727389589656
2,4,Y,X,D,0,0.567528065994022,0.4383288245899709,0.7332606379730471,0.6560753298510885
2,5,Y,X,D,1,0.553924455348835,0.414743293335249,0.7227952826937352,0.714894354328867
